Orthogroup	longest_isoform_HydraProteins	longest_isoform_HydractiniaProteins
OG0001805	Hydra|LOC105843255, Hydra|LOC100208417, Hydra|LOC101237641, Hydra|LOC100208181, Hydra|LOC105843684, Hydra|LOC105848543, Hydra|LOC124807006, Hydra|LOC100207723	Hydractinia|LOC130623191
OG0001810	Hydra|LOC100201184	Hydractinia|LOC130657322
OG0001813	Hydra|LOC124816280	Hydractinia|LOC130655183, Hydractinia|LOC130629935, Hydractinia|LOC130642185, Hydractinia|LOC130625191, Hydractinia|LOC130629931, Hydractinia|LOC130653787, Hydractinia|LOC130612911, Hydractinia|LOC130613578
OG0001814	Hydra|LOC124817084	Hydractinia|LOC130657877, Hydractinia|LOC130625228, Hydractinia|LOC130613036, Hydractinia|LOC130657753, Hydractinia|LOC130653802, Hydractinia|LOC130648241, Hydractinia|LOC130646046, Hydractinia|LOC130653636
OG0001817	Hydra|LOC100203178, Hydra|LOC100212585, Hydra|LOC100209098	Hydractinia|LOC130629587, Hydractinia|LOC130629588
OG0001818	Hydra|LOC124806304, Hydra|LOC124806305	Hydractinia|LOC130662872, Hydractinia|LOC130653646, Hydractinia|LOC130613524
OG0001855	Hydra|LOC100202645, Hydra|LOC100201430	Hydractinia|LOC130612494, Hydractinia|LOC130647088
OG0001856	Hydra|LOC124808422	Hydractinia|LOC130647203
OG0001859	Hydra|LOC100200338	Hydractinia|LOC130622269
OG0001859	Hydra|LOC100204611	Hydractinia|LOC130622157
OG0001860	Hydra|LOC100202686, Hydra|LOC100212346	Hydractinia|LOC130642026
OG0001862	Hydra|LOC100200582, Hydra|LOC100211732	Hydractinia|LOC130644538
OG0001863	Hydra|LOC100197608	Hydractinia|LOC130656501
OG0001866	Hydra|LOC100212447, Hydra|LOC100200818	Hydractinia|LOC130657383
OG0001867	myc2	Hydractinia|LOC130653927
OG0001870	Hydra|LOC100213528	Hydractinia|LOC130613500
OG0001871	Hydra|LOC124807138, Hydra|LOC124811224, Hydra|LOC124813731, Hydra|LOC124813786	Hydractinia|LOC130613092
OG0001872	Hydra|LOC101239006	Hydractinia|LOC130622542
OG0001874	Hydra|LOC101235959	Hydractinia|LOC130614543, Hydractinia|LOC130655401, Hydractinia|LOC130655303
OG0001877	Hydra|LOC100205136	Hydractinia|LOC130630033
OG0001877	Hydra|LOC100204534, Hydra|LOC100199986	Hydractinia|LOC130630366
OG0001880	Hydra|LOC101236855	Hydractinia|LOC130622578
OG0001881	Hydra|LOC105848620	Hydractinia|LOC130621600, Hydractinia|LOC130622583, Hydractinia|LOC130621455, Hydractinia|LOC130622582, Hydractinia|LOC130622736, Hydractinia|LOC130621237
OG0001882	Hydra|LOC100203050	Hydractinia|LOC130641304
OG0001883	Hydra|LOC100211281	Hydractinia|LOC130641685, Hydractinia|LOC130641686
OG0001884	Hydra|LOC100212242, Hydra|LOC105850324	Hydractinia|LOC130653960
OG0001887	Hydra|LOC101238357	Hydractinia|LOC130613076
OG0001888	Hydra|LOC100200128	Hydractinia|LOC130636037
OG0001888	Hydra|LOC100214514	Hydractinia|LOC130644819
OG0001891	Hydra|LOC100208289	Hydractinia|LOC130613297
OG0001891	Hydra|LOC100208687	Hydractinia|LOC130613287
OG0001893	Hydra|LOC100202667	Hydractinia|LOC130621514
OG0001893	Hydra|LOC100204739	Hydractinia|LOC130612893
OG0001894	Hydra|LOC100209542, Hydra|LOC100199406	Hydractinia|LOC130635996
OG0001895	Hydra|LOC105844343	Hydractinia|LOC130612125
OG0001895	Hydra|LOC100203899	Hydractinia|LOC130625951
OG0001896	Hydra|LOC100197279	Hydractinia|LOC130625409
OG0001897	Hydra|LOC105846926, Hydra|LOC105843377, Hydra|LOC105850880, Hydra|LOC105849116, Hydra|LOC124805952, Hydra|LOC105844203	Hydractinia|LOC130625503
OG0001898	Hydra|LOC100200850	Hydractinia|LOC130612498, Hydractinia|LOC130662647, Hydractinia|LOC130612736, Hydractinia|LOC130612805, Hydractinia|LOC130612739, Hydractinia|LOC130612375
OG0001899	Hydra|LOC100213184	Hydractinia|LOC130636776, Hydractinia|LOC130636798
OG0001900	Hydra|LOC100202149	Hydractinia|LOC130636066
OG0001900	Hydra|LOC101235210	Hydractinia|LOC130641355
OG0001903	Hydra|LOC105847942	Hydractinia|LOC130629180
OG0001904	Hydra|LOC101238515	Hydractinia|LOC130638291, Hydractinia|LOC130636442
OG0001906	Hydra|LOC100206883	Hydractinia|LOC130662726, Hydractinia|LOC130612133
OG0001907	Hydra|LOC105844600	Hydractinia|LOC130656456
OG0001909	Hydra|LOC124817936, Hydra|LOC100213583	Hydractinia|LOC130621447
OG0001910	Hydra|LOC100209753, Hydra|LOC105847724, Hydra|LOC100205317, Hydra|LOC101239789	Hydractinia|LOC130630281
OG0001911	Hydra|LOC100200478, Hydra|LOC100202447	Hydractinia|LOC130636660, Hydractinia|LOC130636659
OG0001912	Hydra|LOC101240653	Hydractinia|LOC130637014
OG0001913	Hydra|LOC100205627	Hydractinia|LOC130635537, Hydractinia|LOC130635559, Hydractinia|LOC130635562
OG0001914	Hydra|LOC100208961	Hydractinia|LOC130629080
OG0001914	Hydra|LOC101241841	Hydractinia|LOC130654035
OG0001915	Hydra|LOC100201422	Hydractinia|LOC130629571
OG0001916	Hydra|LOC101238445	Hydractinia|LOC130612559, Hydractinia|LOC130612560
OG0001917	Hydra|LOC100205559, Hydra|LOC105847415, Hydra|LOC105845629, Hydra|LOC105844358, Hydra|LOC101235740, Hydra|LOC105848483	Hydractinia|LOC130612550
OG0001919	Hydra|LOC124811594	Hydractinia|LOC130614857
OG0001921	Hydra|LOC100198464	Hydractinia|LOC130657328, Hydractinia|LOC130657329, Hydractinia|LOC130657096
OG0001922	Hydra|LOC105845724	Hydractinia|LOC130636998, Hydractinia|LOC130636491
OG0001926	Hydra|LOC100201685	Hydractinia|LOC130644608
OG0001927	Hydra|LOC100202359	Hydractinia|LOC130645659, Hydractinia|LOC130645880
OG0001928	Hydra|LOC101238851	Hydractinia|LOC130645825, Hydractinia|LOC130645716
OG0001932	Hydra|LOC100206903	Hydractinia|LOC130655085
OG0001933	Hydra|LOC100207813, Hydra|LOC105846574, Hydra|LOC100199179, Hydra|LOC100207952	Hydractinia|LOC130613772, Hydractinia|LOC130613774
OG0001934	Hydra|LOC100201403	Hydractinia|LOC130644650
OG0001935	Hydra|LOC100204226	Hydractinia|LOC130629442, Hydractinia|LOC130629307, Hydractinia|LOC130655014, Hydractinia|LOC130655013
OG0001939	Hydra|LOC101236593	Hydractinia|LOC130630401, Hydractinia|LOC130630399
OG0001940	Hydra|LOC100212681	Hydractinia|LOC130623980
OG0001941	Hydra|LOC100197966	Hydractinia|LOC130656940
OG0001942	Hydra|LOC100213474, Hydra|LOC100202839	Hydractinia|LOC130628737, Hydractinia|LOC130628736, Hydractinia|LOC130628639
OG0001943	Hydra|LOC100207753	Hydractinia|LOC130629183
OG0001944	Hydra|LOC100200074	Hydractinia|LOC130623768
OG0001947	Hydra|LOC100206618, Hydra|LOC100210177, Hydra|LOC100199377	Hydractinia|LOC130647251, Hydractinia|LOC130647424
OG0001949	Hydra|LOC100204219, Hydra|LOC100197158, Hydra|LOC100202454	Hydractinia|LOC130645175
OG0001950	Hydra|LOC100211827, Hydra|LOC100200677	Hydractinia|LOC130612428
OG0001951	Hydra|LOC100207998	Hydractinia|LOC130613355
OG0001952	Hydra|LOC100198653	Hydractinia|LOC130656565
OG0001952	Hydra|LOC100210912	Hydractinia|LOC130654449
OG0001954	Hydra|LOC100202657, Hydra|LOC100199980	Hydractinia|LOC130614445
OG0001955	Hydra|LOC101236615	Hydractinia|LOC130621927
OG0001955	Hydra|LOC124808693	Hydractinia|LOC130644567
OG0001956	Hydra|LOC100202398	Hydractinia|LOC130621779, Hydractinia|LOC130621777
OG0001957	Hydra|LOC105850223	Hydractinia|LOC130622067, Hydractinia|LOC130621966
OG0001958	Hydra|LOC100202935	Hydractinia|LOC130621955
OG0001959	Hydra|LOC100206623	Hydractinia|LOC130638878, Hydractinia|LOC130642132
OG0001961	Hydra|LOC101238218	Hydractinia|LOC130655967
OG0001961	Hydra|LOC100206440	Hydractinia|LOC130654606
OG0001962	Hydra|LOC100204322	Hydractinia|LOC130622730
OG0001962	Hydra|LOC101241494	Hydractinia|LOC130654128
OG0001963	Hydra|LOC100200854	Hydractinia|LOC130647017
OG0001965	Hydra|LOC100213744	Hydractinia|LOC130612808, Hydractinia|LOC130662794
OG0001966	Hydra|LOC100202008	Hydractinia|LOC130646115, Hydractinia|LOC130645879, Hydractinia|LOC130645658
OG0001967	Hydra|LOC100214644, Hydra|LOC100208577, Hydra|LOC100208567	Hydractinia|LOC130642112
OG0001968	Hydra|LOC100201689	Hydractinia|LOC130649359
OG0001969	Hydra|LOC100213365	Hydractinia|LOC130640844
OG0001970	Hydra|LOC100204855	Hydractinia|LOC130623713
OG0001971	Hydra|LOC100206247, Hydra|LOC100201160, Hydra|LOC100209323	Hydractinia|LOC130655306
OG0001972	Hydra|LOC101236803	Hydractinia|LOC130636663
OG0001973	Hydra|LOC100205403	Hydractinia|LOC130644382
OG0001973	Hydra|LOC100215737	Hydractinia|LOC130644801
OG0001974	Hydra|LOC105848832	Hydractinia|LOC130644443
OG0001975	Hydra|LOC105847784	Hydractinia|LOC130623051, Hydractinia|LOC130630192, Hydractinia|LOC130655741
OG0001976	Hydra|LOC100215751	Hydractinia|LOC130624175
OG0001976	Hydra|LOC100207841	Hydractinia|LOC130612189
OG0001977	Hydra|LOC105848180	Hydractinia|LOC130633265
OG0001978	Hydra|LOC101237470	Hydractinia|LOC130641302
OG0001982	Hydra|LOC100204217, Hydra|LOC100200732	Hydractinia|LOC130625498
OG0001983	Hydra|LOC105845021, Hydra|LOC124812070, Hydra|LOC124815204	Hydractinia|LOC130612961
OG0001984	Hydra|LOC100201797	Hydractinia|LOC130647278, Hydractinia|LOC130648318, Hydractinia|LOC130648317, Hydractinia|LOC130647276
OG0001988	Hydra|LOC100204977	Hydractinia|LOC130657141
OG0001989	Hydra|LOC100199148	Hydractinia|LOC130647677
OG0001989	Hydra|LOC100197952	Hydractinia|LOC130647676
OG0001991	Hydra|LOC100208449	Hydractinia|LOC130621168, Hydractinia|LOC130641614
OG0001992	Hydra|LOC100215292	Hydractinia|LOC130645289
OG0001993	Hydra|LOC124814762, Hydra|LOC124809253, Hydra|LOC124810354	Hydractinia|LOC130629197, Hydractinia|LOC130624321
OG0001994	Hydra|LOC100211325	Hydractinia|LOC130633855
OG0001995	Hydra|LOC100206199	Hydractinia|LOC130612516
OG0001997	jun	Hydractinia|LOC130630378
OG0001998	Hydra|LOC100202697	Hydractinia|LOC130630368
OG0002001	Hydra|LOC100201659	Hydractinia|LOC130645426
OG0002002	Hydra|LOC101234436	Hydractinia|LOC130630360
OG0002004	Hydra|LOC124811446	Hydractinia|LOC130657716
OG0002004	Hydra|LOC101237469	Hydractinia|LOC130657070
OG0002006	Hydra|LOC101237079	Hydractinia|LOC130645656, Hydractinia|LOC130645887
OG0002007	Hydra|LOC100207937	Hydractinia|LOC130635807, Hydractinia|LOC130637065
OG0002008	Hydra|LOC101240946	Hydractinia|LOC130645270
OG0002010	Hydra|LOC100211230	Hydractinia|LOC130646178, Hydractinia|LOC130644183
OG0002011	Hydra|LOC100209367	Hydractinia|LOC130654256
OG0002012	Hydra|LOC100200597	Hydractinia|LOC130613108
OG0002015	Hydra|LOC100209110	Hydractinia|LOC130647779, Hydractinia|LOC130644875
OG0002018	Hydra|LOC101241169, Hydra|LOC124815931	Hydractinia|LOC130632392, Hydractinia|LOC130649139, Hydractinia|LOC130625411, Hydractinia|LOC130642021, Hydractinia|LOC130614741
OG0002019	Hydra|LOC124816090, Hydra|LOC100209718, Hydra|LOC124810892	Hydractinia|LOC130612788, Hydractinia|LOC130630120, Hydractinia|LOC130630161, Hydractinia|LOC130648220
OG0002023	Hydra|LOC100212260	Hydractinia|LOC130641472
OG0002023	Hydra|LOC100209995	Hydractinia|LOC130642194
OG0002024	Hydra|LOC100203675, Hydra|LOC100206602	Hydractinia|LOC130645761, Hydractinia|LOC130645760
OG0002027	Hydra|LOC105843932	Hydractinia|LOC130623331
OG0002028	Hydra|LOC100199240	Hydractinia|LOC130623318
OG0002029	Hydra|LOC100200153	Hydractinia|LOC130655161
OG0002030	Hydra|LOC100206322, Hydra|LOC100209785, Hydra|LOC100209841	Hydractinia|LOC130656035
OG0002031	Hydra|LOC101239863	Hydractinia|LOC130662396, Hydractinia|LOC130662584, Hydractinia|LOC130662394
OG0002033	Hydra|LOC100198550	Hydractinia|LOC130622970
OG0002034	Hydra|LOC101236730	Hydractinia|LOC130648815, Hydractinia|LOC130630610, Hydractinia|LOC130630611, Hydractinia|LOC130657349
OG0002035	Hydra|LOC100203015	Hydractinia|LOC130622715, Hydractinia|LOC130622716
OG0002038	Hydra|LOC101240546	Hydractinia|LOC130647048
OG0002039	Hydra|LOC100213314	Hydractinia|LOC130629253
OG0002040	Hydra|LOC105844134	Hydractinia|LOC130621235
OG0002046	Hydra|LOC100212273	Hydractinia|LOC130614374
OG0002047	Hydra|LOC101236446	Hydractinia|LOC130612280, Hydractinia|LOC130612625
OG0002048	Hydra|LOC100206742	Hydractinia|LOC130630520, Hydractinia|LOC130657975, Hydractinia|LOC130612046
OG0002050	Hydra|LOC101237115	Hydractinia|LOC130644984
OG0002051	Hydra|LOC105846266	Hydractinia|LOC130628847
OG0002051	Hydra|LOC101236278	Hydractinia|LOC130612056
OG0002053	Hydra|LOC100206191, Hydra|LOC100206143, Hydra|LOC100197975	Hydractinia|LOC130645116
OG0002054	Hydra|LOC101238552	Hydractinia|LOC130655854, Hydractinia|LOC130655851, Hydractinia|LOC130655852, Hydractinia|LOC130655853
OG0002056	Hydra|LOC101236759	Hydractinia|LOC130641774
OG0002056	Hydra|LOC101237795	Hydractinia|LOC130612143, Hydractinia|LOC130662784
OG0002060	Hydra|LOC105844628	Hydractinia|LOC130614488
OG0002063	Hydra|LOC100209513	Hydractinia|LOC130628837, Hydractinia|LOC130629416, Hydractinia|LOC130629370
OG0002064	Hydra|LOC100198679	Hydractinia|LOC130647239, Hydractinia|LOC130645535
OG0002066	Hydra|LOC100206244	Hydractinia|LOC130621663
OG0002067	Hydra|LOC100198060	Hydractinia|LOC130655212, Hydractinia|LOC130633121, Hydractinia|LOC130633137, Hydractinia|LOC130633105, Hydractinia|LOC130655121, Hydractinia|LOC130655119
OG0002068	grm1	Hydractinia|LOC130657798, Hydractinia|LOC130656880, Hydractinia|LOC130648060
OG0002069	Hydra|LOC100206178	Hydractinia|LOC130654432
OG0002075	Hydra|LOC100210354	Hydractinia|LOC130630513
OG0002076	Hydra|LOC100198609	Hydractinia|LOC130649658
OG0002077	Hydra|LOC124819062, Hydra|LOC124811580, Hydra|LOC124814846, Hydra|LOC124807812, Hydra|LOC124807787, Hydra|LOC124806313	Hydractinia|LOC130642381
OG0002080	Hydra|LOC100207156	Hydractinia|LOC130662341
OG0002081	Hydra|LOC100202862	Hydractinia|LOC130642030, Hydractinia|LOC130642382
OG0002082	Hydra|LOC101240380	Hydractinia|LOC130635986
OG0002084	Hydra|LOC124816160	Hydractinia|LOC130630091, Hydractinia|LOC130623983, Hydractinia|LOC130629494, Hydractinia|LOC130613040, Hydractinia|LOC130613039, Hydractinia|LOC130623279
OG0002087	Hydra|LOC100209066	Hydractinia|LOC130638398, Hydractinia|LOC130636485
OG0002088	Hydra|LOC100213982	Hydractinia|LOC130623667
OG0002089	Hydra|LOC124816660, Hydra|LOC124808257, Hydra|LOC124815901	Hydractinia|LOC130623720
OG0002091	Hydra|LOC100212086	Hydractinia|LOC130653945, Hydractinia|LOC130653845, Hydractinia|LOC130653847
OG0002093	Hydra|LOC100200433	Hydractinia|LOC130628529
OG0002094	Hydra|LOC100201021	Hydractinia|LOC130641184, Hydractinia|LOC130640809, Hydractinia|LOC130614451
OG0002095	Hydra|LOC100209635	Hydractinia|LOC130649061
OG0002096	Hydra|LOC100202549	Hydractinia|LOC130636127, Hydractinia|LOC130636129, Hydractinia|LOC130636128, Hydractinia|LOC130636134
OG0002097	Hydra|LOC100213333	Hydractinia|LOC130628550, Hydractinia|LOC130628551
OG0002098	Hydra|LOC100215135	Hydractinia|LOC130640896, Hydractinia|LOC130640893
OG0002099	Hydra|LOC124815312	Hydractinia|LOC130655420, Hydractinia|LOC130633622
OG0002101	Hydra|LOC100207948	Hydractinia|LOC130655047, Hydractinia|LOC130641043
OG0002102	Hydra|LOC100207213, Hydra|LOC101234388	Hydractinia|LOC130641653, Hydractinia|LOC130644664, Hydractinia|LOC130644681, Hydractinia|LOC130641682
OG0002104	Hydra|LOC100197311	Hydractinia|LOC130654616
OG0002105	Hydra|LOC100200141	Hydractinia|LOC130644413
OG0002105	Hydra|LOC100200257	Hydractinia|LOC130647568
OG0002106	Hydra|LOC100208445	Hydractinia|LOC130636580
OG0002107	Hydra|LOC100200150	Hydractinia|LOC130646199, Hydractinia|LOC130644204
OG0002108	Hydra|LOC101236580	Hydractinia|LOC130622535, Hydractinia|LOC130629291, Hydractinia|LOC130629292
OG0002109	Hydra|LOC101239409, Hydra|LOC100207670, Hydra|LOC124805882	Hydractinia|LOC130646259, Hydractinia|LOC130644656, Hydractinia|LOC130644260, Hydractinia|LOC130614777
OG0002110	Hydra|LOC100201272	Hydractinia|LOC130622207
OG0002111	Hydra|LOC100212823	Hydractinia|LOC130655910
OG0002111	Hydra|LOC100198091, Hydra|LOC100214985	Hydractinia|LOC130624325
OG0002112	Hydra|LOC124813781, Hydra|LOC124811302, Hydra|LOC105847981, Hydra|LOC124815823, Hydra|LOC105848490	Hydractinia|LOC130654233, Hydractinia|LOC130648185
OG0002114	Hydra|LOC100204450	Hydractinia|LOC130635803, Hydractinia|LOC130635792
OG0002114	Hydra|LOC100212068	Hydractinia|LOC130636390
OG0002115	Hydra|LOC124805913, Hydra|LOC105846500	Hydractinia|LOC130614204
OG0002116	Hydra|LOC100208927	Hydractinia|LOC130646929
OG0002119	Hydra|LOC100202255	Hydractinia|LOC130655150
OG0002120	Hydra|LOC101237256, Hydra|LOC105847432, Hydra|LOC100208804	Hydractinia|LOC130630695, Hydractinia|LOC130630738
OG0002122	Hydra|LOC124813875, Hydra|LOC101236731, Hydra|LOC101237990	Hydractinia|LOC130657631, Hydractinia|LOC130647111, Hydractinia|LOC130623742, Hydractinia|LOC130657776
OG0002124	Hydra|LOC124815243	Hydractinia|LOC130640079, Hydractinia|LOC130656209
OG0002125	Hydra|LOC101237004	Hydractinia|LOC130630928
OG0002127	Hydra|LOC100213759	Hydractinia|LOC130640768, Hydractinia|LOC130641144
OG0002128	Hydra|LOC100213040, Hydra|LOC105850207	Hydractinia|LOC130653861
OG0002129	Hydra|LOC100205517	Hydractinia|LOC130655360
OG0002130	Hydra|LOC100200684	Hydractinia|LOC130644343
OG0002131	Hydra|LOC100213835	Hydractinia|LOC130636671
OG0002133	Hydra|LOC100201649, Hydra|LOC101239243	Hydractinia|LOC130642120
OG0002134	Hydra|LOC124818139	Hydractinia|LOC130628959, Hydractinia|LOC130646150, Hydractinia|LOC130646149, Hydractinia|LOC130648649, Hydractinia|LOC130628663
OG0002135	Hydra|LOC100209742	Hydractinia|LOC130613846
OG0002136	Hydra|LOC101236159	Hydractinia|LOC130645376
OG0002137	Hydra|LOC100209578	Hydractinia|LOC130628797, Hydractinia|LOC130629377, Hydractinia|LOC130629424
OG0002138	Hydra|LOC100202353	Hydractinia|LOC130644527, Hydractinia|LOC130644525
OG0002139	Hydra|LOC100207176	Hydractinia|LOC130621918
OG0002141	Hydra|LOC101236611	Hydractinia|LOC130612674
OG0002141	Hydra|LOC100207837	Hydractinia|LOC130613787
OG0002142	Hydra|LOC101235934	Hydractinia|LOC130649398
OG0002143	Hydra|LOC101239974	Hydractinia|LOC130653983, Hydractinia|LOC130653984, Hydractinia|LOC130653982
OG0002144	Hydra|LOC105844959, Hydra|LOC100208250	Hydractinia|LOC130613122
OG0002145	Hydra|LOC100201983	Hydractinia|LOC130614355
OG0002145	Hydra|LOC100210142	Hydractinia|LOC130614354
OG0002146	Hydra|LOC100205859	Hydractinia|LOC130656239
OG0002146	Hydra|LOC101238431, Hydra|LOC100198226	Hydractinia|LOC130645628
OG0002147	Hydra|LOC100208012	Hydractinia|LOC130636034
OG0002148	Hydra|LOC105845888, Hydra|LOC124805841, Hydra|LOC124817068	Hydractinia|LOC130624199, Hydractinia|LOC130623558, Hydractinia|LOC130623556, Hydractinia|LOC130656695
OG0002149	Hydra|LOC100205170	Hydractinia|LOC130648877
OG0002150	Hydra|LOC100199577	Hydractinia|LOC130648892, Hydractinia|LOC130648891
OG0002153	Hydra|LOC100211509	Hydractinia|LOC130621940
OG0002154	Hydra|LOC100200247	Hydractinia|LOC130644947, Hydractinia|LOC130641919
OG0002155	Hydra|LOC100202128	Hydractinia|LOC130630264, Hydractinia|LOC130630259
OG0002156	Hydra|LOC100211911	Hydractinia|LOC130642290, Hydractinia|LOC130639184
OG0002157	Hydra|LOC100207733	Hydractinia|LOC130626059
OG0002158	Hydra|LOC100201739	Hydractinia|LOC130625538
OG0002160	Hydra|LOC101241405	Hydractinia|LOC130625309, Hydractinia|LOC130625955, Hydractinia|LOC130625300
OG0002162	Hydra|LOC100204866	Hydractinia|LOC130640991
OG0002163	Hydra|LOC100207690	Hydractinia|LOC130655537, Hydractinia|LOC130654095, Hydractinia|LOC130654094
OG0002164	Hydra|LOC100212580	Hydractinia|LOC130645704, Hydractinia|LOC130645838
OG0002165	kazal2, kazal5, kazal1, kazal3, kazal4	Hydractinia|LOC130641809, Hydractinia|LOC130657313
OG0002167	Hydra|LOC124814631	Hydractinia|LOC130640955, Hydractinia|LOC130631146, Hydractinia|LOC130655996, Hydractinia|LOC130612852, Hydractinia|LOC130644295
OG0002168	Hydra|LOC124806255, Hydra|LOC105845709, Hydra|LOC124816043, Hydra|LOC101234718	Hydractinia|LOC130629764, Hydractinia|LOC130613554, Hydractinia|LOC130621262
OG0002175	Hydra|LOC101238112	Hydractinia|LOC130614820, Hydractinia|LOC130645137, Hydractinia|LOC130626121, Hydractinia|LOC130612170, Hydractinia|LOC130613820
OG0002196	Hydra|LOC105848659, Hydra|LOC124805894, Hydra|LOC124813811, Hydra|LOC105847536, Hydra|LOC105850220	Hydractinia|LOC130621700, Hydractinia|LOC130643085, Hydractinia|LOC130647216
OG0002198	Hydra|LOC124806742, Hydra|LOC124806293, Hydra|LOC124816165, Hydra|LOC124815872, Hydra|LOC124809556, Hydra|LOC124811932, Hydra|LOC124816066	Hydractinia|LOC130630211
OG0002200	Hydra|LOC100204771, Hydra|LOC124815992, Hydra|LOC124811299	Hydractinia|LOC130649431, Hydractinia|LOC130624235, Hydractinia|LOC130656705, Hydractinia|LOC130662399
OG0002203	Hydra|LOC124812441	Hydractinia|LOC130646948, Hydractinia|LOC130649945, Hydractinia|LOC130642267, Hydractinia|LOC130622149, Hydractinia|LOC130647881, Hydractinia|LOC130648034, Hydractinia|LOC130621271
OG0002204	Hydra|LOC100199101	Hydractinia|LOC130612488, Hydractinia|LOC130612552
OG0002205	Hydra|LOC100207212	Hydractinia|LOC130622060
OG0002205	Hydra|LOC100203077	Hydractinia|LOC130656613, Hydractinia|LOC130629606, Hydractinia|LOC130656612
OG0002206	Hydra|LOC105850584	Hydractinia|LOC130655069, Hydractinia|LOC130645122, Hydractinia|LOC130654902, Hydractinia|LOC130642254, Hydractinia|LOC130636006, Hydractinia|LOC130656936
OG0002207	Hydra|LOC105845210, Hydra|LOC101241025, Hydra|LOC124815012, Hydra|LOC105850205, Hydra|LOC105849475, Hydra|LOC101240924, Hydra|LOC105847992	Hydractinia|LOC130654663
OG0002209	Hydra|LOC100208249	Hydractinia|LOC130624292, Hydractinia|LOC130630079, Hydractinia|LOC130644934, Hydractinia|LOC130625687
OG0002210	Hydra|LOC101238350	Hydractinia|LOC130628883
OG0002213	Hydra|LOC101241528	Hydractinia|LOC130625208, Hydractinia|LOC130629750, Hydractinia|LOC130629760, Hydractinia|LOC130628561, Hydractinia|LOC130612886, Hydractinia|LOC130612291, Hydractinia|LOC130612371
OG0002214	Hydra|LOC124806708, Hydra|LOC124806368	Hydractinia|LOC130625916
OG0002215	Hydra|LOC100209958, Hydra|LOC100203196, Hydra|LOC105846882, Hydra|LOC101236829	Hydractinia|LOC130644497
OG0002283	Hydra|LOC100209737	Hydractinia|LOC130647365
OG0002284	Hydra|LOC100198107	Hydractinia|LOC130647322, Hydractinia|LOC130648118
OG0002285	Hydra|LOC100213935	Hydractinia|LOC130647049
OG0002287	Hydra|LOC100214214, Hydra|LOC100198713, Hydra|LOC100212760	Hydractinia|LOC130622223, Hydractinia|LOC130622224
OG0002288	Hydra|LOC124805774	Hydractinia|LOC130642027, Hydractinia|LOC130642024
OG0002289	Hydra|LOC101239547	Hydractinia|LOC130622221
OG0002291	Hydra|LOC105846998, Hydra|LOC105846994, Hydra|LOC101239029	Hydractinia|LOC130641299, Hydractinia|LOC130656943
OG0002293	Hydra|LOC100211547	Hydractinia|LOC130655424
OG0002295	Hydra|LOC100215643	Hydractinia|LOC130656838
OG0002295	Hydra|LOC105843146	Hydractinia|LOC130656499
OG0002296	hywnt5a	Hydractinia|LOC130654610
OG0002297	Hydra|LOC105843987	Hydractinia|LOC130655863, Hydractinia|LOC130655864
OG0002298	Hydra|LOC101239391	Hydractinia|LOC130655392
OG0002299	Hydra|LOC101241338	Hydractinia|LOC130644256, Hydractinia|LOC130644257, Hydractinia|LOC130646246
OG0002304	Hydra|LOC100203063, Hydra|LOC101237907	Hydractinia|LOC130656948
OG0002305	Hydra|LOC100215781, Hydra|LOC124810866	Hydractinia|LOC130640902, Hydractinia|LOC130640899
OG0002306	Hydra|LOC100199679	Hydractinia|LOC130653994
OG0002309	Hydra|LOC100214065	Hydractinia|LOC130636293
OG0002310	Hydra|LOC100203271, Hydra|LOC100199560	Hydractinia|LOC130635511, Hydractinia|LOC130635607
OG0002311	Hydra|LOC100206782, Hydra|LOC100208673	Hydractinia|LOC130636780, Hydractinia|LOC130636802
OG0002312	Hydra|LOC105845238	Hydractinia|LOC130635584, Hydractinia|LOC130635520
OG0002314	Hydra|LOC100210864	Hydractinia|LOC130641154, Hydractinia|LOC130640783
OG0002315	Hydra|LOC100212713	Hydractinia|LOC130641161, Hydractinia|LOC130640785
OG0002316	Hydra|LOC100205666	Hydractinia|LOC130640946
OG0002318	Hydra|LOC124805808, Hydra|LOC124813707, Hydra|LOC105849538	Hydractinia|LOC130614485
OG0002320	Hydra|LOC100205272, Hydra|LOC100207973	Hydractinia|LOC130641878, Hydractinia|LOC130641784
OG0002322	Hydra|LOC100205887	Hydractinia|LOC130634275
OG0002323	Hydra|LOC101241070	Hydractinia|LOC130656219, Hydractinia|LOC130631194
OG0002324	Hydra|LOC100197784	Hydractinia|LOC130655241, Hydractinia|LOC130655286
OG0002325	Hydra|LOC100202524	Hydractinia|LOC130647648
OG0002327	Hydra|LOC100212716	Hydractinia|LOC130648353
OG0002328	Hydra|LOC100207959, Hydra|LOC100202650	Hydractinia|LOC130642584, Hydractinia|LOC130639604
OG0002331	Hydra|LOC100215942	Hydractinia|LOC130612594
OG0002331	Hydra|LOC100212285	Hydractinia|LOC130656472
OG0002332	Hydra|LOC100200144	Hydractinia|LOC130647105, Hydractinia|LOC130647106
OG0002333	Hydra|LOC100206683	Hydractinia|LOC130647126
OG0002334	Hydra|LOC100203227	Hydractinia|LOC130622024
OG0002335	Hydra|LOC101235215	Hydractinia|LOC130613114, Hydractinia|LOC130662400
OG0002336	Hydra|LOC101237567, Hydra|LOC100208556	Hydractinia|LOC130647147, Hydractinia|LOC130647148
