Orthogroup	longest_isoform_HydraProteins	longest_isoform_NematostellaProteins
OG0002775	Hydra|LOC101234501	Nematostella|LOC5517171
OG0002776	Hydra|LOC105845526	Nematostella|LOC5518327
OG0002778	Hydra|LOC100206019, Hydra|LOC100210950	Nematostella|LOC5515539
OG0002779	Hydra|LOC100205411	Nematostella|LOC5500875, Nematostella|LOC5508772
OG0002780	Hydra|LOC100206878	Nematostella|LOC5514869
OG0002783	Hydra|LOC100215030	Nematostella|LOC5513012, Nematostella|LOC5519582
OG0002784	Hydra|LOC100213774	Nematostella|LOC5506649, Nematostella|LOC5511627
OG0002785	Hydra|LOC101234344, Hydra|LOC105843748, Hydra|LOC101238333	Nematostella|LOC116601899
OG0002786	Hydra|LOC100212928	Nematostella|LOC5514107
OG0002787	Hydra|LOC105849534	Nematostella|LOC5517036, Nematostella|LOC5502641
OG0002789	Hydra|LOC100202217	Nematostella|LOC116615981
OG0002790	Hydra|LOC100202859, Hydra|LOC101240236	Nematostella|LOC5515794
OG0002791	Hydra|LOC100204562	Nematostella|LOC5509545
OG0002792	Hydra|LOC100197595	Nematostella|LOC5511131
OG0002793	Hydra|LOC101237539	Nematostella|LOC5519032
OG0002794	Hydra|LOC105850454	Nematostella|LOC116603144, Nematostella|LOC5510496
OG0002796	Hydra|LOC100199338	Nematostella|LOC5509622
OG0002797	Hydra|LOC124807920, Hydra|LOC124807921	Nematostella|LOC116604300
OG0002798	Hydra|LOC105844981, Hydra|LOC101234937, Hydra|LOC100213163	Nematostella|LOC5506290
OG0002799	Hydra|LOC100205211	Nematostella|LOC125556775, Nematostella|LOC5522393
OG0002800	Hydra|LOC105845892	Nematostella|LOC5513039, Nematostella|LOC5506879, Nematostella|LOC5516795, Nematostella|LOC5516029
OG0002801	Hydra|LOC100205748	Nematostella|LOC116619354, Nematostella|LOC5500297, Nematostella|LOC116610286
OG0002802	Hydra|LOC101241040	Nematostella|LOC5521989, Nematostella|LOC5521970
OG0002803	Hydra|LOC100202861	Nematostella|LOC5508247
OG0002805	Hydra|LOC100204404	Nematostella|LOC5509839
OG0002806	Hydra|LOC100209448	Nematostella|LOC5521088
OG0002807	Hydra|LOC100204303	Nematostella|LOC5521546, Nematostella|LOC116613495, Nematostella|LOC5514814
OG0002808	Hydra|LOC100201385	Nematostella|LOC5507831
OG0002809	Hydra|LOC100198350, Hydra|LOC100214971, Hydra|LOC100204899	Nematostella|LOC5500863
OG0002810	Hydra|LOC100205900, Hydra|LOC124807980	Nematostella|LOC116618533
OG0002811	Hydra|LOC100215085	Nematostella|LOC125556776, Nematostella|LOC116617557
OG0002812	Hydra|LOC100201106	Nematostella|LOC5512020, Nematostella|LOC5507629, Nematostella|LOC5505731, Nematostella|LOC5512566
OG0002815	Hydra|LOC100197067	Nematostella|LOC5516164
OG0002816	Hydra|LOC100202881	Nematostella|LOC5512902
OG0002817	Hydra|LOC100215572	Nematostella|LOC5518010
OG0002818	Hydra|LOC105848216, Hydra|LOC101234557	Nematostella|LOC5504106
OG0002819	Hydra|LOC100214787	Nematostella|LOC5509057
OG0002820	Hydra|LOC100205307	Nematostella|LOC5516131, Nematostella|LOC5502484
OG0002821	Hydra|LOC100199846	Nematostella|LOC5518481
OG0002822	Hydra|LOC100205158	Nematostella|LOC5505388
OG0002823	Hydra|LOC124812367, Hydra|LOC105845275, Hydra|LOC100208716	Nematostella|LOC5505352
OG0002824	Hydra|LOC100215049	Nematostella|LOC5512877, Nematostella|LOC5514673
OG0002825	Hydra|LOC100214148	Nematostella|LOC5501789
OG0002827	Hydra|LOC100205183	Nematostella|LOC116609597, Nematostella|LOC125557334, Nematostella|LOC5502122
OG0002828	Hydra|LOC100215276	Nematostella|LOC5519788
OG0002831	Hydra|LOC105848317	Nematostella|LOC5505996
OG0002846	Hydra|LOC100199445, Hydra|LOC100209438	Nematostella|LOC5511679
OG0002850	Hydra|LOC100200591, Hydra|LOC100206369	Nematostella|LOC5515427
OG0002858	Hydra|LOC100214554	Nematostella|LOC5505087, Nematostella|LOC5505086, Nematostella|LOC5505088, Nematostella|LOC5505085
OG0002862	Hydra|LOC124815498, Hydra|LOC124812702, Hydra|LOC105850800, Hydra|LOC105844514, Hydra|LOC124805776, Hydra|LOC124810183	Nematostella|LOC116617327
OG0002866	Hydra|LOC124817125	Nematostella|LOC116618860
OG0002867	Hydra|LOC100198701	Nematostella|LOC5512785
OG0002871	Hydra|LOC100215991	Nematostella|LOC125568408, Nematostella|LOC125568355, Nematostella|LOC116620176, Nematostella|LOC116620175
OG0002877	Hydra|LOC100215412, Hydra|LOC100205865, Hydra|LOC100197222	Nematostella|LOC5516968
OG0002887	Hydra|LOC101239907	Nematostella|LOC5515920
OG0002966	Hydra|LOC100200553	Nematostella|LOC5508113
OG0002968	Hydra|LOC101235541	Nematostella|LOC5512528, Nematostella|LOC5518376
OG0002969	Hydra|LOC100199674	Nematostella|LOC5504645
OG0002970	Hydra|LOC100212358	Nematostella|LOC116612559
OG0002971	Hydra|LOC124808578, Hydra|LOC100215268	Nematostella|LOC5522269
OG0002972	Hydra|LOC101240464	Nematostella|LOC5521315
OG0002974	Hydra|LOC101238194	Nematostella|LOC5521703
OG0002975	Hydra|LOC100211900	Nematostella|LOC5506618
OG0002976	Hydra|LOC100201986	Nematostella|LOC116613937
OG0002977	Hydra|LOC101239838	Nematostella|LOC5514423
OG0002981	Hydra|LOC100213852	Nematostella|LOC5519165
OG0002982	Hydra|LOC100199842	Nematostella|LOC5513097
OG0002983	Hydra|LOC100198593	Nematostella|LOC116617547
OG0002984	Hydra|LOC100206804	Nematostella|LOC5504986, Nematostella|LOC5503017
OG0002985	Hydra|LOC100204927	Nematostella|LOC5502946
OG0002986	Hydra|LOC100202980	Nematostella|LOC5507268
OG0002987	Hydra|LOC101241113	Nematostella|LOC5515019
OG0002988	Hydra|LOC100202873	Nematostella|LOC5508604
OG0002989	Hydra|LOC100192226	Nematostella|LOC5521984
OG0002990	Hydra|LOC105843116	Nematostella|LOC116602257
OG0002991	Hydra|LOC100205121, Hydra|LOC101235807	Nematostella|LOC5518865
OG0002993	Hydra|LOC100200448	Nematostella|LOC5511342
OG0002996	Hydra|LOC101240139	Nematostella|LOC5518920
OG0002997	Hydra|LOC100204445	Nematostella|LOC5520806
OG0002998	Hydra|LOC100199474	Nematostella|LOC5511047
OG0002999	Hydra|LOC124818399	Nematostella|LOC5514538
OG0003000	Hydra|LOC100205537	Nematostella|LOC5512603
OG0003001	Hydra|LOC100209325	Nematostella|LOC5522324, Nematostella|LOC5522209
OG0003003	Hydra|LOC100199307, Hydra|LOC105848638	Nematostella|LOC5513603
OG0003004	Hydra|LOC100205723	Nematostella|LOC5514559
OG0003005	Hydra|LOC100211567	Nematostella|LOC5516397
OG0003006	Hydra|LOC100199039, Hydra|LOC100209776	Nematostella|LOC5516421
OG0003007	Hydra|LOC100204452	Nematostella|LOC5513414
OG0003008	Hydra|LOC100210459, Hydra|LOC100199376	Nematostella|LOC5513344
OG0003009	Hydra|LOC100202271	Nematostella|LOC5505180
OG0003010	Hydra|LOC124812306, Hydra|LOC105843433	Nematostella|LOC5503479
OG0003013	Hydra|LOC101236285	Nematostella|LOC116611862
OG0003016	Hydra|LOC100203713	Nematostella|LOC5508445
OG0003017	Hydra|LOC100210375	Nematostella|LOC5513857
OG0003021	Hydra|LOC100198230	Nematostella|LOC116612473
OG0003023	Hydra|LOC100201365	Nematostella|LOC5519406
OG0003024	Hydra|LOC100205729	Nematostella|LOC5518221
OG0003025	Hydra|LOC101236226	Nematostella|LOC5517935
OG0003026	Hydra|LOC101239705	Nematostella|LOC5505205
OG0003027	Hydra|LOC100197787	Nematostella|LOC5503362
OG0003028	Hydra|LOC100201341	Nematostella|LOC5515811
OG0003031	Hydra|LOC100199475	Nematostella|LOC5521709
OG0003032	Hydra|LOC100206443	Nematostella|LOC5508900
OG0003033	Hydra|LOC100200189	Nematostella|LOC116620132
OG0003034	Hydra|LOC100209845	Nematostella|LOC5517479
OG0003035	Hydra|LOC100202755	Nematostella|LOC5510880
OG0003036	Hydra|LOC100205710, Hydra|LOC105845201	Nematostella|LOC5518586
OG0003037	Hydra|LOC100215871, Hydra|LOC124813722	Nematostella|LOC5512239
OG0003039	Hydra|LOC100198380	Nematostella|LOC5515209
OG0003040	Hydra|LOC105844319	Nematostella|LOC5521313
OG0003041	Hydra|LOC101241822	Nematostella|LOC5517544
OG0003042	Hydra|LOC101239941	Nematostella|LOC5521847
OG0003044	Hydra|LOC100214847, Hydra|LOC100206138	Nematostella|LOC5512622
OG0003045	Hydra|LOC100215392	Nematostella|LOC5506150
OG0003047	Hydra|LOC101240325	Nematostella|LOC5517007
OG0003048	Hydra|LOC100215302	Nematostella|LOC5514241
OG0003049	Hydra|LOC100203079	Nematostella|LOC5514209
OG0003050	Hydra|LOC100205833	Nematostella|LOC5510916
OG0003051	Hydra|LOC100206079	Nematostella|LOC5516080
OG0003052	Hydra|LOC100205603	Nematostella|LOC5503436
OG0003053	Hydra|LOC101236017	Nematostella|LOC5520136
OG0003054	Hydra|LOC101235355	Nematostella|LOC5501773
OG0003055	Hydra|LOC100205249	Nematostella|LOC116611653
OG0003056	Hydra|LOC100210997	Nematostella|LOC5521168
OG0003057	Hydra|LOC100199077	Nematostella|LOC5509097
OG0003058	Hydra|LOC100214561	Nematostella|LOC116610661
OG0003062	Hydra|LOC100210391	Nematostella|LOC5508291, Nematostella|LOC5520505
OG0003063	Hydra|LOC100208319	Nematostella|LOC5516945
OG0003064	Hydra|LOC100205095	Nematostella|LOC5508866
OG0003066	Hydra|LOC100205364	Nematostella|LOC5513067
OG0003068	Hydra|LOC100199799	Nematostella|LOC5521978
OG0003069	Hydra|LOC100214900	Nematostella|LOC5504635
OG0003070	Hydra|LOC100215515	Nematostella|LOC5513665
OG0003072	Hydra|LOC101239069	Nematostella|LOC116605834
OG0003073	Hydra|LOC100208059	Nematostella|LOC5507639
OG0003074	Hydra|LOC100206131	Nematostella|LOC5507842
OG0003075	Hydra|LOC105848108	Nematostella|LOC116619823
OG0003076	Hydra|LOC100211205	Nematostella|LOC5504591
OG0003077	Hydra|LOC100198815	Nematostella|LOC5513038
OG0003078	Hydra|LOC100204990, Hydra|LOC100206464	Nematostella|LOC5507090
OG0003080	Hydra|LOC100215878	Nematostella|LOC5501835
OG0003081	Hydra|LOC100206009	Nematostella|LOC5515969
OG0003082	Hydra|LOC105843465	Nematostella|LOC5507458
OG0003083	Hydra|LOC105844168	Nematostella|LOC5519805
OG0003084	Hydra|LOC101240038	Nematostella|LOC5501970
OG0003085	Hydra|LOC100205504	Nematostella|LOC5507220
OG0003086	Hydra|LOC100209839	Nematostella|LOC5504992
OG0003087	Hydra|LOC100214019	Nematostella|LOC5503040
OG0003088	Hydra|LOC100213650	Nematostella|LOC5512004
OG0003089	Hydra|LOC100214001	Nematostella|LOC5511918
OG0003090	Hydra|LOC100210733	Nematostella|LOC5525253, Nematostella|LOC5511400
OG0003092	Hydra|LOC100203509	Nematostella|LOC116618443
OG0003093	Hydra|LOC100215352	Nematostella|LOC5512368
OG0003094	Hydra|LOC100209141, Hydra|LOC100207380	Nematostella|LOC5515418
OG0003095	Hydra|LOC100209004	Nematostella|LOC5509925
OG0003096	Hydra|LOC100205500	Nematostella|LOC5515941
OG0003098	Hydra|LOC100215656	Nematostella|LOC5504892
OG0003099	Hydra|LOC100214879	Nematostella|LOC5521000
OG0003100	Hydra|LOC101237447	Nematostella|LOC5521009
OG0003101	Hydra|LOC100203792	Nematostella|LOC5515313
OG0003102	Hydra|LOC100206352	Nematostella|LOC5501672
OG0003104	Hydra|LOC101236372	Nematostella|LOC5510978
OG0003105	Hydra|LOC100206945	Nematostella|LOC5515389
OG0003106	Hydra|LOC100209554	Nematostella|LOC5516603
OG0003107	Hydra|LOC100202100	Nematostella|LOC116614105
OG0003108	Hydra|LOC100209631	Nematostella|LOC5512745
OG0003112	Hydra|LOC100197986	Nematostella|LOC5506151
OG0003113	Hydra|LOC100205772	Nematostella|LOC5514581
OG0003115	Hydra|LOC100201913	Nematostella|LOC116604116, Nematostella|LOC125568322
OG0003116	Hydra|LOC100205946	Nematostella|LOC5511217
OG0003117	Hydra|LOC100212974	Nematostella|LOC5517671
OG0003118	Hydra|LOC100198693	Nematostella|LOC5517672
OG0003119	Hydra|LOC100209341	Nematostella|LOC5515258
OG0003121	Hydra|LOC100207220	Nematostella|LOC5510491
OG0003123	Hydra|LOC105844161	Nematostella|LOC116611735
OG0003124	Hydra|LOC101236913	Nematostella|LOC116614602
OG0003126	Hydra|LOC100214132	Nematostella|LOC5516824
OG0003127	Hydra|LOC100199361	Nematostella|LOC116616645, Nematostella|LOC125556791
OG0003129	Hydra|LOC105846693	Nematostella|LOC5520400
OG0003130	Hydra|LOC100213442	Nematostella|LOC5519384
OG0003131	Hydra|LOC101240406	Nematostella|LOC5502113
OG0003132	Hydra|LOC105848339	Nematostella|LOC116619378
OG0003133	Hydra|LOC101236029	Nematostella|LOC116610690
OG0003137	Hydra|LOC100202007	Nematostella|LOC5507003
OG0003138	Hydra|LOC100198902	Nematostella|LOC5502187
OG0003139	Hydra|LOC100200051	Nematostella|LOC5517137
OG0003140	Hydra|LOC124808390, Hydra|LOC100213467	Nematostella|LOC5508984
OG0003141	Hydra|LOC100210656	Nematostella|LOC5501305
OG0003142	Hydra|LOC100200567	Nematostella|LOC5512988, Nematostella|LOC5512092
OG0003144	Hydra|LOC100214671	Nematostella|LOC5518160
OG0003145	Hydra|LOC100206687	Nematostella|LOC5513966
OG0003146	Hydra|LOC100213606	Nematostella|LOC116601470
OG0003148	Hydra|LOC100211674	Nematostella|LOC5503894
OG0003149	Hydra|LOC100203604	Nematostella|LOC5516272
OG0003150	Hydra|LOC101234474	Nematostella|LOC5502884
OG0003151	Hydra|LOC100203131	Nematostella|LOC5519426
OG0003152	Hydra|LOC100204363	Nematostella|LOC5510874, Nematostella|LOC5510871
OG0003153	Hydra|LOC100197497	Nematostella|LOC5518028
OG0003155	Hydra|LOC105847408	Nematostella|LOC5503392
OG0003156	Hydra|LOC100212290	Nematostella|LOC5520300
OG0003157	Hydra|LOC100198058	Nematostella|LOC5512835
OG0003158	Hydra|LOC100205909	Nematostella|LOC5509939, Nematostella|LOC5509444, Nematostella|LOC5512401
OG0003159	Hydra|LOC100197818	Nematostella|LOC5504480
OG0003160	Hydra|LOC101236940	Nematostella|LOC125560704, Nematostella|LOC5506091
OG0003161	Hydra|LOC105844765	Nematostella|LOC116616294
OG0003162	Hydra|LOC100197199	Nematostella|LOC5516376
OG0003163	Hydra|LOC100209144	Nematostella|LOC5504108
OG0003164	Hydra|LOC100203223	Nematostella|LOC5520599
OG0003165	Hydra|LOC100208668	Nematostella|LOC5500410
OG0003166	Hydra|LOC100201265	Nematostella|LOC5519893
OG0003167	Hydra|LOC100215627	Nematostella|LOC5517667
OG0003168	Hydra|LOC100214046	Nematostella|LOC5517817
OG0003169	Hydra|LOC100207216	Nematostella|LOC5511209
OG0003170	Hydra|LOC100205584	Nematostella|LOC5518462
OG0003171	Hydra|LOC100197612	Nematostella|LOC5514136
OG0003172	Hydra|LOC100207635	Nematostella|LOC5510078
OG0003173	Hydra|LOC100204270	Nematostella|LOC5507640
OG0003174	Hydra|LOC100200596	Nematostella|LOC5511897
OG0003175	Hydra|LOC100202184	Nematostella|LOC5509924
OG0003176	Hydra|LOC100201027	Nematostella|LOC5508359, Nematostella|LOC5508371
OG0003177	Hydra|LOC100206533	Nematostella|LOC5520924
OG0003178	Hydra|LOC100201757	Nematostella|LOC5521365
OG0003180	Hydra|LOC100199635	Nematostella|LOC5512038
OG0003181	Hydra|LOC105844611	Nematostella|LOC5497271
OG0003182	Hydra|LOC100199052	Nematostella|LOC5516213
OG0003187	Hydra|LOC100208182	Nematostella|LOC5518415
OG0003188	Hydra|LOC100212139	Nematostella|LOC5521067
OG0003189	Hydra|LOC100203339	Nematostella|LOC5500035
OG0003190	Hydra|LOC100208741	Nematostella|LOC5514277
OG0003191	Hydra|LOC105845370	Nematostella|LOC5520974
OG0003192	Hydra|LOC124809445	Nematostella|LOC5508225
OG0003193	Hydra|LOC100199152	Nematostella|LOC116613690
OG0003194	Hydra|LOC100207083	Nematostella|LOC5503934
OG0003195	Hydra|LOC101235374	Nematostella|LOC116612236
OG0003196	Hydra|LOC100203011	Nematostella|LOC5515522
OG0003197	Hydra|LOC100200373	Nematostella|LOC5503229
OG0003199	Hydra|LOC100200480	Nematostella|LOC116603472
OG0003200	Hydra|LOC100215891	Nematostella|LOC5503043
OG0003201	Hydra|LOC100198837	Nematostella|LOC5518164
OG0003203	Hydra|LOC101240403	Nematostella|LOC116608840
OG0003204	Hydra|LOC100197083	Nematostella|LOC5504731
OG0003205	Hydra|LOC100202382, Hydra|LOC100198326	Nematostella|LOC5512609
OG0003206	Hydra|LOC100199042	Nematostella|LOC5514567
OG0003207	Hydra|LOC100207310	Nematostella|LOC5518008
OG0003208	Hydra|LOC100212922	Nematostella|LOC5508467
OG0003209	Hydra|LOC100212864	Nematostella|LOC5515466
OG0003210	Hydra|LOC100199450	Nematostella|LOC5517324
OG0003211	Hydra|LOC101237853	Nematostella|LOC5511603
OG0003212	Hydra|LOC105845902	Nematostella|LOC116614909
OG0003213	Hydra|LOC101238117	Nematostella|LOC5505371
OG0003214	Hydra|LOC100202246	Nematostella|LOC5514167
OG0003215	Hydra|LOC100205771	Nematostella|LOC5511631
OG0003216	Hydra|LOC100208534	Nematostella|LOC5517771
OG0003218	Hydra|LOC100197368	Nematostella|LOC5511833
OG0003219	Hydra|LOC101240709	Nematostella|LOC5517532
OG0003220	Hydra|LOC100212369	Nematostella|LOC5505030
OG0003221	Hydra|LOC100208238	Nematostella|LOC5502457
OG0003222	Hydra|LOC100198000	Nematostella|LOC5504050, Nematostella|LOC5513159
OG0003223	Hydra|LOC100209224	Nematostella|LOC5506200
OG0003225	Hydra|LOC100206124	Nematostella|LOC5505814, Nematostella|LOC116613576
OG0003226	Hydra|LOC100207014	Nematostella|LOC5520291
OG0003227	Hydra|LOC100208029	Nematostella|LOC116619875, Nematostella|LOC5515387, Nematostella|LOC5519112
OG0003228	Hydra|LOC100211656	Nematostella|LOC5519049
OG0003229	Hydra|LOC101241434	Nematostella|LOC5508486
OG0003230	Hydra|LOC100213974	Nematostella|LOC5505210
OG0003231	Hydra|LOC100207293	Nematostella|LOC5507313
OG0003233	Hydra|LOC100204515	Nematostella|LOC5511617
OG0003234	Hydra|LOC100198919	Nematostella|LOC5517309
OG0003235	Hydra|LOC100205556	Nematostella|LOC5503335
OG0003236	Hydra|LOC100206119	Nematostella|LOC5508985
OG0003237	Hydra|LOC105846337	Nematostella|LOC5509437
OG0003238	Hydra|LOC100207873	Nematostella|LOC5507656
OG0003239	Hydra|LOC100213005	Nematostella|LOC5506076, Nematostella|LOC5501288
OG0003240	Hydra|LOC100214852	Nematostella|LOC116620819
OG0003241	Hydra|LOC100206939	Nematostella|LOC5519521
OG0003243	Hydra|LOC100215312	Nematostella|LOC5511657
OG0003244	Hydra|LOC101235974	Nematostella|LOC5502887
OG0003245	Hydra|LOC100206229	Nematostella|LOC5502188
OG0003246	Hydra|LOC100204902, Hydra|LOC100200610	Nematostella|LOC5520567
OG0003247	Hydra|LOC100197386	Nematostella|LOC5504196
OG0003248	Hydra|LOC101235244	Nematostella|LOC5505806
OG0003249	Hydra|LOC100212474	Nematostella|LOC116621164, Nematostella|LOC5510191
OG0003250	Hydra|LOC100209604	Nematostella|LOC116612493
OG0003251	Hydra|LOC100208601	Nematostella|LOC5503823
OG0003252	Hydra|LOC105846261	Nematostella|LOC5512675
OG0003253	Hydra|LOC100213529	Nematostella|LOC5514000
OG0003254	Hydra|LOC105843836	Nematostella|LOC116612235
OG0003255	Hydra|LOC101240275	Nematostella|LOC5507167
OG0003256	Hydra|LOC100200342	Nematostella|LOC5506638
OG0003257	Hydra|LOC100210792	Nematostella|LOC5518021
OG0003259	Hydra|LOC100197477	Nematostella|LOC5519036
OG0003260	Hydra|LOC100210719	Nematostella|LOC5502425
OG0003261	Hydra|LOC101239761	Nematostella|LOC5515649
OG0003262	Hydra|LOC100198100	Nematostella|LOC5521526
OG0003264	Hydra|LOC105845946	Nematostella|LOC5521798
OG0003265	Hydra|LOC100204506	Nematostella|LOC5508643
OG0003266	Hydra|LOC100206670	Nematostella|LOC5521743
OG0003267	Hydra|LOC100212949	Nematostella|LOC5521801, Nematostella|LOC116618652
OG0003268	Hydra|LOC100207627	Nematostella|LOC5508634
OG0003270	Hydra|LOC100197308	Nematostella|LOC116617785
OG0003271	Hydra|LOC105843287	Nematostella|LOC116616142
OG0003274	Hydra|LOC105843191, Hydra|LOC105846382	Nematostella|LOC5502722
OG0003275	Hydra|LOC100206467	Nematostella|LOC5502564
OG0003276	Hydra|LOC101238352	Nematostella|LOC5504595
OG0003277	Hydra|LOC100204979	Nematostella|LOC116610614
OG0003278	Hydra|LOC101241111	Nematostella|LOC5503426
OG0003279	Hydra|LOC101235897, Hydra|LOC100199389	Nematostella|LOC5520770
OG0003280	Hydra|LOC100209787	Nematostella|LOC5518015
OG0003281	Hydra|LOC100205580, Hydra|LOC100203420	Nematostella|LOC5510175
OG0003282	Hydra|LOC100209282	Nematostella|LOC5519443
OG0003286	Hydra|LOC100213577	Nematostella|LOC116601534
OG0003287	Hydra|LOC101239718	Nematostella|LOC116611689, Nematostella|LOC5516199
OG0003288	Hydra|LOC100209356	Nematostella|LOC5501576
OG0003289	Hydra|LOC100212002, Hydra|LOC105844435	Nematostella|LOC5520947
OG0003290	Hydra|LOC101236342	Nematostella|LOC5519308
OG0003291	Hydra|LOC100214140	Nematostella|LOC5503189
OG0003292	Hydra|LOC100213698	Nematostella|LOC5516236
OG0003293	Hydra|LOC101241279	Nematostella|LOC5499956
OG0003294	Hydra|LOC101240343	Nematostella|LOC5515267
OG0003295	Hydra|LOC100198607	Nematostella|LOC5508363
OG0003296	Hydra|LOC100213911	Nematostella|LOC5516656
OG0003297	Hydra|LOC105843117	Nematostella|LOC5513850
OG0003298	Hydra|LOC100200906	Nematostella|LOC5501339, Nematostella|LOC5522217
OG0003300	Hydra|LOC100209757	Nematostella|LOC5517625
OG0003301	Hydra|LOC101236458	Nematostella|LOC116612526, Nematostella|LOC5504939
OG0003302	Hydra|LOC124805766	Nematostella|LOC5517192
OG0003303	Hydra|LOC100197711	Nematostella|LOC5514334
OG0003304	Hydra|LOC101236058	Nematostella|LOC5512911, Nematostella|LOC5520070
OG0003306	Hydra|LOC100197539	Nematostella|LOC5520582
OG0003307	Hydra|LOC100201149	Nematostella|LOC116616810
OG0003309	Hydra|LOC100214525	Nematostella|LOC116618469
OG0003310	Hydra|LOC101235737	Nematostella|LOC5511288
OG0003311	Hydra|LOC100210204	Nematostella|LOC125567887, Nematostella|LOC5519837
OG0003312	Hydra|LOC100208131	Nematostella|LOC5519313
OG0003315	Hydra|LOC100205597	Nematostella|LOC5519044
OG0003316	Hydra|LOC100215212	Nematostella|LOC5506669
OG0003317	Hydra|LOC101236770	Nematostella|LOC5510360
OG0003319	Hydra|LOC101234582	Nematostella|LOC5521230
OG0003320	Hydra|LOC105846942	Nematostella|LOC5515523
OG0003321	Hydra|LOC100200828	Nematostella|LOC5514691
OG0003322	Hydra|LOC100214734	Nematostella|LOC5505262
OG0003323	Hydra|LOC100211253	Nematostella|LOC5505267, Nematostella|LOC5520938
OG0003324	Hydra|LOC100200075	Nematostella|LOC116605103
OG0003325	Hydra|LOC100211022	Nematostella|LOC5509572
OG0003326	Hydra|LOC101237927	Nematostella|LOC5511524
OG0003327	Hydra|LOC100198744	Nematostella|LOC5514322
OG0003328	Hydra|LOC100201758	Nematostella|LOC5508480
OG0003330	Hydra|LOC100201610	Nematostella|LOC5504462, Nematostella|LOC116612139
OG0003331	Hydra|LOC100199427	Nematostella|LOC5508205
OG0003332	Hydra|LOC100198486	Nematostella|LOC5501352
OG0003333	Hydra|LOC100202566	Nematostella|LOC5501661
OG0003334	Hydra|LOC100208757	Nematostella|LOC5510937
OG0003336	Hydra|LOC100212987	Nematostella|LOC116612446, Nematostella|LOC116612445
OG0003337	Hydra|LOC100205919	Nematostella|LOC5513275
OG0003339	Hydra|LOC100211959	Nematostella|LOC5521901
OG0003340	Hydra|LOC100207275	Nematostella|LOC5521884
OG0003341	Hydra|LOC100206042	Nematostella|LOC5513599
OG0003342	Hydra|LOC100210081	Nematostella|LOC5520992, Nematostella|LOC5518653
OG0003345	Hydra|LOC100213880	Nematostella|LOC5510416
OG0003346	Hydra|LOC100210698	Nematostella|LOC5504736
OG0003347	Hydra|LOC101235988	Nematostella|LOC5513813, Nematostella|LOC5515046
OG0003349	Hydra|LOC101241018	Nematostella|LOC5520743, Nematostella|LOC125560846
OG0003350	Hydra|LOC100206299	Nematostella|LOC5513852
OG0003352	Hydra|LOC100208898	Nematostella|LOC5518928
OG0003353	Hydra|LOC100205691	Nematostella|LOC5519298, Nematostella|LOC5515223
OG0003354	Hydra|LOC100198387	Nematostella|LOC5515290
OG0003355	Hydra|LOC100213556, Hydra|LOC100202267	Nematostella|LOC5516832
OG0003356	Hydra|LOC100204008	Nematostella|LOC5514479
OG0003357	Hydra|LOC100215065	Nematostella|LOC116612347
OG0003359	Hydra|LOC105848038	Nematostella|LOC5504339
OG0003360	Hydra|LOC100212075	Nematostella|LOC5521427
OG0003361	Hydra|LOC100215837	Nematostella|LOC5503967
OG0003362	Hydra|LOC100209748	Nematostella|LOC116612213, Nematostella|LOC125562993
OG0003363	Hydra|LOC100199343	Nematostella|LOC116616585
OG0003365	Hydra|LOC100199440	Nematostella|LOC5512845
OG0003366	Hydra|LOC105846686	Nematostella|LOC5516813
OG0003367	Hydra|LOC105847063	Nematostella|LOC5502521
OG0003368	Hydra|LOC101234503	Nematostella|LOC5510105
OG0003369	Hydra|LOC100214721	Nematostella|LOC5511765
OG0003372	Hydra|LOC100203495	Nematostella|LOC5502550
OG0003373	Hydra|LOC100214994	Nematostella|LOC5508724
OG0003375	Hydra|LOC101240567	Nematostella|LOC116618306
OG0003376	Hydra|LOC105843925	Nematostella|LOC5522171
OG0003377	Hydra|LOC100213247	Nematostella|LOC5521384
OG0003378	Hydra|LOC100200975	Nematostella|LOC5519883
OG0003379	Hydra|LOC100205821	Nematostella|LOC5520993
OG0003380	Hydra|LOC100215724	Nematostella|LOC5505400
OG0003382	Hydra|LOC100213597	Nematostella|LOC5503011
OG0003384	Hydra|LOC100197698	Nematostella|LOC5514983
OG0003389	Hydra|LOC100205640, Hydra|LOC100200997	Nematostella|LOC116617421
OG0003390	rfc1	Nematostella|LOC5503757
OG0003391	Hydra|LOC100202105	Nematostella|LOC5504989
OG0003392	Hydra|LOC100213888	Nematostella|LOC5504389
OG0003393	Hydra|LOC100203648	Nematostella|LOC5511448
OG0003394	Hydra|LOC101239380	Nematostella|LOC5505450, Nematostella|LOC5498958
OG0003395	Hydra|LOC100210412	Nematostella|LOC5511847
OG0003397	Hydra|LOC105844548	Nematostella|LOC5521487
OG0003398	Hydra|LOC100209354	Nematostella|LOC5505885
OG0003400	Hydra|LOC100215405	Nematostella|LOC5515860
OG0003401	Hydra|LOC101237497	Nematostella|LOC5502644
OG0003402	Hydra|LOC100205039	Nematostella|LOC116614733
OG0003403	Hydra|LOC124812393, Hydra|LOC100202776	Nematostella|LOC5521531
OG0003404	Hydra|LOC100202661	Nematostella|LOC5511595
OG0003406	Hydra|LOC100207593	Nematostella|LOC5500936
OG0003407	Hydra|LOC101237755	Nematostella|LOC5509952
OG0003408	Hydra|LOC100201729	Nematostella|LOC5521227
OG0003409	Hydra|LOC101237112	Nematostella|LOC5508476
OG0003410	Hydra|LOC100200314	Nematostella|LOC5506916
