Orthogroup	longest_isoform_HydraProteins	longest_isoform_ClytiaProteins
OG0001075	Hydra|LOC100201231	Clytia|LOC_041711, Clytia|LOC_041705
OG0001075	Hydra|LOC100198320	Clytia|LOC_028786
OG0001076	Hydra|LOC105848978, Hydra|LOC105849343	Clytia|LOC_029783
OG0001078	Hydra|LOC100212177	Clytia|LOC_031406
OG0001079	Hydra|LOC100203110	Clytia|LOC_031506
OG0001080	Hydra|LOC100202963	Clytia|LOC_035836
OG0001080	Hydra|LOC100201909	Clytia|LOC_031993
OG0001082	Hydra|LOC105847155	Clytia|LOC_033850
OG0001083	Hydra|LOC100215158	Clytia|LOC_033975, Clytia|LOC_033974
OG0001084	Hydra|LOC101239549	Clytia|LOC_040351
OG0001084	Hydra|LOC100215166	Clytia|LOC_035958
OG0001086	Hydra|LOC100208216	Clytia|LOC_037914
OG0001087	Hydra|LOC100198355	Clytia|LOC_038074
OG0001087	Hydra|LOC100201914	Clytia|LOC_045223, Clytia|LOC_045273
OG0001088	Hydra|LOC100212732	Clytia|LOC_038377
OG0001088	Hydra|LOC100214706	Clytia|LOC_038378
OG0001091	Hydra|LOC100211379, Hydra|LOC100212564, Hydra|LOC100210880	Clytia|LOC_041399
OG0001092	Hydra|LOC124807558	Clytia|LOC_043630
OG0001138	Hydra|LOC105846072	Clytia|LOC_000267
OG0001138	Hydra|LOC100209084	Clytia|LOC_040405
OG0001141	Hydra|LOC124816295	Clytia|LOC_000503, Clytia|LOC_036739, Clytia|LOC_041135, Clytia|LOC_000552, Clytia|LOC_036740, Clytia|LOC_003674, Clytia|LOC_006131, Clytia|LOC_006146, Clytia|LOC_009051, Clytia|LOC_041097
OG0001144	Hydra|LOC100205133	Clytia|LOC_000958
OG0001145	Hydra|LOC101239179	Clytia|LOC_012270
OG0001145	Hydra|LOC100215810	Clytia|LOC_001463, Clytia|LOC_028311
OG0001148	Hydra|LOC101234713	Clytia|LOC_018278, Clytia|LOC_018739, Clytia|LOC_012647, Clytia|LOC_014316, Clytia|LOC_001644, Clytia|LOC_041604, Clytia|LOC_041627, Clytia|LOC_028061, Clytia|LOC_014317, Clytia|LOC_039436
OG0001150	Hydra|LOC100210984	Clytia|LOC_001947
OG0001150	Hydra|LOC100202074	Clytia|LOC_028594, Clytia|LOC_032479
OG0001152	Hydra|LOC101240167	Clytia|LOC_002198
OG0001153	Hydra|LOC124807844	Clytia|LOC_002322, Clytia|LOC_002260, Clytia|LOC_002289
OG0001154	Hydra|LOC124818465, Hydra|LOC105847737, Hydra|LOC105846833, Hydra|LOC105847738, Hydra|LOC105850899, Hydra|LOC105843336, Hydra|LOC101238538, Hydra|LOC105848838, Hydra|LOC105843955	Clytia|LOC_002426
OG0001155	Hydra|LOC101241114, Hydra|LOC101240820	Clytia|LOC_019492, Clytia|LOC_012971, Clytia|LOC_014078, Clytia|LOC_036697, Clytia|LOC_025176, Clytia|LOC_004902, Clytia|LOC_002465
OG0001159	Hydra|LOC124812756, Hydra|LOC124808839	Clytia|LOC_002984, Clytia|LOC_020192
OG0001160	Hydra|LOC100202892	Clytia|LOC_012111
OG0001162	Hydra|LOC124816070	Clytia|LOC_003748, Clytia|LOC_007891, Clytia|LOC_029718, Clytia|LOC_020697, Clytia|LOC_037750, Clytia|LOC_010458, Clytia|LOC_027279
OG0001163	Hydra|LOC124817218	Clytia|LOC_003762, Clytia|LOC_021572, Clytia|LOC_019254, Clytia|LOC_018693
OG0001167	Hydra|LOC100202332, Hydra|LOC101239052, Hydra|LOC100201118	Clytia|LOC_010241, Clytia|LOC_010223, Clytia|LOC_004217, Clytia|LOC_034507
OG0001168	Hydra|LOC100205406	Clytia|LOC_040754
OG0001168	Hydra|LOC100201630	Clytia|LOC_004644
OG0001169	Hydra|LOC100212389	Clytia|LOC_004796
OG0001169	Hydra|LOC100209044, Hydra|LOC100211099	Clytia|LOC_008264
OG0001170	Hydra|LOC124809005	Clytia|LOC_012241
OG0001170	Hydra|LOC105847681	Clytia|LOC_004811
OG0001171	Hydra|LOC100204430	Clytia|LOC_033591, Clytia|LOC_033590, Clytia|LOC_033588, Clytia|LOC_004824
OG0001172	Hydra|LOC105844649, Hydra|LOC105845036	Clytia|LOC_040880, Clytia|LOC_004937, Clytia|LOC_004936, Clytia|LOC_040591
OG0001174	Hydra|LOC100198846, Hydra|LOC100198178, Hydra|LOC100202417	Clytia|LOC_040002, Clytia|LOC_039995, Clytia|LOC_005309, Clytia|LOC_031393, Clytia|LOC_021847, Clytia|LOC_044474, Clytia|LOC_014808
OG0001175	Hydra|LOC100210951, Hydra|LOC100206201, Hydra|LOC100201253	Clytia|LOC_041100, Clytia|LOC_005368, Clytia|LOC_006015
OG0001176	Hydra|LOC124817815, Hydra|LOC124806223, Hydra|LOC124809108	Clytia|LOC_020684, Clytia|LOC_005726
OG0001183	Hydra|LOC124806330	Clytia|LOC_013438, Clytia|LOC_024490, Clytia|LOC_006564, Clytia|LOC_039230, Clytia|LOC_016436, Clytia|LOC_007019, Clytia|LOC_010843, Clytia|LOC_035016, Clytia|LOC_024537, Clytia|LOC_014529
OG0001184	Hydra|LOC100209967, Hydra|LOC101235957, Hydra|LOC100215884, Hydra|LOC105844785, Hydra|LOC100198614, Hydra|LOC100198120, Hydra|LOC105849946, Hydra|LOC100211737, Hydra|LOC100211700	Clytia|LOC_006900
OG0001186	Hydra|LOC100204780	Clytia|LOC_029254, Clytia|LOC_043162, Clytia|LOC_007069
OG0001186	Hydra|LOC100215092	Clytia|LOC_029188
OG0001187	Hydra|LOC100197858, Hydra|LOC100206696	Clytia|LOC_038372, Clytia|LOC_007137
OG0001190	Hydra|LOC100207073	Clytia|LOC_030790
OG0001191	Hydra|LOC101239347	Clytia|LOC_008189
OG0001191	Hydra|LOC101239288	Clytia|LOC_008049
OG0001192	Hydra|LOC100214337	Clytia|LOC_008515, Clytia|LOC_013924
OG0001193	Hydra|LOC101241857	Clytia|LOC_008538, Clytia|LOC_008544
OG0001194	Hydra|LOC124809177	Clytia|LOC_015108
OG0001194	Hydra|LOC100204638	Clytia|LOC_008688
OG0001195	Hydra|LOC100211610	Clytia|LOC_008850, Clytia|LOC_010415
OG0001197	Hydra|LOC124818417, Hydra|LOC100212796, Hydra|LOC124818234, Hydra|LOC100205019, Hydra|LOC101235193, Hydra|LOC100206567, Hydra|LOC100204674	Clytia|LOC_009529
OG0001200	Hydra|LOC100207414	Clytia|LOC_034949
OG0001200	Hydra|LOC100197999	Clytia|LOC_009664
OG0001202	Hydra|LOC100210777, Hydra|LOC100200647	Clytia|LOC_013451
OG0001202	Hydra|LOC105848013	Clytia|LOC_010274
OG0001203	Hydra|LOC100205181	Clytia|LOC_010349, Clytia|LOC_010333, Clytia|LOC_033856
OG0001204	Hydra|LOC124808276, Hydra|LOC124810996, Hydra|LOC124816664	Clytia|LOC_021930, Clytia|LOC_016651, Clytia|LOC_010442, Clytia|LOC_021713, Clytia|LOC_015410
OG0001205	Hydra|LOC100204398	Clytia|LOC_034872, Clytia|LOC_042851, Clytia|LOC_010663
OG0001206	Hydra|LOC100200537	Clytia|LOC_010724, Clytia|LOC_010721, Clytia|LOC_010723, Clytia|LOC_032666
OG0001208	Hydra|LOC100211332, Hydra|LOC100198256	Clytia|LOC_017316, Clytia|LOC_011901
OG0001210	Hydra|LOC124816854, Hydra|LOC124812107	Clytia|LOC_013129, Clytia|LOC_023281, Clytia|LOC_035696, Clytia|LOC_021189, Clytia|LOC_024925, Clytia|LOC_016779, Clytia|LOC_037331, Clytia|LOC_021841, Clytia|LOC_041524
OG0001211	Hydra|LOC100211992	Clytia|LOC_026759, Clytia|LOC_013718
OG0001214	Hydra|LOC100212761	Clytia|LOC_014679
OG0001215	Hydra|LOC100214129	Clytia|LOC_014692
OG0001215	Hydra|LOC100205621	Clytia|LOC_031950
OG0001216	Hydra|LOC100197360, Hydra|LOC100208081	Clytia|LOC_034853, Clytia|LOC_014796
OG0001217	Hydra|LOC100215454	Clytia|LOC_015175, Clytia|LOC_023537, Clytia|LOC_039557
OG0001219	Hydra|LOC100210345, Hydra|LOC101238159	Clytia|LOC_016094
OG0001220	Hydra|LOC100206872, Hydra|LOC124819039, Hydra|LOC100212371, Hydra|LOC105848942	Clytia|LOC_016524
OG0001222	Hydra|LOC124813618	Clytia|LOC_017523
OG0001232	Hydra|LOC124819170, Hydra|LOC124816096, Hydra|LOC124819063, Hydra|LOC101239017, Hydra|LOC100199198, Hydra|LOC101235841, Hydra|LOC124807301, Hydra|LOC124817672, Hydra|LOC124818981, Hydra|LOC124806661	Clytia|LOC_022203
OG0001234	Hydra|LOC100192294	Clytia|LOC_023774
OG0001234	Hydra|LOC100192239	Clytia|LOC_033801
OG0001235	Hydra|LOC124815924, Hydra|LOC124817685, Hydra|LOC124816961, Hydra|LOC124806446, Hydra|LOC124807145, Hydra|LOC105850134	Clytia|LOC_024414, Clytia|LOC_035503
OG0001236	Hydra|LOC124815029, Hydra|LOC124807572	Clytia|LOC_044881, Clytia|LOC_033018, Clytia|LOC_024744
OG0001237	Hydra|LOC101236337, Hydra|LOC105844795	Clytia|LOC_044984, Clytia|LOC_025107
OG0001239	Hydra|LOC124814512, Hydra|LOC124811659, Hydra|LOC124818344, Hydra|LOC124817802, Hydra|LOC124811689, Hydra|LOC124813623, Hydra|LOC124809031, Hydra|LOC124809191, Hydra|LOC124816678, Hydra|LOC124809197	Clytia|LOC_027730
OG0001240	Hydra|LOC124806969, Hydra|LOC124812609, Hydra|LOC101235877, Hydra|LOC124817191, Hydra|LOC105843201, Hydra|LOC105849708, Hydra|LOC124808505, Hydra|LOC124817215, Hydra|LOC101236692, Hydra|LOC101238659	Clytia|LOC_027827
OG0001241	Hydra|LOC101241125, Hydra|LOC105850732, Hydra|LOC124809908	Clytia|LOC_028948
OG0001242	Hydra|LOC124814455, Hydra|LOC105847336, Hydra|LOC105843105, Hydra|LOC105843286, Hydra|LOC124806095, Hydra|LOC105848500	Clytia|LOC_030130
OG0001243	Hydra|LOC100209285, Hydra|LOC100210580, Hydra|LOC101241725, Hydra|LOC100197713	Clytia|LOC_031110, Clytia|LOC_031109
OG0001244	Hydra|LOC100211692, Hydra|LOC100197078, Hydra|LOC100206152	Clytia|LOC_031571, Clytia|LOC_031556, Clytia|LOC_031555
OG0001245	Hydra|LOC100210729	Clytia|LOC_032007
OG0001246	Hydra|LOC100202367	Clytia|LOC_032097, Clytia|LOC_032098
OG0001247	Hydra|LOC124814832, Hydra|LOC124815972	Clytia|LOC_044717, Clytia|LOC_039406, Clytia|LOC_040334
OG0001247	Hydra|LOC100198014	Clytia|LOC_032131
OG0001248	Hydra|LOC100197535	Clytia|LOC_032555
OG0001250	Hydra|LOC101234659	Clytia|LOC_033004
OG0001251	Hydra|LOC101241731	Clytia|LOC_033109
OG0001251	Hydra|LOC100210297	Clytia|LOC_042084
OG0001252	Hydra|LOC100206783, Hydra|LOC100204809	Clytia|LOC_033430
OG0001253	Hydra|LOC100204392	Clytia|LOC_034240
OG0001254	Hydra|LOC101240130	Clytia|LOC_041769
OG0001255	Hydra|LOC124808850, Hydra|LOC124808660, Hydra|LOC101235290	Clytia|LOC_045284, Clytia|LOC_036579, Clytia|LOC_036580
OG0001256	Hydra|LOC124806106	Clytia|LOC_044151
OG0001256	Hydra|LOC100204588	Clytia|LOC_036840
OG0001257	Hydra|LOC105845893	Clytia|LOC_042235, Clytia|LOC_037382
OG0001258	Hydra|LOC124818136, Hydra|LOC124813417, Hydra|LOC124813981, Hydra|LOC124812219, Hydra|LOC124811204	Clytia|LOC_038466
OG0001259	Hydra|LOC100205628	Clytia|LOC_039667
OG0001260	Hydra|LOC100199675, Hydra|LOC100206072, Hydra|LOC100208526	Clytia|LOC_040497
OG0001261	Hydra|LOC100215011	Clytia|LOC_040944
OG0001262	Hydra|LOC101234608	Clytia|LOC_041846, Clytia|LOC_041847
OG0001263	Hydra|LOC100198023	Clytia|LOC_044991
OG0001263	Hydra|LOC100196976	Clytia|LOC_042397
OG0001264	Hydra|LOC124818762, Hydra|LOC124805945, Hydra|LOC105849580, Hydra|LOC105844834, Hydra|LOC124815021	Clytia|LOC_043126
OG0001265	Hydra|LOC100202294	Clytia|LOC_043949, Clytia|LOC_043978
OG0001266	Hydra|LOC101241625	Clytia|LOC_043951
OG0001268	Hydra|LOC100215814, Hydra|LOC100208963	Clytia|LOC_045279, Clytia|LOC_045295
OG0001324	Hydra|LOC100207493	Clytia|LOC_000103, Clytia|LOC_000017
OG0001328	Hydra|LOC101238859	Clytia|LOC_029598
OG0001335	Hydra|LOC100209298	Clytia|LOC_000522
OG0001336	Hydra|LOC100209869, Hydra|LOC105846521, Hydra|LOC100197585	Clytia|LOC_042985, Clytia|LOC_009404, Clytia|LOC_000743
OG0001337	Hydra|LOC100207416	Clytia|LOC_036028
OG0001337	Hydra|LOC100203715, Hydra|LOC100211766	Clytia|LOC_000867
OG0001341	Hydra|LOC105845533, Hydra|LOC124818771, Hydra|LOC105843961	Clytia|LOC_012153, Clytia|LOC_044929, Clytia|LOC_044969, Clytia|LOC_001247, Clytia|LOC_044928, Clytia|LOC_001248
OG0001342	Hydra|LOC100212167	Clytia|LOC_001338
OG0001342	crim2	Clytia|LOC_043056
OG0001343	Hydra|LOC100203971	Clytia|LOC_006555, Clytia|LOC_006542
OG0001343	Hydra|LOC100198037	Clytia|LOC_001446
OG0001345	Hydra|LOC100204488	Clytia|LOC_005999
OG0001345	Hydra|LOC100208537	Clytia|LOC_001707
OG0001346	Hydra|LOC101236661	Clytia|LOC_015220, Clytia|LOC_018720, Clytia|LOC_001721, Clytia|LOC_001720, Clytia|LOC_001756, Clytia|LOC_028512
OG0001348	Hydra|LOC105848299	Clytia|LOC_005199, Clytia|LOC_006492
OG0001349	Hydra|LOC100215503	Clytia|LOC_001831, Clytia|LOC_001857
OG0001350	Hydra|LOC100202000	Clytia|LOC_039638
OG0001350	Hydra|LOC100202126	Clytia|LOC_002008
OG0001351	Hydra|LOC100214058	Clytia|LOC_002023
OG0001353	Hydra|LOC100197202	Clytia|LOC_002364
OG0001353	Hydra|LOC100210882	Clytia|LOC_033717
OG0001354	Hydra|LOC100198307	Clytia|LOC_012557
OG0001356	Hydra|LOC100213063	Clytia|LOC_003030
OG0001357	Hydra|LOC100198936	Clytia|LOC_003047
OG0001357	Hydra|LOC100211601, Hydra|LOC100206802	Clytia|LOC_013670, Clytia|LOC_013663
OG0001358	Hydra|LOC100213925	Clytia|LOC_003166, Clytia|LOC_027722, Clytia|LOC_022552, Clytia|LOC_027554, Clytia|LOC_003167, Clytia|LOC_042853, Clytia|LOC_042852, Clytia|LOC_042860, Clytia|LOC_042861
OG0001360	Hydra|LOC100201916	Clytia|LOC_043965
OG0001360	Hydra|LOC100201552, Hydra|LOC100204206	Clytia|LOC_003378
OG0001361	Hydra|LOC101241071, Hydra|LOC105850925	Clytia|LOC_003445
OG0001364	Hydra|LOC100204686	Clytia|LOC_015575
OG0001364	Hydra|LOC101237722	Clytia|LOC_003743
OG0001365	Hydra|LOC100192229	Clytia|LOC_003796
OG0001366	Hydra|LOC100214881	Clytia|LOC_003797
OG0001366	Hydra|LOC100213514, Hydra|LOC100210072	Clytia|LOC_014092
OG0001369	gnai4	Clytia|LOC_004433
OG0001369	Hydra|LOC100204078	Clytia|LOC_035588
OG0001372	Hydra|LOC124815304, Hydra|LOC105845248, Hydra|LOC100214623, Hydra|LOC101241008, Hydra|LOC124815364	Clytia|LOC_004967
OG0001373	Hydra|LOC105844658	Clytia|LOC_034940
OG0001374	Hydra|LOC124811248, Hydra|LOC100198327, Hydra|LOC124805814, Hydra|LOC100204741	Clytia|LOC_045765, Clytia|LOC_005313
OG0001375	Hydra|LOC101239033, Hydra|LOC101237339, Hydra|LOC101235680	Clytia|LOC_005616
OG0001376	Hydra|LOC105844499	Clytia|LOC_042499, Clytia|LOC_005628
OG0001379	Hydra|LOC100213972, Hydra|LOC100202442	Clytia|LOC_038815
OG0001380	Hydra|LOC124807552, Hydra|LOC101241452	Clytia|LOC_006418
OG0001381	Hydra|LOC101236263	Clytia|LOC_006609
OG0001382	Hydra|LOC100211148, Hydra|LOC101239073, Hydra|LOC100202437	Clytia|LOC_006730
OG0001387	Hydra|LOC105843821, Hydra|LOC105846973, Hydra|LOC105849905, Hydra|LOC100203004, casp8	Clytia|LOC_010351, Clytia|LOC_006977, Clytia|LOC_030973, Clytia|LOC_038327
OG0001389	Hydra|LOC101240226	Clytia|LOC_007130
OG0001389	Hydra|LOC105848515	Clytia|LOC_045724
OG0001390	Hydra|LOC100203539	Clytia|LOC_007134
OG0001391	Hydra|LOC100208400	Clytia|LOC_007493, Clytia|LOC_007471
OG0001392	Hydra|LOC101235513	Clytia|LOC_033067, Clytia|LOC_007547, Clytia|LOC_033069, Clytia|LOC_033070, Clytia|LOC_007548
OG0001393	Hydra|LOC101237456	Clytia|LOC_037891
OG0001393	Hydra|LOC100202134	Clytia|LOC_007579
OG0001394	Hydra|LOC100214076	Clytia|LOC_007597
OG0001395	Hydra|LOC100214993	Clytia|LOC_007677
OG0001395	Hydra|LOC101235166	Clytia|LOC_031209
OG0001396	Hydra|LOC101240588	Clytia|LOC_007871
OG0001399	Hydra|LOC100205151	Clytia|LOC_014385, Clytia|LOC_008097
OG0001400	Hydra|LOC100209158	Clytia|LOC_044299
OG0001400	Hydra|LOC100202148	Clytia|LOC_008331
OG0001401	Hydra|LOC100198144	Clytia|LOC_027430, Clytia|LOC_008471, Clytia|LOC_015166
OG0001403	Hydra|LOC101237828	Clytia|LOC_008754
OG0001403	Hydra|LOC100213842	Clytia|LOC_033362
OG0001404	Hydra|LOC100211871	Clytia|LOC_008839
OG0001405	Hydra|LOC101238321, Hydra|LOC100210193	Clytia|LOC_008960, Clytia|LOC_045755
OG0001406	Hydra|LOC100199128	Clytia|LOC_039067, Clytia|LOC_008971
OG0001406	Hydra|LOC101236405	Clytia|LOC_045736
OG0001409	Hydra|LOC105846617, Hydra|LOC124817573, Hydra|LOC105846133	Clytia|LOC_009285
OG0001410	Hydra|LOC100197663, Hydra|LOC100199843, Hydra|LOC100213324	Clytia|LOC_045230, Clytia|LOC_009318
OG0001411	Hydra|LOC105846087	Clytia|LOC_009491
OG0001412	Hydra|LOC100200169	Clytia|LOC_036765
OG0001412	Hydra|LOC100215665	Clytia|LOC_009508
OG0001413	Hydra|LOC100206513, Hydra|LOC100212915	Clytia|LOC_037994, Clytia|LOC_010520, Clytia|LOC_013645, Clytia|LOC_021001
OG0001414	Hydra|LOC100203334	Clytia|LOC_023354
OG0001414	Hydra|LOC100192231	Clytia|LOC_010541
OG0001415	Hydra|LOC105848613	Clytia|LOC_027873, Clytia|LOC_010652
OG0001416	Hydra|LOC100215335	Clytia|LOC_010956
OG0001417	Hydra|LOC101241167	Clytia|LOC_011098, Clytia|LOC_011095
OG0001417	Hydra|LOC100201320	Clytia|LOC_011719
OG0001418	Hydra|LOC105849906	Clytia|LOC_011265
OG0001419	Hydra|LOC100199780	Clytia|LOC_011575
OG0001419	Hydra|LOC100203328	Clytia|LOC_031077
OG0001420	Hydra|LOC124815407	Clytia|LOC_032928, Clytia|LOC_023036, Clytia|LOC_026020, Clytia|LOC_011895
OG0001421	Hydra|LOC100197693	Clytia|LOC_014081, Clytia|LOC_012247
OG0001423	Hydra|LOC100204875	Clytia|LOC_012393
OG0001425	Hydra|LOC100204892	Clytia|LOC_012815, Clytia|LOC_029384
OG0001426	Hydra|LOC124807619	Clytia|LOC_012916, Clytia|LOC_031215, Clytia|LOC_044682, Clytia|LOC_018694, Clytia|LOC_032769, Clytia|LOC_026891, Clytia|LOC_039868, Clytia|LOC_027353, Clytia|LOC_021369
OG0001427	Hydra|LOC100208544	Clytia|LOC_013106
OG0001428	Hydra|LOC100202155	Clytia|LOC_033359, Clytia|LOC_013278
OG0001429	Hydra|LOC100213424	Clytia|LOC_013527
OG0001429	Hydra|LOC100207244	Clytia|LOC_034243
OG0001430	Hydra|LOC105843391, Hydra|LOC101240732	Clytia|LOC_013795, Clytia|LOC_043815, Clytia|LOC_045285
OG0001431	Hydra|LOC100198416	Clytia|LOC_014722
OG0001431	Hydra|LOC100197630	Clytia|LOC_016397
OG0001432	Hydra|LOC100212885	Clytia|LOC_016016
OG0001432	Hydra|LOC101238579	Clytia|LOC_014935
OG0001434	Hydra|LOC124816252, Hydra|LOC100197287, Hydra|LOC105844751, Hydra|LOC100208689	Clytia|LOC_015276
OG0001435	Hydra|LOC124817977	Clytia|LOC_015684
OG0001437	Hydra|LOC100206298, Hydra|LOC100198028	Clytia|LOC_016172, Clytia|LOC_038888, Clytia|LOC_038830
OG0001439	Hydra|LOC100197476	Clytia|LOC_017037
OG0001443	Hydra|LOC100215098	Clytia|LOC_029755, Clytia|LOC_017757, Clytia|LOC_045114, Clytia|LOC_029754
OG0001444	Hydra|LOC100202876	Clytia|LOC_017962, Clytia|LOC_034653
OG0001444	Hydra|LOC100214759	Clytia|LOC_034654, Clytia|LOC_017963
OG0001446	Hydra|LOC124815615, Hydra|LOC100208368, Hydra|LOC100212115, Hydra|LOC100209357	Clytia|LOC_018962
OG0001447	Hydra|LOC100210900	Clytia|LOC_020944, Clytia|LOC_020749, Clytia|LOC_019004, Clytia|LOC_026147
OG0001448	Hydra|LOC100206985	Clytia|LOC_019256
OG0001449	Hydra|LOC124817744, Hydra|LOC124812792, Hydra|LOC124807307, Hydra|LOC124809591, Hydra|LOC124806670, Hydra|LOC124810072, Hydra|LOC124810069, Hydra|LOC105846615, Hydra|LOC124817795	Clytia|LOC_019305
OG0001450	Hydra|LOC124807043	Clytia|LOC_019591
OG0001452	Hydra|LOC101237731	Clytia|LOC_041414, Clytia|LOC_022443, Clytia|LOC_042680, Clytia|LOC_038486
OG0001453	Hydra|LOC100206525	Clytia|LOC_023653, Clytia|LOC_025877
OG0001454	Hydra|LOC124812015, Hydra|LOC124808593, Hydra|LOC124810355	Clytia|LOC_037817
OG0001454	Hydra|LOC124813393, Hydra|LOC124808557	Clytia|LOC_024582
OG0001455	Hydra|LOC124813281, Hydra|LOC124815689, Hydra|LOC105849936, Hydra|LOC105848253, Hydra|LOC124817145, Hydra|LOC124816361, Hydra|LOC124805771	Clytia|LOC_026799, Clytia|LOC_026173
OG0001456	Hydra|LOC124806669, Hydra|LOC124810317, Hydra|LOC124815080, Hydra|LOC124812571, Hydra|LOC124813329, Hydra|LOC101237694, Hydra|LOC124812572	Clytia|LOC_030446, Clytia|LOC_026740
OG0001459	Hydra|LOC100197586	Clytia|LOC_030405
OG0001461	Hydra|LOC100213301	Clytia|LOC_037186
OG0001461	Hydra|LOC100204895	Clytia|LOC_030801
OG0001462	Hydra|LOC105844213, Hydra|LOC100203366	Clytia|LOC_031068, Clytia|LOC_031081, Clytia|LOC_033329
OG0001463	Hydra|LOC100205840	Clytia|LOC_031783
OG0001464	Hydra|LOC100201636	Clytia|LOC_032104
OG0001465	Hydra|LOC100213148	Clytia|LOC_032482, Clytia|LOC_032481, Clytia|LOC_032480
OG0001465	Hydra|LOC101234609	Clytia|LOC_043832
OG0001466	Hydra|LOC100206214	Clytia|LOC_033431
OG0001466	Hydra|LOC100199463	Clytia|LOC_039848, Clytia|LOC_032847
OG0001467	Hydra|LOC100200420	Clytia|LOC_033387
OG0001468	Hydra|LOC101236414	Clytia|LOC_034515
OG0001469	Hydra|LOC100213998	Clytia|LOC_034753
OG0001471	Hydra|LOC105845317	Clytia|LOC_035243, Clytia|LOC_035242
OG0001472	Hydra|LOC124815258	Clytia|LOC_035535
OG0001473	Hydra|LOC100211566	Clytia|LOC_036725, Clytia|LOC_036724, Clytia|LOC_036723, Clytia|LOC_036701
OG0001475	Hydra|LOC100196996	Clytia|LOC_036809, Clytia|LOC_041659
OG0001476	Hydra|LOC100214999	Clytia|LOC_036959, Clytia|LOC_036955
OG0001478	Hydra|LOC105850935, Hydra|LOC100201084	Clytia|LOC_038055
OG0001479	Hydra|LOC100209825	Clytia|LOC_038215
OG0001481	Hydra|LOC100204936	Clytia|LOC_038442
OG0001482	Hydra|LOC100197809	Clytia|LOC_038841
OG0001483	Hydra|LOC100212741	Clytia|LOC_040885
OG0001484	Hydra|LOC101241602	Clytia|LOC_041613
OG0001484	Hydra|LOC100196986	Clytia|LOC_041639, Clytia|LOC_041640
OG0001485	Hydra|LOC100197196	Clytia|LOC_041744, Clytia|LOC_044663
OG0001486	Hydra|LOC100199016	Clytia|LOC_041863
OG0001488	Hydra|LOC100213026, Hydra|LOC100204807	Clytia|LOC_044121
OG0001489	Hydra|LOC100208353	Clytia|LOC_044290
OG0001490	Hydra|LOC124811470	Clytia|LOC_044618
OG0001564	Hydra|LOC100201288	Clytia|LOC_010019
OG0001564	Hydra|LOC100201503	Clytia|LOC_000024
OG0001565	Hydra|LOC100192277	Clytia|LOC_000092
OG0001567	Hydra|LOC100199666	Clytia|LOC_001089, Clytia|LOC_001088
OG0001568	Hydra|LOC100212535	Clytia|LOC_000463
OG0001568	Hydra|LOC100198087	Clytia|LOC_010549
OG0001569	Hydra|LOC100206379, Hydra|LOC100210555	Clytia|LOC_034923, Clytia|LOC_000649
OG0001571	Hydra|LOC100213780	Clytia|LOC_000749
OG0001573	Hydra|LOC100207796	Clytia|LOC_000769
OG0001574	Hydra|LOC101238835	Clytia|LOC_043517, Clytia|LOC_043543, Clytia|LOC_007171, Clytia|LOC_000772, Clytia|LOC_000773, Clytia|LOC_001228
OG0001575	Hydra|LOC100213989	Clytia|LOC_000859, Clytia|LOC_034692
OG0001576	Hydra|LOC105844261, Hydra|LOC124810229, Hydra|LOC105843940, Hydra|LOC124809439, Hydra|LOC105843879, Hydra|LOC124810230, Hydra|LOC105844259, Hydra|LOC124809705	Clytia|LOC_001241
OG0001578	Hydra|LOC100208897	Clytia|LOC_001422, Clytia|LOC_001425
OG0001580	Hydra|LOC124818467, Hydra|LOC105850410, Hydra|LOC124819194, Hydra|LOC124806314, Hydra|LOC124805828, Hydra|LOC124817682, Hydra|LOC124814836	Clytia|LOC_027921, Clytia|LOC_001842
OG0001581	Hydra|LOC105849153	Clytia|LOC_036170, Clytia|LOC_033755, Clytia|LOC_022260, Clytia|LOC_028132, Clytia|LOC_028133, Clytia|LOC_001896
OG0001582	Hydra|LOC100215590	Clytia|LOC_001951, Clytia|LOC_029563, Clytia|LOC_003591
OG0001583	Hydra|LOC100205240	Clytia|LOC_002028, Clytia|LOC_002027
OG0001584	Hydra|LOC101237461, Hydra|LOC100206592, Hydra|LOC100200953	Clytia|LOC_002132, Clytia|LOC_042541, Clytia|LOC_011936
OG0001585	Hydra|LOC100201825	Clytia|LOC_002185
OG0001587	Hydra|LOC100201789	Clytia|LOC_008633
OG0001587	Hydra|LOC100200655	Clytia|LOC_002602
OG0001589	Hydra|LOC100212553, Hydra|LOC100197310	Clytia|LOC_002792, Clytia|LOC_002791
OG0001589	Hydra|LOC100204072	Clytia|LOC_018172
OG0001593	Hydra|LOC100214647	Clytia|LOC_003050, Clytia|LOC_007858, Clytia|LOC_008752, Clytia|LOC_007857, Clytia|LOC_007872, Clytia|LOC_015015
OG0001595	Hydra|LOC100206499	Clytia|LOC_031247, Clytia|LOC_003367
OG0001599	Hydra|LOC101240092	Clytia|LOC_003860
OG0001600	Hydra|LOC100204492, Hydra|LOC100198579	Clytia|LOC_015114, Clytia|LOC_018258, Clytia|LOC_018104, Clytia|LOC_003885
OG0001601	Hydra|LOC105849643, Hydra|LOC100198884, Hydra|LOC100202451	Clytia|LOC_003926, Clytia|LOC_004374, Clytia|LOC_003925, Clytia|LOC_036978
OG0001604	Hydra|LOC105844298	Clytia|LOC_013963
OG0001604	Hydra|LOC101234793	Clytia|LOC_004471
OG0001606	Hydra|LOC100206021	Clytia|LOC_030407
