Orthogroup	longest_isoform_HydraProteins	longest_isoform_XeniaProteins
OG0002572	bcl-2	Xenia|LOC124433410
OG0002574	Hydra|LOC105843226	Xenia|LOC124448321
OG0002575	Hydra|LOC105844409, Hydra|LOC100202546	Xenia|LOC124450854
OG0002576	Hydra|LOC100208072	Xenia|LOC124452770, Xenia|LOC124452769
OG0002578	Hydra|LOC100197187	Xenia|LOC124433408
OG0002579	Hydra|LOC100201004	Xenia|LOC124455922, Xenia|LOC124455923
OG0002580	Hydra|LOC100214528	Xenia|LOC124447506
OG0002581	Hydra|LOC105847062, Hydra|LOC100211475	Xenia|LOC124438815
OG0002582	Hydra|LOC105847798	Xenia|LOC124447473
OG0002586	Hydra|LOC100214422	Xenia|LOC124433804
OG0002587	Hydra|LOC100199232	Xenia|LOC124459461
OG0002588	Hydra|LOC100208225	Xenia|LOC124457162, Xenia|LOC124455209
OG0002591	Hydra|LOC100215877	Xenia|LOC124435736
OG0002593	Hydra|LOC100211429	Xenia|LOC124440928
OG0002598	Hydra|LOC100205138, Hydra|LOC100205726	Xenia|LOC124433796
OG0002604	Hydra|LOC100209114	Xenia|LOC124451654, Xenia|LOC124443183
OG0002605	Hydra|LOC100204769	Xenia|LOC124444898
OG0002607	Hydra|LOC105848816	Xenia|LOC124438359
OG0002608	Hydra|LOC100201599	Xenia|LOC124443192
OG0002610	Hydra|LOC100209541	Xenia|LOC124442083
OG0002611	Hydra|LOC100210586, Hydra|LOC100207079	Xenia|LOC124453659
OG0002612	Hydra|LOC124811573, Hydra|LOC124815795	Xenia|LOC124455844
OG0002613	Hydra|LOC100211813	Xenia|LOC124452524
OG0002614	Hydra|LOC101234962	Xenia|LOC124459620
OG0002616	Hydra|LOC100197516, Hydra|LOC101240621	Xenia|LOC124434914
OG0002617	Hydra|LOC101235256	Xenia|LOC124452790
OG0002618	Hydra|LOC100203505	Xenia|LOC124433291, Xenia|LOC124444077
OG0002620	Hydra|LOC100197813	Xenia|LOC124438502
OG0002621	Hydra|LOC105844356	Xenia|LOC124436520, Xenia|LOC124437120
OG0002622	Hydra|LOC100203541	Xenia|LOC124450316
OG0002623	Hydra|LOC100205185	Xenia|LOC124452937
OG0002624	Hydra|LOC100207748	Xenia|LOC124443099
OG0002625	Hydra|LOC101240566	Xenia|LOC124443966, Xenia|LOC124440404, Xenia|LOC124444583
OG0002627	Hydra|LOC100212284	Xenia|LOC124433533
OG0002628	Hydra|LOC100215301, Hydra|LOC100205924, Hydra|LOC124817960	Xenia|LOC124450274
OG0002632	Hydra|LOC100204275	Xenia|LOC124445227, Xenia|LOC124447547
OG0002634	Hydra|LOC100213354	Xenia|LOC124435155, Xenia|LOC124435156, Xenia|LOC124441096
OG0002636	Hydra|LOC101239598	Xenia|LOC124456700
OG0002638	Hydra|LOC100202828	Xenia|LOC124452255, Xenia|LOC124450363
OG0002641	Hydra|LOC100197749, Hydra|LOC105844045, Hydra|LOC124808504	Xenia|LOC124446345
OG0002642	Hydra|LOC100207616	Xenia|LOC124438149
OG0002644	Hydra|LOC100201241	Xenia|LOC124452071
OG0002646	Hydra|LOC100203380	Xenia|LOC124442542, Xenia|LOC124441940
OG0002651	Hydra|LOC101241459	Xenia|LOC124452788
OG0002653	Hydra|LOC101236793	Xenia|LOC124446664
OG0002659	Hydra|LOC100203070	Xenia|LOC124453571
OG0002660	Hydra|LOC100212025	Xenia|LOC124443731
OG0002662	Hydra|LOC100209499, Hydra|LOC100204733	Xenia|LOC124445488
OG0002663	Hydra|LOC100210872	Xenia|LOC124433295
OG0002664	Hydra|LOC100208931	Xenia|LOC124444110
OG0002665	Hydra|LOC100206070	Xenia|LOC124449832
OG0002666	Hydra|LOC100201859	Xenia|LOC124451188, Xenia|LOC124451983
OG0002667	Hydra|LOC124812168, Hydra|LOC124816326, Hydra|LOC124809022	Xenia|LOC124444480, Xenia|LOC124459175
OG0002669	Hydra|LOC100206126	Xenia|LOC124436881
OG0002670	Hydra|LOC100197913	Xenia|LOC124435322
OG0002671	Hydra|LOC100198295	Xenia|LOC124444330
OG0002672	Hydra|LOC100201228	Xenia|LOC124434360
OG0002673	Hydra|LOC100210799, Hydra|LOC100200503	Xenia|LOC124454248
OG0002674	Hydra|LOC101234443	Xenia|LOC124434052
OG0002675	Hydra|LOC100206197	Xenia|LOC124435186, Xenia|LOC124435188
OG0002677	Hydra|LOC100203268	Xenia|LOC124447406
OG0002678	Hydra|LOC101240296	Xenia|LOC124436673, Xenia|LOC124444390
OG0002679	Hydra|LOC101237534, Hydra|LOC100204711	Xenia|LOC124434892
OG0002680	Hydra|LOC100212729	Xenia|LOC124451768
OG0002681	Hydra|LOC100212532	Xenia|LOC124452498
OG0002682	Hydra|LOC100206296	Xenia|LOC124437025
OG0002683	Hydra|LOC101235281	Xenia|LOC124439301
OG0002684	Hydra|LOC100197868, Hydra|LOC100203602	Xenia|LOC124452406
OG0002685	Hydra|LOC105847633, Hydra|LOC100213304	Xenia|LOC124455149, Xenia|LOC124452592
OG0002686	Hydra|LOC100198378	Xenia|LOC124440777, Xenia|LOC124448417
OG0002687	Hydra|LOC100215763	Xenia|LOC124457923, Xenia|LOC124443602, Xenia|LOC124457807
OG0002688	Hydra|LOC100213726	Xenia|LOC124438351
OG0002690	Hydra|LOC100199109	Xenia|LOC124458612
OG0002692	Hydra|LOC101240159	Xenia|LOC124450995
OG0002693	Hydra|LOC100205913	Xenia|LOC124433312
OG0002696	Hydra|LOC100211489	Xenia|LOC124442980, Xenia|LOC124442991, Xenia|LOC124442990
OG0002697	Hydra|LOC101240258	Xenia|LOC124459367, Xenia|LOC124459398, Xenia|LOC124442311
OG0002699	Hydra|LOC124808305	Xenia|LOC124445162
OG0002700	Hydra|LOC100207843	Xenia|LOC124441469
OG0002701	Hydra|LOC100215768, Hydra|LOC100212155	Xenia|LOC124454777, Xenia|LOC124434784
OG0002702	Hydra|LOC100205970, Hydra|LOC100207025	Xenia|LOC124442617
OG0002703	Hydra|LOC101236057	Xenia|LOC124455207, Xenia|LOC124435154, Xenia|LOC124459643
OG0002704	Hydra|LOC100200890	Xenia|LOC124440431, Xenia|LOC124435423, Xenia|LOC124440432
OG0002705	Hydra|LOC100208367	Xenia|LOC124451412
OG0002707	Hydra|LOC100200826	Xenia|LOC124443420, Xenia|LOC124451119
OG0002708	Hydra|LOC100200529	Xenia|LOC124436740
OG0002709	Hydra|LOC101238448	Xenia|LOC124441001
OG0002710	Hydra|LOC100212297	Xenia|LOC124448027, Xenia|LOC124448322, Xenia|LOC124449278
OG0002711	Hydra|LOC100201316	Xenia|LOC124451583, Xenia|LOC124448941
OG0002712	Hydra|LOC100204897	Xenia|LOC124447114
OG0002713	Hydra|LOC100211659	Xenia|LOC124446333
OG0002714	Hydra|LOC100197305	Xenia|LOC124443721
OG0002715	Hydra|LOC100206252	Xenia|LOC124452721
OG0002717	Hydra|LOC100213604, Hydra|LOC105845340	Xenia|LOC124444450
OG0002718	Hydra|LOC100213602, Hydra|LOC100215022	Xenia|LOC124446383, Xenia|LOC124456538
OG0002719	Hydra|LOC105844884	Xenia|LOC124435089
OG0002720	Hydra|LOC100205867	Xenia|LOC124447922, Xenia|LOC124447935
OG0002722	Hydra|LOC100192295	Xenia|LOC124440633
OG0002723	Hydra|LOC100212449	Xenia|LOC124446355
OG0002724	Hydra|LOC100210052	Xenia|LOC124455138, Xenia|LOC124439958
OG0002726	Hydra|LOC101240745, Hydra|LOC100214462	Xenia|LOC124441241, Xenia|LOC124441582
OG0002727	Hydra|LOC100199282	Xenia|LOC124454049
OG0002728	Hydra|LOC101236554	Xenia|LOC124459633
OG0002729	Hydra|LOC100197936	Xenia|LOC124452761
OG0002730	Hydra|LOC124807926, Hydra|LOC100207010	Xenia|LOC124438447
OG0002731	Hydra|LOC101237336	Xenia|LOC124442519
OG0002732	Hydra|LOC105849305	Xenia|LOC124442176, Xenia|LOC124434407
OG0002733	Hydra|LOC101238716	Xenia|LOC124446099
OG0002734	Hydra|LOC100212717	Xenia|LOC124443869
OG0002735	Hydra|LOC100212235	Xenia|LOC124441439, Xenia|LOC124442971
OG0002736	Hydra|LOC100211397	Xenia|LOC124435647
OG0002737	Hydra|LOC101240634	Xenia|LOC124441762, Xenia|LOC124441763, Xenia|LOC124441764
OG0002738	Hydra|LOC100197733	Xenia|LOC124453175
OG0002739	Hydra|LOC100207452	Xenia|LOC124439480, Xenia|LOC124437234
OG0002740	Hydra|LOC100203086, Hydra|LOC100199276	Xenia|LOC124435805
OG0002741	Hydra|LOC100207904	Xenia|LOC124454382, Xenia|LOC124438282
OG0002742	Hydra|LOC100207771, Hydra|LOC101237474	Xenia|LOC124451480
OG0002743	Hydra|LOC100209470	Xenia|LOC124439418, Xenia|LOC124456346, Xenia|LOC124456344
OG0002744	Hydra|LOC105843232	Xenia|LOC124440772, Xenia|LOC124455258
OG0002745	Hydra|LOC124808126, Hydra|LOC124805931, Hydra|LOC124817325	Xenia|LOC124442773
OG0002747	Hydra|LOC100214756	Xenia|LOC124441331, Xenia|LOC124441702
OG0002748	Hydra|LOC100215832	Xenia|LOC124442010, Xenia|LOC124442009
OG0002749	Hydra|LOC105844354	Xenia|LOC124437328, Xenia|LOC124437326, Xenia|LOC124437327
OG0002750	Hydra|LOC100203567, Hydra|LOC100198188	Xenia|LOC124451920
OG0002752	Hydra|LOC101237468	Xenia|LOC124439497, Xenia|LOC124453619
OG0002753	Hydra|LOC100210417	Xenia|LOC124441486
OG0002754	Hydra|LOC100197126	Xenia|LOC124433393
OG0002755	Hydra|LOC100213518	Xenia|LOC124433376
OG0002756	Hydra|LOC100215248	Xenia|LOC124459429
OG0002757	Hydra|LOC100201381	Xenia|LOC124434091
OG0002758	Hydra|LOC101234822, Hydra|LOC101237353	Xenia|LOC124435312
OG0002759	Hydra|LOC100199157	Xenia|LOC124436729, Xenia|LOC124455260, Xenia|LOC124453976
OG0002760	Hydra|LOC100200937	Xenia|LOC124441138
OG0002761	Hydra|LOC100197969	Xenia|LOC124456792, Xenia|LOC124459593
OG0002762	Hydra|LOC101241521, Hydra|LOC105844128	Xenia|LOC124453743
OG0002763	Hydra|LOC100207789	Xenia|LOC124445171
OG0002764	Hydra|LOC100212035, Hydra|LOC100212854	Xenia|LOC124447387, Xenia|LOC124445452
OG0002765	Hydra|LOC100207659	Xenia|LOC124447430
OG0002766	Hydra|LOC100197406	Xenia|LOC124438983, Xenia|LOC124455250
OG0002767	Hydra|LOC100207708	Xenia|LOC124441562, Xenia|LOC124440882
OG0002768	Hydra|LOC100215161	Xenia|LOC124452460
OG0002769	Hydra|LOC100201064	Xenia|LOC124453541, Xenia|LOC124453544
OG0002771	Hydra|LOC100198375	Xenia|LOC124453053
OG0002772	Hydra|LOC101238076, Hydra|LOC101238171, Hydra|LOC101237758	Xenia|LOC124446494
OG0002774	Hydra|LOC100202590	Xenia|LOC124436416
OG0002775	Hydra|LOC101234501	Xenia|LOC124437875
OG0002776	Hydra|LOC105845526	Xenia|LOC124451826
OG0002777	Hydra|LOC100200969	Xenia|LOC124459576
OG0002778	Hydra|LOC100206019, Hydra|LOC100210950	Xenia|LOC124440668
OG0002779	Hydra|LOC100205411	Xenia|LOC124448026, Xenia|LOC124440548
OG0002780	Hydra|LOC100206878	Xenia|LOC124437962, Xenia|LOC124438043
OG0002783	Hydra|LOC100215030	Xenia|LOC124443054, Xenia|LOC124435290
OG0002784	Hydra|LOC100213774	Xenia|LOC124446084
OG0002785	Hydra|LOC101234344, Hydra|LOC105843748, Hydra|LOC101238333	Xenia|LOC124447253
OG0002786	Hydra|LOC100212928	Xenia|LOC124453444, Xenia|LOC124453272
OG0002787	Hydra|LOC105849534	Xenia|LOC124444735, Xenia|LOC124444945
OG0002789	Hydra|LOC100202217	Xenia|LOC124456183, Xenia|LOC124440848
OG0002790	Hydra|LOC100202859, Hydra|LOC101240236	Xenia|LOC124452627
OG0002791	Hydra|LOC100204562	Xenia|LOC124446088, Xenia|LOC124448925
OG0002792	Hydra|LOC100197595	Xenia|LOC124434258, Xenia|LOC124435361
OG0002793	Hydra|LOC101237539	Xenia|LOC124435203, Xenia|LOC124435692, Xenia|LOC124434539
OG0002794	Hydra|LOC105850454	Xenia|LOC124439589
OG0002796	Hydra|LOC100199338	Xenia|LOC124448384
OG0002798	Hydra|LOC105844981, Hydra|LOC101234937, Hydra|LOC100213163	Xenia|LOC124436408
OG0002799	Hydra|LOC100205211	Xenia|LOC124433675
OG0002801	Hydra|LOC100205748	Xenia|LOC124448245
OG0002802	Hydra|LOC101241040	Xenia|LOC124435087, Xenia|LOC124435072
OG0002803	Hydra|LOC100202861	Xenia|LOC124441216, Xenia|LOC124441213, Xenia|LOC124455321
OG0002805	Hydra|LOC100204404	Xenia|LOC124437555
OG0002806	Hydra|LOC100209448	Xenia|LOC124433977, Xenia|LOC124434487, Xenia|LOC124435333
OG0002807	Hydra|LOC100204303	Xenia|LOC124453316
OG0002808	Hydra|LOC100201385	Xenia|LOC124446402
OG0002809	Hydra|LOC100198350, Hydra|LOC100214971, Hydra|LOC100204899	Xenia|LOC124439849
OG0002810	Hydra|LOC100205900, Hydra|LOC124807980	Xenia|LOC124438753, Xenia|LOC124438924
OG0002811	Hydra|LOC100215085	Xenia|LOC124450291, Xenia|LOC124443863
OG0002815	Hydra|LOC100197067	Xenia|LOC124453158, Xenia|LOC124453484, Xenia|LOC124453485
OG0002816	Hydra|LOC100202881	Xenia|LOC124435543, Xenia|LOC124435734, Xenia|LOC124435733
OG0002817	Hydra|LOC100215572	Xenia|LOC124437123, Xenia|LOC124437122, Xenia|LOC124436543
OG0002818	Hydra|LOC105848216, Hydra|LOC101234557	Xenia|LOC124440623, Xenia|LOC124440621
OG0002819	Hydra|LOC100214787	Xenia|LOC124444457, Xenia|LOC124443639
OG0002820	Hydra|LOC100205307	Xenia|LOC124434003
OG0002821	Hydra|LOC100199846	Xenia|LOC124434886
OG0002822	Hydra|LOC100205158	Xenia|LOC124454379, Xenia|LOC124454360, Xenia|LOC124454209
OG0002823	Hydra|LOC124812367, Hydra|LOC105845275, Hydra|LOC100208716	Xenia|LOC124439527
OG0002824	Hydra|LOC100215049	Xenia|LOC124434932, Xenia|LOC124445023
OG0002825	Hydra|LOC100214148	Xenia|LOC124433305
OG0002827	Hydra|LOC100205183	Xenia|LOC124447841
OG0002828	Hydra|LOC100215276	Xenia|LOC124455027, Xenia|LOC124454864, Xenia|LOC124454468
OG0002831	Hydra|LOC105848317	Xenia|LOC124445136, Xenia|LOC124446936, Xenia|LOC124445139, Xenia|LOC124445134
OG0002846	Hydra|LOC100199445, Hydra|LOC100209438	Xenia|LOC124446966, Xenia|LOC124446716
OG0002850	Hydra|LOC100200591, Hydra|LOC100206369	Xenia|LOC124446092
OG0002852	Hydra|LOC105844598	Xenia|LOC124447379, Xenia|LOC124439464, Xenia|LOC124438764, Xenia|LOC124444559
OG0002858	Hydra|LOC100214554	Xenia|LOC124440822
OG0002865	Hydra|LOC124810533	Xenia|LOC124453936, Xenia|LOC124440439, Xenia|LOC124455456, Xenia|LOC124458327, Xenia|LOC124445111, Xenia|LOC124434315
OG0002866	Hydra|LOC100213177	Xenia|LOC124443776
OG0002867	Hydra|LOC100198701	Xenia|LOC124451089, Xenia|LOC124452217, Xenia|LOC124452213, Xenia|LOC124450830
OG0002871	Hydra|LOC100215991	Xenia|LOC124441828
OG0002876	Hydra|LOC124813978, Hydra|LOC124818145	Xenia|LOC124437579, Xenia|LOC124456451, Xenia|LOC124441607
OG0002877	Hydra|LOC100215412, Hydra|LOC100205865, Hydra|LOC100197222	Xenia|LOC124452613
OG0002884	Hydra|LOC124818766	Xenia|LOC124457320, Xenia|LOC124457006, Xenia|LOC124452505, Xenia|LOC124441648, Xenia|LOC124459320, Xenia|LOC124440410
OG0002887	Hydra|LOC101239907	Xenia|LOC124444503
OG0002966	Hydra|LOC100200553	Xenia|LOC124451775
OG0002968	Hydra|LOC101235541	Xenia|LOC124452037
OG0002969	Hydra|LOC100199674	Xenia|LOC124435792, Xenia|LOC124434524
OG0002970	Hydra|LOC100212358	Xenia|LOC124439498
OG0002971	Hydra|LOC124808578, Hydra|LOC100215268	Xenia|LOC124453593
OG0002972	Hydra|LOC101240464	Xenia|LOC124444234
OG0002974	Hydra|LOC101238194	Xenia|LOC124440157
OG0002975	Hydra|LOC100211900	Xenia|LOC124445374
OG0002976	Hydra|LOC100201986	Xenia|LOC124446005
OG0002977	Hydra|LOC101239838	Xenia|LOC124434105, Xenia|LOC124435667
OG0002981	Hydra|LOC100213852	Xenia|LOC124446674
OG0002982	Hydra|LOC100199842	Xenia|LOC124451139, Xenia|LOC124450718
OG0002983	Hydra|LOC100198593	Xenia|LOC124443873
OG0002984	Hydra|LOC100206804	Xenia|LOC124438011
OG0002985	Hydra|LOC100204927	Xenia|LOC124450231
OG0002986	Hydra|LOC100202980	Xenia|LOC124450660, Xenia|LOC124451633
OG0002987	Hydra|LOC101241113	Xenia|LOC124444880
OG0002988	Hydra|LOC100202873	Xenia|LOC124443565
OG0002989	Hydra|LOC100192226	Xenia|LOC124445359
OG0002990	Hydra|LOC105843116	Xenia|LOC124442338
OG0002991	Hydra|LOC100205121, Hydra|LOC101235807	Xenia|LOC124443199
OG0002993	Hydra|LOC100200448	Xenia|LOC124433651
OG0002996	Hydra|LOC101240139	Xenia|LOC124441728
OG0002997	Hydra|LOC100204445	Xenia|LOC124441941, Xenia|LOC124441942
OG0002998	Hydra|LOC100199474	Xenia|LOC124450524, Xenia|LOC124450581
OG0002999	Hydra|LOC124818399	Xenia|LOC124438325
OG0003000	Hydra|LOC100205537	Xenia|LOC124446429
OG0003001	Hydra|LOC100209325	Xenia|LOC124439288
OG0003003	Hydra|LOC100199307, Hydra|LOC105848638	Xenia|LOC124446628
OG0003004	Hydra|LOC100205723	Xenia|LOC124438889, Xenia|LOC124438893
OG0003005	Hydra|LOC100211567	Xenia|LOC124446963
OG0003006	Hydra|LOC100199039, Hydra|LOC100209776	Xenia|LOC124445386
OG0003007	Hydra|LOC100204452	Xenia|LOC124459638
OG0003008	Hydra|LOC100210459, Hydra|LOC100199376	Xenia|LOC124437024
OG0003009	Hydra|LOC100202271	Xenia|LOC124435939, Xenia|LOC124437005
OG0003010	Hydra|LOC124812306, Hydra|LOC105843433	Xenia|LOC124437170
OG0003013	Hydra|LOC101236285	Xenia|LOC124436184
OG0003016	Hydra|LOC100203713	Xenia|LOC124449372
OG0003017	Hydra|LOC100210375	Xenia|LOC124444883
OG0003021	Hydra|LOC100198230	Xenia|LOC124447260
OG0003024	Hydra|LOC100205729	Xenia|LOC124439415, Xenia|LOC124443008
OG0003025	Hydra|LOC101236226	Xenia|LOC124456177, Xenia|LOC124440202
OG0003026	Hydra|LOC101239705	Xenia|LOC124456316, Xenia|LOC124456308
OG0003027	Hydra|LOC100197787	Xenia|LOC124454644
OG0003028	Hydra|LOC100201341	Xenia|LOC124434823
OG0003031	Hydra|LOC100199475	Xenia|LOC124453657
OG0003032	Hydra|LOC100206443	Xenia|LOC124452704, Xenia|LOC124452695
OG0003033	Hydra|LOC100200189	Xenia|LOC124434238
OG0003034	Hydra|LOC100209845	Xenia|LOC124434324
OG0003035	Hydra|LOC100202755	Xenia|LOC124436374, Xenia|LOC124437231
OG0003036	Hydra|LOC100205710, Hydra|LOC105845201	Xenia|LOC124436359
OG0003037	Hydra|LOC100215871, Hydra|LOC124813722	Xenia|LOC124435806
OG0003039	Hydra|LOC100198380	Xenia|LOC124439675
OG0003040	Hydra|LOC105844319	Xenia|LOC124440787, Xenia|LOC124440565
OG0003041	Hydra|LOC101241822	Xenia|LOC124440099
OG0003042	Hydra|LOC101239941	Xenia|LOC124453004
OG0003043	Hydra|LOC101238924	Xenia|LOC124449219
OG0003044	Hydra|LOC100214847, Hydra|LOC100206138	Xenia|LOC124444866
OG0003045	Hydra|LOC100215392	Xenia|LOC124438401
OG0003047	Hydra|LOC101240325	Xenia|LOC124444259
OG0003048	Hydra|LOC100215302	Xenia|LOC124443975
OG0003049	Hydra|LOC100203079	Xenia|LOC124444869, Xenia|LOC124444870
OG0003051	Hydra|LOC100206079	Xenia|LOC124435375
OG0003052	Hydra|LOC100205603	Xenia|LOC124433583
OG0003053	Hydra|LOC101236017	Xenia|LOC124448247
OG0003054	Hydra|LOC101235355	Xenia|LOC124459570
OG0003055	Hydra|LOC100205249	Xenia|LOC124454642
OG0003056	Hydra|LOC100210997	Xenia|LOC124450570
OG0003057	Hydra|LOC100199077	Xenia|LOC124454914
OG0003058	Hydra|LOC100214561	Xenia|LOC124447299
OG0003062	Hydra|LOC100210391	Xenia|LOC124448400
OG0003063	Hydra|LOC100208319	Xenia|LOC124448760
OG0003064	Hydra|LOC100205095	Xenia|LOC124442748
OG0003066	Hydra|LOC100205364	Xenia|LOC124452035, Xenia|LOC124451031
OG0003068	Hydra|LOC100199799	Xenia|LOC124456551, Xenia|LOC124446700
OG0003069	Hydra|LOC100214900	Xenia|LOC124459060
OG0003070	Hydra|LOC100215515	Xenia|LOC124451092, Xenia|LOC124452214
OG0003072	Hydra|LOC101239069	Xenia|LOC124449326, Xenia|LOC124448653
OG0003073	Hydra|LOC100208059	Xenia|LOC124456123
OG0003074	Hydra|LOC100206131	Xenia|LOC124447598
OG0003075	Hydra|LOC105848108	Xenia|LOC124438279
OG0003076	Hydra|LOC100211205	Xenia|LOC124433569
OG0003077	Hydra|LOC100198815	Xenia|LOC124442805, Xenia|LOC124442804
OG0003078	Hydra|LOC100204990, Hydra|LOC100206464	Xenia|LOC124442787
OG0003080	Hydra|LOC100215878	Xenia|LOC124442588
OG0003081	Hydra|LOC100206009	Xenia|LOC124442685
OG0003082	Hydra|LOC105843465	Xenia|LOC124441938
OG0003083	Hydra|LOC105844168	Xenia|LOC124454785
OG0003084	Hydra|LOC101240038	Xenia|LOC124438716
OG0003085	Hydra|LOC100205504	Xenia|LOC124438221
OG0003086	Hydra|LOC100209839	Xenia|LOC124453618, Xenia|LOC124439490
OG0003087	Hydra|LOC100214019	Xenia|LOC124447343
OG0003088	Hydra|LOC100213650	Xenia|LOC124455505, Xenia|LOC124455506
OG0003089	Hydra|LOC100214001	Xenia|LOC124443007
OG0003090	Hydra|LOC100210733	Xenia|LOC124451011
OG0003092	Hydra|LOC100203509	Xenia|LOC124445409
OG0003093	Hydra|LOC100215352	Xenia|LOC124445457
OG0003094	Hydra|LOC100209141, Hydra|LOC100207380	Xenia|LOC124446483
OG0003095	Hydra|LOC100209004	Xenia|LOC124446208
OG0003096	Hydra|LOC100205500	Xenia|LOC124451059
OG0003098	Hydra|LOC100215656	Xenia|LOC124446155
OG0003099	Hydra|LOC100214879	Xenia|LOC124434798, Xenia|LOC124434755
OG0003100	Hydra|LOC101237447	Xenia|LOC124445602
OG0003101	Hydra|LOC100203792	Xenia|LOC124438975
OG0003102	Hydra|LOC100206352	Xenia|LOC124439236, Xenia|LOC124445950
OG0003104	Hydra|LOC101236372	Xenia|LOC124446231
OG0003105	Hydra|LOC100206945	Xenia|LOC124446933
OG0003106	Hydra|LOC100209554	Xenia|LOC124442541, Xenia|LOC124442242
OG0003107	Hydra|LOC100202100	Xenia|LOC124435582
OG0003108	Hydra|LOC100209631	Xenia|LOC124452763
OG0003112	Hydra|LOC100197986	Xenia|LOC124438313
OG0003113	Hydra|LOC100205772	Xenia|LOC124445624
OG0003116	Hydra|LOC100205946	Xenia|LOC124446977
OG0003117	Hydra|LOC100212974	Xenia|LOC124436824
OG0003118	Hydra|LOC100198693	Xenia|LOC124457167
OG0003119	Hydra|LOC100209341	Xenia|LOC124444027
OG0003121	Hydra|LOC100207220	Xenia|LOC124438299
OG0003123	Hydra|LOC105844161	Xenia|LOC124441224
OG0003124	Hydra|LOC101236913	Xenia|LOC124438217
OG0003126	Hydra|LOC100214132	Xenia|LOC124452673
OG0003129	Hydra|LOC105846693, Hydra|LOC124811169	Xenia|LOC124433970
OG0003130	Hydra|LOC100213442	Xenia|LOC124438139
OG0003131	Hydra|LOC101240406	Xenia|LOC124450969
OG0003132	Hydra|LOC105848339	Xenia|LOC124439514
OG0003133	Hydra|LOC101236029	Xenia|LOC124433578
OG0003137	Hydra|LOC100202007	Xenia|LOC124441467
OG0003138	Hydra|LOC100198902	Xenia|LOC124440056
OG0003139	Hydra|LOC100200051	Xenia|LOC124444971
OG0003140	Hydra|LOC124808390, Hydra|LOC100213467	Xenia|LOC124446998
OG0003141	Hydra|LOC100210656	Xenia|LOC124445203, Xenia|LOC124446407
OG0003142	Hydra|LOC100200567	Xenia|LOC124451493
OG0003144	Hydra|LOC100214671	Xenia|LOC124454614
OG0003145	Hydra|LOC100206687	Xenia|LOC124458189
OG0003146	Hydra|LOC100213606	Xenia|LOC124459418
OG0003148	Hydra|LOC100211674	Xenia|LOC124438232, Xenia|LOC124455228
OG0003149	Hydra|LOC100203604	Xenia|LOC124438369
OG0003150	Hydra|LOC101234474	Xenia|LOC124447997
OG0003151	Hydra|LOC100203131	Xenia|LOC124436576
OG0003152	Hydra|LOC100204363	Xenia|LOC124435849
OG0003153	Hydra|LOC100197497	Xenia|LOC124436869
OG0003155	Hydra|LOC105847408	Xenia|LOC124443103
OG0003156	Hydra|LOC100212290	Xenia|LOC124436297
OG0003157	Hydra|LOC100198058	Xenia|LOC124442546
OG0003159	Hydra|LOC100197818	Xenia|LOC124439361
OG0003160	Hydra|LOC101236940	Xenia|LOC124438281
OG0003161	Hydra|LOC105844765	Xenia|LOC124445195
OG0003162	Hydra|LOC100197199	Xenia|LOC124434859, Xenia|LOC124433846
OG0003163	Hydra|LOC100209144	Xenia|LOC124433851
OG0003164	Hydra|LOC100203223	Xenia|LOC124434133
OG0003165	Hydra|LOC100208668	Xenia|LOC124441803
OG0003166	Hydra|LOC100201265	Xenia|LOC124443977
OG0003167	Hydra|LOC100215627	Xenia|LOC124447123
OG0003168	Hydra|LOC100214046	Xenia|LOC124452104
OG0003169	Hydra|LOC100207216	Xenia|LOC124459472
OG0003170	Hydra|LOC100205584	Xenia|LOC124452405, Xenia|LOC124447667
OG0003171	Hydra|LOC100197612	Xenia|LOC124459427
OG0003172	Hydra|LOC100207635	Xenia|LOC124444406
OG0003173	Hydra|LOC100204270	Xenia|LOC124458308
OG0003174	Hydra|LOC100200596	Xenia|LOC124442840
OG0003175	Hydra|LOC100202184	Xenia|LOC124441437
OG0003176	Hydra|LOC100201027	Xenia|LOC124443795
OG0003177	Hydra|LOC100206533	Xenia|LOC124443659, Xenia|LOC124433391
OG0003178	Hydra|LOC100201757	Xenia|LOC124443718, Xenia|LOC124444096
OG0003180	Hydra|LOC100199635	Xenia|LOC124455404, Xenia|LOC124455850
OG0003181	Hydra|LOC105844611	Xenia|LOC124454453, Xenia|LOC124454587
OG0003182	Hydra|LOC100199052	Xenia|LOC124438103
OG0003187	Hydra|LOC100208182	Xenia|LOC124444002
OG0003188	Hydra|LOC100212139	Xenia|LOC124444955
OG0003189	Hydra|LOC100203339	Xenia|LOC124441534, Xenia|LOC124441818
OG0003190	Hydra|LOC100208741	Xenia|LOC124444396, Xenia|LOC124444577
OG0003191	Hydra|LOC105845370	Xenia|LOC124443758
OG0003193	Hydra|LOC100199152	Xenia|LOC124446390
OG0003194	Hydra|LOC100207083	Xenia|LOC124434801
OG0003195	Hydra|LOC101235374	Xenia|LOC124448709
OG0003196	Hydra|LOC100203011	Xenia|LOC124457574, Xenia|LOC124440069
OG0003197	Hydra|LOC100200373	Xenia|LOC124433418
OG0003199	Hydra|LOC100200480	Xenia|LOC124457375
OG0003200	Hydra|LOC100215891	Xenia|LOC124450534
OG0003203	Hydra|LOC101240403	Xenia|LOC124452506
OG0003204	Hydra|LOC100197083	Xenia|LOC124442367
