Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_XeniaProteins
OG0001585	Hydractinia|LOC130648449	Xenia|LOC124442754
OG0001587	Hydractinia|LOC130644623, Hydractinia|LOC130644677	Xenia|LOC124441171
OG0001589	Hydractinia|LOC130648227	Xenia|LOC124452419
OG0001591	Hydractinia|LOC130636584, Hydractinia|LOC130622432	Xenia|LOC124433648, Xenia|LOC124435448, Xenia|LOC124435214, Xenia|LOC124435178
OG0001595	Hydractinia|LOC130628992, Hydractinia|LOC130628780, Hydractinia|LOC130613373, Hydractinia|LOC130629288	Xenia|LOC124433818
OG0001599	Hydractinia|LOC130630370	Xenia|LOC124444447
OG0001599	Hydractinia|LOC130656391	Xenia|LOC124444539
OG0001606	Hydractinia|LOC130645337, Hydractinia|LOC130645299	Xenia|LOC124443589
OG0001608	Hydractinia|LOC130644609, Hydractinia|LOC130644433, Hydractinia|LOC130641440	Xenia|LOC124441882
OG0001609	Hydractinia|LOC130638441, Hydractinia|LOC130636524, Hydractinia|LOC130636542, Hydractinia|LOC130638473	Xenia|LOC124445202
OG0001610	Hydractinia|LOC130613404, Hydractinia|LOC130613403, Hydractinia|LOC130614036, Hydractinia|LOC130614035, Hydractinia|LOC130614033	Xenia|LOC124437539
OG0001613	Hydractinia|LOC130630226, Hydractinia|LOC130630464	Xenia|LOC124440163
OG0001614	Hydractinia|LOC130657611	Xenia|LOC124452781, Xenia|LOC124452768
OG0001618	Hydractinia|LOC130629298	Xenia|LOC124433351
OG0001619	Hydractinia|LOC130622631	Xenia|LOC124439803
OG0001623	Hydractinia|LOC130622478, Hydractinia|LOC130656069	Xenia|LOC124445866, Xenia|LOC124446675
OG0001624	Hydractinia|LOC130647597, Hydractinia|LOC130647321	Xenia|LOC124433333
OG0001625	Hydractinia|LOC130623822, Hydractinia|LOC130612726	Xenia|LOC124440896, Xenia|LOC124447030
OG0001626	Hydractinia|LOC130621286, Hydractinia|LOC130621470	Xenia|LOC124455681
OG0001627	Hydractinia|LOC130629613, Hydractinia|LOC130645588	Xenia|LOC124442345
OG0001629	Hydractinia|LOC130654971	Xenia|LOC124442957, Xenia|LOC124438760, Xenia|LOC124438811, Xenia|LOC124438803, Xenia|LOC124444582
OG0001632	Hydractinia|LOC130612588, Hydractinia|LOC130612589	Xenia|LOC124434664
OG0001638	Hydractinia|LOC130645486, Hydractinia|LOC130645485, Hydractinia|LOC130629966	Xenia|LOC124443996, Xenia|LOC124443995
OG0001639	Hydractinia|LOC130657469, Hydractinia|LOC130657467	Xenia|LOC124438056
OG0001640	Hydractinia|LOC130647715	Xenia|LOC124455929
OG0001643	Hydractinia|LOC130612678	Xenia|LOC124434362
OG0001644	Hydractinia|LOC130641652	Xenia|LOC124443574
OG0001646	Hydractinia|LOC130614079, Hydractinia|LOC130614078	Xenia|LOC124450693, Xenia|LOC124452612
OG0001648	Hydractinia|LOC130623295, Hydractinia|LOC130622910	Xenia|LOC124434135, Xenia|LOC124434136
OG0001649	Hydractinia|LOC130645250	Xenia|LOC124444625, Xenia|LOC124443549
OG0001650	Hydractinia|LOC130613012, Hydractinia|LOC130662840	Xenia|LOC124447546, Xenia|LOC124443598
OG0001651	Hydractinia|LOC130655487	Xenia|LOC124443806, Xenia|LOC124450791
OG0001653	Hydractinia|LOC130645315	Xenia|LOC124442872
OG0001654	Hydractinia|LOC130634712	Xenia|LOC124433771
OG0001654	Hydractinia|LOC130649586	Xenia|LOC124449483
OG0001658	Hydractinia|LOC130647675	Xenia|LOC124452467
OG0001660	Hydractinia|LOC130623891, Hydractinia|LOC130657887	Xenia|LOC124449122
OG0001662	Hydractinia|LOC130612728, Hydractinia|LOC130612077	Xenia|LOC124435451, Xenia|LOC124434494, Xenia|LOC124435218
OG0001663	Hydractinia|LOC130649031, Hydractinia|LOC130649401	Xenia|LOC124448577, Xenia|LOC124458708
OG0001665	Hydractinia|LOC130656619, Hydractinia|LOC130629405, Hydractinia|LOC130626622, Hydractinia|LOC130628633	Xenia|LOC124451060
OG0001667	Hydractinia|LOC130622543	Xenia|LOC124444915, Xenia|LOC124444844, Xenia|LOC124444940, Xenia|LOC124444952, Xenia|LOC124439599
OG0001668	Hydractinia|LOC130644167, Hydractinia|LOC130646167, Hydractinia|LOC130646133, Hydractinia|LOC130646343	Xenia|LOC124443828
OG0001669	Hydractinia|LOC130613694, Hydractinia|LOC130613414	Xenia|LOC124436187
OG0001670	Hydractinia|LOC130649451	Xenia|LOC124448754, Xenia|LOC124449395, Xenia|LOC124449449
OG0001671	Hydractinia|LOC130626067, Hydractinia|LOC130657548	Xenia|LOC124452932
OG0001674	Hydractinia|LOC130655884	Xenia|LOC124434110
OG0001674	Hydractinia|LOC130644916	Xenia|LOC124453499
OG0001684	Hydractinia|LOC130636140	Xenia|LOC124447464, Xenia|LOC124447462
OG0001685	Hydractinia|LOC130623390	Xenia|LOC124435314
OG0001686	Hydractinia|LOC130630076	Xenia|LOC124450906
OG0001691	Hydractinia|LOC130647379, Hydractinia|LOC130629340, Hydractinia|LOC130645546, Hydractinia|LOC130628747, Hydractinia|LOC130647601, Hydractinia|LOC130614603	Xenia|LOC124449232
OG0001692	Hydractinia|LOC130647889	Xenia|LOC124437114, Xenia|LOC124437105, Xenia|LOC124437103, Xenia|LOC124436524
OG0001695	Hydractinia|LOC130644925, Hydractinia|LOC130645540	Xenia|LOC124441006
OG0001696	Hydractinia|LOC130635826	Xenia|LOC124446028
OG0001697	Hydractinia|LOC130614808	Xenia|LOC124445954, Xenia|LOC124443262, Xenia|LOC124443136, Xenia|LOC124435758, Xenia|LOC124443251
OG0001698	Hydractinia|LOC130644790	Xenia|LOC124443078, Xenia|LOC124451244
OG0001698	Hydractinia|LOC130641383	Xenia|LOC124444749
OG0001699	Hydractinia|LOC130654923	Xenia|LOC124438694, Xenia|LOC124439399
OG0001705	Hydractinia|LOC130614321	Xenia|LOC124444297
OG0001707	Hydractinia|LOC130622059	Xenia|LOC124445106
OG0001708	Hydractinia|LOC130636895, Hydractinia|LOC130658137, Hydractinia|LOC130628666, Hydractinia|LOC130648456	Xenia|LOC124454940, Xenia|LOC124454800
OG0001709	Hydractinia|LOC130612045, Hydractinia|LOC130612604, Hydractinia|LOC130612607, Hydractinia|LOC130612608, Hydractinia|LOC130613215	Xenia|LOC124446389
OG0001710	Hydractinia|LOC130647851	Xenia|LOC124439751, Xenia|LOC124440393, Xenia|LOC124440002, Xenia|LOC124459543
OG0001711	Hydractinia|LOC130636586, Hydractinia|LOC130637009, Hydractinia|LOC130636585	Xenia|LOC124448266
OG0001716	Hydractinia|LOC130635548, Hydractinia|LOC130635547, Hydractinia|LOC130647176, Hydractinia|LOC130621576, Hydractinia|LOC130644197, Hydractinia|LOC130613303, Hydractinia|LOC130613302	Xenia|LOC124452053
OG0001717	Hydractinia|LOC130645703, Hydractinia|LOC130645839	Xenia|LOC124450742, Xenia|LOC124450743
OG0001719	Hydractinia|LOC130624922	Xenia|LOC124435358
OG0001720	Hydractinia|LOC130645015, Hydractinia|LOC130655264	Xenia|LOC124442587
OG0001722	Hydractinia|LOC130635692	Xenia|LOC124445908, Xenia|LOC124445909, Xenia|LOC124445911
OG0001723	Hydractinia|LOC130636250, Hydractinia|LOC130636246	Xenia|LOC124447086
OG0001724	Hydractinia|LOC130644350	Xenia|LOC124452676, Xenia|LOC124441924, Xenia|LOC124444021
OG0001726	Hydractinia|LOC130645423, Hydractinia|LOC130657045, Hydractinia|LOC130657044	Xenia|LOC124441483
OG0001727	Hydractinia|LOC130645348, Hydractinia|LOC130645592, Hydractinia|LOC130645435	Xenia|LOC124442556
OG0001730	Hydractinia|LOC130636347	Xenia|LOC124449788, Xenia|LOC124454083, Xenia|LOC124454067
OG0001731	Hydractinia|LOC130644547, Hydractinia|LOC130657030	Xenia|LOC124443807
OG0001732	Hydractinia|LOC130623103	Xenia|LOC124443533
OG0001734	Hydractinia|LOC130644628	Xenia|LOC124441967, Xenia|LOC124443339, Xenia|LOC124441852, Xenia|LOC124441966
OG0001735	Hydractinia|LOC130612499, Hydractinia|LOC130612340	Xenia|LOC124439005
OG0001736	Hydractinia|LOC130657687	Xenia|LOC124438576, Xenia|LOC124438574, Xenia|LOC124438575
OG0001737	Hydractinia|LOC130657249	Xenia|LOC124441146, Xenia|LOC124441147
OG0001738	Hydractinia|LOC130612348, Hydractinia|LOC130641651	Xenia|LOC124444065
OG0001740	Hydractinia|LOC130649592	Xenia|LOC124454920, Xenia|LOC124454921
OG0001741	Hydractinia|LOC130641744, Hydractinia|LOC130641820	Xenia|LOC124453610
OG0001742	Hydractinia|LOC130613796	Xenia|LOC124437759
OG0001743	Hydractinia|LOC130614405	Xenia|LOC124442975, Xenia|LOC124441720, Xenia|LOC124441719
OG0001746	Hydractinia|LOC130624240	Xenia|LOC124434306
OG0001747	Hydractinia|LOC130649279, Hydractinia|LOC130649426	Xenia|LOC124446692, Xenia|LOC124447245
OG0001748	Hydractinia|LOC130622989	Xenia|LOC124446712
OG0001750	Hydractinia|LOC130649026	Xenia|LOC124437825
OG0001751	Hydractinia|LOC130644619, Hydractinia|LOC130645841, Hydractinia|LOC130645700	Xenia|LOC124441170
OG0001752	Hydractinia|LOC130614060, Hydractinia|LOC130613807	Xenia|LOC124437434, Xenia|LOC124436347
OG0001755	Hydractinia|LOC130642081, Hydractinia|LOC130622233, Hydractinia|LOC130622079	Xenia|LOC124449806
OG0001756	Hydractinia|LOC130629795	Xenia|LOC124434894, Xenia|LOC124442930, Xenia|LOC124434906, Xenia|LOC124440364
OG0001757	Hydractinia|LOC130628869	Xenia|LOC124455987
OG0001758	Hydractinia|LOC130655263	Xenia|LOC124442353, Xenia|LOC124438440
OG0001759	Hydractinia|LOC130613662, Hydractinia|LOC130656924	Xenia|LOC124451434
OG0001760	Hydractinia|LOC130640445, Hydractinia|LOC130643369	Xenia|LOC124433402
OG0001761	Hydractinia|LOC130645859, Hydractinia|LOC130645686, Hydractinia|LOC130636689	Xenia|LOC124446409
OG0001762	Hydractinia|LOC130645809	Xenia|LOC124443062
OG0001763	Hydractinia|LOC130645265, Hydractinia|LOC130656966	Xenia|LOC124446517
OG0001797	Hydractinia|LOC130645220	Xenia|LOC124444590, Xenia|LOC124444176, Xenia|LOC124443685, Xenia|LOC124444174, Xenia|LOC124444596, Xenia|LOC124443688
OG0001799	Hydractinia|LOC130629758, Hydractinia|LOC130626701, Hydractinia|LOC130629767, Hydractinia|LOC130628170, Hydractinia|LOC130645282, Hydractinia|LOC130645593	Xenia|LOC124442317
OG0001800	Hydractinia|LOC130645706, Hydractinia|LOC130645828, Hydractinia|LOC130645708, Hydractinia|LOC130645829	Xenia|LOC124439876
OG0001810	Hydractinia|LOC130657322	Xenia|LOC124453114, Xenia|LOC124453115
OG0001817	Hydractinia|LOC130629587, Hydractinia|LOC130629588	Xenia|LOC124439356
OG0001818	Hydractinia|LOC130662872, Hydractinia|LOC130653646, Hydractinia|LOC130613524	Xenia|LOC124441618, Xenia|LOC124458065, Xenia|LOC124446508, Xenia|LOC124448817
OG0001821	Hydractinia|LOC130620560, Hydractinia|LOC130622739, Hydractinia|LOC130612865, Hydractinia|LOC130655608, Hydractinia|LOC130636175, Hydractinia|LOC130648575, Hydractinia|LOC130641754	Xenia|LOC124456901, Xenia|LOC124457930
OG0001829	Hydractinia|LOC130645813	Xenia|LOC124451206, Xenia|LOC124435121, Xenia|LOC124449223, Xenia|LOC124434335, Xenia|LOC124453968, Xenia|LOC124437081, Xenia|LOC124450871, Xenia|LOC124451661
OG0001832	Hydractinia|LOC130625262	Xenia|LOC124457663, Xenia|LOC124454172, Xenia|LOC124448379, Xenia|LOC124459326, Xenia|LOC124457242, Xenia|LOC124452223, Xenia|LOC124457088
OG0001855	Hydractinia|LOC130612494, Hydractinia|LOC130647088	Xenia|LOC124451296, Xenia|LOC124449777
OG0001859	Hydractinia|LOC130622269, Hydractinia|LOC130622157	Xenia|LOC124440061
OG0001860	Hydractinia|LOC130642026	Xenia|LOC124453227
OG0001866	Hydractinia|LOC130657383	Xenia|LOC124439635
OG0001867	Hydractinia|LOC130653927	Xenia|LOC124450523, Xenia|LOC124455223, Xenia|LOC124459186, Xenia|LOC124450582
OG0001870	Hydractinia|LOC130613500	Xenia|LOC124436390
OG0001872	Hydractinia|LOC130622542	Xenia|LOC124444498
OG0001873	Hydractinia|LOC130622386, Hydractinia|LOC130621188	Xenia|LOC124439959
OG0001874	Hydractinia|LOC130614543, Hydractinia|LOC130655401, Hydractinia|LOC130655303	Xenia|LOC124445353
OG0001880	Hydractinia|LOC130622578	Xenia|LOC124453873, Xenia|LOC124459158, Xenia|LOC124439901
OG0001882	Hydractinia|LOC130641304	Xenia|LOC124453661, Xenia|LOC124444926, Xenia|LOC124447169
OG0001883	Hydractinia|LOC130641685, Hydractinia|LOC130641686	Xenia|LOC124453308, Xenia|LOC124456618, Xenia|LOC124459023
OG0001884	Hydractinia|LOC130653960	Xenia|LOC124434874
OG0001885	Hydractinia|LOC130655528, Hydractinia|LOC130655525, Hydractinia|LOC130655527, Hydractinia|LOC130655524, Hydractinia|LOC130655436	Xenia|LOC124445924
OG0001886	Hydractinia|LOC130647031, Hydractinia|LOC130647054	Xenia|LOC124442379, Xenia|LOC124451332
OG0001887	Hydractinia|LOC130613076	Xenia|LOC124455388, Xenia|LOC124455382, Xenia|LOC124455364
OG0001888	Hydractinia|LOC130636037	Xenia|LOC124442166
OG0001889	Hydractinia|LOC130614325, Hydractinia|LOC130624048, Hydractinia|LOC130613375	Xenia|LOC124454693, Xenia|LOC124454685
OG0001891	Hydractinia|LOC130613297, Hydractinia|LOC130613287	Xenia|LOC124438019
OG0001893	Hydractinia|LOC130621514, Hydractinia|LOC130612893	Xenia|LOC124438552
OG0001894	Hydractinia|LOC130635996	Xenia|LOC124453712
OG0001895	Hydractinia|LOC130612125, Hydractinia|LOC130625951	Xenia|LOC124450330
OG0001896	Hydractinia|LOC130625409	Xenia|LOC124453040, Xenia|LOC124438348
OG0001899	Hydractinia|LOC130636776, Hydractinia|LOC130636798	Xenia|LOC124445651
OG0001900	Hydractinia|LOC130636066, Hydractinia|LOC130641355	Xenia|LOC124447561
OG0001904	Hydractinia|LOC130638291, Hydractinia|LOC130636442	Xenia|LOC124437245, Xenia|LOC124436277, Xenia|LOC124437575
OG0001906	Hydractinia|LOC130662726, Hydractinia|LOC130612133	Xenia|LOC124443769, Xenia|LOC124454236
OG0001907	Hydractinia|LOC130613738	Xenia|LOC124437373
OG0001909	Hydractinia|LOC130621447	Xenia|LOC124436750
OG0001910	Hydractinia|LOC130630281	Xenia|LOC124456091
OG0001911	Hydractinia|LOC130636660, Hydractinia|LOC130636659	Xenia|LOC124445150
OG0001912	Hydractinia|LOC130637014	Xenia|LOC124443836, Xenia|LOC124445518
OG0001913	Hydractinia|LOC130635537, Hydractinia|LOC130635559, Hydractinia|LOC130635562	Xenia|LOC124445266, Xenia|LOC124445267
OG0001914	Hydractinia|LOC130629080, Hydractinia|LOC130654035	Xenia|LOC124450270
OG0001915	Hydractinia|LOC130647581	Xenia|LOC124441334
OG0001915	Hydractinia|LOC130629571	Xenia|LOC124435710
OG0001916	Hydractinia|LOC130612559, Hydractinia|LOC130612560	Xenia|LOC124452203, Xenia|LOC124452246
OG0001919	Hydractinia|LOC130614857	Xenia|LOC124436685, Xenia|LOC124436635, Xenia|LOC124436329, Xenia|LOC124436792
OG0001922	Hydractinia|LOC130636998, Hydractinia|LOC130636491	Xenia|LOC124435796, Xenia|LOC124447717
OG0001924	Hydractinia|LOC130629404, Hydractinia|LOC130629364, Hydractinia|LOC130628623, Hydractinia|LOC130640366, Hydractinia|LOC130643260	Xenia|LOC124448005
OG0001926	Hydractinia|LOC130644608	Xenia|LOC124441326
OG0001927	Hydractinia|LOC130645659, Hydractinia|LOC130645880	Xenia|LOC124444335
OG0001928	Hydractinia|LOC130645825, Hydractinia|LOC130645716	Xenia|LOC124437871, Xenia|LOC124452480
OG0001932	Hydractinia|LOC130655085	Xenia|LOC124446988, Xenia|LOC124446993, Xenia|LOC124446035, Xenia|LOC124446041
OG0001934	Hydractinia|LOC130644650	Xenia|LOC124444235, Xenia|LOC124444233, Xenia|LOC124444237, Xenia|LOC124444238
OG0001935	Hydractinia|LOC130629442, Hydractinia|LOC130629307, Hydractinia|LOC130655014, Hydractinia|LOC130655013	Xenia|LOC124442859
OG0001939	Hydractinia|LOC130630401, Hydractinia|LOC130630399	Xenia|LOC124434099
OG0001940	Hydractinia|LOC130623980	Xenia|LOC124455067, Xenia|LOC124434178
OG0001941	Hydractinia|LOC130656940	Xenia|LOC124439123, Xenia|LOC124438334
OG0001943	Hydractinia|LOC130629183	Xenia|LOC124452685
OG0001944	Hydractinia|LOC130623768	Xenia|LOC124434445, Xenia|LOC124434446
OG0001947	Hydractinia|LOC130647251, Hydractinia|LOC130647424	Xenia|LOC124458435
OG0001949	Hydractinia|LOC130645175	Xenia|LOC124445659
OG0001950	Hydractinia|LOC130612428	Xenia|LOC124455773, Xenia|LOC124440224
OG0001951	Hydractinia|LOC130613355	Xenia|LOC124457207, Xenia|LOC124447930, Xenia|LOC124457206
OG0001952	Hydractinia|LOC130656565, Hydractinia|LOC130654449	Xenia|LOC124433960
OG0001954	Hydractinia|LOC130614445	Xenia|LOC124445613
OG0001955	Hydractinia|LOC130621927, Hydractinia|LOC130644567	Xenia|LOC124440315
OG0001956	Hydractinia|LOC130621779, Hydractinia|LOC130621777	Xenia|LOC124440625
OG0001957	Hydractinia|LOC130622067, Hydractinia|LOC130621966	Xenia|LOC124436341
OG0001958	Hydractinia|LOC130621955	Xenia|LOC124456112
OG0001959	Hydractinia|LOC130638878, Hydractinia|LOC130642132	Xenia|LOC124450898
OG0001961	Hydractinia|LOC130655967, Hydractinia|LOC130654606	Xenia|LOC124445438
OG0001962	Hydractinia|LOC130622730, Hydractinia|LOC130654128	Xenia|LOC124451330
OG0001963	Hydractinia|LOC130647017	Xenia|LOC124456501, Xenia|LOC124456433
OG0001965	Hydractinia|LOC130612808, Hydractinia|LOC130662794	Xenia|LOC124452834
OG0001966	Hydractinia|LOC130646115, Hydractinia|LOC130645879, Hydractinia|LOC130645658	Xenia|LOC124451984, Xenia|LOC124451982
OG0001968	Hydractinia|LOC130649359	Xenia|LOC124447830, Xenia|LOC124449150, Xenia|LOC124449138
OG0001969	Hydractinia|LOC130640844	Xenia|LOC124452809
OG0001970	Hydractinia|LOC130623713	Xenia|LOC124433825
OG0001971	Hydractinia|LOC130655306	Xenia|LOC124446702, Xenia|LOC124446703
OG0001972	Hydractinia|LOC130636663	Xenia|LOC124452284
OG0001973	Hydractinia|LOC130644382, Hydractinia|LOC130644801	Xenia|LOC124444197
OG0001974	Hydractinia|LOC130644443	Xenia|LOC124444963, Xenia|LOC124437566
OG0001976	Hydractinia|LOC130624175, Hydractinia|LOC130612189	Xenia|LOC124435544
OG0001977	Hydractinia|LOC130633265	Xenia|LOC124446800, Xenia|LOC124450465, Xenia|LOC124446787, Xenia|LOC124453905
OG0001978	Hydractinia|LOC130641302	Xenia|LOC124452807, Xenia|LOC124452806
OG0001982	Hydractinia|LOC130656639, Hydractinia|LOC130625498	Xenia|LOC124435528
OG0001983	Hydractinia|LOC130612961	Xenia|LOC124435405
OG0001984	Hydractinia|LOC130647278, Hydractinia|LOC130648318, Hydractinia|LOC130648317, Hydractinia|LOC130647276	Xenia|LOC124436631
OG0001987	Hydractinia|LOC130623993	Xenia|LOC124435238, Xenia|LOC124435237, Xenia|LOC124435580, Xenia|LOC124435579, Xenia|LOC124435560
OG0001988	Hydractinia|LOC130657141	Xenia|LOC124450821
OG0001989	Hydractinia|LOC130647677, Hydractinia|LOC130647676	Xenia|LOC124433597
OG0001991	Hydractinia|LOC130621168, Hydractinia|LOC130641614	Xenia|LOC124452989, Xenia|LOC124453054
OG0001992	Hydractinia|LOC130641422	Xenia|LOC124444566
OG0001994	Hydractinia|LOC130633855	Xenia|LOC124433574
OG0001995	Hydractinia|LOC130612516	Xenia|LOC124457559, Xenia|LOC124458138, Xenia|LOC124457228, Xenia|LOC124458233, Xenia|LOC124458235
OG0001997	Hydractinia|LOC130648175	Xenia|LOC124444547
OG0001998	Hydractinia|LOC130630368	Xenia|LOC124456122
OG0002001	Hydractinia|LOC130645426	Xenia|LOC124457237, Xenia|LOC124441549, Xenia|LOC124443352, Xenia|LOC124441556
OG0002002	Hydractinia|LOC130630360	Xenia|LOC124459204
OG0002006	Hydractinia|LOC130646117	Xenia|LOC124442586
OG0002007	Hydractinia|LOC130635807, Hydractinia|LOC130637065	Xenia|LOC124452131, Xenia|LOC124452085, Xenia|LOC124433316
OG0002008	Hydractinia|LOC130645270	Xenia|LOC124442665, Xenia|LOC124442786, Xenia|LOC124442564, Xenia|LOC124441964
OG0002010	Hydractinia|LOC130646178, Hydractinia|LOC130644183	Xenia|LOC124445769
OG0002011	Hydractinia|LOC130636578, Hydractinia|LOC130654256	Xenia|LOC124450341
OG0002012	Hydractinia|LOC130613108	Xenia|LOC124441920, Xenia|LOC124453137
OG0002015	Hydractinia|LOC130647779, Hydractinia|LOC130644875	Xenia|LOC124442609
OG0002020	Hydractinia|LOC130644900	Xenia|LOC124450592, Xenia|LOC124452032, Xenia|LOC124452052, Xenia|LOC124452028, Xenia|LOC124443719
OG0002023	Hydractinia|LOC130641472, Hydractinia|LOC130642194	Xenia|LOC124443877
OG0002024	Hydractinia|LOC130645761, Hydractinia|LOC130645760	Xenia|LOC124444529
OG0002026	Hydractinia|LOC130629031, Hydractinia|LOC130622199	Xenia|LOC124446983, Xenia|LOC124446986, Xenia|LOC124436976
OG0002027	Hydractinia|LOC130623331, Hydractinia|LOC130623226	Xenia|LOC124450422
OG0002028	Hydractinia|LOC130623318	Xenia|LOC124433822
OG0002029	Hydractinia|LOC130655161	Xenia|LOC124446043
OG0002030	Hydractinia|LOC130656035	Xenia|LOC124445899
OG0002031	Hydractinia|LOC130662396, Hydractinia|LOC130662584, Hydractinia|LOC130662394	Xenia|LOC124443636, Xenia|LOC124443645
OG0002033	Hydractinia|LOC130622970	Xenia|LOC124435017
OG0002034	Hydractinia|LOC130648815, Hydractinia|LOC130630610, Hydractinia|LOC130630611, Hydractinia|LOC130657349	Xenia|LOC124453922, Xenia|LOC124435779
OG0002035	Hydractinia|LOC130622715, Hydractinia|LOC130622716	Xenia|LOC124435778, Xenia|LOC124446022
OG0002038	Hydractinia|LOC130647048	Xenia|LOC124433414
OG0002039	Hydractinia|LOC130629253	Xenia|LOC124443526
OG0002040	Hydractinia|LOC130621235	Xenia|LOC124448376, Xenia|LOC124445762
OG0002046	Hydractinia|LOC130614374	Xenia|LOC124436580, Xenia|LOC124437450, Xenia|LOC124436486, Xenia|LOC124436558
OG0002047	Hydractinia|LOC130612280, Hydractinia|LOC130612625	Xenia|LOC124455651, Xenia|LOC124455448
OG0002050	Hydractinia|LOC130644984	Xenia|LOC124444612, Xenia|LOC124443716, Xenia|LOC124444613
OG0002051	Hydractinia|LOC130628847, Hydractinia|LOC130612056	Xenia|LOC124444708
OG0002053	Hydractinia|LOC130645116	Xenia|LOC124444244
OG0002054	Hydractinia|LOC130655854, Hydractinia|LOC130655851, Hydractinia|LOC130655852, Hydractinia|LOC130655853	Xenia|LOC124438887
OG0002057	Hydractinia|LOC130621807, Hydractinia|LOC130621806	Xenia|LOC124440109, Xenia|LOC124440108
OG0002059	Hydractinia|LOC130656275	Xenia|LOC124452843
OG0002060	Hydractinia|LOC130614488	Xenia|LOC124440038
OG0002063	Hydractinia|LOC130628837, Hydractinia|LOC130629416, Hydractinia|LOC130629370	Xenia|LOC124444874
OG0002064	Hydractinia|LOC130647239, Hydractinia|LOC130645535	Xenia|LOC124459098
OG0002066	Hydractinia|LOC130621663	Xenia|LOC124443179, Xenia|LOC124435030, Xenia|LOC124445517
OG0002069	Hydractinia|LOC130654432	Xenia|LOC124446534, Xenia|LOC124447296
OG0002075	Hydractinia|LOC130630513	Xenia|LOC124439606
OG0002076	Hydractinia|LOC130656696	Xenia|LOC124441851
OG0002076	Hydractinia|LOC130649658	Xenia|LOC124448582
OG0002080	Hydractinia|LOC130662341	Xenia|LOC124439002
OG0002081	Hydractinia|LOC130642030, Hydractinia|LOC130642382	Xenia|LOC124453164
OG0002082	Hydractinia|LOC130635986	Xenia|LOC124446091
OG0002087	Hydractinia|LOC130638398, Hydractinia|LOC130636485	Xenia|LOC124454603
OG0002088	Hydractinia|LOC130623667	Xenia|LOC124434066
OG0002091	Hydractinia|LOC130653945, Hydractinia|LOC130653845, Hydractinia|LOC130653847	Xenia|LOC124450223
OG0002093	Hydractinia|LOC130628529	Xenia|LOC124453465
OG0002094	Hydractinia|LOC130641184, Hydractinia|LOC130640809, Hydractinia|LOC130614451	Xenia|LOC124441799
OG0002095	Hydractinia|LOC130641832, Hydractinia|LOC130649061	Xenia|LOC124448394
OG0002096	Hydractinia|LOC130636127, Hydractinia|LOC130636129, Hydractinia|LOC130636128, Hydractinia|LOC130636134	Xenia|LOC124446869
OG0002097	Hydractinia|LOC130628550, Hydractinia|LOC130628551	Xenia|LOC124445817, Xenia|LOC124435091
OG0002098	Hydractinia|LOC130640896, Hydractinia|LOC130640893	Xenia|LOC124453367
OG0002099	Hydractinia|LOC130655420, Hydractinia|LOC130633622	Xenia|LOC124446015, Xenia|LOC124445442
OG0002100	Hydractinia|LOC130648970	Xenia|LOC124454254, Xenia|LOC124439460, Xenia|LOC124436298, Xenia|LOC124439986, Xenia|LOC124442720, Xenia|LOC124449640
OG0002101	Hydractinia|LOC130655047, Hydractinia|LOC130641043	Xenia|LOC124434659
OG0002103	Hydractinia|LOC130644781	Xenia|LOC124444489, Xenia|LOC124444407
OG0002104	Hydractinia|LOC130654616	Xenia|LOC124446695
OG0002105	Hydractinia|LOC130644413	Xenia|LOC124444029
OG0002105	Hydractinia|LOC130647568	Xenia|LOC124447415
OG0002106	Hydractinia|LOC130636580	Xenia|LOC124456534, Xenia|LOC124456544, Xenia|LOC124446235
OG0002107	Hydractinia|LOC130646199, Hydractinia|LOC130644204	Xenia|LOC124453348
OG0002108	Hydractinia|LOC130622535, Hydractinia|LOC130629291, Hydractinia|LOC130629292	Xenia|LOC124452553, Xenia|LOC124452552
OG0002110	Hydractinia|LOC130622207	Xenia|LOC124439707
OG0002113	Hydractinia|LOC130640921, Hydractinia|LOC130641219, Hydractinia|LOC130641218	Xenia|LOC124449819, Xenia|LOC124449807
OG0002114	Hydractinia|LOC130635803, Hydractinia|LOC130635792, Hydractinia|LOC130636390	Xenia|LOC124447281
OG0002116	Hydractinia|LOC130629276	Xenia|LOC124453108
OG0002116	Hydractinia|LOC130646929	Xenia|LOC124433420
OG0002117	Hydractinia|LOC130628986	Xenia|LOC124453321, Xenia|LOC124452604
OG0002119	Hydractinia|LOC130655150	Xenia|LOC124445758
OG0002120	Hydractinia|LOC130630695, Hydractinia|LOC130630738	Xenia|LOC124436491
OG0002121	Hydractinia|LOC130655204	Xenia|LOC124439377, Xenia|LOC124439506
OG0002124	Hydractinia|LOC130640079, Hydractinia|LOC130656209	Xenia|LOC124449838
OG0002125	Hydractinia|LOC130630928, Hydractinia|LOC130630944	Xenia|LOC124450135
OG0002127	Hydractinia|LOC130640768, Hydractinia|LOC130641144	Xenia|LOC124453741
OG0002128	Hydractinia|LOC130653861	Xenia|LOC124446588, Xenia|LOC124445600
OG0002129	Hydractinia|LOC130655360	Xenia|LOC124450299, Xenia|LOC124451635, Xenia|LOC124450300, Xenia|LOC124450295
OG0002130	Hydractinia|LOC130644343	Xenia|LOC124441962
OG0002130	Hydractinia|LOC130646280	Xenia|LOC124434048
OG0002131	Hydractinia|LOC130636671	Xenia|LOC124445594, Xenia|LOC124457848
