Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_NematostellaProteins
OG0002127	Hydractinia|LOC130640768, Hydractinia|LOC130641144	Nematostella|LOC5504235
OG0002128	Hydractinia|LOC130653861	Nematostella|LOC5512184
OG0002129	Hydractinia|LOC130655360	Nematostella|LOC5508860
OG0002130	Hydractinia|LOC130644343	Nematostella|LOC5513916
OG0002130	Hydractinia|LOC130646280	Nematostella|LOC5515881
OG0002131	Hydractinia|LOC130636671	Nematostella|LOC5520108, Nematostella|LOC125572172, Nematostella|LOC5511628
OG0002133	Hydractinia|LOC130642120	Nematostella|LOC5514351, Nematostella|LOC5521167
OG0002135	Hydractinia|LOC130613846	Nematostella|LOC5501982, Nematostella|LOC5508166, Nematostella|LOC5519533
OG0002136	Hydractinia|LOC130645376	Nematostella|LOC5509903
OG0002137	Hydractinia|LOC130628797, Hydractinia|LOC130629377, Hydractinia|LOC130629424	Nematostella|LOC5517144
OG0002138	Hydractinia|LOC130644527, Hydractinia|LOC130644525	Nematostella|LOC5502534, Nematostella|LOC5516089
OG0002139	Hydractinia|LOC130621918	Nematostella|LOC5507997, Nematostella|LOC5510775, Nematostella|LOC5508007, Nematostella|LOC5511304
OG0002140	Hydractinia|LOC130614019	Nematostella|LOC5506874
OG0002141	Hydractinia|LOC130612674, Hydractinia|LOC130613787	Nematostella|LOC5516281
OG0002142	Hydractinia|LOC130649398	Nematostella|LOC5520187
OG0002143	Hydractinia|LOC130653983, Hydractinia|LOC130653984, Hydractinia|LOC130653982	Nematostella|LOC5506067
OG0002144	Hydractinia|LOC130636574, Hydractinia|LOC130613122	Nematostella|LOC5505649
OG0002145	Hydractinia|LOC130614355, Hydractinia|LOC130614354	Nematostella|LOC5519514
OG0002146	Hydractinia|LOC130656239, Hydractinia|LOC130645628	Nematostella|LOC5507748
OG0002147	Hydractinia|LOC130636034	Nematostella|LOC125572442, Nematostella|LOC125572212, Nematostella|LOC5518118, Nematostella|LOC125572446
OG0002149	Hydractinia|LOC130648877	Nematostella|LOC116620880, Nematostella|LOC116619737, Nematostella|LOC116616607
OG0002150	Hydractinia|LOC130648892, Hydractinia|LOC130648891	Nematostella|LOC5505602, Nematostella|LOC5501825, Nematostella|LOC5505601
OG0002153	Hydractinia|LOC130621940	Nematostella|LOC5516722, Nematostella|LOC5516447, Nematostella|LOC5508773, Nematostella|LOC5521820
OG0002154	Hydractinia|LOC130614096	Nematostella|LOC5508061
OG0002154	Hydractinia|LOC130644947, Hydractinia|LOC130641919	Nematostella|LOC5505725
OG0002155	Hydractinia|LOC130630264, Hydractinia|LOC130630259	Nematostella|LOC5515667, Nematostella|LOC5512275
OG0002156	Hydractinia|LOC130642290, Hydractinia|LOC130639184	Nematostella|LOC5501785, Nematostella|LOC5506404
OG0002157	Hydractinia|LOC130626059	Nematostella|LOC5508848
OG0002158	Hydractinia|LOC130625538	Nematostella|LOC5519875, Nematostella|LOC5507576
OG0002159	Hydractinia|LOC130662498, Hydractinia|LOC130662704, Hydractinia|LOC130662702	Nematostella|LOC5520037, Nematostella|LOC116603583
OG0002160	Hydractinia|LOC130625309, Hydractinia|LOC130625955, Hydractinia|LOC130625300	Nematostella|LOC5520469
OG0002161	Hydractinia|LOC130647600	Nematostella|LOC5521712, Nematostella|LOC5516953, Nematostella|LOC5509538, Nematostella|LOC5520609
OG0002162	Hydractinia|LOC130640991	Nematostella|LOC116607440, Nematostella|LOC5507697, Nematostella|LOC5517014
OG0002163	Hydractinia|LOC130655537, Hydractinia|LOC130654095, Hydractinia|LOC130654094	Nematostella|LOC5519163
OG0002164	Hydractinia|LOC130645704, Hydractinia|LOC130645838	Nematostella|LOC5510291
OG0002169	Hydractinia|LOC130646986	Nematostella|LOC116610907
OG0002175	Hydractinia|LOC130614820, Hydractinia|LOC130645137, Hydractinia|LOC130626121, Hydractinia|LOC130612170, Hydractinia|LOC130613820	Nematostella|LOC5500516
OG0002200	Hydractinia|LOC130649431, Hydractinia|LOC130624235, Hydractinia|LOC130656705, Hydractinia|LOC130662399	Nematostella|LOC125561900
OG0002204	Hydractinia|LOC130612488, Hydractinia|LOC130612552	Nematostella|LOC125567927, Nematostella|LOC125556737, Nematostella|LOC5500624, Nematostella|LOC5520940
OG0002205	Hydractinia|LOC130622060, Hydractinia|LOC130656613, Hydractinia|LOC130629606, Hydractinia|LOC130656612	Nematostella|LOC5521731
OG0002206	Hydractinia|LOC130655069, Hydractinia|LOC130645122, Hydractinia|LOC130654902, Hydractinia|LOC130642254, Hydractinia|LOC130636006, Hydractinia|LOC130656936	Nematostella|LOC5501787
OG0002209	Hydractinia|LOC130624292, Hydractinia|LOC130630079, Hydractinia|LOC130644934, Hydractinia|LOC130625687	Nematostella|LOC116621573, Nematostella|LOC5511175
OG0002210	Hydractinia|LOC130628883	Nematostella|LOC116604795, Nematostella|LOC116613219, Nematostella|LOC116613214, Nematostella|LOC5517871, Nematostella|LOC5505443, Nematostella|LOC116620817
OG0002214	Hydractinia|LOC130625916	Nematostella|LOC5508977, Nematostella|LOC5511223
OG0002215	Hydractinia|LOC130644497	Nematostella|LOC5508612
OG0002231	Hydractinia|LOC130623990	Nematostella|LOC5497246, Nematostella|LOC5510262, Nematostella|LOC5510263, Nematostella|LOC5516869, Nematostella|LOC5521015, Nematostella|LOC5515588, Nematostella|LOC5500606
OG0002283	Hydractinia|LOC130647365	Nematostella|LOC116602025, Nematostella|LOC5506639, Nematostella|LOC5519876
OG0002284	Hydractinia|LOC130647322, Hydractinia|LOC130648118	Nematostella|LOC5517553
OG0002285	Hydractinia|LOC130647049	Nematostella|LOC5513561
OG0002286	Hydractinia|LOC130625811, Hydractinia|LOC130614202, Hydractinia|LOC130613538, Hydractinia|LOC130614203	Nematostella|LOC5516153
OG0002288	Hydractinia|LOC130642027, Hydractinia|LOC130642024	Nematostella|LOC5515084
OG0002289	Hydractinia|LOC130622221	Nematostella|LOC5520121, Nematostella|LOC5516043
OG0002293	Hydractinia|LOC130655424	Nematostella|LOC5516485
OG0002296	Hydractinia|LOC130654610	Nematostella|LOC5510242
OG0002297	Hydractinia|LOC130655863, Hydractinia|LOC130655864	Nematostella|LOC5522125
OG0002298	Hydractinia|LOC130655392	Nematostella|LOC5512442
OG0002299	Hydractinia|LOC130644256, Hydractinia|LOC130644257, Hydractinia|LOC130646246	Nematostella|LOC5509897
OG0002304	Hydractinia|LOC130656948	Nematostella|LOC5507669
OG0002305	Hydractinia|LOC130640902, Hydractinia|LOC130640899	Nematostella|LOC5520837
OG0002306	Hydractinia|LOC130653994	Nematostella|LOC5510166
OG0002309	Hydractinia|LOC130636293	Nematostella|LOC5522300, Nematostella|LOC125561247
OG0002310	Hydractinia|LOC130635511, Hydractinia|LOC130635607	Nematostella|LOC5503852
OG0002311	Hydractinia|LOC130636780, Hydractinia|LOC130636802	Nematostella|LOC5517390
OG0002312	Hydractinia|LOC130635584, Hydractinia|LOC130635520	Nematostella|LOC125556732, Nematostella|LOC5517220
OG0002314	Hydractinia|LOC130641154, Hydractinia|LOC130640783	Nematostella|LOC5505605
OG0002315	Hydractinia|LOC130641161, Hydractinia|LOC130640785	Nematostella|LOC5513829, Nematostella|LOC5509286, Nematostella|LOC5521804
OG0002316	Hydractinia|LOC130640946	Nematostella|LOC5514215
OG0002318	Hydractinia|LOC130614485	Nematostella|LOC5518578
OG0002320	Hydractinia|LOC130641878, Hydractinia|LOC130641784	Nematostella|LOC5516782
OG0002322	Hydractinia|LOC130634275	Nematostella|LOC5513995, Nematostella|LOC5511190
OG0002323	Hydractinia|LOC130656219, Hydractinia|LOC130631194	Nematostella|LOC5510928
OG0002324	Hydractinia|LOC130655241, Hydractinia|LOC130655286	Nematostella|LOC5519284, Nematostella|LOC5510588
OG0002325	Hydractinia|LOC130647648	Nematostella|LOC5504409
OG0002327	Hydractinia|LOC130648353	Nematostella|LOC5509571, Nematostella|LOC5508473
OG0002328	Hydractinia|LOC130642584, Hydractinia|LOC130639604	Nematostella|LOC5511204
OG0002331	Hydractinia|LOC130612594, Hydractinia|LOC130656472	Nematostella|LOC5518905
OG0002332	Hydractinia|LOC130647105, Hydractinia|LOC130647106	Nematostella|LOC5501904
OG0002333	Hydractinia|LOC130647126	Nematostella|LOC5504418
OG0002334	Hydractinia|LOC130622024	Nematostella|LOC5508792
OG0002335	Hydractinia|LOC130613114, Hydractinia|LOC130662400	Nematostella|LOC5520065, Nematostella|LOC5519983
OG0002337	Hydractinia|LOC130621706	Nematostella|LOC5521872
OG0002338	Hydractinia|LOC130635871	Nematostella|LOC116615039, Nematostella|LOC5507916
OG0002339	Hydractinia|LOC130635870	Nematostella|LOC5504897
OG0002340	Hydractinia|LOC130625954	Nematostella|LOC5517379
OG0002341	Hydractinia|LOC130636615, Hydractinia|LOC130636626	Nematostella|LOC5500547
OG0002343	Hydractinia|LOC130628733	Nematostella|LOC5504087
OG0002344	Hydractinia|LOC130628961	Nematostella|LOC5504072
OG0002345	Hydractinia|LOC130612338, Hydractinia|LOC130612324	Nematostella|LOC125561345
OG0002346	Hydractinia|LOC130662653	Nematostella|LOC5505902
OG0002347	Hydractinia|LOC130662709	Nematostella|LOC116601181
OG0002348	Hydractinia|LOC130613232, Hydractinia|LOC130662388	Nematostella|LOC5516217, Nematostella|LOC5498640
OG0002349	Hydractinia|LOC130644292, Hydractinia|LOC130625935	Nematostella|LOC5519153
OG0002350	Hydractinia|LOC130649318	Nematostella|LOC116608951, Nematostella|LOC116612374
OG0002352	Hydractinia|LOC130662610, Hydractinia|LOC130662635	Nematostella|LOC5519908
OG0002353	Hydractinia|LOC130612541, Hydractinia|LOC130612228	Nematostella|LOC5505709
OG0002354	Hydractinia|LOC130662405, Hydractinia|LOC130613273	Nematostella|LOC5507945
OG0002355	Hydractinia|LOC130627269, Hydractinia|LOC130628776	Nematostella|LOC5506464
OG0002357	Hydractinia|LOC130629682, Hydractinia|LOC130629651	Nematostella|LOC5514428
OG0002359	Hydractinia|LOC130657339, Hydractinia|LOC130657002, Hydractinia|LOC130629299	Nematostella|LOC5506947
OG0002360	Hydractinia|LOC130612901	Nematostella|LOC5511471
OG0002361	Hydractinia|LOC130662469	Nematostella|LOC5505853
OG0002362	Hydractinia|LOC130614789	Nematostella|LOC5518528
OG0002363	Hydractinia|LOC130613907	Nematostella|LOC5519492
OG0002363	Hydractinia|LOC130621451	Nematostella|LOC116619172
OG0002364	Hydractinia|LOC130657244	Nematostella|LOC5512100
OG0002365	Hydractinia|LOC130654329	Nematostella|LOC5497678
OG0002367	Hydractinia|LOC130645671, Hydractinia|LOC130645873	Nematostella|LOC5506826, Nematostella|LOC5506827
OG0002368	Hydractinia|LOC130645445	Nematostella|LOC5510266
OG0002370	Hydractinia|LOC130656760	Nematostella|LOC5518906
OG0002371	Hydractinia|LOC130655477	Nematostella|LOC5513572, Nematostella|LOC5508702
OG0002373	Hydractinia|LOC130612043, Hydractinia|LOC130630562	Nematostella|LOC5506254
OG0002374	Hydractinia|LOC130649659	Nematostella|LOC5508465, Nematostella|LOC5516907
OG0002375	Hydractinia|LOC130662756, Hydractinia|LOC130613358	Nematostella|LOC5503357
OG0002376	Hydractinia|LOC130645107, Hydractinia|LOC130645109	Nematostella|LOC5500507
OG0002377	Hydractinia|LOC130644791	Nematostella|LOC5504728
OG0002378	Hydractinia|LOC130641086	Nematostella|LOC5509063
OG0002380	Hydractinia|LOC130612941	Nematostella|LOC125557135, Nematostella|LOC125568245, Nematostella|LOC125570137, Nematostella|LOC125561010
OG0002381	Hydractinia|LOC130632164, Hydractinia|LOC130631863	Nematostella|LOC5511341
OG0002383	Hydractinia|LOC130641324, Hydractinia|LOC130644322	Nematostella|LOC5509151
OG0002385	Hydractinia|LOC130645233	Nematostella|LOC5508320
OG0002386	Hydractinia|LOC130613992	Nematostella|LOC5518033
OG0002387	Hydractinia|LOC130613278	Nematostella|LOC5505069
OG0002390	Hydractinia|LOC130647728	Nematostella|LOC125572135, Nematostella|LOC5499745, Nematostella|LOC5512702
OG0002391	Hydractinia|LOC130629905	Nematostella|LOC5520433
OG0002393	Hydractinia|LOC130647355	Nematostella|LOC5508111
OG0002394	Hydractinia|LOC130630675	Nematostella|LOC5519063
OG0002395	Hydractinia|LOC130628569	Nematostella|LOC5513228, Nematostella|LOC5513225
OG0002400	Hydractinia|LOC130655412, Hydractinia|LOC130657236	Nematostella|LOC5521599, Nematostella|LOC5509840
OG0002401	Hydractinia|LOC130621412	Nematostella|LOC5517924
OG0002403	Hydractinia|LOC130654251, Hydractinia|LOC130654248	Nematostella|LOC5503957
OG0002404	Hydractinia|LOC130647250	Nematostella|LOC125573509, Nematostella|LOC5505933
OG0002405	Hydractinia|LOC130647757	Nematostella|LOC5501394, Nematostella|LOC116620032
OG0002406	Hydractinia|LOC130635789, Hydractinia|LOC130635800	Nematostella|LOC5501046, Nematostella|LOC5503817
OG0002407	Hydractinia|LOC130625298	Nematostella|LOC5505840
OG0002408	Hydractinia|LOC130626143	Nematostella|LOC5517465, Nematostella|LOC5519341
OG0002410	Hydractinia|LOC130662735	Nematostella|LOC5505979
OG0002412	Hydractinia|LOC130656706	Nematostella|LOC116604036
OG0002413	Hydractinia|LOC130614039	Nematostella|LOC5506855
OG0002414	Hydractinia|LOC130622175, Hydractinia|LOC130622148	Nematostella|LOC5514777
OG0002415	Hydractinia|LOC130621654	Nematostella|LOC5514013
OG0002418	Hydractinia|LOC130622769	Nematostella|LOC5512058, Nematostella|LOC5515278, Nematostella|LOC116604742
OG0002419	Hydractinia|LOC130647537	Nematostella|LOC5518300
OG0002420	Hydractinia|LOC130630678	Nematostella|LOC5507617
OG0002421	Hydractinia|LOC130625723	Nematostella|LOC5517376
OG0002422	Hydractinia|LOC130647654	Nematostella|LOC5505344
OG0002423	Hydractinia|LOC130646275	Nematostella|LOC5511009
OG0002424	Hydractinia|LOC130631130	Nematostella|LOC5513905, Nematostella|LOC5508946, Nematostella|LOC5498815
OG0002425	Hydractinia|LOC130614757	Nematostella|LOC5513366
OG0002426	Hydractinia|LOC130614759, Hydractinia|LOC130614099	Nematostella|LOC116618830
OG0002427	Hydractinia|LOC130647263	Nematostella|LOC5512598
OG0002428	Hydractinia|LOC130662858	Nematostella|LOC5515302
OG0002429	Hydractinia|LOC130621862	Nematostella|LOC5521720
OG0002430	Hydractinia|LOC130655654, Hydractinia|LOC130655652	Nematostella|LOC5522335
OG0002431	Hydractinia|LOC130653574	Nematostella|LOC116603102
OG0002434	Hydractinia|LOC130647287, Hydractinia|LOC130648305	Nematostella|LOC5514741
OG0002436	Hydractinia|LOC130655744	Nematostella|LOC5519690
OG0002437	Hydractinia|LOC130612663	Nematostella|LOC5515142
OG0002438	Hydractinia|LOC130641897	Nematostella|LOC5508904
OG0002441	Hydractinia|LOC130613298, Hydractinia|LOC130646982, Hydractinia|LOC130646897	Nematostella|LOC116613146
OG0002442	Hydractinia|LOC130647358	Nematostella|LOC5505955
OG0002443	Hydractinia|LOC130629556, Hydractinia|LOC130629562	Nematostella|LOC5507587
OG0002444	Hydractinia|LOC130654729	Nematostella|LOC116620157, Nematostella|LOC5514924, Nematostella|LOC5507873, Nematostella|LOC116620183
OG0002445	Hydractinia|LOC130628813	Nematostella|LOC5513844, Nematostella|LOC5500477
OG0002446	Hydractinia|LOC130623874, Hydractinia|LOC130623873	Nematostella|LOC5509040
OG0002447	Hydractinia|LOC130654229	Nematostella|LOC5522122
OG0002447	Hydractinia|LOC130654218	Nematostella|LOC5521527, Nematostella|LOC5507339
OG0002449	Hydractinia|LOC130644723	Nematostella|LOC5508326
OG0002450	Hydractinia|LOC130621559	Nematostella|LOC5514308
OG0002452	Hydractinia|LOC130645696, Hydractinia|LOC130645697, Hydractinia|LOC130645848	Nematostella|LOC5500611
OG0002453	Hydractinia|LOC130645678, Hydractinia|LOC130645865	Nematostella|LOC125570148, Nematostella|LOC5505059
OG0002455	Hydractinia|LOC130612156, Hydractinia|LOC130612145	Nematostella|LOC5514478
OG0002456	Hydractinia|LOC130612142	Nematostella|LOC5514629
OG0002459	Hydractinia|LOC130629525, Hydractinia|LOC130629482, Hydractinia|LOC130629496	Nematostella|LOC5509626
OG0002460	Hydractinia|LOC130628890, Hydractinia|LOC130629420, Hydractinia|LOC130629371	Nematostella|LOC5520350
OG0002462	Hydractinia|LOC130646306, Hydractinia|LOC130645725, Hydractinia|LOC130645117	Nematostella|LOC5518826
OG0002464	Hydractinia|LOC130648831, Hydractinia|LOC130648845, Hydractinia|LOC130648846	Nematostella|LOC116602230
OG0002466	Hydractinia|LOC130647860, Hydractinia|LOC130645027	Nematostella|LOC5509670
OG0002468	Hydractinia|LOC130641172, Hydractinia|LOC130640795	Nematostella|LOC5518750
OG0002471	Hydractinia|LOC130641123, Hydractinia|LOC130640744	Nematostella|LOC5516693
OG0002472	Hydractinia|LOC130613695	Nematostella|LOC125558946
OG0002474	Hydractinia|LOC130614018	Nematostella|LOC5506875
OG0002475	Hydractinia|LOC130629271	Nematostella|LOC5518733
OG0002478	Hydractinia|LOC130648948	Nematostella|LOC5516855
OG0002480	Hydractinia|LOC130641366	Nematostella|LOC5525260, Nematostella|LOC5518820, Nematostella|LOC5510926
OG0002481	Hydractinia|LOC130656047, Hydractinia|LOC130656046	Nematostella|LOC5512203
OG0002482	Hydractinia|LOC130655722	Nematostella|LOC5509982, Nematostella|LOC5509991
OG0002483	Hydractinia|LOC130641959, Hydractinia|LOC130641960	Nematostella|LOC116621119, Nematostella|LOC5501573
OG0002484	Hydractinia|LOC130657554	Nematostella|LOC5518993, Nematostella|LOC5518992
OG0002487	Hydractinia|LOC130622527, Hydractinia|LOC130622525	Nematostella|LOC5509064
OG0002490	Hydractinia|LOC130655452, Hydractinia|LOC130654296	Nematostella|LOC5506057
OG0002493	Hydractinia|LOC130657524	Nematostella|LOC5511886
OG0002494	Hydractinia|LOC130653673, Hydractinia|LOC130654116	Nematostella|LOC5522029
OG0002495	Hydractinia|LOC130644228, Hydractinia|LOC130646223, Hydractinia|LOC130646222	Nematostella|LOC5501029
OG0002496	Hydractinia|LOC130662276	Nematostella|LOC5521533
OG0002497	Hydractinia|LOC130662454	Nematostella|LOC125570232, Nematostella|LOC5506159
OG0002498	Hydractinia|LOC130640778, Hydractinia|LOC130641155	Nematostella|LOC5507781
OG0002499	Hydractinia|LOC130630201	Nematostella|LOC5518228
OG0002500	Hydractinia|LOC130655393	Nematostella|LOC116618565, Nematostella|LOC116619993
OG0002502	Hydractinia|LOC130645655, Hydractinia|LOC130645882	Nematostella|LOC5503118
OG0002503	Hydractinia|LOC130654335, Hydractinia|LOC130654334	Nematostella|LOC5514015
OG0002504	Hydractinia|LOC130645652, Hydractinia|LOC130645886	Nematostella|LOC5512639
OG0002505	Hydractinia|LOC130612769	Nematostella|LOC5503333
OG0002506	Hydractinia|LOC130630546	Nematostella|LOC5508715
OG0002508	Hydractinia|LOC130614510, Hydractinia|LOC130625398	Nematostella|LOC5507688
OG0002509	Hydractinia|LOC130647518, Hydractinia|LOC130647517	Nematostella|LOC5520980
OG0002510	Hydractinia|LOC130645701	Nematostella|LOC5503035, Nematostella|LOC5518972
OG0002511	Hydractinia|LOC130636107	Nematostella|LOC5505324
OG0002513	Hydractinia|LOC130641191, Hydractinia|LOC130640819	Nematostella|LOC5508775, Nematostella|LOC125560927
OG0002514	Hydractinia|LOC130642177, Hydractinia|LOC130640875	Nematostella|LOC5509093
OG0002515	Hydractinia|LOC130645468	Nematostella|LOC116616912
OG0002516	Hydractinia|LOC130640825, Hydractinia|LOC130641198	Nematostella|LOC5514064
OG0002517	Hydractinia|LOC130640721, Hydractinia|LOC130641099	Nematostella|LOC5517841
OG0002518	Hydractinia|LOC130622366, Hydractinia|LOC130647330	Nematostella|LOC5508777
OG0002519	Hydractinia|LOC130644265, Hydractinia|LOC130641258	Nematostella|LOC5504631
OG0002520	Hydractinia|LOC130662519, Hydractinia|LOC130662541	Nematostella|LOC5505871
OG0002521	Hydractinia|LOC130635889, Hydractinia|LOC130612111	Nematostella|LOC116614753
OG0002524	Hydractinia|LOC130614264, Hydractinia|LOC130614181	Nematostella|LOC5517141
OG0002526	Hydractinia|LOC130621505	Nematostella|LOC5514859
OG0002527	Hydractinia|LOC130636427, Hydractinia|LOC130638259	Nematostella|LOC5500097
OG0002530	Hydractinia|LOC130640981	Nematostella|LOC116620839
OG0002531	Hydractinia|LOC130642418, Hydractinia|LOC130639451	Nematostella|LOC5514177
OG0002532	Hydractinia|LOC130644759	Nematostella|LOC5503790
OG0002533	Hydractinia|LOC130632132, Hydractinia|LOC130630656	Nematostella|LOC116621178
OG0002534	Hydractinia|LOC130640684, Hydractinia|LOC130628965, Hydractinia|LOC130625976	Nematostella|LOC116610392
OG0002536	Hydractinia|LOC130657465	Nematostella|LOC5500087, Nematostella|LOC116618069, Nematostella|LOC5507141
OG0002537	Hydractinia|LOC130649534	Nematostella|LOC5508596, Nematostella|LOC5508592
OG0002538	Hydractinia|LOC130649652	Nematostella|LOC5508436
OG0002540	Hydractinia|LOC130641381	Nematostella|LOC116609247, Nematostella|LOC125557537
OG0002541	Hydractinia|LOC130629407, Hydractinia|LOC130629367, Hydractinia|LOC130628668	Nematostella|LOC5514437
OG0002542	Hydractinia|LOC130629592	Nematostella|LOC5504130
OG0002548	Hydractinia|LOC130640699, Hydractinia|LOC130642210, Hydractinia|LOC130645684	Nematostella|LOC5508714
OG0002549	Hydractinia|LOC130612084	Nematostella|LOC5516365
OG0002551	Hydractinia|LOC130644181, Hydractinia|LOC130646187	Nematostella|LOC5514652
OG0002552	Hydractinia|LOC130624367	Nematostella|LOC5513712
OG0002555	Hydractinia|LOC130654269	Nematostella|LOC5507100, Nematostella|LOC5507101, Nematostella|LOC5507121
OG0002556	Hydractinia|LOC130614266	Nematostella|LOC5506452
OG0002557	Hydractinia|LOC130654382	Nematostella|LOC5503383
OG0002559	Hydractinia|LOC130614557	Nematostella|LOC5508048
OG0002561	Hydractinia|LOC130636880, Hydractinia|LOC130635646	Nematostella|LOC5505633
OG0002562	Hydractinia|LOC130621995, Hydractinia|LOC130622001, Hydractinia|LOC130622000	Nematostella|LOC125568436
OG0002563	Hydractinia|LOC130623637	Nematostella|LOC5510932, Nematostella|LOC5519730, Nematostella|LOC5511568
OG0002564	Hydractinia|LOC130662336	Nematostella|LOC5518488
OG0002565	Hydractinia|LOC130613340	Nematostella|LOC5506019
OG0002569	Hydractinia|LOC130623050, Hydractinia|LOC130623407	Nematostella|LOC116615756
OG0002571	Hydractinia|LOC130625027	Nematostella|LOC5507664
OG0002572	Hydractinia|LOC130636187, Hydractinia|LOC130637799	Nematostella|LOC5505629, Nematostella|LOC5508969
OG0002574	Hydractinia|LOC130649618	Nematostella|LOC5506893, Nematostella|LOC5506892
OG0002575	Hydractinia|LOC130640973	Nematostella|LOC5509357, Nematostella|LOC5509343
OG0002576	Hydractinia|LOC130641495, Hydractinia|LOC130641498	Nematostella|LOC5501881
OG0002577	Hydractinia|LOC130647784, Hydractinia|LOC130645553	Nematostella|LOC5506108
OG0002578	Hydractinia|LOC130650025, Hydractinia|LOC130647864	Nematostella|LOC5518211
OG0002579	Hydractinia|LOC130612743, Hydractinia|LOC130613008	Nematostella|LOC5520961
OG0002580	Hydractinia|LOC130654676	Nematostella|LOC5502578
OG0002581	Hydractinia|LOC130624956	Nematostella|LOC5506996, Nematostella|LOC5506142
OG0002582	Hydractinia|LOC130636141	Nematostella|LOC5511012
OG0002586	Hydractinia|LOC130625438	Nematostella|LOC5522360, Nematostella|LOC5517363, Nematostella|LOC5517097
OG0002587	Hydractinia|LOC130640883, Hydractinia|LOC130643929	Nematostella|LOC5511210
OG0002588	Hydractinia|LOC130612106	Nematostella|LOC5521522
OG0002591	Hydractinia|LOC130629721	Nematostella|LOC5504936
OG0002593	Hydractinia|LOC130657352	Nematostella|LOC5508215
OG0002594	Hydractinia|LOC130644568	Nematostella|LOC5514394
OG0002598	Hydractinia|LOC130623858	Nematostella|LOC5508847
OG0002602	Hydractinia|LOC130626654, Hydractinia|LOC130628579, Hydractinia|LOC130626606	Nematostella|LOC5516948, Nematostella|LOC5514007
OG0002604	Hydractinia|LOC130630672	Nematostella|LOC5519053
OG0002605	Hydractinia|LOC130630099, Hydractinia|LOC130630098	Nematostella|LOC5520378
OG0002607	Hydractinia|LOC130630364, Hydractinia|LOC130630363	Nematostella|LOC5521094
OG0002608	Hydractinia|LOC130630296	Nematostella|LOC5519117
OG0002609	Hydractinia|LOC130647592	Nematostella|LOC5500668
OG0002610	Hydractinia|LOC130646312, Hydractinia|LOC130645667	Nematostella|LOC5512326
OG0002611	Hydractinia|LOC130630338, Hydractinia|LOC130648075	Nematostella|LOC5505671
OG0002613	Hydractinia|LOC130622063, Hydractinia|LOC130612360	Nematostella|LOC116614186
OG0002614	Hydractinia|LOC130630619	Nematostella|LOC5517114
OG0002615	Hydractinia|LOC130630543	Nematostella|LOC5517188
OG0002617	Hydractinia|LOC130628898	Nematostella|LOC5509392
OG0002618	Hydractinia|LOC130644911	Nematostella|LOC5521394
OG0002619	Hydractinia|LOC130612101	Nematostella|LOC5518330
OG0002619	Hydractinia|LOC130621629	Nematostella|LOC5507260
OG0002620	Hydractinia|LOC130613121, Hydractinia|LOC130613123	Nematostella|LOC5516229
OG0002621	Hydractinia|LOC130656851	Nematostella|LOC5518059
OG0002622	Hydractinia|LOC130656876, Hydractinia|LOC130656877	Nematostella|LOC5511206
OG0002623	Hydractinia|LOC130628960	Nematostella|LOC5509131
OG0002624	Hydractinia|LOC130628714, Hydractinia|LOC130629415, Hydractinia|LOC130629369	Nematostella|LOC5499056
OG0002625	Hydractinia|LOC130655844	Nematostella|LOC5519599
OG0002626	Hydractinia|LOC130655348, Hydractinia|LOC130657198, Hydractinia|LOC130656222	Nematostella|LOC5511983
OG0002627	Hydractinia|LOC130645653, Hydractinia|LOC130645661	Nematostella|LOC5509158
OG0002628	Hydractinia|LOC130654000	Nematostella|LOC5511050
OG0002629	Hydractinia|LOC130630343	Nematostella|LOC5517338, Nematostella|LOC5517340
OG0002632	Hydractinia|LOC130654433	Nematostella|LOC5515391
OG0002634	Hydractinia|LOC130656515	Nematostella|LOC116619604
OG0002635	Hydractinia|LOC130656228, Hydractinia|LOC130623618, Hydractinia|LOC130614515	Nematostella|LOC116618576
OG0002636	Hydractinia|LOC130623714	Nematostella|LOC116610151
OG0002638	Hydractinia|LOC130656168	Nematostella|LOC116612037, Nematostella|LOC5513639
OG0002641	Hydractinia|LOC130655126	Nematostella|LOC5512208
OG0002642	Hydractinia|LOC130629731	Nematostella|LOC5502422, Nematostella|LOC125569625
OG0002644	Hydractinia|LOC130654649	Nematostella|LOC116619749, Nematostella|LOC125561360, Nematostella|LOC5518434
OG0002646	Hydractinia|LOC130623454, Hydractinia|LOC130623972	Nematostella|LOC5507850
OG0002647	Hydractinia|LOC130625357	Nematostella|LOC5517478
OG0002651	Hydractinia|LOC130628981	Nematostella|LOC116611820
OG0002653	Hydractinia|LOC130636096	Nematostella|LOC5506661
OG0002655	Hydractinia|LOC130641078, Hydractinia|LOC130628752, Hydractinia|LOC130641079, Hydractinia|LOC130641084	Nematostella|LOC5515738
OG0002656	Hydractinia|LOC130625184, Hydractinia|LOC130642407, Hydractinia|LOC130612815, Hydractinia|LOC130623289	Nematostella|LOC125570163
OG0002657	Hydractinia|LOC130640799, Hydractinia|LOC130641178	Nematostella|LOC5511091
OG0002659	Hydractinia|LOC130655407	Nematostella|LOC5515889
OG0002660	Hydractinia|LOC130621812	Nematostella|LOC5506189
OG0002662	Hydractinia|LOC130655321	Nematostella|LOC5519173
OG0002663	Hydractinia|LOC130629457	Nematostella|LOC5519041
OG0002664	Hydractinia|LOC130636056	Nematostella|LOC5513271
