Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_HydraProteins
OG0002204	Hydractinia|LOC130612488, Hydractinia|LOC130612552	Hydra|LOC100199101
OG0002205	Hydractinia|LOC130622060	Hydra|LOC100207212
OG0002205	Hydractinia|LOC130656613, Hydractinia|LOC130629606, Hydractinia|LOC130656612	Hydra|LOC100203077
OG0002206	Hydractinia|LOC130655069, Hydractinia|LOC130645122, Hydractinia|LOC130654902, Hydractinia|LOC130642254, Hydractinia|LOC130636006, Hydractinia|LOC130656936	Hydra|LOC105850584
OG0002207	Hydractinia|LOC130654663	Hydra|LOC105845210, Hydra|LOC101241025, Hydra|LOC124815012, Hydra|LOC105850205, Hydra|LOC105849475, Hydra|LOC101240924, Hydra|LOC105847992
OG0002209	Hydractinia|LOC130624292, Hydractinia|LOC130630079, Hydractinia|LOC130644934, Hydractinia|LOC130625687	Hydra|LOC100208249
OG0002210	Hydractinia|LOC130628883	Hydra|LOC101238350
OG0002213	Hydractinia|LOC130625208, Hydractinia|LOC130629750, Hydractinia|LOC130629760, Hydractinia|LOC130628561, Hydractinia|LOC130612886, Hydractinia|LOC130612291, Hydractinia|LOC130612371	Hydra|LOC101241528
OG0002214	Hydractinia|LOC130625916	Hydra|LOC124806708, Hydra|LOC124806368
OG0002215	Hydractinia|LOC130644497	Hydra|LOC100209958, Hydra|LOC100203196, Hydra|LOC105846882, Hydra|LOC101236829
OG0002283	Hydractinia|LOC130647365	Hydra|LOC100209737
OG0002284	Hydractinia|LOC130647322, Hydractinia|LOC130648118	Hydra|LOC100198107
OG0002285	Hydractinia|LOC130647049	Hydra|LOC100213935
OG0002287	Hydractinia|LOC130622223, Hydractinia|LOC130622224	Hydra|LOC100214214, Hydra|LOC100198713, Hydra|LOC100212760
OG0002288	Hydractinia|LOC130642027, Hydractinia|LOC130642024	Hydra|LOC124805774
OG0002289	Hydractinia|LOC130622221	Hydra|LOC101239547
OG0002291	Hydractinia|LOC130641299, Hydractinia|LOC130656943	Hydra|LOC105846998, Hydra|LOC105846994, Hydra|LOC101239029
OG0002293	Hydractinia|LOC130655424	Hydra|LOC100211547
OG0002295	Hydractinia|LOC130656838	Hydra|LOC100215643
OG0002295	Hydractinia|LOC130656499	Hydra|LOC105843146
OG0002296	Hydractinia|LOC130654610	hywnt5a
OG0002297	Hydractinia|LOC130655863, Hydractinia|LOC130655864	Hydra|LOC105843987
OG0002298	Hydractinia|LOC130655392	Hydra|LOC101239391
OG0002299	Hydractinia|LOC130644256, Hydractinia|LOC130644257, Hydractinia|LOC130646246	Hydra|LOC101241338
OG0002304	Hydractinia|LOC130656948	Hydra|LOC100203063, Hydra|LOC101237907
OG0002305	Hydractinia|LOC130640902, Hydractinia|LOC130640899	Hydra|LOC100215781, Hydra|LOC124810866
OG0002306	Hydractinia|LOC130653994	Hydra|LOC100199679
OG0002309	Hydractinia|LOC130636293	Hydra|LOC100214065
OG0002310	Hydractinia|LOC130635511, Hydractinia|LOC130635607	Hydra|LOC100203271, Hydra|LOC100199560
OG0002311	Hydractinia|LOC130636780, Hydractinia|LOC130636802	Hydra|LOC100206782, Hydra|LOC100208673
OG0002312	Hydractinia|LOC130635584, Hydractinia|LOC130635520	Hydra|LOC105845238
OG0002314	Hydractinia|LOC130641154, Hydractinia|LOC130640783	Hydra|LOC100210864
OG0002315	Hydractinia|LOC130641161, Hydractinia|LOC130640785	Hydra|LOC100212713
OG0002316	Hydractinia|LOC130640946	Hydra|LOC100205666
OG0002318	Hydractinia|LOC130614485	Hydra|LOC124805808, Hydra|LOC124813707, Hydra|LOC105849538
OG0002320	Hydractinia|LOC130641878, Hydractinia|LOC130641784	Hydra|LOC100205272, Hydra|LOC100207973
OG0002322	Hydractinia|LOC130634275	Hydra|LOC100205887
OG0002323	Hydractinia|LOC130656219, Hydractinia|LOC130631194	Hydra|LOC101241070
OG0002324	Hydractinia|LOC130655241, Hydractinia|LOC130655286	Hydra|LOC100197784
OG0002325	Hydractinia|LOC130647648	Hydra|LOC100202524
OG0002327	Hydractinia|LOC130648353	Hydra|LOC100212716
OG0002328	Hydractinia|LOC130642584, Hydractinia|LOC130639604	Hydra|LOC100207959, Hydra|LOC100202650
OG0002331	Hydractinia|LOC130612594	Hydra|LOC100215942
OG0002331	Hydractinia|LOC130656472	Hydra|LOC100212285
OG0002332	Hydractinia|LOC130647105, Hydractinia|LOC130647106	Hydra|LOC100200144
OG0002333	Hydractinia|LOC130647126	Hydra|LOC100206683
OG0002334	Hydractinia|LOC130622024	Hydra|LOC100203227
OG0002335	Hydractinia|LOC130613114, Hydractinia|LOC130662400	Hydra|LOC101235215
OG0002336	Hydractinia|LOC130647147, Hydractinia|LOC130647148	Hydra|LOC101237567, Hydra|LOC100208556
OG0002337	Hydractinia|LOC130621706	Hydra|LOC100209155
OG0002338	Hydractinia|LOC130635871	Hydra|LOC100199288, Hydra|LOC100200496
OG0002340	Hydractinia|LOC130625954	Hydra|LOC100208232
OG0002341	Hydractinia|LOC130636615, Hydractinia|LOC130636626	Hydra|LOC100197675
OG0002343	Hydractinia|LOC130628733	Hydra|LOC100205574, Hydra|LOC105843936, Hydra|LOC101239852
OG0002344	Hydractinia|LOC130628961	nfkb1
OG0002345	Hydractinia|LOC130612338, Hydractinia|LOC130612324	Hydra|LOC100214327, Hydra|LOC100213283
OG0002346	Hydractinia|LOC130662653	Hydra|LOC100203771
OG0002347	Hydractinia|LOC130662709	Hydra|LOC100203209, Hydra|LOC100197948
OG0002348	Hydractinia|LOC130613232, Hydractinia|LOC130662388	Hydra|LOC101236416
OG0002349	Hydractinia|LOC130625935	Hydra|LOC105843221
OG0002350	Hydractinia|LOC130649318	Hydra|LOC105847934
OG0002351	Hydractinia|LOC130629247	Hydra|LOC100201507
OG0002351	Hydractinia|LOC130629273	Hydra|LOC124806922, Hydra|LOC101235672
OG0002352	Hydractinia|LOC130662610, Hydractinia|LOC130662635	Hydra|LOC100211463
OG0002353	Hydractinia|LOC130612541, Hydractinia|LOC130612228	Hydra|LOC100203085
OG0002354	Hydractinia|LOC130662405	Hydra|LOC100198991
OG0002357	Hydractinia|LOC130629682, Hydractinia|LOC130629651	Hydra|LOC100199141
OG0002360	Hydractinia|LOC130612901	Hydra|LOC100200089, Hydra|LOC100192251, Hydra|LOC100192252
OG0002361	Hydractinia|LOC130662469	Hydra|LOC100200510
OG0002362	Hydractinia|LOC130614789	Hydra|LOC100204991
OG0002364	Hydractinia|LOC130657244	Hydra|LOC100204586, Hydra|LOC100200077, Hydra|LOC100215369
OG0002365	Hydractinia|LOC130654329	Hydra|LOC100213938
OG0002367	Hydractinia|LOC130645671, Hydractinia|LOC130645873	Hydra|LOC100213654
OG0002368	Hydractinia|LOC130645445	Hydra|LOC100203910, Hydra|LOC100203950, Hydra|LOC101236772
OG0002370	Hydractinia|LOC130656760	Hydra|LOC100198425
OG0002371	Hydractinia|LOC130655477	Hydra|LOC100213564
OG0002373	Hydractinia|LOC130612043	Hydra|LOC100211523
OG0002373	Hydractinia|LOC130630562	Hydra|LOC100210863
OG0002375	Hydractinia|LOC130662756, Hydractinia|LOC130613358	Hydra|LOC100198969
OG0002376	Hydractinia|LOC130645107, Hydractinia|LOC130645109	Hydra|LOC101238717, Hydra|LOC101238541
OG0002377	Hydractinia|LOC130644791	Hydra|LOC100198475
OG0002378	Hydractinia|LOC130641086	Hydra|LOC100203772
OG0002381	Hydractinia|LOC130632164, Hydractinia|LOC130631863	Hydra|LOC100199564
OG0002383	Hydractinia|LOC130641324, Hydractinia|LOC130644322	Hydra|LOC100200006
OG0002384	Hydractinia|LOC130646003	Hydra|LOC124815218
OG0002384	Hydractinia|LOC130644342, Hydractinia|LOC130641338	Hydra|LOC100200357
OG0002385	Hydractinia|LOC130645233	Hydra|LOC101235315
OG0002386	Hydractinia|LOC130613992	Hydra|LOC100206381
OG0002387	Hydractinia|LOC130613278	Hydra|LOC100200027
OG0002390	Hydractinia|LOC130647728	Hydra|LOC100198741
OG0002391	Hydractinia|LOC130629905	Hydra|LOC100199505
OG0002393	Hydractinia|LOC130647355	Hydra|LOC100201375, Hydra|LOC124818555
OG0002394	Hydractinia|LOC130630675	Hydra|LOC100209501, Hydra|LOC100199253
OG0002395	Hydractinia|LOC130628569	Hydra|LOC101240582
OG0002398	Hydractinia|LOC130635933	Hydra|LOC101238895, Hydra|LOC100210419, Hydra|LOC105848950, Hydra|LOC105848551, Hydra|LOC105844444
OG0002399	Hydractinia|LOC130640898, Hydractinia|LOC130629241, Hydractinia|LOC130628545, Hydractinia|LOC130636288	Hydra|LOC100199972, Hydra|LOC100203699
OG0002400	Hydractinia|LOC130655412, Hydractinia|LOC130657236	Hydra|LOC100215052
OG0002401	Hydractinia|LOC130621412	Hydra|LOC101238775
OG0002402	Hydractinia|LOC130614558	Hydra|LOC101238628
OG0002404	Hydractinia|LOC130647250	Hydra|LOC101239050
OG0002405	Hydractinia|LOC130647757	Hydra|LOC101239559
OG0002407	Hydractinia|LOC130625298	Hydra|LOC100207295
OG0002408	Hydractinia|LOC130626143	Hydra|LOC100211510
OG0002409	Hydractinia|LOC130629529	Hydra|LOC124806978, Hydra|LOC124818872
OG0002410	Hydractinia|LOC130662730	Hydra|LOC101241833
OG0002412	Hydractinia|LOC130656706	Hydra|LOC100197649
OG0002413	Hydractinia|LOC130614039	Hydra|LOC100211283
OG0002414	Hydractinia|LOC130622175	Hydra|LOC124813648
OG0002415	Hydractinia|LOC130621654	Hydra|LOC100199545
OG0002416	Hydractinia|LOC130647282, Hydractinia|LOC130648311	Hydra|LOC105844060, Hydra|LOC101241300, Hydra|LOC105843949, Hydra|LOC105844059
OG0002418	Hydractinia|LOC130622769	Hydra|LOC100215509, Hydra|LOC100197515
OG0002419	Hydractinia|LOC130647537	Hydra|LOC100199946
OG0002420	Hydractinia|LOC130630678	Hydra|LOC105843703
OG0002421	Hydractinia|LOC130625723	Hydra|LOC101240838, Hydra|LOC124806720, Hydra|LOC124806721
OG0002422	Hydractinia|LOC130647654	Hydra|LOC124805825
OG0002423	Hydractinia|LOC130646275	Hydra|LOC100213709
OG0002424	Hydractinia|LOC130631130	Hydra|LOC100204126
OG0002425	Hydractinia|LOC130614757	Hydra|LOC101235748
OG0002426	Hydractinia|LOC130614099	Hydra|LOC100196999
OG0002429	Hydractinia|LOC130621862	Hydra|LOC101234272
OG0002430	Hydractinia|LOC130655654	Hydra|LOC100208613
OG0002430	Hydractinia|LOC130655652	Hydra|LOC100212122
OG0002431	Hydractinia|LOC130653574	Hydra|LOC100212929, Hydra|LOC100213125, Hydra|LOC100211137
OG0002434	Hydractinia|LOC130647287, Hydractinia|LOC130648305	Hydra|LOC101240048
OG0002435	Hydractinia|LOC130633180, Hydractinia|LOC130637662, Hydractinia|LOC130636113	Hydra|LOC124816258, Hydra|LOC124816257, Hydra|LOC100207106
OG0002436	Hydractinia|LOC130655744	Hydra|LOC105846037
OG0002437	Hydractinia|LOC130612663	Hydra|LOC100210621, Hydra|LOC100211929
OG0002438	Hydractinia|LOC130641897	Hydra|LOC100206390
OG0002439	Hydractinia|LOC130622108	Hydra|LOC100214594
OG0002439	Hydractinia|LOC130622107	Hydra|LOC100197260, Hydra|LOC100199839
OG0002441	Hydractinia|LOC130613298, Hydractinia|LOC130646982, Hydractinia|LOC130646897	Hydra|LOC100215940
OG0002442	Hydractinia|LOC130647358	Hydra|LOC100203132
OG0002443	Hydractinia|LOC130629556, Hydractinia|LOC130629562	Hydra|LOC100202032
OG0002444	Hydractinia|LOC130654729	Hydra|LOC100213520
OG0002445	Hydractinia|LOC130628813	Hydra|LOC100205916
OG0002446	Hydractinia|LOC130623874, Hydractinia|LOC130623873	Hydra|LOC100204604, Hydra|LOC100198752
OG0002449	Hydractinia|LOC130644723	Hydra|LOC124808428
OG0002450	Hydractinia|LOC130621559	Hydra|LOC100211666
OG0002452	Hydractinia|LOC130645696, Hydractinia|LOC130645697, Hydractinia|LOC130645848	Hydra|LOC100206865
OG0002453	Hydractinia|LOC130645678, Hydractinia|LOC130645865	Hydra|LOC100203203
OG0002455	Hydractinia|LOC130612156, Hydractinia|LOC130612145	Hydra|LOC100209536, Hydra|LOC100197833
OG0002456	Hydractinia|LOC130612142	Hydra|LOC105844928, Hydra|LOC100199542, Hydra|LOC100203138
OG0002458	Hydractinia|LOC130628643, Hydractinia|LOC130629366, Hydractinia|LOC130629406	Hydra|LOC105843939
OG0002459	Hydractinia|LOC130629525, Hydractinia|LOC130629482, Hydractinia|LOC130629496	Hydra|LOC100197262
OG0002460	Hydractinia|LOC130628890, Hydractinia|LOC130629420, Hydractinia|LOC130629371	Hydra|LOC100199346
OG0002462	Hydractinia|LOC130646306, Hydractinia|LOC130645725, Hydractinia|LOC130645117	Hydra|LOC100204836
OG0002464	Hydractinia|LOC130648831, Hydractinia|LOC130648845, Hydractinia|LOC130648846	Hydra|LOC100202905
OG0002466	Hydractinia|LOC130645027	Hydra|LOC105844953
OG0002468	Hydractinia|LOC130641172, Hydractinia|LOC130640795	Hydra|LOC100211985
OG0002470	Hydractinia|LOC130645729, Hydractinia|LOC130645728, Hydractinia|LOC130645637	Hydra|LOC100204076, Hydra|LOC101237437
OG0002471	Hydractinia|LOC130641123, Hydractinia|LOC130640744	Hydra|LOC100203259
OG0002472	Hydractinia|LOC130613695	Hydra|LOC101235764
OG0002474	Hydractinia|LOC130614018	Hydra|LOC105845377, Hydra|LOC105848400
OG0002475	Hydractinia|LOC130629271	Hydra|LOC100207142
OG0002476	Hydractinia|LOC130612926	Hydra|LOC124818127
OG0002478	Hydractinia|LOC130648948	Hydra|LOC100200810
OG0002479	Hydractinia|LOC130647153, Hydractinia|LOC130648303	Hydra|LOC105850279, Hydra|LOC105846040, Hydra|LOC105845740, Hydra|LOC105846742
OG0002480	Hydractinia|LOC130641366	Hydra|LOC100209808
OG0002481	Hydractinia|LOC130656047, Hydractinia|LOC130656046	Hydra|LOC101236754
OG0002482	Hydractinia|LOC130655722	Hydra|LOC100201371
OG0002483	Hydractinia|LOC130641959, Hydractinia|LOC130641960	Hydra|LOC100202190
OG0002484	Hydractinia|LOC130657554	Hydra|LOC100205658
OG0002486	Hydractinia|LOC130612987	Hydra|LOC105846722, Hydra|LOC105846720, Hydra|LOC124811635
OG0002487	Hydractinia|LOC130622527, Hydractinia|LOC130622525	Hydra|LOC100205910
OG0002488	Hydractinia|LOC130626193	Hydra|LOC101241597, Hydra|LOC105849199
OG0002489	Hydractinia|LOC130644644	Hydra|LOC100199266
OG0002490	Hydractinia|LOC130655452	Hydra|LOC100210240
OG0002490	Hydractinia|LOC130654296	Hydra|LOC100201294
OG0002493	Hydractinia|LOC130657524	Hydra|LOC101240980
OG0002494	Hydractinia|LOC130653673, Hydractinia|LOC130654116	Hydra|LOC100204541
OG0002495	Hydractinia|LOC130644228, Hydractinia|LOC130646223, Hydractinia|LOC130646222	Hydra|LOC100205372
OG0002496	Hydractinia|LOC130662276	Hydra|LOC101238875
OG0002497	Hydractinia|LOC130662454	Hydra|LOC100205435
OG0002498	Hydractinia|LOC130640778, Hydractinia|LOC130641155	Hydra|LOC101235049
OG0002499	Hydractinia|LOC130630201	Hydra|LOC100204196
OG0002500	Hydractinia|LOC130655393	Hydra|LOC100215343
OG0002502	Hydractinia|LOC130645655, Hydractinia|LOC130645882	Hydra|LOC100201949
OG0002503	Hydractinia|LOC130654335, Hydractinia|LOC130654334	Hydra|LOC101240231
OG0002505	Hydractinia|LOC130612769	Hydra|LOC101234859
OG0002506	Hydractinia|LOC130630546	Hydra|LOC100215451
OG0002508	Hydractinia|LOC130614510	Hydra|LOC100205080
OG0002508	Hydractinia|LOC130625398	Hydra|LOC100200289
OG0002510	Hydractinia|LOC130645701	Hydra|LOC100202907
OG0002511	Hydractinia|LOC130636107	Hydra|LOC101237183
OG0002513	Hydractinia|LOC130641191, Hydractinia|LOC130640819	Hydra|LOC100207459
OG0002514	Hydractinia|LOC130642177, Hydractinia|LOC130640875	Hydra|LOC100208984
OG0002515	Hydractinia|LOC130645468	Hydra|LOC105844565, Hydra|LOC100197594
OG0002516	Hydractinia|LOC130640825, Hydractinia|LOC130641198	Hydra|LOC101237752
OG0002517	Hydractinia|LOC130640721, Hydractinia|LOC130641099	Hydra|LOC100200048
OG0002518	Hydractinia|LOC130622366, Hydractinia|LOC130647330	Hydra|LOC100213459
OG0002519	Hydractinia|LOC130644265, Hydractinia|LOC130641258	Hydra|LOC124815149
OG0002520	Hydractinia|LOC130662519, Hydractinia|LOC130662541	Hydra|LOC100198971, Hydra|LOC100198236
OG0002521	Hydractinia|LOC130635889, Hydractinia|LOC130612111	Hydra|LOC100212319
OG0002524	Hydractinia|LOC130614264, Hydractinia|LOC130614181	Hydra|LOC100197551
OG0002526	Hydractinia|LOC130621505	Hydra|LOC100207320
OG0002527	Hydractinia|LOC130636427, Hydractinia|LOC130638259	Hydra|LOC101238771
OG0002530	Hydractinia|LOC130640981	Hydra|LOC100207114, Hydra|LOC100208179
OG0002531	Hydractinia|LOC130642418, Hydractinia|LOC130639451	Hydra|LOC100204325
OG0002532	Hydractinia|LOC130644759	Hydra|LOC100208234, Hydra|LOC105849247, Hydra|LOC101240408
OG0002533	Hydractinia|LOC130632132	Hydra|LOC100215761
OG0002533	Hydractinia|LOC130630656	Hydra|LOC100212361
OG0002534	Hydractinia|LOC130640684, Hydractinia|LOC130628965, Hydractinia|LOC130625976	Hydra|LOC101241396
OG0002536	Hydractinia|LOC130657465	Hydra|LOC100203408
OG0002537	Hydractinia|LOC130649534	Hydra|LOC100204210
OG0002538	Hydractinia|LOC130649652	Hydra|LOC100212836
OG0002539	Hydractinia|LOC130644899, Hydractinia|LOC130641860	Hydra|LOC124818371
OG0002539	Hydractinia|LOC130654930	Hydra|LOC124816407
OG0002541	Hydractinia|LOC130629407, Hydractinia|LOC130629367, Hydractinia|LOC130628668	Hydra|LOC101239972
OG0002542	Hydractinia|LOC130629592	Hydra|LOC100203804
OG0002544	Hydractinia|LOC130647085, Hydractinia|LOC130630595	Hydra|LOC100199298
OG0002546	Hydractinia|LOC130636993	Hydra|LOC105843862, Hydra|LOC105847927
OG0002548	Hydractinia|LOC130640699, Hydractinia|LOC130642210, Hydractinia|LOC130645684	Hydra|LOC100209215
OG0002549	Hydractinia|LOC130612084	Hydra|LOC100212612
OG0002551	Hydractinia|LOC130644181, Hydractinia|LOC130646187	Hydra|LOC100206817
OG0002552	Hydractinia|LOC130624367	Hydra|LOC100205244
OG0002554	Hydractinia|LOC130630398	Hydra|LOC100210173
OG0002555	Hydractinia|LOC130654269	Hydra|LOC100213215
OG0002556	Hydractinia|LOC130614266	Hydra|LOC100211872
OG0002557	Hydractinia|LOC130654382	Hydra|LOC100203214
OG0002558	Hydractinia|LOC130630356, Hydractinia|LOC130636537, Hydractinia|LOC130635474	Hydra|LOC101236235, Hydra|LOC101234754
OG0002559	Hydractinia|LOC130614557	Hydra|LOC101234468
OG0002561	Hydractinia|LOC130636880, Hydractinia|LOC130635646	Hydra|LOC100215815
OG0002562	Hydractinia|LOC130621995, Hydractinia|LOC130622001, Hydractinia|LOC130622000	Hydra|LOC100204246
OG0002563	Hydractinia|LOC130623637	Hydra|LOC100208263
OG0002564	Hydractinia|LOC130662336	Hydra|LOC100199469
OG0002565	Hydractinia|LOC130613340	Hydra|LOC105850981
OG0002569	Hydractinia|LOC130623050	Hydra|LOC101239216
OG0002571	Hydractinia|LOC130625027	Hydra|LOC100208648
OG0002572	Hydractinia|LOC130636187, Hydractinia|LOC130637799	bcl-2
OG0002574	Hydractinia|LOC130649618	Hydra|LOC105843226
OG0002575	Hydractinia|LOC130640973	Hydra|LOC105844409, Hydra|LOC100202546
OG0002576	Hydractinia|LOC130641495, Hydractinia|LOC130641498	Hydra|LOC100208072
OG0002578	Hydractinia|LOC130650025, Hydractinia|LOC130647864	Hydra|LOC100197187
OG0002579	Hydractinia|LOC130612743, Hydractinia|LOC130613008	Hydra|LOC100201004
OG0002580	Hydractinia|LOC130654676	Hydra|LOC100214528
OG0002581	Hydractinia|LOC130624956	Hydra|LOC105847062, Hydra|LOC100211475
OG0002582	Hydractinia|LOC130636141	Hydra|LOC105847798
OG0002586	Hydractinia|LOC130625438	Hydra|LOC100214422
OG0002587	Hydractinia|LOC130640883, Hydractinia|LOC130643929	Hydra|LOC100199232
OG0002588	Hydractinia|LOC130612106	Hydra|LOC100208225
OG0002590	Hydractinia|LOC130624369	Hydra|LOC105849234
OG0002590	Hydractinia|LOC130656448	Hydra|LOC105844854, Hydra|LOC101237636
OG0002591	Hydractinia|LOC130629721	Hydra|LOC100215877
OG0002593	Hydractinia|LOC130657352	Hydra|LOC100211429
OG0002594	Hydractinia|LOC130644568	Hydra|LOC100208776
OG0002598	Hydractinia|LOC130623858	Hydra|LOC100205138, Hydra|LOC100205726
OG0002604	Hydractinia|LOC130630672	Hydra|LOC100209114
OG0002605	Hydractinia|LOC130630099, Hydractinia|LOC130630098	Hydra|LOC100204769
OG0002607	Hydractinia|LOC130630364, Hydractinia|LOC130630363	Hydra|LOC105848816
OG0002608	Hydractinia|LOC130630296	Hydra|LOC100201599
OG0002610	Hydractinia|LOC130646312, Hydractinia|LOC130645667	Hydra|LOC100209541
OG0002611	Hydractinia|LOC130630338, Hydractinia|LOC130648075	Hydra|LOC100210586, Hydra|LOC100207079
OG0002612	Hydractinia|LOC130635869	Hydra|LOC124815795
OG0002613	Hydractinia|LOC130622063	Hydra|LOC100211813
OG0002614	Hydractinia|LOC130630619	Hydra|LOC101234962
OG0002617	Hydractinia|LOC130628898	Hydra|LOC101235256
OG0002618	Hydractinia|LOC130644911	Hydra|LOC100203505
OG0002619	Hydractinia|LOC130612101	Hydra|LOC100210597
OG0002619	Hydractinia|LOC130621629	Hydra|LOC124807443
OG0002620	Hydractinia|LOC130613121, Hydractinia|LOC130613123	Hydra|LOC100197813
OG0002621	Hydractinia|LOC130656851	Hydra|LOC105844356
OG0002622	Hydractinia|LOC130656876, Hydractinia|LOC130656877	Hydra|LOC100203541
OG0002623	Hydractinia|LOC130628960	Hydra|LOC100205185
OG0002624	Hydractinia|LOC130628714, Hydractinia|LOC130629415, Hydractinia|LOC130629369	Hydra|LOC100207748
OG0002625	Hydractinia|LOC130655844	Hydra|LOC101240566
OG0002626	Hydractinia|LOC130655348, Hydractinia|LOC130657198, Hydractinia|LOC130656222	Hydra|LOC100207977
OG0002627	Hydractinia|LOC130645653, Hydractinia|LOC130645661	Hydra|LOC100212284
OG0002628	Hydractinia|LOC130654000	Hydra|LOC100215301, Hydra|LOC100205924, Hydra|LOC124817960
OG0002632	Hydractinia|LOC130654433	Hydra|LOC100204275
OG0002634	Hydractinia|LOC130656515	Hydra|LOC100213354
OG0002635	Hydractinia|LOC130656228, Hydractinia|LOC130623618, Hydractinia|LOC130614515	Hydra|LOC124811796
OG0002636	Hydractinia|LOC130623714	Hydra|LOC101239598
OG0002638	Hydractinia|LOC130656168	Hydra|LOC100202828
OG0002639	Hydractinia|LOC130642242, Hydractinia|LOC130656315, Hydractinia|LOC130657777, Hydractinia|LOC130623123	Hydra|LOC124810357
OG0002641	Hydractinia|LOC130655126	Hydra|LOC100197749, Hydra|LOC105844045, Hydra|LOC124808504
OG0002642	Hydractinia|LOC130629731	Hydra|LOC100207616
OG0002644	Hydractinia|LOC130654649	Hydra|LOC100201241
OG0002646	Hydractinia|LOC130623454, Hydractinia|LOC130623972	Hydra|LOC100203380
OG0002647	Hydractinia|LOC130625357	Hydra|LOC100202161
OG0002651	Hydractinia|LOC130628981	Hydra|LOC101241459
OG0002653	Hydractinia|LOC130636096	Hydra|LOC101236793
OG0002655	Hydractinia|LOC130641078, Hydractinia|LOC130628752, Hydractinia|LOC130641079, Hydractinia|LOC130641084	Hydra|LOC100201099
OG0002659	Hydractinia|LOC130655407	Hydra|LOC100203070
OG0002660	Hydractinia|LOC130621812	Hydra|LOC100212025
OG0002662	Hydractinia|LOC130655321	Hydra|LOC100209499
OG0002663	Hydractinia|LOC130629457	Hydra|LOC100210872
OG0002664	Hydractinia|LOC130636056	Hydra|LOC100208931
OG0002665	Hydractinia|LOC130648367	Hydra|LOC100206070
OG0002666	Hydractinia|LOC130655716	Hydra|LOC100201859
OG0002669	Hydractinia|LOC130613701	Hydra|LOC100206126
OG0002670	Hydractinia|LOC130624263	Hydra|LOC100197913
OG0002671	Hydractinia|LOC130641424	Hydra|LOC100198295
OG0002672	Hydractinia|LOC130625480	Hydra|LOC100201228
OG0002673	Hydractinia|LOC130655403	Hydra|LOC100210799, Hydra|LOC100200503
OG0002674	Hydractinia|LOC130630621	Hydra|LOC101234443
OG0002675	Hydractinia|LOC130625641	Hydra|LOC100206197
OG0002676	Hydractinia|LOC130636527	Hydra|LOC100207550
OG0002677	Hydractinia|LOC130648315, Hydractinia|LOC130647272	Hydra|LOC100203268
OG0002678	Hydractinia|LOC130640881	Hydra|LOC101240296
OG0002679	Hydractinia|LOC130625382	Hydra|LOC101237534
OG0002679	Hydractinia|LOC130656779	Hydra|LOC100204711
OG0002680	Hydractinia|LOC130655495	Hydra|LOC100212729
OG0002681	Hydractinia|LOC130641779	Hydra|LOC100212532
OG0002682	Hydractinia|LOC130613944	Hydra|LOC100206296
OG0002683	Hydractinia|LOC130647131, Hydractinia|LOC130647132	Hydra|LOC101235281
OG0002684	Hydractinia|LOC130628849	Hydra|LOC100197868, Hydra|LOC100203602
OG0002685	Hydractinia|LOC130629244	Hydra|LOC105847633, Hydra|LOC100213304
OG0002686	Hydractinia|LOC130621603	Hydra|LOC100198378
OG0002687	Hydractinia|LOC130644921	Hydra|LOC100215763
OG0002688	Hydractinia|LOC130645721, Hydractinia|LOC130645830	Hydra|LOC100213726
OG0002689	Hydractinia|LOC130642045, Hydractinia|LOC130642046	Hydra|LOC124807306, Hydra|LOC101234478, Hydra|LOC105848959, Hydra|LOC100207476
OG0002690	Hydractinia|LOC130633409	Hydra|LOC100199109
OG0002691	Hydractinia|LOC130648872, Hydractinia|LOC130648463	Hydra|LOC100211894, Hydra|LOC124811112, Hydra|LOC100207436
OG0002692	Hydractinia|LOC130656589	Hydra|LOC101240159
OG0002693	Hydractinia|LOC130641249, Hydractinia|LOC130644243	Hydra|LOC100205913
OG0002694	Hydractinia|LOC130612746, Hydractinia|LOC130612745, Hydractinia|LOC130612747	Hydra|LOC100199476
OG0002695	Hydractinia|LOC130653972, Hydractinia|LOC130625429, Hydractinia|LOC130645143, Hydractinia|LOC130648210	Hydra|LOC124805833, Hydra|LOC124816803
OG0002696	Hydractinia|LOC130656856	Hydra|LOC100211489
OG0002697	Hydractinia|LOC130657464	Hydra|LOC101240258
OG0002698	Hydractinia|LOC130628565	Hydra|LOC101237974, Hydra|LOC100201520
OG0002699	Hydractinia|LOC130628626	Hydra|LOC124808305
OG0002700	Hydractinia|LOC130644516	Hydra|LOC100207843
OG0002701	Hydractinia|LOC130623984	Hydra|LOC100215768, Hydra|LOC100212155
OG0002702	Hydractinia|LOC130623383	Hydra|LOC100205970, Hydra|LOC100207025
OG0002703	Hydractinia|LOC130647032	Hydra|LOC101236057
OG0002704	Hydractinia|LOC130654209	Hydra|LOC100200890
OG0002705	Hydractinia|LOC130641357, Hydractinia|LOC130644360, Hydractinia|LOC130644449	Hydra|LOC100208367
OG0002707	Hydractinia|LOC130656278	Hydra|LOC100200826
OG0002708	Hydractinia|LOC130662846, Hydractinia|LOC130662802	Hydra|LOC100200529
OG0002709	Hydractinia|LOC130648985, Hydractinia|LOC130648939	Hydra|LOC101238448
OG0002710	Hydractinia|LOC130649458	Hydra|LOC100212297
OG0002711	Hydractinia|LOC130648395	Hydra|LOC100201316
OG0002712	Hydractinia|LOC130636862, Hydractinia|LOC130635625	Hydra|LOC100204897
