Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_ClytiaProteins
OG0000487	Hydractinia|LOC130648032, Hydractinia|LOC130623128	Clytia|LOC_039374, Clytia|LOC_015876, Clytia|LOC_014287, Clytia|LOC_033678, Clytia|LOC_010682, Clytia|LOC_012588
OG0000489	Hydractinia|LOC130622212, Hydractinia|LOC130635860	Clytia|LOC_040932, Clytia|LOC_040337, Clytia|LOC_021485, Clytia|LOC_012606, Clytia|LOC_021486
OG0000489	Hydractinia|LOC130635698	Clytia|LOC_040503
OG0000489	Hydractinia|LOC130635697	Clytia|LOC_021487
OG0000490	Hydractinia|LOC130634454, Hydractinia|LOC130630581	Clytia|LOC_042550
OG0000490	Hydractinia|LOC130614136, Hydractinia|LOC130614135	Clytia|LOC_014135
OG0000491	Hydractinia|LOC130654901	Clytia|LOC_014146
OG0000493	Hydractinia|LOC130646926, Hydractinia|LOC130653938, Hydractinia|LOC130623706, Hydractinia|LOC130623367, Hydractinia|LOC130641188, Hydractinia|LOC130613258, Hydractinia|LOC130647115, Hydractinia|LOC130612123, Hydractinia|LOC130647421, Hydractinia|LOC130649465	Clytia|LOC_031973, Clytia|LOC_027082, Clytia|LOC_020665, Clytia|LOC_021856
OG0000494	Hydractinia|LOC130648460	Clytia|LOC_025961
OG0000494	Hydractinia|LOC130629413, Hydractinia|LOC130649070, Hydractinia|LOC130645151	Clytia|LOC_020683
OG0000495	Hydractinia|LOC130648858, Hydractinia|LOC130644983	Clytia|LOC_023624
OG0000496	Hydractinia|LOC130646219, Hydractinia|LOC130629855, Hydractinia|LOC130648509, Hydractinia|LOC130629400	Clytia|LOC_035540
OG0000496	Hydractinia|LOC130636899	Clytia|LOC_042659, Clytia|LOC_025407
OG0000496	Hydractinia|LOC130622367	Clytia|LOC_039470
OG0000497	Hydractinia|LOC130621915, Hydractinia|LOC130621913	Clytia|LOC_040262
OG0000498	Hydractinia|LOC130630465	Clytia|LOC_044130, Clytia|LOC_044129
OG0000513	Hydractinia|LOC130624047	Clytia|LOC_042531, Clytia|LOC_014604, Clytia|LOC_000073, Clytia|LOC_035909, Clytia|LOC_000146, Clytia|LOC_000074, Clytia|LOC_043436, Clytia|LOC_043435, Clytia|LOC_014605, Clytia|LOC_002009, Clytia|LOC_002075, Clytia|LOC_013573, Clytia|LOC_004529, Clytia|LOC_040450, Clytia|LOC_024649, Clytia|LOC_002043, Clytia|LOC_001997
OG0000514	Hydractinia|LOC130612880, Hydractinia|LOC130653701	Clytia|LOC_027847
OG0000514	Hydractinia|LOC130660293	Clytia|LOC_038749, Clytia|LOC_038619, Clytia|LOC_027466, Clytia|LOC_023361, Clytia|LOC_026086, Clytia|LOC_034004, Clytia|LOC_003244, Clytia|LOC_020854, Clytia|LOC_026011, Clytia|LOC_000424, Clytia|LOC_044866, Clytia|LOC_019862, Clytia|LOC_035732, Clytia|LOC_045571
OG0000515	Hydractinia|LOC130655694, Hydractinia|LOC130655319	Clytia|LOC_000476, Clytia|LOC_001003
OG0000515	Hydractinia|LOC130655339	Clytia|LOC_032810
OG0000515	Hydractinia|LOC130644560	Clytia|LOC_044119
OG0000516	Hydractinia|LOC130625886, Hydractinia|LOC130625887	Clytia|LOC_003010, Clytia|LOC_003009
OG0000516	Hydractinia|LOC130614138	Clytia|LOC_001098
OG0000516	Hydractinia|LOC130655035, Hydractinia|LOC130640877	Clytia|LOC_031827
OG0000517	Hydractinia|LOC130621419, Hydractinia|LOC130614818, Hydractinia|LOC130623283, Hydractinia|LOC130648561, Hydractinia|LOC130648208, Hydractinia|LOC130648252, Hydractinia|LOC130613513, Hydractinia|LOC130645901, Hydractinia|LOC130648191, Hydractinia|LOC130625270	Clytia|LOC_001152, Clytia|LOC_027280, Clytia|LOC_044698, Clytia|LOC_018925, Clytia|LOC_030705
OG0000518	Hydractinia|LOC130636434, Hydractinia|LOC130636433, Hydractinia|LOC130636436	Clytia|LOC_029387
OG0000518	Hydractinia|LOC130657949	Clytia|LOC_029386, Clytia|LOC_001225, Clytia|LOC_011577, Clytia|LOC_011576
OG0000519	Hydractinia|LOC130625655	Clytia|LOC_033986, Clytia|LOC_032272, Clytia|LOC_027786, Clytia|LOC_001653
OG0000519	Hydractinia|LOC130614088, Hydractinia|LOC130635689	Clytia|LOC_035659, Clytia|LOC_033446, Clytia|LOC_001652, Clytia|LOC_033985, Clytia|LOC_035648, Clytia|LOC_033984, Clytia|LOC_001651, Clytia|LOC_012243, Clytia|LOC_001654, Clytia|LOC_012244, Clytia|LOC_041308
OG0000520	Hydractinia|LOC130626087	Clytia|LOC_019100
OG0000520	Hydractinia|LOC130621701	Clytia|LOC_037213
OG0000520	Hydractinia|LOC130646951, Hydractinia|LOC130649429	Clytia|LOC_008744, Clytia|LOC_023292, Clytia|LOC_023294, Clytia|LOC_006438, Clytia|LOC_004348, Clytia|LOC_006889, Clytia|LOC_037212, Clytia|LOC_006850, Clytia|LOC_006866, Clytia|LOC_006888, Clytia|LOC_019453, Clytia|LOC_008745
OG0000522	Hydractinia|LOC130613622	Clytia|LOC_041976, Clytia|LOC_007029, Clytia|LOC_006965, Clytia|LOC_018539, Clytia|LOC_037365
OG0000523	Hydractinia|LOC130657784, Hydractinia|LOC130629848, Hydractinia|LOC130645393, Hydractinia|LOC130653768	Clytia|LOC_021337, Clytia|LOC_022486, Clytia|LOC_010589, Clytia|LOC_017020, Clytia|LOC_026227, Clytia|LOC_031496, Clytia|LOC_040964, Clytia|LOC_018534, Clytia|LOC_016669, Clytia|LOC_007011, Clytia|LOC_018929, Clytia|LOC_018650, Clytia|LOC_023483, Clytia|LOC_022626
OG0000524	Hydractinia|LOC130647430, Hydractinia|LOC130646920	Clytia|LOC_007699
OG0000524	Hydractinia|LOC130648802, Hydractinia|LOC130648803, Hydractinia|LOC130648804, Hydractinia|LOC130648458, Hydractinia|LOC130649494, Hydractinia|LOC130649052, Hydractinia|LOC130648584, Hydractinia|LOC130649226	Clytia|LOC_042360
OG0000527	Hydractinia|LOC130642327, Hydractinia|LOC130641845	Clytia|LOC_008961, Clytia|LOC_017426
OG0000528	Hydractinia|LOC130613250	Clytia|LOC_010811
OG0000529	Hydractinia|LOC130642077	Clytia|LOC_027437, Clytia|LOC_012413
OG0000529	Hydractinia|LOC130614248, Hydractinia|LOC130614333	Clytia|LOC_045226, Clytia|LOC_045227
OG0000530	Hydractinia|LOC130646667	Clytia|LOC_033000, Clytia|LOC_026093, Clytia|LOC_016557, Clytia|LOC_024563, Clytia|LOC_045356, Clytia|LOC_045355, Clytia|LOC_022030, Clytia|LOC_019077, Clytia|LOC_018907, Clytia|LOC_019193, Clytia|LOC_013476, Clytia|LOC_022324, Clytia|LOC_016368, Clytia|LOC_016373, Clytia|LOC_024831, Clytia|LOC_042818, Clytia|LOC_019246
OG0000531	Hydractinia|LOC130613912	Clytia|LOC_013531
OG0000532	Hydractinia|LOC130625359	Clytia|LOC_015765
OG0000533	Hydractinia|LOC130648550, Hydractinia|LOC130642165, Hydractinia|LOC130648212, Hydractinia|LOC130640807, Hydractinia|LOC130649381, Hydractinia|LOC130641587, Hydractinia|LOC130648789, Hydractinia|LOC130625077, Hydractinia|LOC130621323	Clytia|LOC_045646, Clytia|LOC_035512, Clytia|LOC_020879
OG0000535	Hydractinia|LOC130625380, Hydractinia|LOC130625517, Hydractinia|LOC130662674, Hydractinia|LOC130639715, Hydractinia|LOC130636186, Hydractinia|LOC130649059, Hydractinia|LOC130629703, Hydractinia|LOC130645964, Hydractinia|LOC130630497, Hydractinia|LOC130623738, Hydractinia|LOC130629159, Hydractinia|LOC130649632	Clytia|LOC_024622
OG0000536	Hydractinia|LOC130625025, Hydractinia|LOC130624932, Hydractinia|LOC130649436, Hydractinia|LOC130641699, Hydractinia|LOC130638248, Hydractinia|LOC130617906, Hydractinia|LOC130629394, Hydractinia|LOC130628552	Clytia|LOC_032026
OG0000537	Hydractinia|LOC130613813	Clytia|LOC_035633, Clytia|LOC_039041
OG0000538	Hydractinia|LOC130645132	Clytia|LOC_037279
OG0000539	Hydractinia|LOC130636852, Hydractinia|LOC130612175	Clytia|LOC_040998
OG0000539	Hydractinia|LOC130645969, Hydractinia|LOC130644863, Hydractinia|LOC130644862, Hydractinia|LOC130645897, Hydractinia|LOC130646329, Hydractinia|LOC130646328	Clytia|LOC_044552
OG0000540	Hydractinia|LOC130625040, Hydractinia|LOC130613709, Hydractinia|LOC130648471, Hydractinia|LOC130630458, Hydractinia|LOC130648885, Hydractinia|LOC130657813, Hydractinia|LOC130628556, Hydractinia|LOC130647419, Hydractinia|LOC130625039, Hydractinia|LOC130628741, Hydractinia|LOC130622504, Hydractinia|LOC130612505	Clytia|LOC_039574
OG0000562	Hydractinia|LOC130647062	Clytia|LOC_040914, Clytia|LOC_000065, Clytia|LOC_009603, Clytia|LOC_003208
OG0000563	Hydractinia|LOC130647141	Clytia|LOC_000129
OG0000564	Hydractinia|LOC130625222, Hydractinia|LOC130654195	Clytia|LOC_000974
OG0000564	Hydractinia|LOC130655774	Clytia|LOC_040523, Clytia|LOC_015146
OG0000566	Hydractinia|LOC130642217, Hydractinia|LOC130629790, Hydractinia|LOC130624025	Clytia|LOC_004019, Clytia|LOC_029968, Clytia|LOC_001056, Clytia|LOC_014015, Clytia|LOC_012867, Clytia|LOC_036649, Clytia|LOC_017434, Clytia|LOC_045106, Clytia|LOC_034140, Clytia|LOC_010083, Clytia|LOC_035410, Clytia|LOC_045108, Clytia|LOC_045109, Clytia|LOC_035383
OG0000568	Hydractinia|LOC130636234, Hydractinia|LOC130613244, Hydractinia|LOC130646070, Hydractinia|LOC130621428	Clytia|LOC_001897, Clytia|LOC_003587, Clytia|LOC_012293, Clytia|LOC_028105, Clytia|LOC_044632
OG0000569	Hydractinia|LOC130644830	Clytia|LOC_002113
OG0000569	Hydractinia|LOC130622606	Clytia|LOC_038677
OG0000570	Hydractinia|LOC130648416	Clytia|LOC_038154
OG0000570	Hydractinia|LOC130653931	Clytia|LOC_002254
OG0000570	Hydractinia|LOC130641858	Clytia|LOC_008612
OG0000571	Hydractinia|LOC130631049, Hydractinia|LOC130647954, Hydractinia|LOC130646997, Hydractinia|LOC130646996, Hydractinia|LOC130612847	Clytia|LOC_034665, Clytia|LOC_002392
OG0000573	Hydractinia|LOC130625781, Hydractinia|LOC130625605	Clytia|LOC_022000, Clytia|LOC_007280, Clytia|LOC_002454, Clytia|LOC_040777, Clytia|LOC_040776, Clytia|LOC_043703, Clytia|LOC_007041, Clytia|LOC_022789, Clytia|LOC_024379, Clytia|LOC_031996, Clytia|LOC_027627, Clytia|LOC_037149, Clytia|LOC_026027, Clytia|LOC_008368, Clytia|LOC_042629
OG0000574	Hydractinia|LOC130613099, Hydractinia|LOC130612696	Clytia|LOC_031903, Clytia|LOC_002853, Clytia|LOC_005298, Clytia|LOC_041385
OG0000575	Hydractinia|LOC130647002	Clytia|LOC_043112
OG0000575	Hydractinia|LOC130646924	Clytia|LOC_010182
OG0000575	Hydractinia|LOC130622402, Hydractinia|LOC130621439	Clytia|LOC_002896, Clytia|LOC_002895
OG0000576	Hydractinia|LOC130649143	Clytia|LOC_024053, Clytia|LOC_043924, Clytia|LOC_024056, Clytia|LOC_039326, Clytia|LOC_033407, Clytia|LOC_034564, Clytia|LOC_011891, Clytia|LOC_003235, Clytia|LOC_024055, Clytia|LOC_037685, Clytia|LOC_033408, Clytia|LOC_022055, Clytia|LOC_018213, Clytia|LOC_003243, Clytia|LOC_039731, Clytia|LOC_022054
OG0000577	Hydractinia|LOC130628971	Clytia|LOC_003722
OG0000577	Hydractinia|LOC130613339	Clytia|LOC_010376
OG0000577	Hydractinia|LOC130613286, Hydractinia|LOC130612737	Clytia|LOC_004099
OG0000578	Hydractinia|LOC130662648, Hydractinia|LOC130613048, Hydractinia|LOC130662326, Hydractinia|LOC130656849, Hydractinia|LOC130612730, Hydractinia|LOC130612851, Hydractinia|LOC130612414, Hydractinia|LOC130612415, Hydractinia|LOC130612413, Hydractinia|LOC130642133, Hydractinia|LOC130642234	Clytia|LOC_010924, Clytia|LOC_014913, Clytia|LOC_010925, Clytia|LOC_003830, Clytia|LOC_012067
OG0000583	Hydractinia|LOC130622119, Hydractinia|LOC130628567	Clytia|LOC_040774, Clytia|LOC_040176
OG0000583	Hydractinia|LOC130657825	Clytia|LOC_008923, Clytia|LOC_008934, Clytia|LOC_008937, Clytia|LOC_008933
OG0000585	Hydractinia|LOC130621828	Clytia|LOC_038649, Clytia|LOC_013578
OG0000586	Hydractinia|LOC130630486, Hydractinia|LOC130621909	Clytia|LOC_038626
OG0000586	Hydractinia|LOC130655046	Clytia|LOC_013985
OG0000586	Hydractinia|LOC130630403	Clytia|LOC_014082
OG0000588	Hydractinia|LOC130642331, Hydractinia|LOC130613032	Clytia|LOC_031823
OG0000588	Hydractinia|LOC130648956	Clytia|LOC_025016
OG0000588	Hydractinia|LOC130641864, Hydractinia|LOC130647841	Clytia|LOC_022183, Clytia|LOC_016522
OG0000589	Hydractinia|LOC130657057	Clytia|LOC_039177, Clytia|LOC_039176
OG0000589	Hydractinia|LOC130612984	Clytia|LOC_020572, Clytia|LOC_017444, Clytia|LOC_017445
OG0000590	Hydractinia|LOC130624089, Hydractinia|LOC130624087	Clytia|LOC_017674
OG0000590	Hydractinia|LOC130630615, Hydractinia|LOC130630058, Hydractinia|LOC130630655	Clytia|LOC_030982
OG0000591	Hydractinia|LOC130649299	Clytia|LOC_018033
OG0000592	Hydractinia|LOC130655245, Hydractinia|LOC130648990	Clytia|LOC_018370
OG0000593	Hydractinia|LOC130614110, Hydractinia|LOC130648538, Hydractinia|LOC130649131, Hydractinia|LOC130648887	Clytia|LOC_019170, Clytia|LOC_019840
OG0000594	Hydractinia|LOC130656406, Hydractinia|LOC130630534, Hydractinia|LOC130630532, Hydractinia|LOC130630533, Hydractinia|LOC130656375, Hydractinia|LOC130626798, Hydractinia|LOC130636763, Hydractinia|LOC130635567	Clytia|LOC_041055
OG0000595	Hydractinia|LOC130621921, Hydractinia|LOC130621922	Clytia|LOC_044070
OG0000596	Hydractinia|LOC130644311	Clytia|LOC_044376, Clytia|LOC_044374
OG0000624	Hydractinia|LOC130648043	Clytia|LOC_009604, Clytia|LOC_009607
OG0000624	Hydractinia|LOC130647454	Clytia|LOC_031445
OG0000628	Hydractinia|LOC130644576, Hydractinia|LOC130644577, Hydractinia|LOC130644575	Clytia|LOC_010704, Clytia|LOC_010719, Clytia|LOC_000774
OG0000628	Hydractinia|LOC130623631	Clytia|LOC_044287
OG0000628	Hydractinia|LOC130644932	Clytia|LOC_019036
OG0000629	Hydractinia|LOC130636691	Clytia|LOC_040669
OG0000629	Hydractinia|LOC130614506, Hydractinia|LOC130614507, Hydractinia|LOC130613689	Clytia|LOC_045297, Clytia|LOC_045254
OG0000629	Hydractinia|LOC130613685	Clytia|LOC_001119
OG0000629	Hydractinia|LOC130614642	Clytia|LOC_035562, Clytia|LOC_035561, Clytia|LOC_035566
OG0000631	Hydractinia|LOC130640888	Clytia|LOC_012381
OG0000631	Hydractinia|LOC130612260, Hydractinia|LOC130642103	Clytia|LOC_037566
OG0000631	Hydractinia|LOC130640934	Clytia|LOC_001548
OG0000632	Hydractinia|LOC130648260, Hydractinia|LOC130629306, Hydractinia|LOC130628783, Hydractinia|LOC130628624, Hydractinia|LOC130647195, Hydractinia|LOC130648152, Hydractinia|LOC130648261, Hydractinia|LOC130648133, Hydractinia|LOC130648156, Hydractinia|LOC130628708, Hydractinia|LOC130614470	Clytia|LOC_030137, Clytia|LOC_042437, Clytia|LOC_002413
OG0000633	Hydractinia|LOC130644675, Hydractinia|LOC130644674, Hydractinia|LOC130644636	Clytia|LOC_002629
OG0000633	Hydractinia|LOC130655102	Clytia|LOC_010551
OG0000635	Hydractinia|LOC130642393	Clytia|LOC_020076, Clytia|LOC_039577, Clytia|LOC_021675, Clytia|LOC_021497, Clytia|LOC_005226, Clytia|LOC_003493, Clytia|LOC_020740, Clytia|LOC_024562, Clytia|LOC_007066, Clytia|LOC_031362, Clytia|LOC_013679, Clytia|LOC_006409, Clytia|LOC_025233, Clytia|LOC_027397
OG0000637	Hydractinia|LOC130655255	Clytia|LOC_034505
OG0000637	Hydractinia|LOC130640993	Clytia|LOC_003589, Clytia|LOC_003562
OG0000637	Hydractinia|LOC130655258	Clytia|LOC_034531
OG0000638	Hydractinia|LOC130641387	Clytia|LOC_031832
OG0000638	Hydractinia|LOC130628970	Clytia|LOC_005863
OG0000638	Hydractinia|LOC130621200	Clytia|LOC_003741
OG0000642	Hydractinia|LOC130632586	Clytia|LOC_010850, Clytia|LOC_042412, Clytia|LOC_011745, Clytia|LOC_029786, Clytia|LOC_027516, Clytia|LOC_005255, Clytia|LOC_011747, Clytia|LOC_011399, Clytia|LOC_011746, Clytia|LOC_042413, Clytia|LOC_011392, Clytia|LOC_010851, Clytia|LOC_042411, Clytia|LOC_042530
OG0000643	Hydractinia|LOC130622468	Clytia|LOC_030904
OG0000643	Hydractinia|LOC130623462	Clytia|LOC_044761
OG0000643	Hydractinia|LOC130628844	Clytia|LOC_007432
OG0000646	Hydractinia|LOC130635950, Hydractinia|LOC130635438	Clytia|LOC_007859, Clytia|LOC_037629
OG0000646	Hydractinia|LOC130635436, Hydractinia|LOC130635437	Clytia|LOC_018166, Clytia|LOC_018161
OG0000647	Hydractinia|LOC130655970, Hydractinia|LOC130655971, Hydractinia|LOC130623838, Hydractinia|LOC130635667	Clytia|LOC_007976
OG0000648	Hydractinia|LOC130656312	Clytia|LOC_033025, Clytia|LOC_008220
OG0000649	Hydractinia|LOC130641127, Hydractinia|LOC130640751, Hydractinia|LOC130641937, Hydractinia|LOC130623909, Hydractinia|LOC130644363, Hydractinia|LOC130644364	Clytia|LOC_008630
OG0000650	Hydractinia|LOC130648894	Clytia|LOC_008709
OG0000650	Hydractinia|LOC130648876, Hydractinia|LOC130649121	Clytia|LOC_031574
OG0000651	Hydractinia|LOC130649486, Hydractinia|LOC130662637, Hydractinia|LOC130624023, Hydractinia|LOC130642198, Hydractinia|LOC130625215, Hydractinia|LOC130624342, Hydractinia|LOC130623944	Clytia|LOC_023431, Clytia|LOC_018210, Clytia|LOC_026931, Clytia|LOC_009503, Clytia|LOC_030449, Clytia|LOC_021288
OG0000651	Hydractinia|LOC130612719, Hydractinia|LOC130656233	Clytia|LOC_016777
OG0000653	Hydractinia|LOC130645184	Clytia|LOC_012308
OG0000653	Hydractinia|LOC130644785	Clytia|LOC_014167
OG0000653	Hydractinia|LOC130645391	Clytia|LOC_033057, Clytia|LOC_033088
OG0000654	Hydractinia|LOC130653835	Clytia|LOC_013100
OG0000654	Hydractinia|LOC130613446, Hydractinia|LOC130613842	Clytia|LOC_045849
OG0000655	Hydractinia|LOC130649328, Hydractinia|LOC130649183, Hydractinia|LOC130654363	Clytia|LOC_014136
OG0000656	Hydractinia|LOC130613438, Hydractinia|LOC130613441, Hydractinia|LOC130613439, Hydractinia|LOC130614490, Hydractinia|LOC130614269, Hydractinia|LOC130614271	Clytia|LOC_015037, Clytia|LOC_025429, Clytia|LOC_014140
OG0000658	Hydractinia|LOC130649165	Clytia|LOC_039959, Clytia|LOC_031995, Clytia|LOC_039961, Clytia|LOC_027138, Clytia|LOC_041778, Clytia|LOC_017540, Clytia|LOC_039829, Clytia|LOC_020673, Clytia|LOC_044892, Clytia|LOC_029532, Clytia|LOC_016939
OG0000659	Hydractinia|LOC130648280, Hydractinia|LOC130650523, Hydractinia|LOC130645336, Hydractinia|LOC130612918, Hydractinia|LOC130647999, Hydractinia|LOC130623253, Hydractinia|LOC130657806, Hydractinia|LOC130648100, Hydractinia|LOC130656700, Hydractinia|LOC130648000	Clytia|LOC_032206, Clytia|LOC_024898, Clytia|LOC_025544, Clytia|LOC_018597
OG0000660	Hydractinia|LOC130641267, Hydractinia|LOC130662821, Hydractinia|LOC130612881, Hydractinia|LOC130625558, Hydractinia|LOC130641199, Hydractinia|LOC130662819	Clytia|LOC_020852, Clytia|LOC_020915
OG0000663	Hydractinia|LOC130657392	Clytia|LOC_030240
OG0000664	Hydractinia|LOC130644620	Clytia|LOC_039541
OG0000664	Hydractinia|LOC130645444	Clytia|LOC_032698
OG0000665	Hydractinia|LOC130612455, Hydractinia|LOC130629170, Hydractinia|LOC130629429, Hydractinia|LOC130629716, Hydractinia|LOC130628854, Hydractinia|LOC130628521, Hydractinia|LOC130629704, Hydractinia|LOC130629390, Hydractinia|LOC130612822, Hydractinia|LOC130629393, Hydractinia|LOC130629694, Hydractinia|LOC130612448	Clytia|LOC_033742
OG0000666	Hydractinia|LOC130654101, Hydractinia|LOC130624976, Hydractinia|LOC130654737, Hydractinia|LOC130629036, Hydractinia|LOC130654352, Hydractinia|LOC130655408, Hydractinia|LOC130627045, Hydractinia|LOC130654485, Hydractinia|LOC130654484, Hydractinia|LOC130653898, Hydractinia|LOC130654909, Hydractinia|LOC130655091, Hydractinia|LOC130654840, Hydractinia|LOC130654839, Hydractinia|LOC130654841	Clytia|LOC_034542
OG0000667	Hydractinia|LOC130630468, Hydractinia|LOC130641559, Hydractinia|LOC130647158, Hydractinia|LOC130644384, Hydractinia|LOC130641730, Hydractinia|LOC130629391, Hydractinia|LOC130630265, Hydractinia|LOC130629596, Hydractinia|LOC130630493, Hydractinia|LOC130657458, Hydractinia|LOC130638366, Hydractinia|LOC130612677, Hydractinia|LOC130640974, Hydractinia|LOC130638334, Hydractinia|LOC130640841	Clytia|LOC_034588
OG0000668	Hydractinia|LOC130654341	Clytia|LOC_042885
OG0000668	Hydractinia|LOC130644559	Clytia|LOC_043533
OG0000698	Hydractinia|LOC130662859	Clytia|LOC_014711, Clytia|LOC_025609, Clytia|LOC_034055, Clytia|LOC_004893, Clytia|LOC_004942, Clytia|LOC_004941, Clytia|LOC_006794, Clytia|LOC_000167, Clytia|LOC_025610, Clytia|LOC_032900, Clytia|LOC_001667, Clytia|LOC_005279, Clytia|LOC_014712, Clytia|LOC_043114
OG0000699	Hydractinia|LOC130614767	Clytia|LOC_013701, Clytia|LOC_019452
OG0000699	Hydractinia|LOC130613950	Clytia|LOC_009237
OG0000700	Hydractinia|LOC130625624	Clytia|LOC_041422
OG0000701	Hydractinia|LOC130645070	Clytia|LOC_009066
OG0000701	Hydractinia|LOC130613196, Hydractinia|LOC130613195	Clytia|LOC_009065
OG0000702	Hydractinia|LOC130644700	Clytia|LOC_004887
OG0000702	Hydractinia|LOC130649597	Clytia|LOC_008388
OG0000702	Hydractinia|LOC130649525	Clytia|LOC_002189
OG0000703	Hydractinia|LOC130648786, Hydractinia|LOC130641335	Clytia|LOC_020543, Clytia|LOC_033821, Clytia|LOC_034170, Clytia|LOC_002518, Clytia|LOC_024688, Clytia|LOC_034163, Clytia|LOC_035700, Clytia|LOC_007537, Clytia|LOC_002482, Clytia|LOC_013015
OG0000704	Hydractinia|LOC130625795, Hydractinia|LOC130626055, Hydractinia|LOC130626000, Hydractinia|LOC130625853, Hydractinia|LOC130625582, Hydractinia|LOC130625717, Hydractinia|LOC130625910, Hydractinia|LOC130625899, Hydractinia|LOC130625836, Hydractinia|LOC130625835, Hydractinia|LOC130624931, Hydractinia|LOC130624934, Hydractinia|LOC130624936, Hydractinia|LOC130625201	Clytia|LOC_003043
OG0000705	Hydractinia|LOC130655267, Hydractinia|LOC130655268, Hydractinia|LOC130655266	Clytia|LOC_041239, Clytia|LOC_026643, Clytia|LOC_026642
OG0000705	Hydractinia|LOC130655269	Clytia|LOC_004302
OG0000706	Hydractinia|LOC130645736	Clytia|LOC_004576
OG0000706	Hydractinia|LOC130645735	Clytia|LOC_004599
OG0000706	Hydractinia|LOC130645054	Clytia|LOC_007196
OG0000706	Hydractinia|LOC130645241	Clytia|LOC_019602
OG0000707	Hydractinia|LOC130644591, Hydractinia|LOC130646265	Clytia|LOC_004604, Clytia|LOC_028638
OG0000709	Hydractinia|LOC130647089	Clytia|LOC_005374, Clytia|LOC_005375
OG0000709	Hydractinia|LOC130647989, Hydractinia|LOC130649830	Clytia|LOC_043195
OG0000710	Hydractinia|LOC130623968, Hydractinia|LOC130623971	Clytia|LOC_034626
OG0000711	Hydractinia|LOC130644702, Hydractinia|LOC130644584	Clytia|LOC_021493, Clytia|LOC_043259
OG0000711	Hydractinia|LOC130648756	Clytia|LOC_008575
OG0000715	Hydractinia|LOC130645925, Hydractinia|LOC130625742	Clytia|LOC_024753, Clytia|LOC_009879, Clytia|LOC_016570
OG0000716	Hydractinia|LOC130645256, Hydractinia|LOC130646060	Clytia|LOC_010708
OG0000716	Hydractinia|LOC130625969, Hydractinia|LOC130630413	Clytia|LOC_011428, Clytia|LOC_010522, Clytia|LOC_028463
OG0000717	Hydractinia|LOC130627674, Hydractinia|LOC130630284	Clytia|LOC_010718
OG0000720	Hydractinia|LOC130655891	Clytia|LOC_011769
OG0000721	Hydractinia|LOC130644832, Hydractinia|LOC130644836, Hydractinia|LOC130645506, Hydractinia|LOC130644834, Hydractinia|LOC130645771	Clytia|LOC_012086
OG0000722	Hydractinia|LOC130640985	Clytia|LOC_012401, Clytia|LOC_012402
OG0000722	Hydractinia|LOC130640984	Clytia|LOC_012399
OG0000722	Hydractinia|LOC130647630	Clytia|LOC_014294
OG0000723	Hydractinia|LOC130628768, Hydractinia|LOC130629167, Hydractinia|LOC130622880	Clytia|LOC_030851
OG0000723	Hydractinia|LOC130621946, Hydractinia|LOC130621944, Hydractinia|LOC130621945	Clytia|LOC_018182, Clytia|LOC_018181
OG0000723	Hydractinia|LOC130621948	Clytia|LOC_012729, Clytia|LOC_012730
OG0000724	Hydractinia|LOC130640717, Hydractinia|LOC130641098, Hydractinia|LOC130649193, Hydractinia|LOC130640969	Clytia|LOC_012911, Clytia|LOC_018086
OG0000724	Hydractinia|LOC130645044	Clytia|LOC_035860
OG0000725	Hydractinia|LOC130647578, Hydractinia|LOC130641729, Hydractinia|LOC130644745, Hydractinia|LOC130656866, Hydractinia|LOC130633871	Clytia|LOC_014657
OG0000726	Hydractinia|LOC130645782, Hydractinia|LOC130628918, Hydractinia|LOC130623133	Clytia|LOC_015056
OG0000729	Hydractinia|LOC130624302	Clytia|LOC_041550, Clytia|LOC_028131, Clytia|LOC_018428, Clytia|LOC_043120, Clytia|LOC_018064, Clytia|LOC_018705, Clytia|LOC_019159, Clytia|LOC_034703, Clytia|LOC_027709, Clytia|LOC_019184, Clytia|LOC_024564, Clytia|LOC_018899, Clytia|LOC_021547, Clytia|LOC_028626
OG0000730	Hydractinia|LOC130628679, Hydractinia|LOC130621642, Hydractinia|LOC130630047, Hydractinia|LOC130630075	Clytia|LOC_018712
OG0000731	Hydractinia|LOC130649977, Hydractinia|LOC130615418, Hydractinia|LOC130642091, Hydractinia|LOC130636858, Hydractinia|LOC130623951	Clytia|LOC_019582, Clytia|LOC_036035
OG0000732	Hydractinia|LOC130649581, Hydractinia|LOC130649208, Hydractinia|LOC130646995, Hydractinia|LOC130656122, Hydractinia|LOC130622919, Hydractinia|LOC130636657, Hydractinia|LOC130623166, Hydractinia|LOC130657485, Hydractinia|LOC130630507, Hydractinia|LOC130635746, Hydractinia|LOC130637005, Hydractinia|LOC130612776, Hydractinia|LOC130636732	Clytia|LOC_023626, Clytia|LOC_035957
OG0000733	Hydractinia|LOC130642326	Clytia|LOC_027903
OG0000733	Hydractinia|LOC130657041	Clytia|LOC_032235
OG0000734	Hydractinia|LOC130636879	Clytia|LOC_029415
OG0000734	Hydractinia|LOC130636859, Hydractinia|LOC130636577	Clytia|LOC_037663
OG0000734	Hydractinia|LOC130656402	Clytia|LOC_026731
OG0000735	Hydractinia|LOC130655507	Clytia|LOC_033240
OG0000735	Hydractinia|LOC130654987	Clytia|LOC_040730
