Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_NematostellaProteins
OG0001891	Clytia|LOC002768, Clytia|LOC003583	Nematostella|LOC5519386
OG0001893	Clytia|LOC011867, Clytia|LOC002797	Nematostella|LOC5502678
OG0001894	Clytia|LOC040446, Clytia|LOC002998	Nematostella|LOC5509059
OG0001895	Clytia|LOC021306, Clytia|LOC003006	Nematostella|LOC5515902
OG0001896	Clytia|LOC003033	Nematostella|LOC5518295, Nematostella|LOC5518296, Nematostella|LOC116601977
OG0001899	Clytia|LOC003185, Clytia|LOC003163	Nematostella|LOC5517252, Nematostella|LOC5517253
OG0001900	Clytia|LOC003168, Clytia|LOC037909	Nematostella|LOC5502428
OG0001904	Clytia|LOC003516	Nematostella|LOC5508051
OG0001906	Clytia|LOC003576	Nematostella|LOC5509039, Nematostella|LOC5508332
OG0001907	Clytia|LOC006018	Nematostella|LOC5505879
OG0001907	Clytia|LOC003651	Nematostella|LOC116616654
OG0001909	Clytia|LOC008219, Clytia|LOC041603, Clytia|LOC003771	Nematostella|LOC5506667
OG0001910	Clytia|LOC003881	Nematostella|LOC116616771
OG0001911	Clytia|LOC007539, Clytia|LOC003929	Nematostella|LOC5510971
OG0001912	Clytia|LOC003936	Nematostella|LOC5504912, Nematostella|LOC5509003, Nematostella|LOC5504445
OG0001913	Clytia|LOC003966	Nematostella|LOC5511638
OG0001914	Clytia|LOC004020, Clytia|LOC033774	Nematostella|LOC5518671
OG0001915	Clytia|LOC004070	Nematostella|LOC5513701
OG0001916	Clytia|LOC004072, Clytia|LOC019506	Nematostella|LOC5509316
OG0001919	Clytia|LOC004181	Nematostella|LOC116601599
OG0001921	Clytia|LOC014340, Clytia|LOC004303, Clytia|LOC004287	Nematostella|LOC116603352
OG0001922	Clytia|LOC004360, Clytia|LOC004358	Nematostella|LOC5500419
OG0001924	Clytia|LOC004658	Nematostella|LOC5503617
OG0001926	Clytia|LOC004707, Clytia|LOC004708	Nematostella|LOC5515968, Nematostella|LOC5518854, Nematostella|LOC5518855
OG0001927	Clytia|LOC004722, Clytia|LOC031378, Clytia|LOC031377	Nematostella|LOC5520996
OG0001928	Clytia|LOC004757	Nematostella|LOC5516337, Nematostella|LOC5504241
OG0001932	Clytia|LOC005039	Nematostella|LOC5519269
OG0001934	Clytia|LOC005191	Nematostella|LOC5519914
OG0001935	Clytia|LOC005305	Nematostella|LOC5514922
OG0001936	Clytia|LOC027737, Clytia|LOC022592, Clytia|LOC022589, Clytia|LOC026980, Clytia|LOC034024, Clytia|LOC012537, Clytia|LOC005334	Nematostella|LOC5499072
OG0001939	Clytia|LOC013641, Clytia|LOC005516, Clytia|LOC013642	Nematostella|LOC5507600
OG0001940	Clytia|LOC005607, Clytia|LOC010645	Nematostella|LOC116618537, Nematostella|LOC5506584
OG0001941	Clytia|LOC005846	Nematostella|LOC5518001, Nematostella|LOC5521217, Nematostella|LOC5516801
OG0001943	Clytia|LOC005866	Nematostella|LOC5519988
OG0001944	Clytia|LOC005895	Nematostella|LOC5516549, Nematostella|LOC116609745, Nematostella|LOC5511544
OG0001945	Clytia|LOC017260, Clytia|LOC017251, Clytia|LOC005988, Clytia|LOC017248, Clytia|LOC017250, Clytia|LOC017244	Nematostella|LOC5520485
OG0001947	Clytia|LOC006101	Nematostella|LOC5518408
OG0001948	Clytia|LOC006108, Clytia|LOC038264	Nematostella|LOC5518757, Nematostella|LOC116611769, Nematostella|LOC5520840, Nematostella|LOC116603455, Nematostella|LOC5519898
OG0001949	Clytia|LOC006155	Nematostella|LOC5512696, Nematostella|LOC116620029
OG0001950	Clytia|LOC006372, Clytia|LOC025998	Nematostella|LOC5513664
OG0001951	Clytia|LOC006380, Clytia|LOC006379	Nematostella|LOC5514661
OG0001952	Clytia|LOC006426, Clytia|LOC043724	Nematostella|LOC5509200
OG0001954	Clytia|LOC006488	Nematostella|LOC5502930, Nematostella|LOC125561948, Nematostella|LOC125561947
OG0001955	Clytia|LOC006527	Nematostella|LOC5508609, Nematostella|LOC116601525
OG0001956	Clytia|LOC006538, Clytia|LOC013297, Clytia|LOC010493	Nematostella|LOC5504109
OG0001957	Clytia|LOC040248, Clytia|LOC040247, Clytia|LOC006543	Nematostella|LOC5514100
OG0001958	Clytia|LOC006601	Nematostella|LOC5512003
OG0001958	Clytia|LOC006600	Nematostella|LOC5515790
OG0001959	Clytia|LOC027686, Clytia|LOC027687, Clytia|LOC006902	Nematostella|LOC116615698
OG0001960	Clytia|LOC034751, Clytia|LOC034776, Clytia|LOC006906, Clytia|LOC034752, Clytia|LOC034775, Clytia|LOC026049, Clytia|LOC034774	Nematostella|LOC5519017
OG0001961	Clytia|LOC007950, Clytia|LOC007228	Nematostella|LOC5516441
OG0001962	Clytia|LOC007293, Clytia|LOC007242	Nematostella|LOC5519600
OG0001963	Clytia|LOC026028, Clytia|LOC007395, Clytia|LOC025302	Nematostella|LOC5520183
OG0001965	Clytia|LOC007470	Nematostella|LOC5519919, Nematostella|LOC5508580, Nematostella|LOC5519821
OG0001966	Clytia|LOC007541	Nematostella|LOC5519668
OG0001967	Clytia|LOC043363, Clytia|LOC007585	Nematostella|LOC5508471, Nematostella|LOC5508470
OG0001968	Clytia|LOC007690, Clytia|LOC007697	Nematostella|LOC5506912
OG0001969	Clytia|LOC007726	Nematostella|LOC5521186
OG0001970	Clytia|LOC023009, Clytia|LOC022796, Clytia|LOC007914, Clytia|LOC007905	Nematostella|LOC5510920
OG0001971	Clytia|LOC007959	Nematostella|LOC5513551
OG0001972	Clytia|LOC008062, Clytia|LOC008045, Clytia|LOC023775, Clytia|LOC008061	Nematostella|LOC5510045
OG0001973	Clytia|LOC008150, Clytia|LOC033643	Nematostella|LOC5519790
OG0001974	Clytia|LOC008169	Nematostella|LOC5509256, Nematostella|LOC5513423, Nematostella|LOC5513386
OG0001976	Clytia|LOC008317, Clytia|LOC042093	Nematostella|LOC5500369
OG0001977	Clytia|LOC008423	Nematostella|LOC5508753
OG0001978	Clytia|LOC008429	Nematostella|LOC116619556, Nematostella|LOC5513937, Nematostella|LOC5514832
OG0001981	Clytia|LOC008759	Nematostella|LOC5499274, Nematostella|LOC116605154, Nematostella|LOC116602995, Nematostella|LOC116605646, Nematostella|LOC5508973
OG0001982	Clytia|LOC008761, Clytia|LOC044216	Nematostella|LOC5511120
OG0001983	Clytia|LOC008849, Clytia|LOC010732	Nematostella|LOC5521209
OG0001984	Clytia|LOC009174	Nematostella|LOC5512269
OG0001987	Clytia|LOC009434	Nematostella|LOC5519574
OG0001988	Clytia|LOC009570, Clytia|LOC009569	Nematostella|LOC5518704, Nematostella|LOC5518660, Nematostella|LOC5522281
OG0001989	Clytia|LOC009643, Clytia|LOC009642	Nematostella|LOC5505945
OG0001991	Clytia|LOC044063, Clytia|LOC009858	Nematostella|LOC5521689
OG0001992	Clytia|LOC015554	Nematostella|LOC5509921
OG0001992	Clytia|LOC009859	Nematostella|LOC5508996
OG0001993	Clytia|LOC009885, Clytia|LOC009886	Nematostella|LOC116617196
OG0001994	Clytia|LOC009964, Clytia|LOC043591, Clytia|LOC023757, Clytia|LOC009969	Nematostella|LOC5508721
OG0001996	Clytia|LOC010047, Clytia|LOC042849, Clytia|LOC010046, Clytia|LOC035306, Clytia|LOC026544	Nematostella|LOC116602008
OG0001997	Clytia|LOC010086	Nematostella|LOC5521019
OG0001998	Clytia|LOC015305	Nematostella|LOC5520353
OG0001998	Clytia|LOC010088	Nematostella|LOC125571365
OG0001999	Clytia|LOC034409, Clytia|LOC010114, Clytia|LOC010123	Nematostella|LOC116611783
OG0002001	Clytia|LOC010299	Nematostella|LOC5503466
OG0002002	Clytia|LOC010508, Clytia|LOC020059, Clytia|LOC011420, Clytia|LOC011421	Nematostella|LOC116603748
OG0002004	Clytia|LOC010601	Nematostella|LOC125573707, Nematostella|LOC5517524, Nematostella|LOC116601196
OG0002006	Clytia|LOC028517	Nematostella|LOC5514676
OG0002007	Clytia|LOC010935	Nematostella|LOC5514139
OG0002008	Clytia|LOC011027	Nematostella|LOC5510433
OG0002010	Clytia|LOC011279, Clytia|LOC011262	Nematostella|LOC5507329, Nematostella|LOC116604178
OG0002011	Clytia|LOC011312, Clytia|LOC034910	Nematostella|LOC5519662
OG0002012	Clytia|LOC027101, Clytia|LOC011509	Nematostella|LOC5503074, Nematostella|LOC5516632
OG0002015	Clytia|LOC011741, Clytia|LOC044272, Clytia|LOC044325	Nematostella|LOC116616126
OG0002020	Clytia|LOC012305	Nematostella|LOC5521052
OG0002021	Clytia|LOC045800, Clytia|LOC033129, Clytia|LOC040908, Clytia|LOC021972, Clytia|LOC012324, Clytia|LOC024847, Clytia|LOC034700	Nematostella|LOC125562978
OG0002022	Clytia|LOC043959, Clytia|LOC012336, Clytia|LOC044001, Clytia|LOC027572, Clytia|LOC031316, Clytia|LOC031317, Clytia|LOC031319	Nematostella|LOC5508091
OG0002023	Clytia|LOC039859, Clytia|LOC012382	Nematostella|LOC5519981
OG0002024	Clytia|LOC012460, Clytia|LOC012448	Nematostella|LOC5520953
OG0002027	Clytia|LOC012901, Clytia|LOC012900	Nematostella|LOC5509198, Nematostella|LOC5510043
OG0002028	Clytia|LOC043717, Clytia|LOC012907, Clytia|LOC043716, Clytia|LOC012906	Nematostella|LOC116617539
OG0002029	Clytia|LOC013136, Clytia|LOC021961, Clytia|LOC013132, Clytia|LOC033777	Nematostella|LOC5519207
OG0002030	Clytia|LOC013251, Clytia|LOC031991	Nematostella|LOC5522102
OG0002031	Clytia|LOC013296	Nematostella|LOC5513619
OG0002033	Clytia|LOC013623, Clytia|LOC013624, Clytia|LOC013631, Clytia|LOC029057	Nematostella|LOC5502403
OG0002035	Clytia|LOC013952	Nematostella|LOC116614167, Nematostella|LOC5519029
OG0002038	Clytia|LOC026088, Clytia|LOC023241, Clytia|LOC015510, Clytia|LOC014290	Nematostella|LOC5508662
OG0002039	Clytia|LOC014411, Clytia|LOC028456	Nematostella|LOC5504197, Nematostella|LOC5513006, Nematostella|LOC5509738
OG0002040	Clytia|LOC014436	Nematostella|LOC5519758, Nematostella|LOC5515742, Nematostella|LOC5515698
OG0002044	Clytia|LOC014806	Nematostella|LOC125572399, Nematostella|LOC5506782, Nematostella|LOC5499025
OG0002045	Clytia|LOC040372, Clytia|LOC042221, Clytia|LOC040707, Clytia|LOC040706, Clytia|LOC037760, Clytia|LOC044827, Clytia|LOC014809	Nematostella|LOC116619787
OG0002046	Clytia|LOC014839	Nematostella|LOC5506289
OG0002047	Clytia|LOC014908	Nematostella|LOC5507330, Nematostella|LOC116614678
OG0002050	Clytia|LOC015298, Clytia|LOC019295	Nematostella|LOC5521364
OG0002051	Clytia|LOC029595, Clytia|LOC015313	Nematostella|LOC5521790
OG0002053	Clytia|LOC015552, Clytia|LOC015547	Nematostella|LOC5519317
OG0002054	Clytia|LOC015648	Nematostella|LOC5509267
OG0002056	Clytia|LOC015764, Clytia|LOC041383	Nematostella|LOC116613875
OG0002057	Clytia|LOC015788, Clytia|LOC015787	Nematostella|LOC116620024, Nematostella|LOC5521106
OG0002058	Clytia|LOC016254, Clytia|LOC020000	Nematostella|LOC116609538
OG0002059	Clytia|LOC045518	Nematostella|LOC5514785
OG0002059	Clytia|LOC016580, Clytia|LOC016576	Nematostella|LOC5505691
OG0002060	Clytia|LOC016860	Nematostella|LOC116620805, Nematostella|LOC5516662, Nematostella|LOC116603586, Nematostella|LOC5516670
OG0002063	Clytia|LOC020028, Clytia|LOC017221	Nematostella|LOC5518219
OG0002064	Clytia|LOC017483, Clytia|LOC045179	Nematostella|LOC116615615, Nematostella|LOC5510189
OG0002065	Clytia|LOC017891, Clytia|LOC037848	Nematostella|LOC116611864, Nematostella|LOC5504203, Nematostella|LOC116611863, Nematostella|LOC5512674, Nematostella|LOC5512695
OG0002066	Clytia|LOC018021, Clytia|LOC018023	Nematostella|LOC5508508
OG0002068	Clytia|LOC018471, Clytia|LOC041736, Clytia|LOC045452	Nematostella|LOC116619167
OG0002069	Clytia|LOC018506, Clytia|LOC024249, Clytia|LOC036529	Nematostella|LOC5506073
OG0002075	Clytia|LOC022800, Clytia|LOC019743, Clytia|LOC019742, Clytia|LOC027643	Nematostella|LOC5507488
OG0002076	Clytia|LOC038159, Clytia|LOC020268	Nematostella|LOC116616629
OG0002080	Clytia|LOC037099, Clytia|LOC028182, Clytia|LOC021662, Clytia|LOC037098	Nematostella|LOC5505909
OG0002081	Clytia|LOC026522, Clytia|LOC022381, Clytia|LOC022382	Nematostella|LOC5515582
OG0002082	Clytia|LOC023013, Clytia|LOC023012, Clytia|LOC045645	Nematostella|LOC5515428, Nematostella|LOC5515366
OG0002083	Clytia|LOC031248, Clytia|LOC023124, Clytia|LOC023125, Clytia|LOC027367, Clytia|LOC023965	Nematostella|LOC116612047
OG0002086	Clytia|LOC028078, Clytia|LOC029492, Clytia|LOC029477, Clytia|LOC028460, Clytia|LOC029469, Clytia|LOC024510	Nematostella|LOC116620680
OG0002087	Clytia|LOC038778, Clytia|LOC024761, Clytia|LOC038777	Nematostella|LOC5503990
OG0002088	Clytia|LOC026259, Clytia|LOC027319, Clytia|LOC032360	Nematostella|LOC5513763, Nematostella|LOC5513735
OG0002089	Clytia|LOC034709, Clytia|LOC026641, Clytia|LOC035303	Nematostella|LOC125570210
OG0002091	Clytia|LOC034523, Clytia|LOC027660	Nematostella|LOC5511354
OG0002093	Clytia|LOC038218	Nematostella|LOC5519964
OG0002094	Clytia|LOC029015, Clytia|LOC033816	Nematostella|LOC5513868
OG0002095	Clytia|LOC029206	Nematostella|LOC5520225
OG0002096	Clytia|LOC029276	Nematostella|LOC5507794
OG0002097	Clytia|LOC029294	Nematostella|LOC5521751, Nematostella|LOC5514847
OG0002098	Clytia|LOC029688, Clytia|LOC029689, Clytia|LOC029690	Nematostella|LOC5514106
OG0002099	Clytia|LOC029792	Nematostella|LOC116604655, Nematostella|LOC5503916
OG0002101	Clytia|LOC030085, Clytia|LOC045810, Clytia|LOC030101	Nematostella|LOC5516550
OG0002102	Clytia|LOC030208	Nematostella|LOC5513273
OG0002103	Clytia|LOC030732	Nematostella|LOC5518239, Nematostella|LOC116610894, Nematostella|LOC5509613, Nematostella|LOC116603713
OG0002104	Clytia|LOC030808	Nematostella|LOC5502803
OG0002106	Clytia|LOC039723, Clytia|LOC031075	Nematostella|LOC116610887
OG0002107	Clytia|LOC031212, Clytia|LOC031216	Nematostella|LOC5510286, Nematostella|LOC125559731
OG0002108	Clytia|LOC031255	Nematostella|LOC116618107
OG0002110	Clytia|LOC031830	Nematostella|LOC5514915
OG0002110	Clytia|LOC041830, Clytia|LOC041832	Nematostella|LOC5504243
OG0002111	Clytia|LOC032000, Clytia|LOC044808	Nematostella|LOC5512589
OG0002113	Clytia|LOC032563, Clytia|LOC032581	Nematostella|LOC5515274
OG0002114	Clytia|LOC032992	Nematostella|LOC5517290
OG0002116	Clytia|LOC033557	Nematostella|LOC5513617
OG0002117	Clytia|LOC033569	Nematostella|LOC5513267, Nematostella|LOC5506053, Nematostella|LOC116615537, Nematostella|LOC5513633
OG0002119	Clytia|LOC033751, Clytia|LOC040174, Clytia|LOC033752, Clytia|LOC033750	Nematostella|LOC5515719
OG0002120	Clytia|LOC033838	Nematostella|LOC5515868
OG0002121	Clytia|LOC034870, Clytia|LOC034926, Clytia|LOC034925	Nematostella|LOC116611454
OG0002124	Clytia|LOC035544	Nematostella|LOC5516924, Nematostella|LOC5509611, Nematostella|LOC5516923
OG0002125	Clytia|LOC035833, Clytia|LOC035869	Nematostella|LOC5504588, Nematostella|LOC5504579
OG0002127	Clytia|LOC043460, Clytia|LOC036895	Nematostella|LOC5504235
OG0002128	Clytia|LOC037142, Clytia|LOC037160	Nematostella|LOC5512184
OG0002129	Clytia|LOC037143	Nematostella|LOC5508860
OG0002130	Clytia|LOC037415	Nematostella|LOC5513916
OG0002131	Clytia|LOC037631	Nematostella|LOC5520108, Nematostella|LOC125572172, Nematostella|LOC5511628
OG0002133	Clytia|LOC037992, Clytia|LOC037993	Nematostella|LOC5514351, Nematostella|LOC5521167
OG0002135	Clytia|LOC038206, Clytia|LOC038186	Nematostella|LOC5501982, Nematostella|LOC5508166, Nematostella|LOC5519533
OG0002136	Clytia|LOC038342	Nematostella|LOC5509903
OG0002137	Clytia|LOC038543, Clytia|LOC038521	Nematostella|LOC5517144
OG0002138	Clytia|LOC038632, Clytia|LOC038631	Nematostella|LOC5502534, Nematostella|LOC5516089
OG0002139	Clytia|LOC038929	Nematostella|LOC5507997, Nematostella|LOC5510775, Nematostella|LOC5508007, Nematostella|LOC5511304
OG0002140	Clytia|LOC038990	Nematostella|LOC5506874
OG0002141	Clytia|LOC039002	Nematostella|LOC5516281
OG0002142	Clytia|LOC039239	Nematostella|LOC5520187
OG0002143	Clytia|LOC039392	Nematostella|LOC5506067
OG0002144	Clytia|LOC039598, Clytia|LOC039592	Nematostella|LOC5505649
OG0002145	Clytia|LOC040597, Clytia|LOC040598	Nematostella|LOC5519514
OG0002146	Clytia|LOC040723	Nematostella|LOC5507748
OG0002147	Clytia|LOC040938	Nematostella|LOC125572442, Nematostella|LOC125572212, Nematostella|LOC5518118, Nematostella|LOC125572446
OG0002149	Clytia|LOC041175	Nematostella|LOC116620880, Nematostella|LOC116619737, Nematostella|LOC116616607
OG0002150	Clytia|LOC041303	Nematostella|LOC5505602, Nematostella|LOC5501825, Nematostella|LOC5505601
OG0002153	Clytia|LOC041815	Nematostella|LOC5516722, Nematostella|LOC5516447, Nematostella|LOC5508773, Nematostella|LOC5521820
OG0002154	Clytia|LOC041945	Nematostella|LOC5505725
OG0002155	Clytia|LOC042453	Nematostella|LOC5515667, Nematostella|LOC5512275
OG0002156	Clytia|LOC042545	Nematostella|LOC5501785, Nematostella|LOC5506404
OG0002157	Clytia|LOC042664, Clytia|LOC042701	Nematostella|LOC5508848
OG0002158	Clytia|LOC042665	Nematostella|LOC5519875, Nematostella|LOC5507576
OG0002159	Clytia|LOC042739	Nematostella|LOC5520037, Nematostella|LOC116603583
OG0002160	Clytia|LOC042751	Nematostella|LOC5520469
OG0002161	Clytia|LOC043150	Nematostella|LOC5521712, Nematostella|LOC5516953, Nematostella|LOC5509538, Nematostella|LOC5520609
OG0002162	Clytia|LOC043157	Nematostella|LOC116607440, Nematostella|LOC5507697, Nematostella|LOC5517014
OG0002163	Clytia|LOC043721, Clytia|LOC043720	Nematostella|LOC5519163
OG0002164	Clytia|LOC043906	Nematostella|LOC5510291
OG0002169	Clytia|LOC045748	Nematostella|LOC5519031
OG0002169	Clytia|LOC045747	Nematostella|LOC116610907
OG0002283	Clytia|LOC000060, Clytia|LOC000131	Nematostella|LOC116602025, Nematostella|LOC5506639, Nematostella|LOC5519876
OG0002284	Clytia|LOC000067, Clytia|LOC000139	Nematostella|LOC5517553
OG0002285	Clytia|LOC014617, Clytia|LOC000265, Clytia|LOC000259	Nematostella|LOC5513561
OG0002286	Clytia|LOC031353, Clytia|LOC000290	Nematostella|LOC5516153
OG0002288	Clytia|LOC000332	Nematostella|LOC5515084
OG0002289	Clytia|LOC000346	Nematostella|LOC5520121, Nematostella|LOC5516043
OG0002293	Clytia|LOC027877	Nematostella|LOC5511639
OG0002293	Clytia|LOC000465	Nematostella|LOC5516485
OG0002296	Clytia|LOC000650, Clytia|LOC000592, Clytia|LOC030003	Nematostella|LOC5510242
OG0002297	Clytia|LOC000608, Clytia|LOC000671	Nematostella|LOC5522125
OG0002298	Clytia|LOC030081, Clytia|LOC030066, Clytia|LOC000648	Nematostella|LOC5512442
OG0002299	Clytia|LOC000721	Nematostella|LOC5509897
OG0002304	Clytia|LOC000854	Nematostella|LOC5507669
OG0002305	Clytia|LOC000860	Nematostella|LOC5520837
OG0002306	Clytia|LOC000983, Clytia|LOC001020	Nematostella|LOC5510166
OG0002309	Clytia|LOC001194	Nematostella|LOC5522300, Nematostella|LOC125561247
OG0002310	Clytia|LOC001211	Nematostella|LOC5503852
OG0002311	Clytia|LOC001215	Nematostella|LOC5517390
OG0002312	Clytia|LOC001232	Nematostella|LOC125556732, Nematostella|LOC5517220
OG0002314	Clytia|LOC001303, Clytia|LOC001331	Nematostella|LOC5505605
OG0002315	Clytia|LOC001327	Nematostella|LOC5513829, Nematostella|LOC5509286, Nematostella|LOC5521804
OG0002316	Clytia|LOC001546	Nematostella|LOC5514215
OG0002318	Clytia|LOC001716	Nematostella|LOC5518578
OG0002320	Clytia|LOC001909	Nematostella|LOC5516782
OG0002321	Clytia|LOC001930	Nematostella|LOC5515766, Nematostella|LOC5505692
OG0002322	Clytia|LOC002088	Nematostella|LOC5513995, Nematostella|LOC5511190
OG0002323	Clytia|LOC002204, Clytia|LOC005485, Clytia|LOC041436	Nematostella|LOC5510928
OG0002324	Clytia|LOC002277	Nematostella|LOC5519284
OG0002324	Clytia|LOC002276	Nematostella|LOC5510588
OG0002325	Clytia|LOC027395, Clytia|LOC014811, Clytia|LOC002362	Nematostella|LOC5504409
OG0002327	Clytia|LOC002477	Nematostella|LOC5509571, Nematostella|LOC5508473
OG0002328	Clytia|LOC002528	Nematostella|LOC5511204
OG0002331	Clytia|LOC002685	Nematostella|LOC5518905
OG0002332	Clytia|LOC002756	Nematostella|LOC5501904
OG0002333	Clytia|LOC002786, Clytia|LOC002760, Clytia|LOC023087	Nematostella|LOC5504418
OG0002334	Clytia|LOC002770	Nematostella|LOC116619255
OG0002335	Clytia|LOC002794	Nematostella|LOC5520065, Nematostella|LOC5519983
OG0002337	Clytia|LOC008665	Nematostella|LOC5520205
OG0002337	Clytia|LOC002829	Nematostella|LOC5521872
OG0002338	Clytia|LOC002927	Nematostella|LOC116615039, Nematostella|LOC5507916
OG0002339	Clytia|LOC002954, Clytia|LOC002955	Nematostella|LOC5504897
OG0002340	Clytia|LOC003026	Nematostella|LOC5517379
OG0002341	Clytia|LOC003089, Clytia|LOC003088	Nematostella|LOC5500547
OG0002343	Clytia|LOC003333	Nematostella|LOC5504087
OG0002344	Clytia|LOC003373, Clytia|LOC007420, Clytia|LOC007421	Nematostella|LOC5504072
OG0002345	Clytia|LOC003424	Nematostella|LOC125561345
OG0002346	Clytia|LOC003457, Clytia|LOC003440, Clytia|LOC003458	Nematostella|LOC5505902
OG0002347	Clytia|LOC003568, Clytia|LOC003569, Clytia|LOC003567	Nematostella|LOC116601181
OG0002348	Clytia|LOC003594	Nematostella|LOC5516217, Nematostella|LOC5498640
OG0002349	Clytia|LOC003608, Clytia|LOC006276	Nematostella|LOC5519153
OG0002350	Clytia|LOC003702, Clytia|LOC012843	Nematostella|LOC116608951, Nematostella|LOC116612374
OG0002352	Clytia|LOC003773, Clytia|LOC003789	Nematostella|LOC5519908
OG0002353	Clytia|LOC003809, Clytia|LOC003784	Nematostella|LOC5505709
OG0002354	Clytia|LOC012105, Clytia|LOC003786	Nematostella|LOC5507945
OG0002355	Clytia|LOC003807, Clytia|LOC029166	Nematostella|LOC5506464
OG0002357	Clytia|LOC003894, Clytia|LOC003895	Nematostella|LOC5514428
OG0002359	Clytia|LOC004007, Clytia|LOC004027	Nematostella|LOC5506947
OG0002360	Clytia|LOC004102	Nematostella|LOC5511471
OG0002361	Clytia|LOC004108	Nematostella|LOC5505853
OG0002362	Clytia|LOC028267, Clytia|LOC004210	Nematostella|LOC5518528
OG0002363	Clytia|LOC004222	Nematostella|LOC5519492
OG0002364	Clytia|LOC004283	Nematostella|LOC5512100
OG0002365	Clytia|LOC004481, Clytia|LOC004457	Nematostella|LOC5497678
OG0002367	Clytia|LOC004594	Nematostella|LOC5506826, Nematostella|LOC5506827
OG0002368	Clytia|LOC004600	Nematostella|LOC5510266
OG0002370	Clytia|LOC015581, Clytia|LOC004628, Clytia|LOC039171	Nematostella|LOC5518906
OG0002371	Clytia|LOC030074, Clytia|LOC004728	Nematostella|LOC5513572, Nematostella|LOC5508702
OG0002373	Clytia|LOC004785, Clytia|LOC030971	Nematostella|LOC5506254
OG0002374	Clytia|LOC004841, Clytia|LOC004802, Clytia|LOC015597	Nematostella|LOC5508465, Nematostella|LOC5516907
OG0002375	Clytia|LOC045116, Clytia|LOC004836	Nematostella|LOC5503357
OG0002376	Clytia|LOC004892	Nematostella|LOC5500507
OG0002377	Clytia|LOC004904, Clytia|LOC037808	Nematostella|LOC5504728
OG0002380	Clytia|LOC005080	Nematostella|LOC125557135, Nematostella|LOC125568245, Nematostella|LOC125570137, Nematostella|LOC125561010
OG0002381	Clytia|LOC005090, Clytia|LOC012175, Clytia|LOC012190	Nematostella|LOC5511341
OG0002383	Clytia|LOC005129, Clytia|LOC005110	Nematostella|LOC5509151
OG0002385	Clytia|LOC005157, Clytia|LOC005180	Nematostella|LOC5508320
OG0002386	Clytia|LOC005253	Nematostella|LOC5518033
OG0002387	Clytia|LOC005302	Nematostella|LOC5505069
OG0002390	Clytia|LOC005425	Nematostella|LOC125572135, Nematostella|LOC5499745, Nematostella|LOC5512702
OG0002391	Clytia|LOC005489, Clytia|LOC005488, Clytia|LOC005505	Nematostella|LOC5520433
OG0002393	Clytia|LOC005565, Clytia|LOC040363	Nematostella|LOC5508111
OG0002394	Clytia|LOC005606	Nematostella|LOC5519063
OG0002395	Clytia|LOC005722, Clytia|LOC045424	Nematostella|LOC5513228, Nematostella|LOC5513225
OG0002400	Clytia|LOC005907, Clytia|LOC042362	Nematostella|LOC5521599, Nematostella|LOC5509840
OG0002401	Clytia|LOC005951, Clytia|LOC026075, Clytia|LOC005952	Nematostella|LOC5517924
OG0002403	Clytia|LOC034914, Clytia|LOC006052, Clytia|LOC031139	Nematostella|LOC5503957
OG0002404	Clytia|LOC043698	Nematostella|LOC5505461
OG0002404	Clytia|LOC006107	Nematostella|LOC125573509, Nematostella|LOC5505933
OG0002405	Clytia|LOC006133, Clytia|LOC006121	Nematostella|LOC5501394, Nematostella|LOC116620032
OG0002406	Clytia|LOC006196	Nematostella|LOC5501046, Nematostella|LOC5503817
OG0002407	Clytia|LOC006270, Clytia|LOC006269, Clytia|LOC024777	Nematostella|LOC5505840
OG0002408	Clytia|LOC006272	Nematostella|LOC5517465, Nematostella|LOC5519341
OG0002410	Clytia|LOC006363	Nematostella|LOC5505979
OG0002412	Clytia|LOC021776, Clytia|LOC024997, Clytia|LOC006425	Nematostella|LOC116604036
OG0002413	Clytia|LOC006465	Nematostella|LOC5506855
OG0002414	Clytia|LOC012058, Clytia|LOC006546	Nematostella|LOC5514777
OG0002415	Clytia|LOC006616	Nematostella|LOC5514013
OG0002418	Clytia|LOC006717	Nematostella|LOC5512058, Nematostella|LOC5515278, Nematostella|LOC116604742
OG0002419	Clytia|LOC006719, Clytia|LOC030012, Clytia|LOC006745	Nematostella|LOC5518300
OG0002420	Clytia|LOC026825, Clytia|LOC006771, Clytia|LOC006770	Nematostella|LOC5507617
OG0002421	Clytia|LOC006803	Nematostella|LOC5517376
OG0002422	Clytia|LOC006851	Nematostella|LOC5505344
OG0002423	Clytia|LOC024043, Clytia|LOC006898, Clytia|LOC041357	Nematostella|LOC5511009
OG0002424	Clytia|LOC006912	Nematostella|LOC5513905, Nematostella|LOC5508946, Nematostella|LOC5498815
OG0002425	Clytia|LOC015417, Clytia|LOC006981, Clytia|LOC021917	Nematostella|LOC5513366
OG0002426	Clytia|LOC006982, Clytia|LOC039011	Nematostella|LOC116618830
OG0002427	Clytia|LOC037736, Clytia|LOC006988	Nematostella|LOC5512598
OG0002428	Clytia|LOC007139	Nematostella|LOC5515302
OG0002429	Clytia|LOC007279, Clytia|LOC007278	Nematostella|LOC5521720
OG0002430	Clytia|LOC007319	Nematostella|LOC5522335
OG0002431	Clytia|LOC007322	Nematostella|LOC116603102
OG0002434	Clytia|LOC007384, Clytia|LOC007397	Nematostella|LOC5514741
