Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_XeniaProteins
OG0001887	Clytia|LOC002402	Xenia|LOC124455388, Xenia|LOC124455382, Xenia|LOC124455364
OG0001888	Clytia|LOC002648	Xenia|LOC124442166
OG0001889	Clytia|LOC002704, Clytia|LOC034545, Clytia|LOC034513	Xenia|LOC124454693, Xenia|LOC124454685
OG0001891	Clytia|LOC002768, Clytia|LOC003583	Xenia|LOC124438019
OG0001893	Clytia|LOC011867, Clytia|LOC002797	Xenia|LOC124438552
OG0001894	Clytia|LOC040446, Clytia|LOC002998	Xenia|LOC124453712
OG0001895	Clytia|LOC021306, Clytia|LOC003006	Xenia|LOC124450330
OG0001896	Clytia|LOC003033	Xenia|LOC124453040, Xenia|LOC124438348
OG0001899	Clytia|LOC003185, Clytia|LOC003163	Xenia|LOC124445651
OG0001900	Clytia|LOC003168, Clytia|LOC037909	Xenia|LOC124447561
OG0001904	Clytia|LOC003516	Xenia|LOC124437245, Xenia|LOC124436277, Xenia|LOC124437575
OG0001906	Clytia|LOC003576	Xenia|LOC124443769, Xenia|LOC124454236
OG0001907	Clytia|LOC006018	Xenia|LOC124437373
OG0001909	Clytia|LOC008219, Clytia|LOC041603, Clytia|LOC003771	Xenia|LOC124436750
OG0001910	Clytia|LOC003881	Xenia|LOC124456091
OG0001911	Clytia|LOC007539, Clytia|LOC003929	Xenia|LOC124445150
OG0001912	Clytia|LOC003936	Xenia|LOC124443836, Xenia|LOC124445518
OG0001913	Clytia|LOC003966	Xenia|LOC124445266, Xenia|LOC124445267
OG0001914	Clytia|LOC004020, Clytia|LOC033774	Xenia|LOC124450270
OG0001915	Clytia|LOC004070	Xenia|LOC124435710
OG0001916	Clytia|LOC004072, Clytia|LOC019506	Xenia|LOC124452203, Xenia|LOC124452246
OG0001919	Clytia|LOC004181	Xenia|LOC124436685, Xenia|LOC124436635, Xenia|LOC124436329, Xenia|LOC124436792
OG0001922	Clytia|LOC004360, Clytia|LOC004358	Xenia|LOC124435796, Xenia|LOC124447717
OG0001924	Clytia|LOC004658	Xenia|LOC124448005
OG0001926	Clytia|LOC004707, Clytia|LOC004708	Xenia|LOC124441326
OG0001927	Clytia|LOC004722, Clytia|LOC031378, Clytia|LOC031377	Xenia|LOC124444335
OG0001928	Clytia|LOC004757	Xenia|LOC124437871, Xenia|LOC124452480
OG0001932	Clytia|LOC005039	Xenia|LOC124446988, Xenia|LOC124446993, Xenia|LOC124446035, Xenia|LOC124446041
OG0001934	Clytia|LOC005191	Xenia|LOC124444235, Xenia|LOC124444233, Xenia|LOC124444237, Xenia|LOC124444238
OG0001935	Clytia|LOC005305	Xenia|LOC124442859
OG0001939	Clytia|LOC013641, Clytia|LOC005516, Clytia|LOC013642	Xenia|LOC124434099
OG0001940	Clytia|LOC005607, Clytia|LOC010645	Xenia|LOC124455067, Xenia|LOC124434178
OG0001941	Clytia|LOC005846	Xenia|LOC124439123, Xenia|LOC124438334
OG0001943	Clytia|LOC005866	Xenia|LOC124452685
OG0001944	Clytia|LOC005895	Xenia|LOC124434445, Xenia|LOC124434446
OG0001947	Clytia|LOC006101	Xenia|LOC124458435
OG0001948	Clytia|LOC006108, Clytia|LOC038264	Xenia|LOC124445629
OG0001949	Clytia|LOC006155	Xenia|LOC124445659
OG0001950	Clytia|LOC006372, Clytia|LOC025998	Xenia|LOC124455773, Xenia|LOC124440224
OG0001951	Clytia|LOC006380, Clytia|LOC006379	Xenia|LOC124457207, Xenia|LOC124447930, Xenia|LOC124457206
OG0001952	Clytia|LOC006426, Clytia|LOC043724	Xenia|LOC124433960
OG0001954	Clytia|LOC006488	Xenia|LOC124445613
OG0001955	Clytia|LOC006527	Xenia|LOC124440315
OG0001956	Clytia|LOC006538, Clytia|LOC013297, Clytia|LOC010493	Xenia|LOC124440625
OG0001957	Clytia|LOC040248, Clytia|LOC040247, Clytia|LOC006543	Xenia|LOC124436341
OG0001958	Clytia|LOC006601	Xenia|LOC124458042
OG0001958	Clytia|LOC006600	Xenia|LOC124456112
OG0001959	Clytia|LOC027686, Clytia|LOC027687, Clytia|LOC006902	Xenia|LOC124450898
OG0001961	Clytia|LOC007950, Clytia|LOC007228	Xenia|LOC124445438
OG0001962	Clytia|LOC007293, Clytia|LOC007242	Xenia|LOC124451330
OG0001963	Clytia|LOC026028, Clytia|LOC007395, Clytia|LOC025302	Xenia|LOC124456501, Xenia|LOC124456433
OG0001965	Clytia|LOC007470	Xenia|LOC124452834
OG0001966	Clytia|LOC007541	Xenia|LOC124451984, Xenia|LOC124451982
OG0001968	Clytia|LOC007690, Clytia|LOC007697	Xenia|LOC124447830, Xenia|LOC124449150, Xenia|LOC124449138
OG0001969	Clytia|LOC008432, Clytia|LOC008417	Xenia|LOC124452455
OG0001969	Clytia|LOC007726	Xenia|LOC124452809
OG0001970	Clytia|LOC023009, Clytia|LOC022796, Clytia|LOC007914, Clytia|LOC007905	Xenia|LOC124433825
OG0001971	Clytia|LOC007959	Xenia|LOC124446702, Xenia|LOC124446703
OG0001972	Clytia|LOC008062, Clytia|LOC008045, Clytia|LOC023775, Clytia|LOC008061	Xenia|LOC124452284
OG0001973	Clytia|LOC008150, Clytia|LOC033643	Xenia|LOC124444197
OG0001974	Clytia|LOC008169	Xenia|LOC124444963, Xenia|LOC124437566
OG0001976	Clytia|LOC008317, Clytia|LOC042093	Xenia|LOC124435544
OG0001977	Clytia|LOC008423	Xenia|LOC124446800, Xenia|LOC124450465, Xenia|LOC124446787, Xenia|LOC124453905
OG0001978	Clytia|LOC008429	Xenia|LOC124452807, Xenia|LOC124452806
OG0001982	Clytia|LOC008761, Clytia|LOC044216	Xenia|LOC124435528
OG0001983	Clytia|LOC008849, Clytia|LOC010732	Xenia|LOC124435405
OG0001984	Clytia|LOC009174	Xenia|LOC124436631
OG0001986	Clytia|LOC029449, Clytia|LOC041496, Clytia|LOC009405, Clytia|LOC010591, Clytia|LOC019837, Clytia|LOC027548	Xenia|LOC124439422, Xenia|LOC124459195
OG0001987	Clytia|LOC009434	Xenia|LOC124435238, Xenia|LOC124435237, Xenia|LOC124435580, Xenia|LOC124435579, Xenia|LOC124435560
OG0001988	Clytia|LOC009570, Clytia|LOC009569	Xenia|LOC124450821
OG0001989	Clytia|LOC009643, Clytia|LOC009642	Xenia|LOC124433597
OG0001991	Clytia|LOC044063, Clytia|LOC009858	Xenia|LOC124452989, Xenia|LOC124453054
OG0001992	Clytia|LOC009859	Xenia|LOC124444566
OG0001994	Clytia|LOC009964, Clytia|LOC043591, Clytia|LOC023757, Clytia|LOC009969	Xenia|LOC124433574
OG0001995	Clytia|LOC010010	Xenia|LOC124457559, Xenia|LOC124458138, Xenia|LOC124457228, Xenia|LOC124458233, Xenia|LOC124458235
OG0001998	Clytia|LOC010088	Xenia|LOC124456122
OG0002001	Clytia|LOC010299	Xenia|LOC124457237, Xenia|LOC124441549, Xenia|LOC124443352, Xenia|LOC124441556
OG0002002	Clytia|LOC010508, Clytia|LOC020059, Clytia|LOC011420, Clytia|LOC011421	Xenia|LOC124459204
OG0002006	Clytia|LOC028517	Xenia|LOC124442586
OG0002007	Clytia|LOC010935	Xenia|LOC124452131, Xenia|LOC124452085, Xenia|LOC124433316
OG0002008	Clytia|LOC011027	Xenia|LOC124442665, Xenia|LOC124442786, Xenia|LOC124442564, Xenia|LOC124441964
OG0002010	Clytia|LOC011279, Clytia|LOC011262	Xenia|LOC124445769
OG0002011	Clytia|LOC011312, Clytia|LOC034910	Xenia|LOC124450341
OG0002012	Clytia|LOC027101, Clytia|LOC011509	Xenia|LOC124441920, Xenia|LOC124453137
OG0002015	Clytia|LOC011741, Clytia|LOC044272, Clytia|LOC044325	Xenia|LOC124442609
OG0002020	Clytia|LOC012305	Xenia|LOC124450592, Xenia|LOC124452032, Xenia|LOC124452052, Xenia|LOC124452028, Xenia|LOC124443719
OG0002023	Clytia|LOC039859, Clytia|LOC012382	Xenia|LOC124443877
OG0002024	Clytia|LOC012460, Clytia|LOC012448	Xenia|LOC124444529
OG0002026	Clytia|LOC012858, Clytia|LOC015355, Clytia|LOC013367	Xenia|LOC124446983, Xenia|LOC124446986, Xenia|LOC124436976
OG0002027	Clytia|LOC012901, Clytia|LOC012900	Xenia|LOC124450422
OG0002028	Clytia|LOC043717, Clytia|LOC012907, Clytia|LOC043716, Clytia|LOC012906	Xenia|LOC124433822
OG0002029	Clytia|LOC013136, Clytia|LOC021961, Clytia|LOC013132, Clytia|LOC033777	Xenia|LOC124446043
OG0002030	Clytia|LOC013251, Clytia|LOC031991	Xenia|LOC124445899
OG0002031	Clytia|LOC013296	Xenia|LOC124443636, Xenia|LOC124443645
OG0002033	Clytia|LOC013623, Clytia|LOC013624, Clytia|LOC013631, Clytia|LOC029057	Xenia|LOC124435017
OG0002034	Clytia|LOC013689	Xenia|LOC124453922, Xenia|LOC124435779
OG0002035	Clytia|LOC013952	Xenia|LOC124435778, Xenia|LOC124446022
OG0002038	Clytia|LOC026088, Clytia|LOC023241, Clytia|LOC015510, Clytia|LOC014290	Xenia|LOC124433414
OG0002039	Clytia|LOC014411, Clytia|LOC028456	Xenia|LOC124443526
OG0002040	Clytia|LOC014436	Xenia|LOC124448376, Xenia|LOC124445762
OG0002046	Clytia|LOC014839	Xenia|LOC124436580, Xenia|LOC124437450, Xenia|LOC124436486, Xenia|LOC124436558
OG0002047	Clytia|LOC014908	Xenia|LOC124455651, Xenia|LOC124455448
OG0002050	Clytia|LOC015298, Clytia|LOC019295	Xenia|LOC124444612, Xenia|LOC124443716, Xenia|LOC124444613
OG0002051	Clytia|LOC029595, Clytia|LOC015313	Xenia|LOC124444708
OG0002053	Clytia|LOC015552, Clytia|LOC015547	Xenia|LOC124444244
OG0002054	Clytia|LOC015648	Xenia|LOC124438887
OG0002057	Clytia|LOC015788, Clytia|LOC015787	Xenia|LOC124440109, Xenia|LOC124440108
OG0002059	Clytia|LOC016580, Clytia|LOC016576	Xenia|LOC124452843
OG0002060	Clytia|LOC016860	Xenia|LOC124440038
OG0002063	Clytia|LOC020028, Clytia|LOC017221	Xenia|LOC124444874
OG0002064	Clytia|LOC017483, Clytia|LOC045179	Xenia|LOC124459098
OG0002066	Clytia|LOC018021, Clytia|LOC018023	Xenia|LOC124443179, Xenia|LOC124435030, Xenia|LOC124445517
OG0002069	Clytia|LOC018506, Clytia|LOC024249, Clytia|LOC036529	Xenia|LOC124446534, Xenia|LOC124447296
OG0002075	Clytia|LOC022800, Clytia|LOC019743, Clytia|LOC019742, Clytia|LOC027643	Xenia|LOC124439606
OG0002076	Clytia|LOC038159, Clytia|LOC020268	Xenia|LOC124448582
OG0002079	Clytia|LOC021878, Clytia|LOC040136, Clytia|LOC021435, Clytia|LOC041216	Xenia|LOC124440271, Xenia|LOC124440270
OG0002080	Clytia|LOC037099, Clytia|LOC028182, Clytia|LOC021662, Clytia|LOC037098	Xenia|LOC124439002
OG0002081	Clytia|LOC026522, Clytia|LOC022381, Clytia|LOC022382	Xenia|LOC124453164
OG0002082	Clytia|LOC023013, Clytia|LOC023012, Clytia|LOC045645	Xenia|LOC124446091
OG0002083	Clytia|LOC031248, Clytia|LOC023124, Clytia|LOC023125, Clytia|LOC027367, Clytia|LOC023965	Xenia|LOC124459339
OG0002087	Clytia|LOC038778, Clytia|LOC024761, Clytia|LOC038777	Xenia|LOC124454603
OG0002088	Clytia|LOC026259, Clytia|LOC027319, Clytia|LOC032360	Xenia|LOC124434066
OG0002091	Clytia|LOC034523, Clytia|LOC027660	Xenia|LOC124450223
OG0002093	Clytia|LOC038218	Xenia|LOC124453588
OG0002093	Clytia|LOC038220, Clytia|LOC028772	Xenia|LOC124453465
OG0002094	Clytia|LOC029015, Clytia|LOC033816	Xenia|LOC124441799
OG0002095	Clytia|LOC029206	Xenia|LOC124448394
OG0002096	Clytia|LOC029276	Xenia|LOC124446869
OG0002097	Clytia|LOC029294	Xenia|LOC124445817, Xenia|LOC124435091
OG0002098	Clytia|LOC029688, Clytia|LOC029689, Clytia|LOC029690	Xenia|LOC124453367
OG0002099	Clytia|LOC029792	Xenia|LOC124446015, Xenia|LOC124445442
OG0002100	Clytia|LOC029988	Xenia|LOC124454254, Xenia|LOC124439460, Xenia|LOC124436298, Xenia|LOC124439986, Xenia|LOC124442720, Xenia|LOC124449640
OG0002101	Clytia|LOC030085, Clytia|LOC045810, Clytia|LOC030101	Xenia|LOC124434659
OG0002103	Clytia|LOC030732	Xenia|LOC124444489, Xenia|LOC124444407
OG0002105	Clytia|LOC030931	Xenia|LOC124447415
OG0002106	Clytia|LOC039723, Clytia|LOC031075	Xenia|LOC124456534, Xenia|LOC124456544, Xenia|LOC124446235
OG0002107	Clytia|LOC031212, Clytia|LOC031216	Xenia|LOC124453348
OG0002108	Clytia|LOC031255	Xenia|LOC124452553, Xenia|LOC124452552
OG0002110	Clytia|LOC041830, Clytia|LOC041832	Xenia|LOC124439707
OG0002113	Clytia|LOC032563, Clytia|LOC032581	Xenia|LOC124449819, Xenia|LOC124449807
OG0002114	Clytia|LOC032992	Xenia|LOC124447281
OG0002116	Clytia|LOC033557	Xenia|LOC124453108
OG0002117	Clytia|LOC033569	Xenia|LOC124453321, Xenia|LOC124452604
OG0002119	Clytia|LOC033751, Clytia|LOC040174, Clytia|LOC033752, Clytia|LOC033750	Xenia|LOC124445758
OG0002120	Clytia|LOC033838	Xenia|LOC124436491
OG0002121	Clytia|LOC034870, Clytia|LOC034926, Clytia|LOC034925	Xenia|LOC124439377, Xenia|LOC124439506
OG0002124	Clytia|LOC035544	Xenia|LOC124449838
OG0002125	Clytia|LOC035833, Clytia|LOC035869	Xenia|LOC124450135
OG0002126	Clytia|LOC036014	Xenia|LOC124455380
OG0002127	Clytia|LOC043460	Xenia|LOC124453417
OG0002127	Clytia|LOC036895	Xenia|LOC124453741
OG0002128	Clytia|LOC037142, Clytia|LOC037160	Xenia|LOC124446588, Xenia|LOC124445600
OG0002129	Clytia|LOC037143	Xenia|LOC124450299, Xenia|LOC124451635, Xenia|LOC124450300, Xenia|LOC124450295
OG0002130	Clytia|LOC037415	Xenia|LOC124441962
OG0002131	Clytia|LOC037631	Xenia|LOC124445594, Xenia|LOC124457848
OG0002133	Clytia|LOC037992, Clytia|LOC037993	Xenia|LOC124453665
OG0002134	Clytia|LOC038013	Xenia|LOC124441666
OG0002135	Clytia|LOC038206, Clytia|LOC038186	Xenia|LOC124453989
OG0002136	Clytia|LOC038342	Xenia|LOC124436104, Xenia|LOC124439445, Xenia|LOC124436103, Xenia|LOC124441377
OG0002137	Clytia|LOC038543, Clytia|LOC038521	Xenia|LOC124440186
OG0002138	Clytia|LOC038632, Clytia|LOC038631	Xenia|LOC124441352
OG0002139	Clytia|LOC038929	Xenia|LOC124434693
OG0002140	Clytia|LOC038990	Xenia|LOC124436123, Xenia|LOC124459062, Xenia|LOC124459056, Xenia|LOC124436348, Xenia|LOC124436299
OG0002141	Clytia|LOC039002	Xenia|LOC124438513, Xenia|LOC124438511
OG0002142	Clytia|LOC039239	Xenia|LOC124455361, Xenia|LOC124449259, Xenia|LOC124455372, Xenia|LOC124455373
OG0002143	Clytia|LOC039392	Xenia|LOC124445992, Xenia|LOC124434753
OG0002144	Clytia|LOC039598, Clytia|LOC039592	Xenia|LOC124458162
OG0002145	Clytia|LOC040597, Clytia|LOC040598	Xenia|LOC124437148
OG0002146	Clytia|LOC040723	Xenia|LOC124441342
OG0002147	Clytia|LOC040938	Xenia|LOC124445985
OG0002149	Clytia|LOC041175	Xenia|LOC124448629, Xenia|LOC124448249
OG0002150	Clytia|LOC041303	Xenia|LOC124449509
OG0002153	Clytia|LOC041815	Xenia|LOC124437660
OG0002154	Clytia|LOC041945	Xenia|LOC124459417
OG0002155	Clytia|LOC042453	Xenia|LOC124438549, Xenia|LOC124445561
OG0002156	Clytia|LOC042545	Xenia|LOC124457189, Xenia|LOC124434138
OG0002157	Clytia|LOC042664, Clytia|LOC042701	Xenia|LOC124450384, Xenia|LOC124450388, Xenia|LOC124450386
OG0002158	Clytia|LOC042665	Xenia|LOC124433861, Xenia|LOC124433866, Xenia|LOC124433879
OG0002159	Clytia|LOC042739	Xenia|LOC124439160, Xenia|LOC124452528
OG0002160	Clytia|LOC042751	Xenia|LOC124457500, Xenia|LOC124433805
OG0002161	Clytia|LOC043150	Xenia|LOC124442947, Xenia|LOC124442863
OG0002162	Clytia|LOC043157	Xenia|LOC124434836, Xenia|LOC124444329
OG0002163	Clytia|LOC043721, Clytia|LOC043720	Xenia|LOC124446307
OG0002164	Clytia|LOC043906	Xenia|LOC124455230, Xenia|LOC124455342, Xenia|LOC124438426
OG0002166	Clytia|LOC044905	Xenia|LOC124438054, Xenia|LOC124439357, Xenia|LOC124438053, Xenia|LOC124439360, Xenia|LOC124438059, Xenia|LOC124439359
OG0002169	Clytia|LOC045748	Xenia|LOC124456121
OG0002169	Clytia|LOC045747	Xenia|LOC124455231
OG0002284	Clytia|LOC000067, Clytia|LOC000139	Xenia|LOC124451693
OG0002285	Clytia|LOC014617, Clytia|LOC000265, Clytia|LOC000259	Xenia|LOC124446780
OG0002288	Clytia|LOC000332	Xenia|LOC124453356, Xenia|LOC124456107
OG0002289	Clytia|LOC000346	Xenia|LOC124443005, Xenia|LOC124443098
OG0002293	Clytia|LOC000465	Xenia|LOC124446671
OG0002295	Clytia|LOC035219, Clytia|LOC000500	Xenia|LOC124434780
OG0002296	Clytia|LOC000650, Clytia|LOC000592, Clytia|LOC030003	Xenia|LOC124446632
OG0002297	Clytia|LOC000608, Clytia|LOC000671	Xenia|LOC124452594
OG0002298	Clytia|LOC030081, Clytia|LOC030066, Clytia|LOC000648	Xenia|LOC124439204
OG0002299	Clytia|LOC000721	Xenia|LOC124441923
OG0002304	Clytia|LOC000854	Xenia|LOC124433758, Xenia|LOC124435673
OG0002305	Clytia|LOC000860	Xenia|LOC124443059
OG0002306	Clytia|LOC000983, Clytia|LOC001020	Xenia|LOC124441192, Xenia|LOC124441191
OG0002309	Clytia|LOC001194	Xenia|LOC124452662, Xenia|LOC124452661
OG0002310	Clytia|LOC001211	Xenia|LOC124447424
OG0002311	Clytia|LOC001215	Xenia|LOC124434881
OG0002312	Clytia|LOC001232	Xenia|LOC124447470
OG0002314	Clytia|LOC001303, Clytia|LOC001331	Xenia|LOC124447933
OG0002316	Clytia|LOC001546	Xenia|LOC124443898, Xenia|LOC124443900, Xenia|LOC124443901
OG0002318	Clytia|LOC001716	Xenia|LOC124437630
OG0002320	Clytia|LOC001909	Xenia|LOC124452581
OG0002321	Clytia|LOC001930	Xenia|LOC124439161, Xenia|LOC124438433, Xenia|LOC124440597, Xenia|LOC124453746
OG0002322	Clytia|LOC002088	Xenia|LOC124433265, Xenia|LOC124433264
OG0002325	Clytia|LOC027395, Clytia|LOC014811, Clytia|LOC002362	Xenia|LOC124452821
OG0002327	Clytia|LOC002477	Xenia|LOC124448292, Xenia|LOC124448435
OG0002328	Clytia|LOC002528	Xenia|LOC124457023
OG0002331	Clytia|LOC002685	Xenia|LOC124442459
OG0002332	Clytia|LOC002756	Xenia|LOC124456309, Xenia|LOC124448707
OG0002333	Clytia|LOC002786, Clytia|LOC002760, Clytia|LOC023087	Xenia|LOC124459562
OG0002334	Clytia|LOC002770	Xenia|LOC124439140
OG0002335	Clytia|LOC002794	Xenia|LOC124444139
OG0002336	Clytia|LOC005570, Clytia|LOC002813	Xenia|LOC124439937
OG0002337	Clytia|LOC002829	Xenia|LOC124440762
OG0002338	Clytia|LOC002927	Xenia|LOC124446253
OG0002339	Clytia|LOC002954, Clytia|LOC002955	Xenia|LOC124446686, Xenia|LOC124446688
OG0002340	Clytia|LOC003026	Xenia|LOC124434476, Xenia|LOC124434604, Xenia|LOC124434433
OG0002341	Clytia|LOC003089, Clytia|LOC003088	Xenia|LOC124446792
OG0002343	Clytia|LOC003333	Xenia|LOC124453764
OG0002344	Clytia|LOC003373, Clytia|LOC007420, Clytia|LOC007421	Xenia|LOC124453237
OG0002345	Clytia|LOC003424	Xenia|LOC124451875
OG0002346	Clytia|LOC003457, Clytia|LOC003440, Clytia|LOC003458	Xenia|LOC124438125
OG0002348	Clytia|LOC003594	Xenia|LOC124439315
OG0002349	Clytia|LOC003608, Clytia|LOC006276	Xenia|LOC124433938
OG0002350	Clytia|LOC003702, Clytia|LOC012843	Xenia|LOC124433437
OG0002352	Clytia|LOC003773, Clytia|LOC003789	Xenia|LOC124454781
OG0002353	Clytia|LOC003809, Clytia|LOC003784	Xenia|LOC124439313
OG0002354	Clytia|LOC012105, Clytia|LOC003786	Xenia|LOC124439168
OG0002355	Clytia|LOC003807, Clytia|LOC029166	Xenia|LOC124439626, Xenia|LOC124439627
OG0002357	Clytia|LOC003894, Clytia|LOC003895	Xenia|LOC124446395
OG0002359	Clytia|LOC004007, Clytia|LOC004027	Xenia|LOC124434912
OG0002360	Clytia|LOC004102	Xenia|LOC124446778
OG0002361	Clytia|LOC004108	Xenia|LOC124453991, Xenia|LOC124453993, Xenia|LOC124438715
OG0002362	Clytia|LOC028267, Clytia|LOC004210	Xenia|LOC124437259, Xenia|LOC124436383
OG0002363	Clytia|LOC004222	Xenia|LOC124436651
OG0002364	Clytia|LOC004283	Xenia|LOC124450988
OG0002365	Clytia|LOC004481, Clytia|LOC004457	Xenia|LOC124446638, Xenia|LOC124445525
OG0002367	Clytia|LOC004594	Xenia|LOC124435456
OG0002368	Clytia|LOC004600	Xenia|LOC124447048
OG0002370	Clytia|LOC015581, Clytia|LOC004628, Clytia|LOC039171	Xenia|LOC124442189
OG0002371	Clytia|LOC030074, Clytia|LOC004728	Xenia|LOC124447235
OG0002374	Clytia|LOC004841, Clytia|LOC004802, Clytia|LOC015597	Xenia|LOC124448634
OG0002375	Clytia|LOC045116, Clytia|LOC004836	Xenia|LOC124446524
OG0002376	Clytia|LOC004892	Xenia|LOC124441374
OG0002377	Clytia|LOC004904, Clytia|LOC037808	Xenia|LOC124443116, Xenia|LOC124442758
OG0002378	Clytia|LOC005024	Xenia|LOC124439380
OG0002380	Clytia|LOC005080	Xenia|LOC124436111
OG0002383	Clytia|LOC005129, Clytia|LOC005110	Xenia|LOC124447620
OG0002384	Clytia|LOC005128	Xenia|LOC124453908
OG0002385	Clytia|LOC005157, Clytia|LOC005180	Xenia|LOC124459183, Xenia|LOC124441141
OG0002386	Clytia|LOC005253	Xenia|LOC124435862, Xenia|LOC124436280, Xenia|LOC124437576
OG0002387	Clytia|LOC005302	Xenia|LOC124439666, Xenia|LOC124439664, Xenia|LOC124438654
OG0002390	Clytia|LOC005425	Xenia|LOC124446294
OG0002391	Clytia|LOC005489, Clytia|LOC005488, Clytia|LOC005505	Xenia|LOC124449444
OG0002393	Clytia|LOC005565, Clytia|LOC040363	Xenia|LOC124450818
OG0002394	Clytia|LOC005606	Xenia|LOC124436469, Xenia|LOC124436609
OG0002395	Clytia|LOC005722, Clytia|LOC045424	Xenia|LOC124452735
OG0002401	Clytia|LOC005951, Clytia|LOC026075, Clytia|LOC005952	Xenia|LOC124438438
OG0002403	Clytia|LOC034914, Clytia|LOC006052, Clytia|LOC031139	Xenia|LOC124443707
OG0002405	Clytia|LOC006133, Clytia|LOC006121	Xenia|LOC124433363
OG0002406	Clytia|LOC006196	Xenia|LOC124443175, Xenia|LOC124446554
OG0002407	Clytia|LOC006270, Clytia|LOC006269, Clytia|LOC024777	Xenia|LOC124435725
OG0002408	Clytia|LOC006272	Xenia|LOC124434408, Xenia|LOC124434478
OG0002409	Clytia|LOC024692, Clytia|LOC006306, Clytia|LOC026229	Xenia|LOC124457234
OG0002410	Clytia|LOC006362, Clytia|LOC006363	Xenia|LOC124445067
OG0002412	Clytia|LOC021776, Clytia|LOC024997, Clytia|LOC006425	Xenia|LOC124441235
OG0002413	Clytia|LOC006465	Xenia|LOC124436414, Xenia|LOC124435834, Xenia|LOC124436025
OG0002414	Clytia|LOC012058, Clytia|LOC006546	Xenia|LOC124440585
OG0002415	Clytia|LOC006616	Xenia|LOC124440485, Xenia|LOC124439743, Xenia|LOC124440483
OG0002419	Clytia|LOC006719, Clytia|LOC030012, Clytia|LOC006745	Xenia|LOC124445298
OG0002420	Clytia|LOC026825, Clytia|LOC006771, Clytia|LOC006770	Xenia|LOC124457330
OG0002421	Clytia|LOC006803	Xenia|LOC124434965
OG0002422	Clytia|LOC006851	Xenia|LOC124449017, Xenia|LOC124444922, Xenia|LOC124453802
OG0002423	Clytia|LOC024043, Clytia|LOC006898, Clytia|LOC041357	Xenia|LOC124445775
OG0002424	Clytia|LOC006912	Xenia|LOC124453811
OG0002425	Clytia|LOC015417, Clytia|LOC006981, Clytia|LOC021917	Xenia|LOC124437596
OG0002426	Clytia|LOC006982, Clytia|LOC039011	Xenia|LOC124437654
OG0002427	Clytia|LOC037736, Clytia|LOC006988	Xenia|LOC124452442, Xenia|LOC124452517
OG0002428	Clytia|LOC007139	Xenia|LOC124454283, Xenia|LOC124438922, Xenia|LOC124454966, Xenia|LOC124454116
OG0002429	Clytia|LOC007279, Clytia|LOC007278	Xenia|LOC124455255, Xenia|LOC124440457
OG0002430	Clytia|LOC007319	Xenia|LOC124438997
OG0002431	Clytia|LOC007322	Xenia|LOC124446956
OG0002434	Clytia|LOC007384, Clytia|LOC007397	Xenia|LOC124433348
OG0002436	Clytia|LOC013846, Clytia|LOC011285, Clytia|LOC007431	Xenia|LOC124453810
OG0002437	Clytia|LOC007495	Xenia|LOC124442688, Xenia|LOC124442689
OG0002438	Clytia|LOC007582, Clytia|LOC007580	Xenia|LOC124453105, Xenia|LOC124453100
OG0002441	Clytia|LOC007641	Xenia|LOC124438212
OG0002442	Clytia|LOC007653, Clytia|LOC007673	Xenia|LOC124433322, Xenia|LOC124459125
OG0002443	Clytia|LOC007689, Clytia|LOC043292	Xenia|LOC124435440
OG0002445	Clytia|LOC007816, Clytia|LOC013643	Xenia|LOC124448377
OG0002446	Clytia|LOC007819	Xenia|LOC124452954
OG0002449	Clytia|LOC008008, Clytia|LOC008005, Clytia|LOC008007	Xenia|LOC124444833
OG0002450	Clytia|LOC008079, Clytia|LOC008060	Xenia|LOC124452760
OG0002452	Clytia|LOC008108	Xenia|LOC124442495
OG0002453	Clytia|LOC008110	Xenia|LOC124442605
OG0002455	Clytia|LOC008268	Xenia|LOC124438025
OG0002456	Clytia|LOC008281	Xenia|LOC124457735
OG0002458	Clytia|LOC008510, Clytia|LOC008503	Xenia|LOC124445633
OG0002459	Clytia|LOC008512	Xenia|LOC124448625
OG0002460	Clytia|LOC008514	Xenia|LOC124434083
OG0002464	Clytia|LOC008722	Xenia|LOC124448403
OG0002468	Clytia|LOC009000	Xenia|LOC124444074, Xenia|LOC124444540
OG0002471	Clytia|LOC009113, Clytia|LOC009114	Xenia|LOC124439149
OG0002475	Clytia|LOC009391, Clytia|LOC014497, Clytia|LOC014489	Xenia|LOC124452864
OG0002476	Clytia|LOC024031, Clytia|LOC044680, Clytia|LOC032110, Clytia|LOC009413	Xenia|LOC124435908
OG0002478	Clytia|LOC036269, Clytia|LOC009533, Clytia|LOC036251	Xenia|LOC124447719
OG0002480	Clytia|LOC009670	Xenia|LOC124452646
OG0002481	Clytia|LOC009761, Clytia|LOC009755	Xenia|LOC124445308
OG0002482	Clytia|LOC009763	Xenia|LOC124438049, Xenia|LOC124439048
OG0002484	Clytia|LOC009884, Clytia|LOC010183	Xenia|LOC124442448
OG0002487	Clytia|LOC009982, Clytia|LOC009983	Xenia|LOC124439544
OG0002489	Clytia|LOC014771, Clytia|LOC010116	Xenia|LOC124446817, Xenia|LOC124446548, Xenia|LOC124445445
OG0002490	Clytia|LOC010118	Xenia|LOC124445857
