Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydractiniaProteins
OG0000498	Xenia|LOC124438127, Xenia|LOC124438128, Xenia|LOC124438126, Xenia|LOC124438124, Xenia|LOC124438122, Xenia|LOC124438130, Xenia|LOC124438165, Xenia|LOC124437967, Xenia|LOC124438131, Xenia|LOC124437961, Xenia|LOC124438133, Xenia|LOC124438134, Xenia|LOC124437924, Xenia|LOC124438156, Xenia|LOC124439306	Hydractinia|LOC130630465
OG0000506	Xenia|LOC124454643, Xenia|LOC124454795, Xenia|LOC124454912, Xenia|LOC124454898, Xenia|LOC124454979, Xenia|LOC124454538, Xenia|LOC124454980, Xenia|LOC124454908, Xenia|LOC124454402, Xenia|LOC124454798, Xenia|LOC124454819, Xenia|LOC124454923, Xenia|LOC124454822, Xenia|LOC124455022, Xenia|LOC124454240, Xenia|LOC124454253	Hydractinia|LOC130662742
OG0000507	Xenia|LOC124456075	Hydractinia|LOC130621319, Hydractinia|LOC130612932
OG0000515	Xenia|LOC124445035	Hydractinia|LOC130655694, Hydractinia|LOC130655319, Hydractinia|LOC130655339, Hydractinia|LOC130655658
OG0000515	Xenia|LOC124445802	Hydractinia|LOC130644560
OG0000516	Xenia|LOC124435360	Hydractinia|LOC130625886, Hydractinia|LOC130625887, Hydractinia|LOC130614138
OG0000516	Xenia|LOC124437648, Xenia|LOC124452952, Xenia|LOC124451481	Hydractinia|LOC130655035, Hydractinia|LOC130640877
OG0000522	Xenia|LOC124435867, Xenia|LOC124435869, Xenia|LOC124435866, Xenia|LOC124436940	Hydractinia|LOC130613622
OG0000524	Xenia|LOC124443799	Hydractinia|LOC130647430, Hydractinia|LOC130646920, Hydractinia|LOC130648802, Hydractinia|LOC130648803, Hydractinia|LOC130648804, Hydractinia|LOC130648458, Hydractinia|LOC130649494, Hydractinia|LOC130649052, Hydractinia|LOC130648584, Hydractinia|LOC130649226
OG0000528	Xenia|LOC124454584, Xenia|LOC124454457, Xenia|LOC124454977, Xenia|LOC124454367	Hydractinia|LOC130613250, Hydractinia|LOC130662724, Hydractinia|LOC130612396
OG0000529	Xenia|LOC124453012	Hydractinia|LOC130642077
OG0000532	Xenia|LOC124435469, Xenia|LOC124434187, Xenia|LOC124434189, Xenia|LOC124453947, Xenia|LOC124453940, Xenia|LOC124435466, Xenia|LOC124435468, Xenia|LOC124435485, Xenia|LOC124434184, Xenia|LOC124435483, Xenia|LOC124435482, Xenia|LOC124435481, Xenia|LOC124435476, Xenia|LOC124435474	Hydractinia|LOC130625359
OG0000535	Xenia|LOC124456868, Xenia|LOC124449236, Xenia|LOC124456963, Xenia|LOC124456997	Hydractinia|LOC130625380, Hydractinia|LOC130625517, Hydractinia|LOC130662674, Hydractinia|LOC130639715, Hydractinia|LOC130636186, Hydractinia|LOC130649059, Hydractinia|LOC130629703, Hydractinia|LOC130645964, Hydractinia|LOC130630497, Hydractinia|LOC130623738, Hydractinia|LOC130629159, Hydractinia|LOC130649632
OG0000536	Xenia|LOC124447065	Hydractinia|LOC130625025, Hydractinia|LOC130624932, Hydractinia|LOC130649436, Hydractinia|LOC130641699, Hydractinia|LOC130638248, Hydractinia|LOC130617906, Hydractinia|LOC130629394, Hydractinia|LOC130628552
OG0000537	Xenia|LOC124437095, Xenia|LOC124438619, Xenia|LOC124439563, Xenia|LOC124437832	Hydractinia|LOC130613813
OG0000538	Xenia|LOC124441254, Xenia|LOC124449478, Xenia|LOC124449484, Xenia|LOC124449481, Xenia|LOC124449490, Xenia|LOC124441253, Xenia|LOC124447954, Xenia|LOC124447950, Xenia|LOC124441245, Xenia|LOC124441246, Xenia|LOC124441247, Xenia|LOC124441072, Xenia|LOC124441250	Hydractinia|LOC130645132
OG0000539	Xenia|LOC124434317	Hydractinia|LOC130636852, Hydractinia|LOC130612175, Hydractinia|LOC130645969, Hydractinia|LOC130644863, Hydractinia|LOC130644862, Hydractinia|LOC130645897, Hydractinia|LOC130646329, Hydractinia|LOC130646328
OG0000542	Xenia|LOC124451395, Xenia|LOC124445959	Hydractinia|LOC130614299, Hydractinia|LOC130622993
OG0000562	Xenia|LOC124446033	Hydractinia|LOC130647062
OG0000563	Xenia|LOC124433340	Hydractinia|LOC130647141
OG0000569	Xenia|LOC124437527, Xenia|LOC124439994, Xenia|LOC124439973, Xenia|LOC124439993	Hydractinia|LOC130644830, Hydractinia|LOC130622606
OG0000570	Xenia|LOC124449771	Hydractinia|LOC130648416
OG0000570	Xenia|LOC124447050	Hydractinia|LOC130653931
OG0000570	Xenia|LOC124453780	Hydractinia|LOC130641858
OG0000571	Xenia|LOC124459539, Xenia|LOC124437750	Hydractinia|LOC130631049, Hydractinia|LOC130647954, Hydractinia|LOC130646997, Hydractinia|LOC130646996, Hydractinia|LOC130612847
OG0000575	Xenia|LOC124451665	Hydractinia|LOC130647002, Hydractinia|LOC130646924, Hydractinia|LOC130622402, Hydractinia|LOC130621439
OG0000577	Xenia|LOC124452949	Hydractinia|LOC130628971
OG0000577	Xenia|LOC124439513	Hydractinia|LOC130613286, Hydractinia|LOC130612737, Hydractinia|LOC130612756
OG0000583	Xenia|LOC124434150, Xenia|LOC124452199, Xenia|LOC124433398, Xenia|LOC124433328, Xenia|LOC124446883	Hydractinia|LOC130622119, Hydractinia|LOC130628567, Hydractinia|LOC130657825
OG0000585	Xenia|LOC124447286, Xenia|LOC124447446, Xenia|LOC124445364	Hydractinia|LOC130647119, Hydractinia|LOC130654261, Hydractinia|LOC130621828
OG0000586	Xenia|LOC124440174, Xenia|LOC124456179, Xenia|LOC124459284, Xenia|LOC124457035, Xenia|LOC124459282	Hydractinia|LOC130630403
OG0000588	Xenia|LOC124454135, Xenia|LOC124451991, Xenia|LOC124456337, Xenia|LOC124455247, Xenia|LOC124457707, Xenia|LOC124448352, Xenia|LOC124454529	Hydractinia|LOC130642331, Hydractinia|LOC130613032, Hydractinia|LOC130648956, Hydractinia|LOC130641864, Hydractinia|LOC130647841
OG0000589	Xenia|LOC124442220, Xenia|LOC124442210	Hydractinia|LOC130657057, Hydractinia|LOC130654807
OG0000590	Xenia|LOC124441110, Xenia|LOC124441488	Hydractinia|LOC130624089, Hydractinia|LOC130624087, Hydractinia|LOC130630615, Hydractinia|LOC130630058, Hydractinia|LOC130630655
OG0000591	Xenia|LOC124449345, Xenia|LOC124449336, Xenia|LOC124449357, Xenia|LOC124448038, Xenia|LOC124435754, Xenia|LOC124449350, Xenia|LOC124455392, Xenia|LOC124455365, Xenia|LOC124449355, Xenia|LOC124449461, Xenia|LOC124449464, Xenia|LOC124448336	Hydractinia|LOC130649299
OG0000593	Xenia|LOC124447480, Xenia|LOC124447145, Xenia|LOC124447481	Hydractinia|LOC130614110, Hydractinia|LOC130648538, Hydractinia|LOC130649131, Hydractinia|LOC130648887, Hydractinia|LOC130612884
OG0000596	Xenia|LOC124443158, Xenia|LOC124454707, Xenia|LOC124454387, Xenia|LOC124454228, Xenia|LOC124454388, Xenia|LOC124454390, Xenia|LOC124454230, Xenia|LOC124454232, Xenia|LOC124454231, Xenia|LOC124454226	Hydractinia|LOC130644311
OG0000609	Xenia|LOC124452129, Xenia|LOC124451299, Xenia|LOC124455808, Xenia|LOC124448991, Xenia|LOC124447403, Xenia|LOC124435254	Hydractinia|LOC130655639, Hydractinia|LOC130629895
OG0000628	Xenia|LOC124438442, Xenia|LOC124443665	Hydractinia|LOC130644576, Hydractinia|LOC130644577, Hydractinia|LOC130644575, Hydractinia|LOC130623631, Hydractinia|LOC130644932
OG0000631	Xenia|LOC124445778, Xenia|LOC124442994	Hydractinia|LOC130640888, Hydractinia|LOC130612260, Hydractinia|LOC130642103
OG0000631	Xenia|LOC124444943	Hydractinia|LOC130640934
OG0000633	Xenia|LOC124433303, Xenia|LOC124449289	Hydractinia|LOC130644675, Hydractinia|LOC130644674, Hydractinia|LOC130644636, Hydractinia|LOC130644637, Hydractinia|LOC130655102
OG0000637	Xenia|LOC124447586	Hydractinia|LOC130655255
OG0000637	Xenia|LOC124453543	Hydractinia|LOC130640993
OG0000637	Xenia|LOC124447587	Hydractinia|LOC130655258
OG0000638	Xenia|LOC124444294	Hydractinia|LOC130641387
OG0000643	Xenia|LOC124456028	Hydractinia|LOC130622468
OG0000643	Xenia|LOC124433487	Hydractinia|LOC130628765, Hydractinia|LOC130628844
OG0000646	Xenia|LOC124442771, Xenia|LOC124443931	Hydractinia|LOC130635950, Hydractinia|LOC130635438, Hydractinia|LOC130635436, Hydractinia|LOC130635437
OG0000647	Xenia|LOC124434116	Hydractinia|LOC130655970, Hydractinia|LOC130655971, Hydractinia|LOC130623838, Hydractinia|LOC130635667
OG0000649	Xenia|LOC124457014, Xenia|LOC124457012, Xenia|LOC124453353	Hydractinia|LOC130641127, Hydractinia|LOC130640751, Hydractinia|LOC130641937, Hydractinia|LOC130623909, Hydractinia|LOC130644363, Hydractinia|LOC130644364
OG0000650	Xenia|LOC124447673	Hydractinia|LOC130648894
OG0000650	Xenia|LOC124447668, Xenia|LOC124447669, Xenia|LOC124447665, Xenia|LOC124447666	Hydractinia|LOC130648876, Hydractinia|LOC130649121
OG0000653	Xenia|LOC124446506	Hydractinia|LOC130645184
OG0000653	Xenia|LOC124443327	Hydractinia|LOC130644785
OG0000653	Xenia|LOC124443035	Hydractinia|LOC130645391
OG0000654	Xenia|LOC124446079	Hydractinia|LOC130653835
OG0000654	Xenia|LOC124445638, Xenia|LOC124440032	Hydractinia|LOC130613446, Hydractinia|LOC130613842
OG0000655	Xenia|LOC124448284	Hydractinia|LOC130654363
OG0000656	Xenia|LOC124446704, Xenia|LOC124446705	Hydractinia|LOC130613438, Hydractinia|LOC130613441, Hydractinia|LOC130613439, Hydractinia|LOC130614490, Hydractinia|LOC130614269, Hydractinia|LOC130614271
OG0000658	Xenia|LOC124452168, Xenia|LOC124458063, Xenia|LOC124440394	Hydractinia|LOC130649165
OG0000663	Xenia|LOC124448639	Hydractinia|LOC130625050
OG0000664	Xenia|LOC124442239	Hydractinia|LOC130644620
OG0000664	Xenia|LOC124441678	Hydractinia|LOC130645444
OG0000665	Xenia|LOC124449815	Hydractinia|LOC130612455, Hydractinia|LOC130629170, Hydractinia|LOC130629429, Hydractinia|LOC130629716, Hydractinia|LOC130628854, Hydractinia|LOC130628521, Hydractinia|LOC130629704, Hydractinia|LOC130629390, Hydractinia|LOC130612822, Hydractinia|LOC130629393, Hydractinia|LOC130629694, Hydractinia|LOC130612448
OG0000668	Xenia|LOC124438090, Xenia|LOC124439503	Hydractinia|LOC130654341
OG0000668	Xenia|LOC124444537	Hydractinia|LOC130644559
OG0000676	Xenia|LOC124443693, Xenia|LOC124443686, Xenia|LOC124444595, Xenia|LOC124444171, Xenia|LOC124444117, Xenia|LOC124443682, Xenia|LOC124444169, Xenia|LOC124443684, Xenia|LOC124444170, Xenia|LOC124443683, Xenia|LOC124446991, Xenia|LOC124446034, Xenia|LOC124446040	Hydractinia|LOC130649094
OG0000679	Xenia|LOC124454969	Hydractinia|LOC130649882, Hydractinia|LOC130612823, Hydractinia|LOC130614396, Hydractinia|LOC130625106, Hydractinia|LOC130627189, Hydractinia|LOC130627157, Hydractinia|LOC130636867, Hydractinia|LOC130621831, Hydractinia|LOC130619068, Hydractinia|LOC130625573, Hydractinia|LOC130629250
OG0000681	Xenia|LOC124457355, Xenia|LOC124449171	Hydractinia|LOC130636875, Hydractinia|LOC130662871, Hydractinia|LOC130657840, Hydractinia|LOC130648963, Hydractinia|LOC130649047, Hydractinia|LOC130645742, Hydractinia|LOC130639937, Hydractinia|LOC130641596
OG0000681	Xenia|LOC124456623, Xenia|LOC124456597, Xenia|LOC124452134	Hydractinia|LOC130625214
OG0000699	Xenia|LOC124436984	Hydractinia|LOC130614767
OG0000700	Xenia|LOC124449405	Hydractinia|LOC130625624
OG0000702	Xenia|LOC124434082, Xenia|LOC124435258, Xenia|LOC124435565	Hydractinia|LOC130644700, Hydractinia|LOC130649597, Hydractinia|LOC130649525
OG0000703	Xenia|LOC124434843	Hydractinia|LOC130648786, Hydractinia|LOC130641335
OG0000705	Xenia|LOC124436361, Xenia|LOC124436362	Hydractinia|LOC130655267, Hydractinia|LOC130655268, Hydractinia|LOC130655266, Hydractinia|LOC130655269
OG0000706	Xenia|LOC124444692	Hydractinia|LOC130645736
OG0000709	Xenia|LOC124450119, Xenia|LOC124433531	Hydractinia|LOC130647089
OG0000709	Xenia|LOC124433452	Hydractinia|LOC130647989, Hydractinia|LOC130649830
OG0000710	Xenia|LOC124445450	Hydractinia|LOC130623968, Hydractinia|LOC130623971
OG0000711	Xenia|LOC124442613, Xenia|LOC124442370, Xenia|LOC124442413, Xenia|LOC124454424	Hydractinia|LOC130644702, Hydractinia|LOC130644584, Hydractinia|LOC130648756
OG0000716	Xenia|LOC124459545	Hydractinia|LOC130645256, Hydractinia|LOC130646060, Hydractinia|LOC130625969, Hydractinia|LOC130630413
OG0000717	Xenia|LOC124442968, Xenia|LOC124442966, Xenia|LOC124442409, Xenia|LOC124442431, Xenia|LOC124442461, Xenia|LOC124441242, Xenia|LOC124441656, Xenia|LOC124441243, Xenia|LOC124441657, Xenia|LOC124442778	Hydractinia|LOC130627674, Hydractinia|LOC130630284
OG0000720	Xenia|LOC124453018, Xenia|LOC124445844, Xenia|LOC124445850	Hydractinia|LOC130655891
OG0000721	Xenia|LOC124439148, Xenia|LOC124438509	Hydractinia|LOC130644832, Hydractinia|LOC130644836, Hydractinia|LOC130645506, Hydractinia|LOC130644834, Hydractinia|LOC130645771
OG0000722	Xenia|LOC124433588	Hydractinia|LOC130640985, Hydractinia|LOC130640984, Hydractinia|LOC130647630
OG0000723	Xenia|LOC124459443	Hydractinia|LOC130628768, Hydractinia|LOC130629167, Hydractinia|LOC130622880, Hydractinia|LOC130621946, Hydractinia|LOC130621944, Hydractinia|LOC130621945, Hydractinia|LOC130621948
OG0000724	Xenia|LOC124455543, Xenia|LOC124453110	Hydractinia|LOC130640717, Hydractinia|LOC130641098, Hydractinia|LOC130649193, Hydractinia|LOC130640969
OG0000725	Xenia|LOC124454179, Xenia|LOC124454186, Xenia|LOC124454450, Xenia|LOC124454855, Xenia|LOC124454852, Xenia|LOC124454310, Xenia|LOC124454185, Xenia|LOC124454860, Xenia|LOC124454859	Hydractinia|LOC130647578, Hydractinia|LOC130641729, Hydractinia|LOC130644745, Hydractinia|LOC130656866, Hydractinia|LOC130633871
OG0000731	Xenia|LOC124437067	Hydractinia|LOC130613716
OG0000733	Xenia|LOC124438029	Hydractinia|LOC130642326, Hydractinia|LOC130657041, Hydractinia|LOC130630329, Hydractinia|LOC130625940, Hydractinia|LOC130625897
OG0000734	Xenia|LOC124455179, Xenia|LOC124455143, Xenia|LOC124442905, Xenia|LOC124447087, Xenia|LOC124447088	Hydractinia|LOC130636879, Hydractinia|LOC130636859, Hydractinia|LOC130636577, Hydractinia|LOC130656402
OG0000735	Xenia|LOC124439013	Hydractinia|LOC130655507
OG0000735	Xenia|LOC124438332	Hydractinia|LOC130654987, Hydractinia|LOC130654377
OG0000736	Xenia|LOC124450632	Hydractinia|LOC130655222, Hydractinia|LOC130614284, Hydractinia|LOC130614282, Hydractinia|LOC130614521, Hydractinia|LOC130613800
OG0000737	Xenia|LOC124438306, Xenia|LOC124441589, Xenia|LOC124457246	Hydractinia|LOC130656062
OG0000757	Xenia|LOC124437951	Hydractinia|LOC130613304, Hydractinia|LOC130645437, Hydractinia|LOC130614171, Hydractinia|LOC130621111, Hydractinia|LOC130657892, Hydractinia|LOC130654789, Hydractinia|LOC130641985, Hydractinia|LOC130641802, Hydractinia|LOC130636285, Hydractinia|LOC130626054, Hydractinia|LOC130649224, Hydractinia|LOC130626100, Hydractinia|LOC130642414, Hydractinia|LOC130629437
OG0000760	Xenia|LOC124438687, Xenia|LOC124458539	Hydractinia|LOC130625844, Hydractinia|LOC130624021, Hydractinia|LOC130621784, Hydractinia|LOC130648984, Hydractinia|LOC130636065, Hydractinia|LOC130649209, Hydractinia|LOC130623174, Hydractinia|LOC130647346, Hydractinia|LOC130613609, Hydractinia|LOC130641757, Hydractinia|LOC130614516, Hydractinia|LOC130645020
OG0000772	Xenia|LOC124451629, Xenia|LOC124450656	Hydractinia|LOC130655179
OG0000772	Xenia|LOC124450659, Xenia|LOC124450657	Hydractinia|LOC130641315, Hydractinia|LOC130640891
OG0000774	Xenia|LOC124447825, Xenia|LOC124457973, Xenia|LOC124442834	Hydractinia|LOC130649049, Hydractinia|LOC130631380
OG0000777	Xenia|LOC124434356, Xenia|LOC124435267, Xenia|LOC124445976, Xenia|LOC124435007, Xenia|LOC124434369	Hydractinia|LOC130626076, Hydractinia|LOC130624964
OG0000778	Xenia|LOC124452916	Hydractinia|LOC130625428
OG0000778	Xenia|LOC124436952	Hydractinia|LOC130614535
OG0000779	Xenia|LOC124433990, Xenia|LOC124433998, Xenia|LOC124434005	Hydractinia|LOC130613677, Hydractinia|LOC130654951
OG0000780	Xenia|LOC124446279	Hydractinia|LOC130662503
OG0000780	Xenia|LOC124434739	Hydractinia|LOC130624111
OG0000785	Xenia|LOC124434075	Hydractinia|LOC130630477
OG0000785	Xenia|LOC124453702	Hydractinia|LOC130628720
OG0000787	Xenia|LOC124434263, Xenia|LOC124453654	Hydractinia|LOC130625516, Hydractinia|LOC130628823
OG0000788	Xenia|LOC124454258, Xenia|LOC124434329	Hydractinia|LOC130623520
OG0000789	Xenia|LOC124441553, Xenia|LOC124443229, Xenia|LOC124443350, Xenia|LOC124443207, Xenia|LOC124453914, Xenia|LOC124443231, Xenia|LOC124441559, Xenia|LOC124445717, Xenia|LOC124441550, Xenia|LOC124443194	Hydractinia|LOC130644697
OG0000791	Xenia|LOC124438838, Xenia|LOC124438345, Xenia|LOC124438357	Hydractinia|LOC130612091, Hydractinia|LOC130662573, Hydractinia|LOC130657024, Hydractinia|LOC130657025
OG0000792	Xenia|LOC124440435	Hydractinia|LOC130621889
OG0000792	Xenia|LOC124436780	Hydractinia|LOC130614376
OG0000794	Xenia|LOC124457443	Hydractinia|LOC130628564
OG0000796	Xenia|LOC124457897	Hydractinia|LOC130645789, Hydractinia|LOC130623775, Hydractinia|LOC130641369, Hydractinia|LOC130641371
OG0000798	Xenia|LOC124458253, Xenia|LOC124445892, Xenia|LOC124454057, Xenia|LOC124454679, Xenia|LOC124454418, Xenia|LOC124454417	Hydractinia|LOC130641693, Hydractinia|LOC130644617, Hydractinia|LOC130644614
OG0000799	Xenia|LOC124446350	Hydractinia|LOC130648371, Hydractinia|LOC130649189, Hydractinia|LOC130648559, Hydractinia|LOC130648560
OG0000801	Xenia|LOC124444286, Xenia|LOC124444287	Hydractinia|LOC130641171, Hydractinia|LOC130640793, Hydractinia|LOC130641170, Hydractinia|LOC130640792
OG0000802	Xenia|LOC124457519, Xenia|LOC124456801, Xenia|LOC124456805	Hydractinia|LOC130625461, Hydractinia|LOC130625462, Hydractinia|LOC130625824, Hydractinia|LOC130625956, Hydractinia|LOC130625532, Hydractinia|LOC130622934, Hydractinia|LOC130622974, Hydractinia|LOC130624027
OG0000804	Xenia|LOC124450768, Xenia|LOC124442107	Hydractinia|LOC130640979, Hydractinia|LOC130636677, Hydractinia|LOC130636679
OG0000805	Xenia|LOC124449253	Hydractinia|LOC130613563, Hydractinia|LOC130645772, Hydractinia|LOC130656470, Hydractinia|LOC130626009, Hydractinia|LOC130625161, Hydractinia|LOC130625171, Hydractinia|LOC130656471, Hydractinia|LOC130646033
OG0000807	Xenia|LOC124438993, Xenia|LOC124438342, Xenia|LOC124453125	Hydractinia|LOC130647063, Hydractinia|LOC130647192, Hydractinia|LOC130612509, Hydractinia|LOC130612569
OG0000810	Xenia|LOC124456506, Xenia|LOC124438283	Hydractinia|LOC130636276, Hydractinia|LOC130636286
OG0000810	Xenia|LOC124455628	Hydractinia|LOC130613082
OG0000813	Xenia|LOC124440378, Xenia|LOC124445403	Hydractinia|LOC130621298
OG0000816	Xenia|LOC124455579	Hydractinia|LOC130612798
OG0000817	Xenia|LOC124434084	Hydractinia|LOC130629777
OG0000818	Xenia|LOC124446110	Hydractinia|LOC130641410, Hydractinia|LOC130645602, Hydractinia|LOC130657936, Hydractinia|LOC130657661
OG0000819	Xenia|LOC124435910, Xenia|LOC124454215, Xenia|LOC124452527	Hydractinia|LOC130662675, Hydractinia|LOC130629865
OG0000825	Xenia|LOC124441193, Xenia|LOC124441375, Xenia|LOC124441376, Xenia|LOC124442520	Hydractinia|LOC130644491, Hydractinia|LOC130644488
OG0000826	Xenia|LOC124441402	Hydractinia|LOC130656968
OG0000827	Xenia|LOC124445144, Xenia|LOC124445145	Hydractinia|LOC130641237, Hydractinia|LOC130642241, Hydractinia|LOC130641298
OG0000830	Xenia|LOC124452511	Hydractinia|LOC130641524
OG0000847	Xenia|LOC124445109, Xenia|LOC124435760	Hydractinia|LOC130622087, Hydractinia|LOC130629624, Hydractinia|LOC130657994, Hydractinia|LOC130645597, Hydractinia|LOC130614049, Hydractinia|LOC130612601, Hydractinia|LOC130625584, Hydractinia|LOC130624017, Hydractinia|LOC130655978, Hydractinia|LOC130645617, Hydractinia|LOC130623734, Hydractinia|LOC130622973
OG0000863	Xenia|LOC124459442	Hydractinia|LOC130647627, Hydractinia|LOC130647632
OG0000866	Xenia|LOC124450234, Xenia|LOC124448125, Xenia|LOC124449170, Xenia|LOC124449164, Xenia|LOC124455590	Hydractinia|LOC130623208, Hydractinia|LOC130649161, Hydractinia|LOC130622021
OG0000869	Xenia|LOC124456020, Xenia|LOC124434440	Hydractinia|LOC130636597, Hydractinia|LOC130636470, Hydractinia|LOC130636464, Hydractinia|LOC130636749, Hydractinia|LOC130641022, Hydractinia|LOC130641713, Hydractinia|LOC130622446
OG0000870	Xenia|LOC124453441, Xenia|LOC124453448	Hydractinia|LOC130622723, Hydractinia|LOC130622720, Hydractinia|LOC130644389
OG0000874	Xenia|LOC124436811	Hydractinia|LOC130636025, Hydractinia|LOC130625657
OG0000876	Xenia|LOC124453293	Hydractinia|LOC130635648
OG0000878	Xenia|LOC124435135, Xenia|LOC124453385	Hydractinia|LOC130621239
OG0000880	Xenia|LOC124440317, Xenia|LOC124440320	Hydractinia|LOC130621659, Hydractinia|LOC130621660, Hydractinia|LOC130622648
OG0000887	Xenia|LOC124459311, Xenia|LOC124459216, Xenia|LOC124443629	Hydractinia|LOC130637044, Hydractinia|LOC130636774, Hydractinia|LOC130654888, Hydractinia|LOC130636462
OG0000890	Xenia|LOC124439714	Hydractinia|LOC130622555, Hydractinia|LOC130622676, Hydractinia|LOC130621980, Hydractinia|LOC130622389, Hydractinia|LOC130621617
OG0000892	Xenia|LOC124445151, Xenia|LOC124452614	Hydractinia|LOC130625793, Hydractinia|LOC130625790, Hydractinia|LOC130625791
OG0000894	Xenia|LOC124442263	Hydractinia|LOC130649109, Hydractinia|LOC130635703
OG0000896	Xenia|LOC124446564	Hydractinia|LOC130628952, Hydractinia|LOC130628886, Hydractinia|LOC130629286
OG0000900	Xenia|LOC124449643, Xenia|LOC124436093, Xenia|LOC124448997, Xenia|LOC124449634, Xenia|LOC124457825, Xenia|LOC124437500, Xenia|LOC124437501, Xenia|LOC124436602, Xenia|LOC124437497	Hydractinia|LOC130614155
OG0000901	Xenia|LOC124442799	Hydractinia|LOC130657039
OG0000901	Xenia|LOC124444207, Xenia|LOC124443729	Hydractinia|LOC130644857
OG0000906	Xenia|LOC124446812, Xenia|LOC124446045, Xenia|LOC124446813	Hydractinia|LOC130636555
OG0000907	Xenia|LOC124445209, Xenia|LOC124445061, Xenia|LOC124445079	Hydractinia|LOC130614393, Hydractinia|LOC130614705, Hydractinia|LOC130614776
OG0000910	Xenia|LOC124443368, Xenia|LOC124442800, Xenia|LOC124443365, Xenia|LOC124442952, Xenia|LOC124441547, Xenia|LOC124443366, Xenia|LOC124442953, Xenia|LOC124442964, Xenia|LOC124441164	Hydractinia|LOC130645055
OG0000913	Xenia|LOC124435074	Hydractinia|LOC130639985, Hydractinia|LOC130642985
OG0000914	Xenia|LOC124438644, Xenia|LOC124453538	Hydractinia|LOC130657709, Hydractinia|LOC130657707, Hydractinia|LOC130662695
OG0000915	Xenia|LOC124452520, Xenia|LOC124453699	Hydractinia|LOC130649358, Hydractinia|LOC130647577
OG0000917	Xenia|LOC124444862	Hydractinia|LOC130644562
OG0000918	Xenia|LOC124453473, Xenia|LOC124439749, Xenia|LOC124439750, Xenia|LOC124439748	Hydractinia|LOC130621100, Hydractinia|LOC130621101
OG0000919	Xenia|LOC124452886, Xenia|LOC124452897, Xenia|LOC124445152, Xenia|LOC124446319	Hydractinia|LOC130647942
OG0000924	Xenia|LOC124440256	Hydractinia|LOC130622308, Hydractinia|LOC130612435, Hydractinia|LOC130623845
OG0000925	Xenia|LOC124445856, Xenia|LOC124444960	Hydractinia|LOC130644371
OG0000926	Xenia|LOC124453209	Hydractinia|LOC130625712
OG0000926	Xenia|LOC124442424	Hydractinia|LOC130656417
OG0000927	Xenia|LOC124435255, Xenia|LOC124433884, Xenia|LOC124439419, Xenia|LOC124437408	Hydractinia|LOC130629743, Hydractinia|LOC130614797
OG0000928	Xenia|LOC124443085	Hydractinia|LOC130636683, Hydractinia|LOC130613583
OG0000929	Xenia|LOC124437076	Hydractinia|LOC130613451
OG0000930	Xenia|LOC124450643	Hydractinia|LOC130649211
OG0000932	Xenia|LOC124433523, Xenia|LOC124450812, Xenia|LOC124443860, Xenia|LOC124444382, Xenia|LOC124443531, Xenia|LOC124444381, Xenia|LOC124444372	Hydractinia|LOC130621681
OG0000933	Xenia|LOC124452003	Hydractinia|LOC130629623, Hydractinia|LOC130629425, Hydractinia|LOC130628806, Hydractinia|LOC130629380
OG0000935	Xenia|LOC124445559	Hydractinia|LOC130655463, Hydractinia|LOC130655411
OG0000937	Xenia|LOC124438701, Xenia|LOC124435666	Hydractinia|LOC130625871, Hydractinia|LOC130625670, Hydractinia|LOC130625671, Hydractinia|LOC130625870, Hydractinia|LOC130625869
OG0000938	Xenia|LOC124433497	Hydractinia|LOC130624170, Hydractinia|LOC130656998, Hydractinia|LOC130621820, Hydractinia|LOC130621230, Hydractinia|LOC130621229
OG0000939	Xenia|LOC124445378	Hydractinia|LOC130623907, Hydractinia|LOC130656424, Hydractinia|LOC130656687
OG0000940	Xenia|LOC124449237, Xenia|LOC124456867	Hydractinia|LOC130613868, Hydractinia|LOC130640657, Hydractinia|LOC130640748, Hydractinia|LOC130641183, Hydractinia|LOC130640804, Hydractinia|LOC130624158, Hydractinia|LOC130624187, Hydractinia|LOC130612385, Hydractinia|LOC130644779
OG0000942	Xenia|LOC124438252	Hydractinia|LOC130640790, Hydractinia|LOC130641167, Hydractinia|LOC130613312, Hydractinia|LOC130662380, Hydractinia|LOC130612212, Hydractinia|LOC130662495
OG0000944	Xenia|LOC124451351	Hydractinia|LOC130636897
OG0000944	Xenia|LOC124433505	Hydractinia|LOC130647611
OG0000945	Xenia|LOC124439327	Hydractinia|LOC130623974
OG0000947	Xenia|LOC124440111	Hydractinia|LOC130621613
OG0000975	Xenia|LOC124439032	Hydractinia|LOC130649277, Hydractinia|LOC130647234, Hydractinia|LOC130649508, Hydractinia|LOC130641015, Hydractinia|LOC130649024, Hydractinia|LOC130648629, Hydractinia|LOC130649492, Hydractinia|LOC130648996, Hydractinia|LOC130648595, Hydractinia|LOC130629913, Hydractinia|LOC130650238, Hydractinia|LOC130650264
OG0000976	Xenia|LOC124457052, Xenia|LOC124435142, Xenia|LOC124435141, Xenia|LOC124457051, Xenia|LOC124451539, Xenia|LOC124454192, Xenia|LOC124444605, Xenia|LOC124435112	Hydractinia|LOC130629365, Hydractinia|LOC130645991, Hydractinia|LOC130621786, Hydractinia|LOC130612883, Hydractinia|LOC130653639
