Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydraProteins
OG0002578	Xenia|LOC124433408	Hydra|LOC100197187
OG0002579	Xenia|LOC124455922, Xenia|LOC124455923	Hydra|LOC100201004
OG0002580	Xenia|LOC124447506	Hydra|LOC100214528
OG0002581	Xenia|LOC124438815	Hydra|LOC105847062, Hydra|LOC100211475
OG0002582	Xenia|LOC124447473	Hydra|LOC105847798
OG0002586	Xenia|LOC124433804	Hydra|LOC100214422
OG0002587	Xenia|LOC124459461	Hydra|LOC100199232
OG0002588	Xenia|LOC124457162, Xenia|LOC124455209	Hydra|LOC100208225
OG0002591	Xenia|LOC124435736	Hydra|LOC100215877
OG0002593	Xenia|LOC124440928	Hydra|LOC100211429
OG0002598	Xenia|LOC124433796	Hydra|LOC100205138, Hydra|LOC100205726
OG0002604	Xenia|LOC124451654, Xenia|LOC124443183	Hydra|LOC100209114
OG0002605	Xenia|LOC124444898	Hydra|LOC100204769
OG0002607	Xenia|LOC124438359	Hydra|LOC105848816
OG0002608	Xenia|LOC124443192	Hydra|LOC100201599
OG0002610	Xenia|LOC124442083	Hydra|LOC100209541
OG0002611	Xenia|LOC124453659	Hydra|LOC100210586, Hydra|LOC100207079
OG0002612	Xenia|LOC124455844	Hydra|LOC124811573, Hydra|LOC124815795
OG0002613	Xenia|LOC124452524	Hydra|LOC100211813
OG0002614	Xenia|LOC124459620	Hydra|LOC101234962
OG0002616	Xenia|LOC124434914	Hydra|LOC100197516, Hydra|LOC101240621
OG0002617	Xenia|LOC124452790	Hydra|LOC101235256
OG0002618	Xenia|LOC124433291, Xenia|LOC124444077	Hydra|LOC100203505
OG0002620	Xenia|LOC124438502	Hydra|LOC100197813
OG0002621	Xenia|LOC124436520, Xenia|LOC124437120	Hydra|LOC105844356
OG0002622	Xenia|LOC124450316	Hydra|LOC100203541
OG0002623	Xenia|LOC124452937	Hydra|LOC100205185
OG0002624	Xenia|LOC124443099	Hydra|LOC100207748
OG0002625	Xenia|LOC124443966, Xenia|LOC124440404, Xenia|LOC124444583	Hydra|LOC101240566
OG0002627	Xenia|LOC124433533	Hydra|LOC100212284
OG0002628	Xenia|LOC124450274	Hydra|LOC100215301, Hydra|LOC100205924, Hydra|LOC124817960
OG0002632	Xenia|LOC124445227, Xenia|LOC124447547	Hydra|LOC100204275
OG0002634	Xenia|LOC124435155, Xenia|LOC124435156, Xenia|LOC124441096	Hydra|LOC100213354
OG0002636	Xenia|LOC124456700	Hydra|LOC101239598
OG0002638	Xenia|LOC124452255, Xenia|LOC124450363	Hydra|LOC100202828
OG0002641	Xenia|LOC124446345	Hydra|LOC100197749, Hydra|LOC105844045, Hydra|LOC124808504
OG0002642	Xenia|LOC124438149	Hydra|LOC100207616
OG0002644	Xenia|LOC124452071	Hydra|LOC100201241
OG0002646	Xenia|LOC124442542, Xenia|LOC124441940	Hydra|LOC100203380
OG0002651	Xenia|LOC124452788	Hydra|LOC101241459
OG0002653	Xenia|LOC124446664	Hydra|LOC101236793
OG0002659	Xenia|LOC124453571	Hydra|LOC100203070
OG0002660	Xenia|LOC124443731	Hydra|LOC100212025
OG0002662	Xenia|LOC124445488	Hydra|LOC100209499, Hydra|LOC100204733
OG0002663	Xenia|LOC124433295	Hydra|LOC100210872
OG0002664	Xenia|LOC124444110	Hydra|LOC100208931
OG0002665	Xenia|LOC124449832	Hydra|LOC100206070
OG0002666	Xenia|LOC124451188, Xenia|LOC124451983	Hydra|LOC100201859
OG0002667	Xenia|LOC124444480, Xenia|LOC124459175	Hydra|LOC124812168, Hydra|LOC124816326, Hydra|LOC124809022
OG0002669	Xenia|LOC124436881	Hydra|LOC100206126
OG0002670	Xenia|LOC124435322	Hydra|LOC100197913
OG0002671	Xenia|LOC124444330	Hydra|LOC100198295
OG0002672	Xenia|LOC124434360	Hydra|LOC100201228
OG0002673	Xenia|LOC124454248	Hydra|LOC100210799, Hydra|LOC100200503
OG0002674	Xenia|LOC124434052	Hydra|LOC101234443
OG0002675	Xenia|LOC124435186, Xenia|LOC124435188	Hydra|LOC100206197
OG0002677	Xenia|LOC124447406	Hydra|LOC100203268
OG0002678	Xenia|LOC124436673, Xenia|LOC124444390	Hydra|LOC101240296
OG0002679	Xenia|LOC124434892	Hydra|LOC101237534, Hydra|LOC100204711
OG0002680	Xenia|LOC124451768	Hydra|LOC100212729
OG0002681	Xenia|LOC124452498	Hydra|LOC100212532
OG0002682	Xenia|LOC124437025	Hydra|LOC100206296
OG0002683	Xenia|LOC124439301	Hydra|LOC101235281
OG0002684	Xenia|LOC124452406	Hydra|LOC100197868, Hydra|LOC100203602
OG0002685	Xenia|LOC124455149, Xenia|LOC124452592	Hydra|LOC105847633, Hydra|LOC100213304
OG0002686	Xenia|LOC124440777, Xenia|LOC124448417	Hydra|LOC100198378
OG0002687	Xenia|LOC124457923, Xenia|LOC124443602, Xenia|LOC124457807	Hydra|LOC100215763
OG0002688	Xenia|LOC124438351	Hydra|LOC100213726
OG0002690	Xenia|LOC124458612	Hydra|LOC100199109
OG0002692	Xenia|LOC124450995	Hydra|LOC101240159
OG0002693	Xenia|LOC124433312	Hydra|LOC100205913
OG0002696	Xenia|LOC124442980, Xenia|LOC124442991, Xenia|LOC124442990	Hydra|LOC100211489
OG0002697	Xenia|LOC124459367, Xenia|LOC124459398, Xenia|LOC124442311	Hydra|LOC101240258
OG0002699	Xenia|LOC124445162	Hydra|LOC124808305
OG0002700	Xenia|LOC124441469	Hydra|LOC100207843
OG0002701	Xenia|LOC124454777, Xenia|LOC124434784	Hydra|LOC100215768, Hydra|LOC100212155
OG0002702	Xenia|LOC124442617	Hydra|LOC100205970, Hydra|LOC100207025
OG0002703	Xenia|LOC124455207, Xenia|LOC124435154, Xenia|LOC124459643	Hydra|LOC101236057
OG0002704	Xenia|LOC124440431, Xenia|LOC124435423, Xenia|LOC124440432	Hydra|LOC100200890
OG0002705	Xenia|LOC124451412	Hydra|LOC100208367
OG0002707	Xenia|LOC124443420, Xenia|LOC124451119	Hydra|LOC100200826
OG0002708	Xenia|LOC124436740	Hydra|LOC100200529
OG0002709	Xenia|LOC124441001	Hydra|LOC101238448
OG0002710	Xenia|LOC124448027, Xenia|LOC124448322, Xenia|LOC124449278	Hydra|LOC100212297
OG0002711	Xenia|LOC124451583, Xenia|LOC124448941	Hydra|LOC100201316
OG0002712	Xenia|LOC124447114	Hydra|LOC100204897
OG0002713	Xenia|LOC124446333	Hydra|LOC100211659
OG0002714	Xenia|LOC124443721	Hydra|LOC100197305
OG0002715	Xenia|LOC124452721	Hydra|LOC100206252
OG0002717	Xenia|LOC124444450	Hydra|LOC100213604, Hydra|LOC105845340
OG0002718	Xenia|LOC124446383, Xenia|LOC124456538	Hydra|LOC100213602, Hydra|LOC100215022
OG0002719	Xenia|LOC124435089	Hydra|LOC105844884
OG0002720	Xenia|LOC124447922, Xenia|LOC124447935	Hydra|LOC100205867
OG0002722	Xenia|LOC124440633	Hydra|LOC100192295
OG0002723	Xenia|LOC124446355	Hydra|LOC100212449
OG0002724	Xenia|LOC124455138, Xenia|LOC124439958	Hydra|LOC100210052
OG0002726	Xenia|LOC124441241, Xenia|LOC124441582	Hydra|LOC101240745, Hydra|LOC100214462
OG0002727	Xenia|LOC124454049	Hydra|LOC100199282
OG0002728	Xenia|LOC124459633	Hydra|LOC101236554
OG0002729	Xenia|LOC124452761	Hydra|LOC100197936
OG0002730	Xenia|LOC124438447	Hydra|LOC124807926, Hydra|LOC100207010
OG0002731	Xenia|LOC124442519	Hydra|LOC101237336
OG0002732	Xenia|LOC124442176, Xenia|LOC124434407	Hydra|LOC105849305
OG0002733	Xenia|LOC124446099	Hydra|LOC101238716
OG0002734	Xenia|LOC124443869	Hydra|LOC100212717
OG0002735	Xenia|LOC124441439, Xenia|LOC124442971	Hydra|LOC100212235
OG0002736	Xenia|LOC124435647	Hydra|LOC100211397
OG0002737	Xenia|LOC124441762, Xenia|LOC124441763, Xenia|LOC124441764	Hydra|LOC101240634
OG0002738	Xenia|LOC124453175	Hydra|LOC100197733
OG0002739	Xenia|LOC124439480, Xenia|LOC124437234	Hydra|LOC100207452
OG0002740	Xenia|LOC124435805	Hydra|LOC100203086, Hydra|LOC100199276
OG0002741	Xenia|LOC124454382, Xenia|LOC124438282	Hydra|LOC100207904
OG0002742	Xenia|LOC124451480	Hydra|LOC100207771, Hydra|LOC101237474
OG0002743	Xenia|LOC124439418, Xenia|LOC124456346, Xenia|LOC124456344	Hydra|LOC100209470
OG0002744	Xenia|LOC124440772, Xenia|LOC124455258	Hydra|LOC105843232
OG0002745	Xenia|LOC124442773	Hydra|LOC124808126, Hydra|LOC124805931, Hydra|LOC124817325
OG0002747	Xenia|LOC124441331, Xenia|LOC124441702	Hydra|LOC100214756
OG0002748	Xenia|LOC124442010, Xenia|LOC124442009	Hydra|LOC100215832
OG0002749	Xenia|LOC124437328, Xenia|LOC124437326, Xenia|LOC124437327	Hydra|LOC105844354
OG0002750	Xenia|LOC124451920	Hydra|LOC100203567, Hydra|LOC100198188
OG0002752	Xenia|LOC124439497, Xenia|LOC124453619	Hydra|LOC101237468
OG0002753	Xenia|LOC124441486	Hydra|LOC100210417
OG0002754	Xenia|LOC124433393	Hydra|LOC100197126
OG0002755	Xenia|LOC124433376	Hydra|LOC100213518
OG0002756	Xenia|LOC124459429	Hydra|LOC100215248
OG0002757	Xenia|LOC124434091	Hydra|LOC100201381
OG0002758	Xenia|LOC124435312	Hydra|LOC101234822, Hydra|LOC101237353
OG0002759	Xenia|LOC124436729, Xenia|LOC124455260, Xenia|LOC124453976	Hydra|LOC100199157
OG0002760	Xenia|LOC124441138	Hydra|LOC100200937
OG0002761	Xenia|LOC124456792, Xenia|LOC124459593	Hydra|LOC100197969
OG0002762	Xenia|LOC124453743	Hydra|LOC101241521, Hydra|LOC105844128
OG0002763	Xenia|LOC124445171	Hydra|LOC100207789
OG0002764	Xenia|LOC124447387, Xenia|LOC124445452	Hydra|LOC100212035, Hydra|LOC100212854
OG0002765	Xenia|LOC124447430	Hydra|LOC100207659
OG0002766	Xenia|LOC124438983, Xenia|LOC124455250	Hydra|LOC100197406
OG0002767	Xenia|LOC124441562, Xenia|LOC124440882	Hydra|LOC100207708
OG0002768	Xenia|LOC124452460	Hydra|LOC100215161
OG0002769	Xenia|LOC124453541, Xenia|LOC124453544	Hydra|LOC100201064
OG0002771	Xenia|LOC124453053	Hydra|LOC100198375
OG0002772	Xenia|LOC124446494	Hydra|LOC101238076, Hydra|LOC101238171, Hydra|LOC101237758
OG0002774	Xenia|LOC124436416	Hydra|LOC100202590
OG0002775	Xenia|LOC124437875	Hydra|LOC101234501
OG0002776	Xenia|LOC124451826	Hydra|LOC105845526
OG0002777	Xenia|LOC124459576	Hydra|LOC100200969
OG0002778	Xenia|LOC124440668	Hydra|LOC100206019, Hydra|LOC100210950
OG0002779	Xenia|LOC124448026, Xenia|LOC124440548	Hydra|LOC100205411
OG0002780	Xenia|LOC124437962, Xenia|LOC124438043	Hydra|LOC100206878
OG0002783	Xenia|LOC124443054, Xenia|LOC124435290	Hydra|LOC100215030
OG0002784	Xenia|LOC124446084	Hydra|LOC100213774
OG0002785	Xenia|LOC124447253	Hydra|LOC101234344, Hydra|LOC105843748, Hydra|LOC101238333
OG0002786	Xenia|LOC124453444, Xenia|LOC124453272	Hydra|LOC100212928
OG0002787	Xenia|LOC124444735, Xenia|LOC124444945	Hydra|LOC105849534
OG0002789	Xenia|LOC124456183, Xenia|LOC124440848	Hydra|LOC100202217
OG0002790	Xenia|LOC124452627	Hydra|LOC100202859, Hydra|LOC101240236
OG0002791	Xenia|LOC124446088, Xenia|LOC124448925	Hydra|LOC100204562
OG0002792	Xenia|LOC124434258, Xenia|LOC124435361	Hydra|LOC100197595
OG0002793	Xenia|LOC124435203, Xenia|LOC124435692, Xenia|LOC124434539	Hydra|LOC101237539
OG0002794	Xenia|LOC124439589	Hydra|LOC105850454
OG0002796	Xenia|LOC124448384	Hydra|LOC100199338
OG0002798	Xenia|LOC124436408	Hydra|LOC105844981, Hydra|LOC101234937, Hydra|LOC100213163
OG0002799	Xenia|LOC124433675	Hydra|LOC100205211
OG0002801	Xenia|LOC124448245	Hydra|LOC100205748
OG0002802	Xenia|LOC124435087, Xenia|LOC124435072	Hydra|LOC101241040
OG0002803	Xenia|LOC124441216, Xenia|LOC124441213, Xenia|LOC124455321	Hydra|LOC100202861
OG0002805	Xenia|LOC124437555	Hydra|LOC100204404
OG0002806	Xenia|LOC124433977, Xenia|LOC124434487, Xenia|LOC124435333	Hydra|LOC100209448
OG0002807	Xenia|LOC124453316	Hydra|LOC100204303
OG0002808	Xenia|LOC124446402	Hydra|LOC100201385
OG0002809	Xenia|LOC124439849	Hydra|LOC100198350, Hydra|LOC100214971, Hydra|LOC100204899
OG0002810	Xenia|LOC124438753, Xenia|LOC124438924	Hydra|LOC100205900, Hydra|LOC124807980
OG0002811	Xenia|LOC124450291, Xenia|LOC124443863	Hydra|LOC100215085
OG0002815	Xenia|LOC124453158, Xenia|LOC124453484, Xenia|LOC124453485	Hydra|LOC100197067
OG0002816	Xenia|LOC124435543, Xenia|LOC124435734, Xenia|LOC124435733	Hydra|LOC100202881
OG0002817	Xenia|LOC124437123, Xenia|LOC124437122, Xenia|LOC124436543	Hydra|LOC100215572
OG0002818	Xenia|LOC124440623, Xenia|LOC124440621	Hydra|LOC105848216, Hydra|LOC101234557
OG0002819	Xenia|LOC124444457, Xenia|LOC124443639	Hydra|LOC100214787
OG0002820	Xenia|LOC124434003	Hydra|LOC100205307
OG0002821	Xenia|LOC124434886	Hydra|LOC100199846
OG0002822	Xenia|LOC124454379, Xenia|LOC124454360, Xenia|LOC124454209	Hydra|LOC100205158
OG0002823	Xenia|LOC124439527	Hydra|LOC124812367, Hydra|LOC105845275, Hydra|LOC100208716
OG0002824	Xenia|LOC124434932, Xenia|LOC124445023	Hydra|LOC100215049
OG0002825	Xenia|LOC124433305	Hydra|LOC100214148
OG0002827	Xenia|LOC124447841	Hydra|LOC100205183
OG0002828	Xenia|LOC124455027, Xenia|LOC124454864, Xenia|LOC124454468	Hydra|LOC100215276
OG0002831	Xenia|LOC124445136, Xenia|LOC124446936, Xenia|LOC124445139, Xenia|LOC124445134	Hydra|LOC105848317
OG0002846	Xenia|LOC124446966, Xenia|LOC124446716	Hydra|LOC100199445, Hydra|LOC100209438
OG0002850	Xenia|LOC124446092	Hydra|LOC100200591, Hydra|LOC100206369
OG0002852	Xenia|LOC124447379, Xenia|LOC124439464, Xenia|LOC124438764, Xenia|LOC124444559	Hydra|LOC105844598
OG0002858	Xenia|LOC124440822	Hydra|LOC100214554
OG0002865	Xenia|LOC124453936, Xenia|LOC124440439, Xenia|LOC124455456, Xenia|LOC124458327, Xenia|LOC124445111, Xenia|LOC124434315	Hydra|LOC124810533
OG0002866	Xenia|LOC124443776	Hydra|LOC100213177
OG0002867	Xenia|LOC124451089, Xenia|LOC124452217, Xenia|LOC124452213, Xenia|LOC124450830	Hydra|LOC100198701
OG0002871	Xenia|LOC124441828	Hydra|LOC100215991
OG0002876	Xenia|LOC124437579, Xenia|LOC124456451, Xenia|LOC124441607	Hydra|LOC124813978, Hydra|LOC124818145
OG0002877	Xenia|LOC124452613	Hydra|LOC100215412, Hydra|LOC100205865, Hydra|LOC100197222
OG0002884	Xenia|LOC124457320, Xenia|LOC124457006, Xenia|LOC124452505, Xenia|LOC124441648, Xenia|LOC124459320, Xenia|LOC124440410	Hydra|LOC124818766
OG0002887	Xenia|LOC124444503	Hydra|LOC101239907
OG0002966	Xenia|LOC124451775	Hydra|LOC100200553
OG0002968	Xenia|LOC124452037	Hydra|LOC101235541
OG0002969	Xenia|LOC124435792, Xenia|LOC124434524	Hydra|LOC100199674
OG0002970	Xenia|LOC124439498	Hydra|LOC100212358
OG0002971	Xenia|LOC124453593	Hydra|LOC124808578, Hydra|LOC100215268
OG0002972	Xenia|LOC124444234	Hydra|LOC101240464
OG0002974	Xenia|LOC124440157	Hydra|LOC101238194
OG0002975	Xenia|LOC124445374	Hydra|LOC100211900
OG0002976	Xenia|LOC124446005	Hydra|LOC100201986
OG0002977	Xenia|LOC124434105, Xenia|LOC124435667	Hydra|LOC101239838
OG0002981	Xenia|LOC124446674	Hydra|LOC100213852
OG0002982	Xenia|LOC124451139, Xenia|LOC124450718	Hydra|LOC100199842
OG0002983	Xenia|LOC124443873	Hydra|LOC100198593
OG0002984	Xenia|LOC124438011	Hydra|LOC100206804
OG0002985	Xenia|LOC124450231	Hydra|LOC100204927
OG0002986	Xenia|LOC124450660, Xenia|LOC124451633	Hydra|LOC100202980
OG0002987	Xenia|LOC124444880	Hydra|LOC101241113
OG0002988	Xenia|LOC124443565	Hydra|LOC100202873
OG0002989	Xenia|LOC124445359	Hydra|LOC100192226
OG0002990	Xenia|LOC124442338	Hydra|LOC105843116
OG0002991	Xenia|LOC124443199	Hydra|LOC100205121, Hydra|LOC101235807
OG0002993	Xenia|LOC124433651	Hydra|LOC100200448
OG0002996	Xenia|LOC124441728	Hydra|LOC101240139
OG0002997	Xenia|LOC124441941, Xenia|LOC124441942	Hydra|LOC100204445
OG0002998	Xenia|LOC124450524, Xenia|LOC124450581	Hydra|LOC100199474
OG0002999	Xenia|LOC124438325	Hydra|LOC124818399
OG0003000	Xenia|LOC124446429	Hydra|LOC100205537
OG0003001	Xenia|LOC124439288	Hydra|LOC100209325
OG0003003	Xenia|LOC124446628	Hydra|LOC100199307, Hydra|LOC105848638
OG0003004	Xenia|LOC124438889, Xenia|LOC124438893	Hydra|LOC100205723
OG0003005	Xenia|LOC124446963	Hydra|LOC100211567
OG0003006	Xenia|LOC124445386	Hydra|LOC100199039, Hydra|LOC100209776
OG0003007	Xenia|LOC124459638	Hydra|LOC100204452
OG0003008	Xenia|LOC124437024	Hydra|LOC100210459, Hydra|LOC100199376
OG0003009	Xenia|LOC124435939, Xenia|LOC124437005	Hydra|LOC100202271
OG0003010	Xenia|LOC124437170	Hydra|LOC124812306, Hydra|LOC105843433
OG0003013	Xenia|LOC124436184	Hydra|LOC101236285
OG0003016	Xenia|LOC124449372	Hydra|LOC100203713
OG0003017	Xenia|LOC124444883	Hydra|LOC100210375
OG0003021	Xenia|LOC124447260	Hydra|LOC100198230
OG0003024	Xenia|LOC124439415, Xenia|LOC124443008	Hydra|LOC100205729
OG0003025	Xenia|LOC124456177, Xenia|LOC124440202	Hydra|LOC101236226
OG0003026	Xenia|LOC124456316, Xenia|LOC124456308	Hydra|LOC101239705
OG0003027	Xenia|LOC124454644	Hydra|LOC100197787
OG0003028	Xenia|LOC124434823	Hydra|LOC100201341
OG0003031	Xenia|LOC124453657	Hydra|LOC100199475
OG0003032	Xenia|LOC124452704, Xenia|LOC124452695	Hydra|LOC100206443
OG0003033	Xenia|LOC124434238	Hydra|LOC100200189
OG0003034	Xenia|LOC124434324	Hydra|LOC100209845
OG0003035	Xenia|LOC124436374, Xenia|LOC124437231	Hydra|LOC100202755
OG0003036	Xenia|LOC124436359	Hydra|LOC100205710, Hydra|LOC105845201
OG0003037	Xenia|LOC124435806	Hydra|LOC100215871, Hydra|LOC124813722
OG0003039	Xenia|LOC124439675	Hydra|LOC100198380
OG0003040	Xenia|LOC124440787, Xenia|LOC124440565	Hydra|LOC105844319
OG0003041	Xenia|LOC124440099	Hydra|LOC101241822
OG0003042	Xenia|LOC124453004	Hydra|LOC101239941
OG0003043	Xenia|LOC124449219	Hydra|LOC101238924
OG0003044	Xenia|LOC124444866	Hydra|LOC100214847, Hydra|LOC100206138
OG0003045	Xenia|LOC124438401	Hydra|LOC100215392
OG0003047	Xenia|LOC124444259	Hydra|LOC101240325
OG0003048	Xenia|LOC124443975	Hydra|LOC100215302
OG0003049	Xenia|LOC124444869, Xenia|LOC124444870	Hydra|LOC100203079
OG0003051	Xenia|LOC124435375	Hydra|LOC100206079
OG0003052	Xenia|LOC124433583	Hydra|LOC100205603
OG0003053	Xenia|LOC124448247	Hydra|LOC101236017
OG0003054	Xenia|LOC124459570	Hydra|LOC101235355
OG0003055	Xenia|LOC124454642	Hydra|LOC100205249
OG0003056	Xenia|LOC124450570	Hydra|LOC100210997
OG0003057	Xenia|LOC124454914	Hydra|LOC100199077
OG0003058	Xenia|LOC124447299	Hydra|LOC100214561
OG0003062	Xenia|LOC124448400	Hydra|LOC100210391
OG0003063	Xenia|LOC124448760	Hydra|LOC100208319
OG0003064	Xenia|LOC124442748	Hydra|LOC100205095
OG0003066	Xenia|LOC124452035, Xenia|LOC124451031	Hydra|LOC100205364
OG0003068	Xenia|LOC124456551, Xenia|LOC124446700	Hydra|LOC100199799
OG0003069	Xenia|LOC124459060	Hydra|LOC100214900
OG0003070	Xenia|LOC124451092, Xenia|LOC124452214	Hydra|LOC100215515
OG0003072	Xenia|LOC124449326, Xenia|LOC124448653	Hydra|LOC101239069
OG0003073	Xenia|LOC124456123	Hydra|LOC100208059
OG0003074	Xenia|LOC124447598	Hydra|LOC100206131
OG0003075	Xenia|LOC124438279	Hydra|LOC105848108
OG0003076	Xenia|LOC124433569	Hydra|LOC100211205
OG0003077	Xenia|LOC124442805, Xenia|LOC124442804	Hydra|LOC100198815
OG0003078	Xenia|LOC124442787	Hydra|LOC100204990, Hydra|LOC100206464
OG0003080	Xenia|LOC124442588	Hydra|LOC100215878
OG0003081	Xenia|LOC124442685	Hydra|LOC100206009
OG0003082	Xenia|LOC124441938	Hydra|LOC105843465
OG0003083	Xenia|LOC124454785	Hydra|LOC105844168
OG0003084	Xenia|LOC124438716	Hydra|LOC101240038
OG0003085	Xenia|LOC124438221	Hydra|LOC100205504
OG0003086	Xenia|LOC124453618, Xenia|LOC124439490	Hydra|LOC100209839
OG0003087	Xenia|LOC124447343	Hydra|LOC100214019
OG0003088	Xenia|LOC124455505, Xenia|LOC124455506	Hydra|LOC100213650
OG0003089	Xenia|LOC124443007	Hydra|LOC100214001
OG0003090	Xenia|LOC124451011	Hydra|LOC100210733
OG0003092	Xenia|LOC124445409	Hydra|LOC100203509
OG0003093	Xenia|LOC124445457	Hydra|LOC100215352
OG0003094	Xenia|LOC124446483	Hydra|LOC100209141, Hydra|LOC100207380
OG0003095	Xenia|LOC124446208	Hydra|LOC100209004
OG0003096	Xenia|LOC124451059	Hydra|LOC100205500
OG0003098	Xenia|LOC124446155	Hydra|LOC100215656
OG0003099	Xenia|LOC124434798, Xenia|LOC124434755	Hydra|LOC100214879
OG0003100	Xenia|LOC124445602	Hydra|LOC101237447
OG0003101	Xenia|LOC124438975	Hydra|LOC100203792
OG0003102	Xenia|LOC124439236, Xenia|LOC124445950	Hydra|LOC100206352
OG0003104	Xenia|LOC124446231	Hydra|LOC101236372
OG0003105	Xenia|LOC124446933	Hydra|LOC100206945
OG0003106	Xenia|LOC124442541, Xenia|LOC124442242	Hydra|LOC100209554
OG0003107	Xenia|LOC124435582	Hydra|LOC100202100
OG0003108	Xenia|LOC124452763	Hydra|LOC100209631
OG0003112	Xenia|LOC124438313	Hydra|LOC100197986
OG0003113	Xenia|LOC124445624	Hydra|LOC100205772
OG0003116	Xenia|LOC124446977	Hydra|LOC100205946
OG0003117	Xenia|LOC124436824	Hydra|LOC100212974
OG0003118	Xenia|LOC124457167	Hydra|LOC100198693
OG0003119	Xenia|LOC124444027	Hydra|LOC100209341
OG0003121	Xenia|LOC124438299	Hydra|LOC100207220
OG0003123	Xenia|LOC124441224	Hydra|LOC105844161
OG0003124	Xenia|LOC124438217	Hydra|LOC101236913
OG0003126	Xenia|LOC124452673	Hydra|LOC100214132
OG0003129	Xenia|LOC124433970	Hydra|LOC105846693, Hydra|LOC124811169
OG0003130	Xenia|LOC124438139	Hydra|LOC100213442
OG0003131	Xenia|LOC124450969	Hydra|LOC101240406
OG0003132	Xenia|LOC124439514	Hydra|LOC105848339
OG0003133	Xenia|LOC124433578	Hydra|LOC101236029
OG0003137	Xenia|LOC124441467	Hydra|LOC100202007
OG0003138	Xenia|LOC124440056	Hydra|LOC100198902
OG0003139	Xenia|LOC124444971	Hydra|LOC100200051
OG0003140	Xenia|LOC124446998	Hydra|LOC124808390, Hydra|LOC100213467
OG0003141	Xenia|LOC124445203, Xenia|LOC124446407	Hydra|LOC100210656
OG0003142	Xenia|LOC124451493	Hydra|LOC100200567
OG0003144	Xenia|LOC124454614	Hydra|LOC100214671
OG0003145	Xenia|LOC124458189	Hydra|LOC100206687
OG0003146	Xenia|LOC124459418	Hydra|LOC100213606
OG0003148	Xenia|LOC124438232, Xenia|LOC124455228	Hydra|LOC100211674
OG0003149	Xenia|LOC124438369	Hydra|LOC100203604
OG0003150	Xenia|LOC124447997	Hydra|LOC101234474
OG0003151	Xenia|LOC124436576	Hydra|LOC100203131
OG0003152	Xenia|LOC124435849	Hydra|LOC100204363
OG0003153	Xenia|LOC124436869	Hydra|LOC100197497
OG0003155	Xenia|LOC124443103	Hydra|LOC105847408
OG0003156	Xenia|LOC124436297	Hydra|LOC100212290
OG0003157	Xenia|LOC124442546	Hydra|LOC100198058
OG0003159	Xenia|LOC124439361	Hydra|LOC100197818
OG0003160	Xenia|LOC124438281	Hydra|LOC101236940
OG0003161	Xenia|LOC124445195	Hydra|LOC105844765
OG0003162	Xenia|LOC124434859, Xenia|LOC124433846	Hydra|LOC100197199
OG0003163	Xenia|LOC124433851	Hydra|LOC100209144
OG0003164	Xenia|LOC124434133	Hydra|LOC100203223
OG0003165	Xenia|LOC124441803	Hydra|LOC100208668
OG0003166	Xenia|LOC124443977	Hydra|LOC100201265
OG0003167	Xenia|LOC124447123	Hydra|LOC100215627
OG0003168	Xenia|LOC124452104	Hydra|LOC100214046
OG0003169	Xenia|LOC124459472	Hydra|LOC100207216
OG0003170	Xenia|LOC124452405, Xenia|LOC124447667	Hydra|LOC100205584
OG0003171	Xenia|LOC124459427	Hydra|LOC100197612
OG0003172	Xenia|LOC124444406	Hydra|LOC100207635
OG0003173	Xenia|LOC124458308	Hydra|LOC100204270
OG0003174	Xenia|LOC124442840	Hydra|LOC100200596
OG0003175	Xenia|LOC124441437	Hydra|LOC100202184
OG0003176	Xenia|LOC124443795	Hydra|LOC100201027
OG0003177	Xenia|LOC124443659, Xenia|LOC124433391	Hydra|LOC100206533
OG0003178	Xenia|LOC124443718, Xenia|LOC124444096	Hydra|LOC100201757
OG0003180	Xenia|LOC124455404, Xenia|LOC124455850	Hydra|LOC100199635
OG0003181	Xenia|LOC124454453, Xenia|LOC124454587	Hydra|LOC105844611
OG0003182	Xenia|LOC124438103	Hydra|LOC100199052
OG0003187	Xenia|LOC124444002	Hydra|LOC100208182
OG0003188	Xenia|LOC124444955	Hydra|LOC100212139
OG0003189	Xenia|LOC124441534, Xenia|LOC124441818	Hydra|LOC100203339
OG0003190	Xenia|LOC124444396, Xenia|LOC124444577	Hydra|LOC100208741
OG0003191	Xenia|LOC124443758	Hydra|LOC105845370
OG0003193	Xenia|LOC124446390	Hydra|LOC100199152
OG0003194	Xenia|LOC124434801	Hydra|LOC100207083
OG0003195	Xenia|LOC124448709	Hydra|LOC101235374
OG0003196	Xenia|LOC124457574, Xenia|LOC124440069	Hydra|LOC100203011
OG0003197	Xenia|LOC124433418	Hydra|LOC100200373
OG0003199	Xenia|LOC124457375	Hydra|LOC100200480
OG0003200	Xenia|LOC124450534	Hydra|LOC100215891
OG0003203	Xenia|LOC124452506	Hydra|LOC101240403
OG0003204	Xenia|LOC124442367	Hydra|LOC100197083
OG0003205	Xenia|LOC124451115	Hydra|LOC100202382, Hydra|LOC100198326
OG0003206	Xenia|LOC124454032, Xenia|LOC124443852	Hydra|LOC100199042
OG0003207	Xenia|LOC124437049	Hydra|LOC100207310
OG0003208	Xenia|LOC124448334, Xenia|LOC124448242	Hydra|LOC100212922
