Orthogroup	longest_isoform_XeniaProteins	longest_isoform_NematostellaProteins
OG0000377	Xenia|LOC124459568	Nematostella|LOC5508718, Nematostella|LOC116619128
OG0000377	Xenia|LOC124451012	Nematostella|LOC5502071, Nematostella|LOC116609536
OG0000387	Xenia|LOC124443373, Xenia|LOC124442390, Xenia|LOC124443371, Xenia|LOC124443375, Xenia|LOC124442183, Xenia|LOC124442389, Xenia|LOC124443374, Xenia|LOC124441121, Xenia|LOC124442199, Xenia|LOC124441527, Xenia|LOC124441120, Xenia|LOC124443427, Xenia|LOC124442386, Xenia|LOC124443118, Xenia|LOC124441119, Xenia|LOC124441293, Xenia|LOC124443398, Xenia|LOC124441526, Xenia|LOC124441529, Xenia|LOC124441531	Nematostella|LOC5510450
OG0000394	Xenia|LOC124436146, Xenia|LOC124436157	Nematostella|LOC5503220, Nematostella|LOC5500400, Nematostella|LOC5500839
OG0000400	Xenia|LOC124438286	Nematostella|LOC5514130
OG0000400	Xenia|LOC124440520, Xenia|LOC124440162	Nematostella|LOC5521252, Nematostella|LOC5521788
OG0000401	Xenia|LOC124449069, Xenia|LOC124449066, Xenia|LOC124449068, Xenia|LOC124447967, Xenia|LOC124447966, Xenia|LOC124447970	Nematostella|LOC5520274, Nematostella|LOC5520273, Nematostella|LOC5520189
OG0000401	Xenia|LOC124447852	Nematostella|LOC5520547
OG0000402	Xenia|LOC124458317, Xenia|LOC124433831	Nematostella|LOC5503577, Nematostella|LOC5522046, Nematostella|LOC125561824
OG0000403	Xenia|LOC124435644, Xenia|LOC124434837, Xenia|LOC124441740, Xenia|LOC124456290, Xenia|LOC124456298, Xenia|LOC124445173, Xenia|LOC124447019, Xenia|LOC124445174, Xenia|LOC124447042, Xenia|LOC124455714, Xenia|LOC124451976, Xenia|LOC124451942, Xenia|LOC124451948, Xenia|LOC124451527, Xenia|LOC124451525, Xenia|LOC124451951, Xenia|LOC124451261	Nematostella|LOC116612986
OG0000404	Xenia|LOC124454233, Xenia|LOC124454639, Xenia|LOC124454779, Xenia|LOC124454235, Xenia|LOC124454778, Xenia|LOC124454234, Xenia|LOC124441858	Nematostella|LOC5507501, Nematostella|LOC116604250
OG0000404	Xenia|LOC124447699	Nematostella|LOC5506412
OG0000405	Xenia|LOC124447854	Nematostella|LOC5501788, Nematostella|LOC116608997, Nematostella|LOC5517745
OG0000406	Xenia|LOC124449360, Xenia|LOC124454965, Xenia|LOC124454961, Xenia|LOC124454926, Xenia|LOC124455062, Xenia|LOC124455063, Xenia|LOC124454872, Xenia|LOC124454875, Xenia|LOC124455065, Xenia|LOC124439597, Xenia|LOC124439595, Xenia|LOC124439596, Xenia|LOC124438584, Xenia|LOC124447101, Xenia|LOC124454398, Xenia|LOC124454447	Nematostella|LOC5513620, Nematostella|LOC5519045
OG0000409	Xenia|LOC124447255, Xenia|LOC124442350	Nematostella|LOC5518841, Nematostella|LOC5501465
OG0000410	Xenia|LOC124444338	Nematostella|LOC5516216, Nematostella|LOC5512770
OG0000411	Xenia|LOC124443609	Nematostella|LOC5512053
OG0000411	Xenia|LOC124453549	Nematostella|LOC116601508, Nematostella|LOC116613033, Nematostella|LOC5505204, Nematostella|LOC5505201, Nematostella|LOC5505207
OG0000411	Xenia|LOC124452779, Xenia|LOC124452824, Xenia|LOC124453153	Nematostella|LOC116613161
OG0000412	Xenia|LOC124456495	Nematostella|LOC125568407, Nematostella|LOC125563007, Nematostella|LOC125572228, Nematostella|LOC125568305, Nematostella|LOC125570174, Nematostella|LOC125573887, Nematostella|LOC125560710, Nematostella|LOC125570095, Nematostella|LOC125570104, Nematostella|LOC125562973, Nematostella|LOC116604220, Nematostella|LOC116610285
OG0000414	Xenia|LOC124437592, Xenia|LOC124455468, Xenia|LOC124449789, Xenia|LOC124443944, Xenia|LOC124455718, Xenia|LOC124455556, Xenia|LOC124455750, Xenia|LOC124452150	Nematostella|LOC5513398
OG0000416	Xenia|LOC124444231, Xenia|LOC124444541, Xenia|LOC124444224, Xenia|LOC124444836, Xenia|LOC124444835, Xenia|LOC124443864	Nematostella|LOC5504947
OG0000423	Xenia|LOC124445244	Nematostella|LOC125559815, Nematostella|LOC125572540, Nematostella|LOC125568399, Nematostella|LOC116605287
OG0000424	Xenia|LOC124436622, Xenia|LOC124436778, Xenia|LOC124451062, Xenia|LOC124441895, Xenia|LOC124441726, Xenia|LOC124440450, Xenia|LOC124440473, Xenia|LOC124440767, Xenia|LOC124437204, Xenia|LOC124440493, Xenia|LOC124440502, Xenia|LOC124448106, Xenia|LOC124448764, Xenia|LOC124448102, Xenia|LOC124440462, Xenia|LOC124440482	Nematostella|LOC116603668
OG0000425	Xenia|LOC124449244, Xenia|LOC124456563, Xenia|LOC124437284, Xenia|LOC124456869, Xenia|LOC124449243, Xenia|LOC124440332, Xenia|LOC124456562, Xenia|LOC124434285, Xenia|LOC124434770	Nematostella|LOC116615300, Nematostella|LOC116602089, Nematostella|LOC125560752, Nematostella|LOC116612665, Nematostella|LOC5507324
OG0000430	Xenia|LOC124433838	Nematostella|LOC5498205
OG0000433	Xenia|LOC124439912	Nematostella|LOC5517438, Nematostella|LOC5520145, Nematostella|LOC5511858, Nematostella|LOC5517437, Nematostella|LOC5517470, Nematostella|LOC5506453, Nematostella|LOC5514851, Nematostella|LOC5517082, Nematostella|LOC5506329, Nematostella|LOC5506322
OG0000435	Xenia|LOC124443386, Xenia|LOC124448126	Nematostella|LOC5517307
OG0000436	Xenia|LOC124440479	Nematostella|LOC5521686, Nematostella|LOC5506648
OG0000436	Xenia|LOC124439872, Xenia|LOC124440783	Nematostella|LOC5517967, Nematostella|LOC5500362
OG0000437	Xenia|LOC124453238, Xenia|LOC124455460, Xenia|LOC124455459, Xenia|LOC124455640, Xenia|LOC124455638, Xenia|LOC124455637	Nematostella|LOC5520388, Nematostella|LOC5517727, Nematostella|LOC5519567, Nematostella|LOC5498266, Nematostella|LOC5506515, Nematostella|LOC125561276, Nematostella|LOC5506520
OG0000440	Xenia|LOC124457828, Xenia|LOC124442173	Nematostella|LOC5514735, Nematostella|LOC116619500, Nematostella|LOC5514757, Nematostella|LOC116619501, Nematostella|LOC116609408, Nematostella|LOC5514755
OG0000444	Xenia|LOC124457309, Xenia|LOC124458429, Xenia|LOC124442867, Xenia|LOC124458424, Xenia|LOC124458427, Xenia|LOC124458488, Xenia|LOC124457297, Xenia|LOC124442041, Xenia|LOC124442037, Xenia|LOC124457354, Xenia|LOC124440970, Xenia|LOC124442026, Xenia|LOC124442022, Xenia|LOC124442024, Xenia|LOC124442870, Xenia|LOC124441576	Nematostella|LOC5513863
OG0000449	Xenia|LOC124446295, Xenia|LOC124436086	Nematostella|LOC5520335, Nematostella|LOC5517380
OG0000449	Xenia|LOC124445912	Nematostella|LOC5517323
OG0000450	Xenia|LOC124457686, Xenia|LOC124458226, Xenia|LOC124457991, Xenia|LOC124458211, Xenia|LOC124455668, Xenia|LOC124449081, Xenia|LOC124440136	Nematostella|LOC5515775
OG0000460	Xenia|LOC124449814	Nematostella|LOC5502351, Nematostella|LOC116619720, Nematostella|LOC5499925, Nematostella|LOC5503443, Nematostella|LOC116605635, Nematostella|LOC5502242, Nematostella|LOC116617909, Nematostella|LOC116617908, Nematostella|LOC5502244, Nematostella|LOC116620204, Nematostella|LOC116620245, Nematostella|LOC125557526, Nematostella|LOC125557328, Nematostella|LOC116609595, Nematostella|LOC116609594, Nematostella|LOC116608885, Nematostella|LOC116608883, Nematostella|LOC125556709
OG0000461	Xenia|LOC124454801, Xenia|LOC124455878	Nematostella|LOC125573737, Nematostella|LOC116617948, Nematostella|LOC116611253, Nematostella|LOC116611841, Nematostella|LOC125559895, Nematostella|LOC116604109, Nematostella|LOC116611458, Nematostella|LOC125567928, Nematostella|LOC125573855, Nematostella|LOC125572426, Nematostella|LOC125573327, Nematostella|LOC125573834, Nematostella|LOC116620085, Nematostella|LOC125561139, Nematostella|LOC116618187, Nematostella|LOC125557126, Nematostella|LOC125562958, Nematostella|LOC116618136
OG0000463	Xenia|LOC124440178	Nematostella|LOC125560929, Nematostella|LOC5511655
OG0000463	Xenia|LOC124456665, Xenia|LOC124456672, Xenia|LOC124454152, Xenia|LOC124454134, Xenia|LOC124457268, Xenia|LOC124458469, Xenia|LOC124457343, Xenia|LOC124454197, Xenia|LOC124457269, Xenia|LOC124457347, Xenia|LOC124458223, Xenia|LOC124458096, Xenia|LOC124457333, Xenia|LOC124457227, Xenia|LOC124457223	Nematostella|LOC5504220, Nematostella|LOC5511506
OG0000471	Xenia|LOC124440070, Xenia|LOC124455041, Xenia|LOC124455038, Xenia|LOC124455040, Xenia|LOC124442828	Nematostella|LOC125573229, Nematostella|LOC5516122, Nematostella|LOC5506310, Nematostella|LOC5521389
OG0000472	Xenia|LOC124434089, Xenia|LOC124435232	Nematostella|LOC5511572
OG0000474	Xenia|LOC124447165, Xenia|LOC124445314	Nematostella|LOC116603045
OG0000474	Xenia|LOC124452548	Nematostella|LOC5514360
OG0000476	Xenia|LOC124436437	Nematostella|LOC5507390, Nematostella|LOC5511664, Nematostella|LOC5514838, Nematostella|LOC5497922
OG0000478	Xenia|LOC124436852, Xenia|LOC124438356, Xenia|LOC124443946, Xenia|LOC124444486, Xenia|LOC124446116	Nematostella|LOC5521939
OG0000480	Xenia|LOC124457929	Nematostella|LOC5521451
OG0000480	Xenia|LOC124444659	Nematostella|LOC5519814, Nematostella|LOC5522047
OG0000481	Xenia|LOC124437074	Nematostella|LOC5513346, Nematostella|LOC5509950, Nematostella|LOC5501012
OG0000482	Xenia|LOC124441043, Xenia|LOC124442733, Xenia|LOC124442734, Xenia|LOC124441053, Xenia|LOC124442732, Xenia|LOC124441022, Xenia|LOC124441044, Xenia|LOC124441021, Xenia|LOC124441024, Xenia|LOC124441042, Xenia|LOC124441025, Xenia|LOC124441041, Xenia|LOC124442735, Xenia|LOC124441023, Xenia|LOC124441020	Nematostella|LOC5501035
OG0000486	Xenia|LOC124454973	Nematostella|LOC5502709, Nematostella|LOC5502706
OG0000487	Xenia|LOC124439638, Xenia|LOC124456071, Xenia|LOC124458380, Xenia|LOC124448862, Xenia|LOC124440511	Nematostella|LOC116604739
OG0000489	Xenia|LOC124456353	Nematostella|LOC116621529, Nematostella|LOC5504495, Nematostella|LOC5518193, Nematostella|LOC116601858
OG0000490	Xenia|LOC124452291	Nematostella|LOC5520342, Nematostella|LOC5519054, Nematostella|LOC5519147, Nematostella|LOC5518736, Nematostella|LOC5514589, Nematostella|LOC5509209, Nematostella|LOC5518674
OG0000492	Xenia|LOC124456461, Xenia|LOC124436497	Nematostella|LOC116620789, Nematostella|LOC125557474, Nematostella|LOC5514473
OG0000497	Xenia|LOC124440230, Xenia|LOC124440231, Xenia|LOC124440216, Xenia|LOC124440217, Xenia|LOC124440219, Xenia|LOC124440215, Xenia|LOC124440228, Xenia|LOC124440247, Xenia|LOC124440226, Xenia|LOC124440294	Nematostella|LOC116619264, Nematostella|LOC5521651, Nematostella|LOC116620832
OG0000498	Xenia|LOC124438127, Xenia|LOC124438128, Xenia|LOC124438126, Xenia|LOC124438124, Xenia|LOC124438122, Xenia|LOC124438130, Xenia|LOC124438165, Xenia|LOC124437967, Xenia|LOC124438131, Xenia|LOC124437961, Xenia|LOC124438133, Xenia|LOC124438134, Xenia|LOC124437924, Xenia|LOC124438156, Xenia|LOC124439306	Nematostella|LOC5519365
OG0000506	Xenia|LOC124454643, Xenia|LOC124454795, Xenia|LOC124454912, Xenia|LOC124454898, Xenia|LOC124454979, Xenia|LOC124454538, Xenia|LOC124454980, Xenia|LOC124454908, Xenia|LOC124454402, Xenia|LOC124454798, Xenia|LOC124454819, Xenia|LOC124454923, Xenia|LOC124454822, Xenia|LOC124455022, Xenia|LOC124454240, Xenia|LOC124454253	Nematostella|LOC5515116
OG0000507	Xenia|LOC124456075	Nematostella|LOC116619834, Nematostella|LOC116604675, Nematostella|LOC5509785, Nematostella|LOC5520072, Nematostella|LOC5507471, Nematostella|LOC5501654, Nematostella|LOC5518857, Nematostella|LOC5518812, Nematostella|LOC5518811, Nematostella|LOC5518813, Nematostella|LOC125559924, Nematostella|LOC5515982, Nematostella|LOC5515977, Nematostella|LOC5499672, Nematostella|LOC5496463, Nematostella|LOC5504733
OG0000510	Xenia|LOC124455915, Xenia|LOC124455562, Xenia|LOC124455824, Xenia|LOC124455411, Xenia|LOC124455816, Xenia|LOC124455852, Xenia|LOC124455828, Xenia|LOC124455565, Xenia|LOC124455511, Xenia|LOC124455405, Xenia|LOC124455831, Xenia|LOC124455811, Xenia|LOC124455871, Xenia|LOC124455862, Xenia|LOC124455868, Xenia|LOC124455864, Xenia|LOC124455819, Xenia|LOC124455873	Nematostella|LOC116603338
OG0000515	Xenia|LOC124445802	Nematostella|LOC5519993, Nematostella|LOC125573288, Nematostella|LOC5504551, Nematostella|LOC116617605
OG0000516	Xenia|LOC124435360	Nematostella|LOC5516348
OG0000516	Xenia|LOC124437648	Nematostella|LOC5518067
OG0000516	Xenia|LOC124452952, Xenia|LOC124451481	Nematostella|LOC5511116
OG0000522	Xenia|LOC124435867, Xenia|LOC124435869, Xenia|LOC124435866, Xenia|LOC124436940	Nematostella|LOC5517855, Nematostella|LOC5508189, Nematostella|LOC5518574, Nematostella|LOC116601619, Nematostella|LOC5518038
OG0000528	Xenia|LOC124454584, Xenia|LOC124454457	Nematostella|LOC5519865, Nematostella|LOC5519785
OG0000528	Xenia|LOC124454977, Xenia|LOC124454367	Nematostella|LOC5511493, Nematostella|LOC5511494, Nematostella|LOC5507358, Nematostella|LOC5501716, Nematostella|LOC5501717, Nematostella|LOC5506689
OG0000529	Xenia|LOC124453012	Nematostella|LOC5521229
OG0000529	Xenia|LOC124433463	Nematostella|LOC5510444, Nematostella|LOC5503257
OG0000531	Xenia|LOC124435891	Nematostella|LOC125558953, Nematostella|LOC5518573, Nematostella|LOC5510620
OG0000532	Xenia|LOC124435469, Xenia|LOC124434187, Xenia|LOC124434189, Xenia|LOC124453947, Xenia|LOC124453940, Xenia|LOC124435466, Xenia|LOC124435468, Xenia|LOC124435485, Xenia|LOC124434184, Xenia|LOC124435483, Xenia|LOC124435482, Xenia|LOC124435481, Xenia|LOC124435476, Xenia|LOC124435474	Nematostella|LOC5518305
OG0000534	Xenia|LOC124451973, Xenia|LOC124449183, Xenia|LOC124445545, Xenia|LOC124456883, Xenia|LOC124452056, Xenia|LOC124458337, Xenia|LOC124452155, Xenia|LOC124445130, Xenia|LOC124438658, Xenia|LOC124451105, Xenia|LOC124435201, Xenia|LOC124436095	Nematostella|LOC116604554
OG0000537	Xenia|LOC124437095	Nematostella|LOC5508057, Nematostella|LOC5508066, Nematostella|LOC5508067
OG0000537	Xenia|LOC124438619, Xenia|LOC124439563	Nematostella|LOC5521027, Nematostella|LOC5515529, Nematostella|LOC5504107, Nematostella|LOC5512754, Nematostella|LOC5506866
OG0000537	Xenia|LOC124437832	Nematostella|LOC5519510
OG0000538	Xenia|LOC124441254, Xenia|LOC124449478, Xenia|LOC124449484, Xenia|LOC124449481, Xenia|LOC124449490, Xenia|LOC124441253, Xenia|LOC124447954, Xenia|LOC124447950, Xenia|LOC124441245, Xenia|LOC124441246, Xenia|LOC124441247, Xenia|LOC124441072, Xenia|LOC124441250	Nematostella|LOC5503465, Nematostella|LOC5518833
OG0000539	Xenia|LOC124434317	Nematostella|LOC5509816
OG0000542	Xenia|LOC124451395	Nematostella|LOC5512771
OG0000542	Xenia|LOC124445959	Nematostella|LOC116613941, Nematostella|LOC5506084, Nematostella|LOC5498588, Nematostella|LOC116604798, Nematostella|LOC5512456, Nematostella|LOC116618305
OG0000553	Xenia|LOC124450550	Nematostella|LOC116607312, Nematostella|LOC116609873, Nematostella|LOC116616861, Nematostella|LOC5510896, Nematostella|LOC125572419, Nematostella|LOC116620088, Nematostella|LOC116604599, Nematostella|LOC116613862, Nematostella|LOC116619717, Nematostella|LOC116610891, Nematostella|LOC116617401, Nematostella|LOC125572213, Nematostella|LOC116609985, Nematostella|LOC116609881, Nematostella|LOC116619715, Nematostella|LOC116612819, Nematostella|LOC116611563
OG0000562	Xenia|LOC124446033	Nematostella|LOC5519294
OG0000562	Xenia|LOC124445163, Xenia|LOC124446113, Xenia|LOC124446112	Nematostella|LOC5510265
OG0000563	Xenia|LOC124433340	Nematostella|LOC5507795, Nematostella|LOC5507784, Nematostella|LOC5506614, Nematostella|LOC5507791, Nematostella|LOC5507805, Nematostella|LOC5517246, Nematostella|LOC5506605, Nematostella|LOC5517248, Nematostella|LOC5503605, Nematostella|LOC5505253, Nematostella|LOC5505241, Nematostella|LOC5505243, Nematostella|LOC5505252
OG0000569	Xenia|LOC124437527, Xenia|LOC124439994, Xenia|LOC124439973, Xenia|LOC124439993	Nematostella|LOC5521114, Nematostella|LOC5520934, Nematostella|LOC125568071, Nematostella|LOC5521844, Nematostella|LOC5521845, Nematostella|LOC5521846, Nematostella|LOC5515737, Nematostella|LOC5515587
OG0000570	Xenia|LOC124449771	Nematostella|LOC5506104
OG0000570	Xenia|LOC124447070	Nematostella|LOC5521996
OG0000570	Xenia|LOC124447050	Nematostella|LOC5496159
OG0000570	Xenia|LOC124453780	Nematostella|LOC5517882
OG0000571	Xenia|LOC124459539, Xenia|LOC124437750	Nematostella|LOC5514718
OG0000575	Xenia|LOC124451665	Nematostella|LOC5514699
OG0000577	Xenia|LOC124452949	Nematostella|LOC116603559
OG0000577	Xenia|LOC124439513	Nematostella|LOC5519367
OG0000580	Xenia|LOC124449520	Nematostella|LOC116612520, Nematostella|LOC5503994, Nematostella|LOC116612510, Nematostella|LOC5517708, Nematostella|LOC125563138, Nematostella|LOC5510376, Nematostella|LOC5505791
OG0000580	Xenia|LOC124449147	Nematostella|LOC125563137, Nematostella|LOC5505799, Nematostella|LOC5502251, Nematostella|LOC125563153, Nematostella|LOC5500719
OG0000583	Xenia|LOC124434150	Nematostella|LOC5516151
OG0000583	Xenia|LOC124452199, Xenia|LOC124433398, Xenia|LOC124433328, Xenia|LOC124446883	Nematostella|LOC5520464
OG0000585	Xenia|LOC124447286, Xenia|LOC124447446, Xenia|LOC124445364	Nematostella|LOC116603912, Nematostella|LOC116603914, Nematostella|LOC5520565, Nematostella|LOC5520230, Nematostella|LOC5520560, Nematostella|LOC5520152
OG0000586	Xenia|LOC124440174, Xenia|LOC124456179, Xenia|LOC124459284, Xenia|LOC124457035, Xenia|LOC124459282	Nematostella|LOC5520301
OG0000589	Xenia|LOC124442220, Xenia|LOC124442210	Nematostella|LOC5520876
OG0000590	Xenia|LOC124441110	Nematostella|LOC5518943, Nematostella|LOC5514649
OG0000590	Xenia|LOC124441488	Nematostella|LOC116614350, Nematostella|LOC116614351, Nematostella|LOC5504448, Nematostella|LOC5504449
OG0000591	Xenia|LOC124449345, Xenia|LOC124449336, Xenia|LOC124449357, Xenia|LOC124448038, Xenia|LOC124435754, Xenia|LOC124449350, Xenia|LOC124455392, Xenia|LOC124455365, Xenia|LOC124449355, Xenia|LOC124449461, Xenia|LOC124449464, Xenia|LOC124448336	Nematostella|LOC5520265
OG0000593	Xenia|LOC124447480, Xenia|LOC124447145, Xenia|LOC124447481	Nematostella|LOC5511039, Nematostella|LOC5509920, Nematostella|LOC125573897, Nematostella|LOC5516130
OG0000596	Xenia|LOC124443158, Xenia|LOC124454707, Xenia|LOC124454387, Xenia|LOC124454228, Xenia|LOC124454388, Xenia|LOC124454390, Xenia|LOC124454230, Xenia|LOC124454232, Xenia|LOC124454231, Xenia|LOC124454226	Nematostella|LOC5501043
OG0000609	Xenia|LOC124452129, Xenia|LOC124451299, Xenia|LOC124455808, Xenia|LOC124448991, Xenia|LOC124447403, Xenia|LOC124435254	Nematostella|LOC125561129, Nematostella|LOC116614572
OG0000617	Xenia|LOC124440469, Xenia|LOC124440496, Xenia|LOC124440078, Xenia|LOC124440467, Xenia|LOC124440075, Xenia|LOC124439731, Xenia|LOC124440083, Xenia|LOC124440077, Xenia|LOC124440081, Xenia|LOC124440079, Xenia|LOC124440082, Xenia|LOC124440080, Xenia|LOC124440495, Xenia|LOC124440076	Nematostella|LOC5504608, Nematostella|LOC5500000, Nematostella|LOC5512536
OG0000619	Xenia|LOC124446518	Nematostella|LOC116601219, Nematostella|LOC5504173, Nematostella|LOC5513901, Nematostella|LOC5500091, Nematostella|LOC5504889, Nematostella|LOC5504906, Nematostella|LOC5499909, Nematostella|LOC5499448, Nematostella|LOC116608621, Nematostella|LOC5502753, Nematostella|LOC116601203, Nematostella|LOC125573816, Nematostella|LOC5517527, Nematostella|LOC5501492, Nematostella|LOC116601202, Nematostella|LOC5501494
OG0000620	Xenia|LOC124440680, Xenia|LOC124440678, Xenia|LOC124446622, Xenia|LOC124446621, Xenia|LOC124440675	Nematostella|LOC5518080
OG0000620	Xenia|LOC124439944, Xenia|LOC124456385, Xenia|LOC124440720, Xenia|LOC124440721, Xenia|LOC124440724, Xenia|LOC124440723, Xenia|LOC124439943, Xenia|LOC124440419	Nematostella|LOC116606244, Nematostella|LOC5504419, Nematostella|LOC116608929
OG0000624	Xenia|LOC124433365	Nematostella|LOC5505025
OG0000628	Xenia|LOC124438442, Xenia|LOC124443665	Nematostella|LOC5515118, Nematostella|LOC5515160
OG0000631	Xenia|LOC124445778	Nematostella|LOC116617499
OG0000631	Xenia|LOC124442994	Nematostella|LOC5504786
OG0000631	Xenia|LOC124444943	Nematostella|LOC5510075, Nematostella|LOC5518649
OG0000633	Xenia|LOC124433303, Xenia|LOC124449289	Nematostella|LOC5525267
OG0000637	Xenia|LOC124447586	Nematostella|LOC5512197
OG0000637	Xenia|LOC124453543	Nematostella|LOC5501073
OG0000637	Xenia|LOC124447587	Nematostella|LOC5512170
OG0000638	Xenia|LOC124444294	Nematostella|LOC5511228
OG0000643	Xenia|LOC124456028	Nematostella|LOC5514040
OG0000643	Xenia|LOC124433487	Nematostella|LOC5514720
OG0000644	Xenia|LOC124437166, Xenia|LOC124456481, Xenia|LOC124452011, Xenia|LOC124459129, Xenia|LOC124458536	Nematostella|LOC116607340
OG0000646	Xenia|LOC124442771	Nematostella|LOC116602314
OG0000646	Xenia|LOC124443931	Nematostella|LOC5504465, Nematostella|LOC5505444, Nematostella|LOC5502399, Nematostella|LOC116602958, Nematostella|LOC5509690
OG0000649	Xenia|LOC124457014, Xenia|LOC124457012, Xenia|LOC124453353	Nematostella|LOC5506647, Nematostella|LOC5521642
OG0000650	Xenia|LOC124447673	Nematostella|LOC5508299
OG0000650	Xenia|LOC124449320, Xenia|LOC124447668, Xenia|LOC124447669, Xenia|LOC124447665, Xenia|LOC124447666	Nematostella|LOC5506883
OG0000653	Xenia|LOC124446506	Nematostella|LOC5504528
OG0000653	Xenia|LOC124443327	Nematostella|LOC5510456
OG0000653	Xenia|LOC124443035	Nematostella|LOC5510440
OG0000654	Xenia|LOC124446079	Nematostella|LOC5503377
OG0000654	Xenia|LOC124445638	Nematostella|LOC5513584
OG0000654	Xenia|LOC124440032	Nematostella|LOC5519098
OG0000655	Xenia|LOC124448284	Nematostella|LOC5520118, Nematostella|LOC125570183, Nematostella|LOC116615507, Nematostella|LOC5521373, Nematostella|LOC116603490, Nematostella|LOC5519774, Nematostella|LOC5507486
OG0000656	Xenia|LOC124446704, Xenia|LOC124446705	Nematostella|LOC5520239
OG0000661	Xenia|LOC124456964, Xenia|LOC124456443, Xenia|LOC124436149, Xenia|LOC124436007	Nematostella|LOC125563098, Nematostella|LOC125560768, Nematostella|LOC5517617
OG0000662	Xenia|LOC124450655, Xenia|LOC124459160, Xenia|LOC124450647, Xenia|LOC124450648, Xenia|LOC124459261, Xenia|LOC124452280, Xenia|LOC124450645, Xenia|LOC124450646, Xenia|LOC124452279, Xenia|LOC124452277	Nematostella|LOC116618023, Nematostella|LOC5515145, Nematostella|LOC5504581
OG0000663	Xenia|LOC124448639	Nematostella|LOC5517093
OG0000663	Xenia|LOC124457738, Xenia|LOC124457739, Xenia|LOC124434435, Xenia|LOC124439963	Nematostella|LOC5513711
OG0000664	Xenia|LOC124442239	Nematostella|LOC116620835, Nematostella|LOC5508501, Nematostella|LOC5509094
OG0000664	Xenia|LOC124441678	Nematostella|LOC116612414, Nematostella|LOC116612413, Nematostella|LOC5504748
OG0000665	Xenia|LOC124449815	Nematostella|LOC5515922
OG0000668	Xenia|LOC124438090, Xenia|LOC124439503	Nematostella|LOC116619967
OG0000668	Xenia|LOC124444537	Nematostella|LOC5519826, Nematostella|LOC5519827, Nematostella|LOC5514631, Nematostella|LOC5503352, Nematostella|LOC5521442, Nematostella|LOC5521572, Nematostella|LOC5511515
OG0000687	Xenia|LOC124435334	Nematostella|LOC5516330
OG0000687	Xenia|LOC124455371	Nematostella|LOC5506421, Nematostella|LOC5505774, Nematostella|LOC5516871, Nematostella|LOC116617609, Nematostella|LOC5511181, Nematostella|LOC5520391, Nematostella|LOC5508980, Nematostella|LOC5509870, Nematostella|LOC116603138, Nematostella|LOC5515914, Nematostella|LOC5507693, Nematostella|LOC5515867, Nematostella|LOC5515071
OG0000690	Xenia|LOC124455090	Nematostella|LOC5498617, Nematostella|LOC125556706, Nematostella|LOC5521309, Nematostella|LOC5504558, Nematostella|LOC116614357, Nematostella|LOC116601450, Nematostella|LOC116602265, Nematostella|LOC116614358, Nematostella|LOC5507437
OG0000690	Xenia|LOC124443412	Nematostella|LOC116620741, Nematostella|LOC116620683, Nematostella|LOC116618617, Nematostella|LOC116619245, Nematostella|LOC5517303
OG0000699	Xenia|LOC124440953	Nematostella|LOC5513873
OG0000699	Xenia|LOC124436984	Nematostella|LOC5507051
OG0000700	Xenia|LOC124449405	Nematostella|LOC116614742
OG0000700	Xenia|LOC124448710, Xenia|LOC124449358, Xenia|LOC124447932, Xenia|LOC124448568	Nematostella|LOC5509617
OG0000702	Xenia|LOC124434082	Nematostella|LOC5511048
OG0000702	Xenia|LOC124435258, Xenia|LOC124435565	Nematostella|LOC5511068, Nematostella|LOC5502926
OG0000703	Xenia|LOC124434843	Nematostella|LOC5514795, Nematostella|LOC5518042
OG0000705	Xenia|LOC124436361	Nematostella|LOC5519497
OG0000705	Xenia|LOC124436362	Nematostella|LOC5503629, Nematostella|LOC5517401
OG0000706	Xenia|LOC124444692	Nematostella|LOC116619428
OG0000707	Xenia|LOC124434223	Nematostella|LOC5515186, Nematostella|LOC5519093
OG0000707	Xenia|LOC124434222	Nematostella|LOC5517430
OG0000708	Xenia|LOC124440960	Nematostella|LOC125558952
OG0000709	Xenia|LOC124450119, Xenia|LOC124433531, Xenia|LOC124433452, Xenia|LOC124459626	Nematostella|LOC116617599
OG0000710	Xenia|LOC124453595	Nematostella|LOC116614570
OG0000711	Xenia|LOC124442613, Xenia|LOC124442370, Xenia|LOC124442413, Xenia|LOC124454424	Nematostella|LOC5503460, Nematostella|LOC5508426, Nematostella|LOC116608282, Nematostella|LOC5512363
OG0000716	Xenia|LOC124459545	Nematostella|LOC5510653, Nematostella|LOC5517163, Nematostella|LOC5520839, Nematostella|LOC5507605, Nematostella|LOC5510644
OG0000717	Xenia|LOC124442968, Xenia|LOC124442966, Xenia|LOC124442409, Xenia|LOC124442431, Xenia|LOC124442461, Xenia|LOC124441242, Xenia|LOC124441656, Xenia|LOC124441243, Xenia|LOC124441657, Xenia|LOC124442778	Nematostella|LOC5506123, Nematostella|LOC5506110
OG0000720	Xenia|LOC124453018	Nematostella|LOC5518122, Nematostella|LOC5517902, Nematostella|LOC5522035, Nematostella|LOC5505227
OG0000720	Xenia|LOC124445844, Xenia|LOC124445850	Nematostella|LOC5518175, Nematostella|LOC5507915, Nematostella|LOC5507897, Nematostella|LOC5512665
OG0000721	Xenia|LOC124439148	Nematostella|LOC5503991
