Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_HydractiniaProteins
OG0000646	Nematostella|LOC116602314, Nematostella|LOC5504465, Nematostella|LOC5505444, Nematostella|LOC5502399, Nematostella|LOC116602958, Nematostella|LOC5509690	Hydractinia|LOC130635950, Hydractinia|LOC130635438, Hydractinia|LOC130635436, Hydractinia|LOC130635437
OG0000648	Nematostella|LOC5507024	Hydractinia|LOC130656312
OG0000649	Nematostella|LOC5506647, Nematostella|LOC5521642	Hydractinia|LOC130641127, Hydractinia|LOC130640751, Hydractinia|LOC130641937, Hydractinia|LOC130623909, Hydractinia|LOC130644363, Hydractinia|LOC130644364
OG0000650	Nematostella|LOC5508299	Hydractinia|LOC130648894
OG0000650	Nematostella|LOC5506883	Hydractinia|LOC130648876, Hydractinia|LOC130649121
OG0000653	Nematostella|LOC5504528	Hydractinia|LOC130645184
OG0000653	Nematostella|LOC5510456	Hydractinia|LOC130644785
OG0000653	Nematostella|LOC5510440	Hydractinia|LOC130645391
OG0000654	Nematostella|LOC5503377	Hydractinia|LOC130653835
OG0000654	Nematostella|LOC5513584, Nematostella|LOC5519098, Nematostella|LOC5518577	Hydractinia|LOC130613446, Hydractinia|LOC130613842
OG0000655	Nematostella|LOC5515985	Hydractinia|LOC130649328, Hydractinia|LOC130649183
OG0000655	Nematostella|LOC5520118, Nematostella|LOC125570183, Nematostella|LOC116615507, Nematostella|LOC5521373, Nematostella|LOC116603490, Nematostella|LOC5519774, Nematostella|LOC5507486	Hydractinia|LOC130654363
OG0000656	Nematostella|LOC5520239	Hydractinia|LOC130613438, Hydractinia|LOC130613441, Hydractinia|LOC130613439, Hydractinia|LOC130614490, Hydractinia|LOC130614269, Hydractinia|LOC130614271
OG0000659	Nematostella|LOC125557291	Hydractinia|LOC130648280, Hydractinia|LOC130650523, Hydractinia|LOC130645336, Hydractinia|LOC130612918, Hydractinia|LOC130647999, Hydractinia|LOC130623253, Hydractinia|LOC130657806, Hydractinia|LOC130648100, Hydractinia|LOC130656700, Hydractinia|LOC130648000
OG0000663	Nematostella|LOC116618406	Hydractinia|LOC130657392
OG0000663	Nematostella|LOC5517093	Hydractinia|LOC130625050
OG0000664	Nematostella|LOC5508501	Hydractinia|LOC130644620
OG0000664	Nematostella|LOC116612414, Nematostella|LOC116612413, Nematostella|LOC5504748	Hydractinia|LOC130645444
OG0000665	Nematostella|LOC5515922	Hydractinia|LOC130612455, Hydractinia|LOC130629170, Hydractinia|LOC130629429, Hydractinia|LOC130629716, Hydractinia|LOC130628854, Hydractinia|LOC130628521, Hydractinia|LOC130629704, Hydractinia|LOC130629390, Hydractinia|LOC130612822, Hydractinia|LOC130629393, Hydractinia|LOC130629694, Hydractinia|LOC130612448
OG0000668	Nematostella|LOC116619967	Hydractinia|LOC130654341
OG0000668	Nematostella|LOC5519826, Nematostella|LOC5519827, Nematostella|LOC5514631, Nematostella|LOC5503352, Nematostella|LOC5521442, Nematostella|LOC5521572, Nematostella|LOC5511515	Hydractinia|LOC130644559
OG0000685	Nematostella|LOC5514186	Hydractinia|LOC130613599, Hydractinia|LOC130628745, Hydractinia|LOC130647605, Hydractinia|LOC130623593, Hydractinia|LOC130645295, Hydractinia|LOC130629341, Hydractinia|LOC130623438, Hydractinia|LOC130649389, Hydractinia|LOC130635799, Hydractinia|LOC130623165, Hydractinia|LOC130623594, Hydractinia|LOC130645547, Hydractinia|LOC130630121, Hydractinia|LOC130626079, Hydractinia|LOC130635788
OG0000699	Nematostella|LOC5507051	Hydractinia|LOC130614767
OG0000699	Nematostella|LOC5502981	Hydractinia|LOC130613950
OG0000700	Nematostella|LOC116614742	Hydractinia|LOC130625624
OG0000701	Nematostella|LOC5516174	Hydractinia|LOC130645070, Hydractinia|LOC130613196, Hydractinia|LOC130613195
OG0000702	Nematostella|LOC5511048, Nematostella|LOC5511068, Nematostella|LOC5502926, Nematostella|LOC116621535	Hydractinia|LOC130644700, Hydractinia|LOC130649597, Hydractinia|LOC130649525
OG0000703	Nematostella|LOC5514795, Nematostella|LOC5518042	Hydractinia|LOC130648786, Hydractinia|LOC130641335
OG0000705	Nematostella|LOC5519497, Nematostella|LOC5503629, Nematostella|LOC5517401	Hydractinia|LOC130655267, Hydractinia|LOC130655268, Hydractinia|LOC130655266, Hydractinia|LOC130655269
OG0000706	Nematostella|LOC116619428	Hydractinia|LOC130645736
OG0000706	Nematostella|LOC5519794	Hydractinia|LOC130645735, Hydractinia|LOC130645054, Hydractinia|LOC130645241
OG0000707	Nematostella|LOC5519024	Hydractinia|LOC130644591, Hydractinia|LOC130646265
OG0000709	Nematostella|LOC116617599	Hydractinia|LOC130647089, Hydractinia|LOC130647989, Hydractinia|LOC130649830
OG0000711	Nematostella|LOC5503460, Nematostella|LOC5508426, Nematostella|LOC116608282, Nematostella|LOC5512363	Hydractinia|LOC130644702, Hydractinia|LOC130644584, Hydractinia|LOC130648756
OG0000716	Nematostella|LOC5510653, Nematostella|LOC5517163, Nematostella|LOC5520839, Nematostella|LOC5507605, Nematostella|LOC5510644	Hydractinia|LOC130645256, Hydractinia|LOC130646060, Hydractinia|LOC130625969, Hydractinia|LOC130630413
OG0000717	Nematostella|LOC5506123, Nematostella|LOC5506110	Hydractinia|LOC130627674, Hydractinia|LOC130630284
OG0000720	Nematostella|LOC5518122, Nematostella|LOC5517902, Nematostella|LOC5522035, Nematostella|LOC5505227, Nematostella|LOC5518175, Nematostella|LOC5507915, Nematostella|LOC5507897, Nematostella|LOC5512665	Hydractinia|LOC130655891
OG0000721	Nematostella|LOC5503991, Nematostella|LOC5517722, Nematostella|LOC5517714, Nematostella|LOC5509243, Nematostella|LOC116612434, Nematostella|LOC5512218, Nematostella|LOC116610304	Hydractinia|LOC130644832, Hydractinia|LOC130644836, Hydractinia|LOC130645506, Hydractinia|LOC130644834, Hydractinia|LOC130645771
OG0000722	Nematostella|LOC5515745	Hydractinia|LOC130640985, Hydractinia|LOC130640984
OG0000722	Nematostella|LOC116613083	Hydractinia|LOC130647630
OG0000723	Nematostella|LOC5512882, Nematostella|LOC5512943	Hydractinia|LOC130628768, Hydractinia|LOC130629167, Hydractinia|LOC130622880, Hydractinia|LOC130621946, Hydractinia|LOC130621944, Hydractinia|LOC130621945, Hydractinia|LOC130621948
OG0000724	Nematostella|LOC5521004, Nematostella|LOC5521003, Nematostella|LOC5521086	Hydractinia|LOC130640717, Hydractinia|LOC130641098, Hydractinia|LOC130649193, Hydractinia|LOC130640969
OG0000724	Nematostella|LOC5519847	Hydractinia|LOC130645044
OG0000726	Nematostella|LOC116608371	Hydractinia|LOC130645782, Hydractinia|LOC130628918, Hydractinia|LOC130623133
OG0000731	Nematostella|LOC5501456	Hydractinia|LOC130613716
OG0000731	Nematostella|LOC5519512, Nematostella|LOC5501444	Hydractinia|LOC130649977, Hydractinia|LOC130615418, Hydractinia|LOC130642091, Hydractinia|LOC130636858, Hydractinia|LOC130623951
OG0000733	Nematostella|LOC5519775	Hydractinia|LOC130642326
OG0000733	Nematostella|LOC5508829, Nematostella|LOC5516060, Nematostella|LOC116618929	Hydractinia|LOC130630329, Hydractinia|LOC130625940, Hydractinia|LOC130625897
OG0000734	Nematostella|LOC116612001, Nematostella|LOC5506212	Hydractinia|LOC130636879, Hydractinia|LOC130636859, Hydractinia|LOC130636577, Hydractinia|LOC130656402
OG0000735	Nematostella|LOC5513482, Nematostella|LOC5506983	Hydractinia|LOC130655507, Hydractinia|LOC130654987, Hydractinia|LOC130654377
OG0000736	Nematostella|LOC125561957, Nematostella|LOC5516591	Hydractinia|LOC130655222, Hydractinia|LOC130614284, Hydractinia|LOC130614282, Hydractinia|LOC130614521, Hydractinia|LOC130613800
OG0000737	Nematostella|LOC116616213	Hydractinia|LOC130656062
OG0000760	Nematostella|LOC5507740	Hydractinia|LOC130625844, Hydractinia|LOC130624021, Hydractinia|LOC130621784, Hydractinia|LOC130648984, Hydractinia|LOC130636065, Hydractinia|LOC130649209, Hydractinia|LOC130623174, Hydractinia|LOC130647346, Hydractinia|LOC130613609, Hydractinia|LOC130641757, Hydractinia|LOC130614516, Hydractinia|LOC130645020
OG0000772	Nematostella|LOC5509301, Nematostella|LOC5504576	Hydractinia|LOC130655179
OG0000774	Nematostella|LOC5506420, Nematostella|LOC5506419	Hydractinia|LOC130649049, Hydractinia|LOC130631380
OG0000775	Nematostella|LOC5518549, Nematostella|LOC5518060, Nematostella|LOC5518062	Hydractinia|LOC130614494, Hydractinia|LOC130614502, Hydractinia|LOC130613924
OG0000777	Nematostella|LOC5517471	Hydractinia|LOC130626076, Hydractinia|LOC130624964
OG0000778	Nematostella|LOC5511365, Nematostella|LOC5508257, Nematostella|LOC116614120, Nematostella|LOC5511357	Hydractinia|LOC130625428
OG0000778	Nematostella|LOC5502465, Nematostella|LOC5521615	Hydractinia|LOC130614535
OG0000779	Nematostella|LOC5507293, Nematostella|LOC5518091	Hydractinia|LOC130613677, Hydractinia|LOC130654951
OG0000780	Nematostella|LOC5521445	Hydractinia|LOC130662503
OG0000780	Nematostella|LOC5510955	Hydractinia|LOC130624111
OG0000785	Nematostella|LOC5509834, Nematostella|LOC5502480	Hydractinia|LOC130630477
OG0000785	Nematostella|LOC5518730	Hydractinia|LOC130628720
OG0000786	Nematostella|LOC125560742	Hydractinia|LOC130654670
OG0000787	Nematostella|LOC5512778, Nematostella|LOC5516987	Hydractinia|LOC130625516, Hydractinia|LOC130628823
OG0000788	Nematostella|LOC5507559, Nematostella|LOC5511543	Hydractinia|LOC130623520
OG0000789	Nematostella|LOC116610003	Hydractinia|LOC130644697
OG0000790	Nematostella|LOC116602256, Nematostella|LOC125559771, Nematostella|LOC5510332, Nematostella|LOC5510729, Nematostella|LOC116617900, Nematostella|LOC5508474	Hydractinia|LOC130646023, Hydractinia|LOC130645934
OG0000791	Nematostella|LOC116610307, Nematostella|LOC5515247, Nematostella|LOC5515212, Nematostella|LOC5515246	Hydractinia|LOC130612091, Hydractinia|LOC130662573, Hydractinia|LOC130657024, Hydractinia|LOC130657025
OG0000792	Nematostella|LOC5516817	Hydractinia|LOC130621889
OG0000792	Nematostella|LOC5514347	Hydractinia|LOC130622356
OG0000792	Nematostella|LOC5507047	Hydractinia|LOC130614376
OG0000796	Nematostella|LOC5499032, Nematostella|LOC5513772, Nematostella|LOC5512560	Hydractinia|LOC130645789, Hydractinia|LOC130623775, Hydractinia|LOC130641369, Hydractinia|LOC130641371
OG0000798	Nematostella|LOC5501951	Hydractinia|LOC130641693, Hydractinia|LOC130644617, Hydractinia|LOC130644614
OG0000799	Nematostella|LOC5509941	Hydractinia|LOC130648371, Hydractinia|LOC130649189, Hydractinia|LOC130648559, Hydractinia|LOC130648560
OG0000799	Nematostella|LOC5506633, Nematostella|LOC5518871, Nematostella|LOC5520814, Nematostella|LOC5512980	Hydractinia|LOC130656134
OG0000801	Nematostella|LOC5504368	Hydractinia|LOC130641171, Hydractinia|LOC130640793, Hydractinia|LOC130641170, Hydractinia|LOC130640792
OG0000804	Nematostella|LOC5518082, Nematostella|LOC5511321, Nematostella|LOC5508568	Hydractinia|LOC130640979, Hydractinia|LOC130636677, Hydractinia|LOC130636679
OG0000805	Nematostella|LOC116610261	Hydractinia|LOC130613563, Hydractinia|LOC130645772, Hydractinia|LOC130656470, Hydractinia|LOC130626009, Hydractinia|LOC130625161, Hydractinia|LOC130625171, Hydractinia|LOC130656471, Hydractinia|LOC130646033
OG0000807	Nematostella|LOC5518742, Nematostella|LOC5506403, Nematostella|LOC5517757, Nematostella|LOC5503597	Hydractinia|LOC130647063, Hydractinia|LOC130647192, Hydractinia|LOC130612509, Hydractinia|LOC130612569
OG0000809	Nematostella|LOC5502645	Hydractinia|LOC130656566
OG0000810	Nematostella|LOC125556681	Hydractinia|LOC130636276, Hydractinia|LOC130636286
OG0000810	Nematostella|LOC5520663, Nematostella|LOC116617824, Nematostella|LOC5509812	Hydractinia|LOC130613082
OG0000813	Nematostella|LOC116617494, Nematostella|LOC5510965, Nematostella|LOC116604228, Nematostella|LOC125572217, Nematostella|LOC5516363, Nematostella|LOC125561928, Nematostella|LOC125559028, Nematostella|LOC5502424, Nematostella|LOC5508699	Hydractinia|LOC130621298
OG0000814	Nematostella|LOC125559840	Hydractinia|LOC130621278, Hydractinia|LOC130645632, Hydractinia|LOC130648033
OG0000816	Nematostella|LOC125559879	Hydractinia|LOC130612798
OG0000817	Nematostella|LOC5513952, Nematostella|LOC5512188	Hydractinia|LOC130629777
OG0000818	Nematostella|LOC5504011, Nematostella|LOC116603400, Nematostella|LOC116611301, Nematostella|LOC5504026, Nematostella|LOC5516028	Hydractinia|LOC130641410, Hydractinia|LOC130645602, Hydractinia|LOC130657936, Hydractinia|LOC130657661
OG0000819	Nematostella|LOC125568078, Nematostella|LOC116603094	Hydractinia|LOC130662675, Hydractinia|LOC130629865
OG0000820	Nematostella|LOC5520912	Hydractinia|LOC130645312, Hydractinia|LOC130656879, Hydractinia|LOC130645394
OG0000821	Nematostella|LOC116618474	Hydractinia|LOC130612949, Hydractinia|LOC130613459, Hydractinia|LOC130657791, Hydractinia|LOC130623032, Hydractinia|LOC130646124, Hydractinia|LOC130657835, Hydractinia|LOC130646338
OG0000824	Nematostella|LOC125570325, Nematostella|LOC125570322, Nematostella|LOC125556718, Nematostella|LOC125570324, Nematostella|LOC125556803, Nematostella|LOC5510471	Hydractinia|LOC130635680, Hydractinia|LOC130645157, Hydractinia|LOC130636815, Hydractinia|LOC130635508, Hydractinia|LOC130636827
OG0000825	Nematostella|LOC5506676	Hydractinia|LOC130644491, Hydractinia|LOC130644488
OG0000826	Nematostella|LOC116609930	Hydractinia|LOC130656968
OG0000827	Nematostella|LOC5518504, Nematostella|LOC5518986, Nematostella|LOC5509707, Nematostella|LOC5501800, Nematostella|LOC5504436	Hydractinia|LOC130641237, Hydractinia|LOC130642241, Hydractinia|LOC130641298
OG0000830	Nematostella|LOC5515725	Hydractinia|LOC130641524
OG0000830	Nematostella|LOC5525094, Nematostella|LOC5501627, Nematostella|LOC116619380, Nematostella|LOC5511453, Nematostella|LOC5517533, Nematostella|LOC125573826, Nematostella|LOC125573824, Nematostella|LOC125573813	Hydractinia|LOC130642264
OG0000863	Nematostella|LOC116602053	Hydractinia|LOC130647627, Hydractinia|LOC130647632
OG0000869	Nematostella|LOC116619350	Hydractinia|LOC130636597, Hydractinia|LOC130636470, Hydractinia|LOC130636464, Hydractinia|LOC130636749, Hydractinia|LOC130641022, Hydractinia|LOC130641713, Hydractinia|LOC130622446
OG0000870	Nematostella|LOC5513981, Nematostella|LOC125567394, Nematostella|LOC5502177	Hydractinia|LOC130622723, Hydractinia|LOC130622720, Hydractinia|LOC130644389
OG0000874	Nematostella|LOC116618151, Nematostella|LOC116604633	Hydractinia|LOC130636025, Hydractinia|LOC130625657
OG0000876	Nematostella|LOC5518256, Nematostella|LOC5518799, Nematostella|LOC5507061, Nematostella|LOC125556686, Nematostella|LOC5521676	Hydractinia|LOC130635648
OG0000881	Nematostella|LOC116613573, Nematostella|LOC125558945, Nematostella|LOC116613876	Hydractinia|LOC130636910, Hydractinia|LOC130621292, Hydractinia|LOC130645324, Hydractinia|LOC130630164, Hydractinia|LOC130630147
OG0000887	Nematostella|LOC5515073	Hydractinia|LOC130637044, Hydractinia|LOC130636774, Hydractinia|LOC130654888, Hydractinia|LOC130636462
OG0000888	Nematostella|LOC5508301, Nematostella|LOC5505591	Hydractinia|LOC130649542, Hydractinia|LOC130649568
OG0000890	Nematostella|LOC5512590, Nematostella|LOC5512620	Hydractinia|LOC130622555, Hydractinia|LOC130622676, Hydractinia|LOC130621980, Hydractinia|LOC130622389, Hydractinia|LOC130621617
OG0000891	Nematostella|LOC5521481	Hydractinia|LOC130614124
OG0000892	Nematostella|LOC5521330, Nematostella|LOC5501640, Nematostella|LOC5501642, Nematostella|LOC5501643	Hydractinia|LOC130625793, Hydractinia|LOC130625790, Hydractinia|LOC130625791
OG0000894	Nematostella|LOC5507545, Nematostella|LOC5511545, Nematostella|LOC5519696, Nematostella|LOC5511592, Nematostella|LOC5519606, Nematostella|LOC5507862	Hydractinia|LOC130649109, Hydractinia|LOC130635703
OG0000896	Nematostella|LOC116618037, Nematostella|LOC5501596	Hydractinia|LOC130628952, Hydractinia|LOC130628886, Hydractinia|LOC130629286
OG0000900	Nematostella|LOC5512256	Hydractinia|LOC130614155
OG0000901	Nematostella|LOC5508228, Nematostella|LOC5500217	Hydractinia|LOC130657039
OG0000901	Nematostella|LOC116619661, Nematostella|LOC5515057, Nematostella|LOC116619694	Hydractinia|LOC130644857
OG0000902	Nematostella|LOC116615050	Hydractinia|LOC130662371
OG0000906	Nematostella|LOC5506642, Nematostella|LOC5506800, Nematostella|LOC5503261	Hydractinia|LOC130636555
OG0000907	Nematostella|LOC5515439, Nematostella|LOC5521766, Nematostella|LOC5507644	Hydractinia|LOC130614393, Hydractinia|LOC130614705, Hydractinia|LOC130614776
OG0000910	Nematostella|LOC5499766	Hydractinia|LOC130645055
OG0000912	Nematostella|LOC5507505	Hydractinia|LOC130642426, Hydractinia|LOC130640663
OG0000913	Nematostella|LOC116613012, Nematostella|LOC116615574	Hydractinia|LOC130639985, Hydractinia|LOC130642985
OG0000914	Nematostella|LOC5510674, Nematostella|LOC5510647, Nematostella|LOC5507682	Hydractinia|LOC130657709, Hydractinia|LOC130657707, Hydractinia|LOC130662695
OG0000915	Nematostella|LOC5520334	Hydractinia|LOC130649358, Hydractinia|LOC130647577
OG0000916	Nematostella|LOC5504274	Hydractinia|LOC130621877, Hydractinia|LOC130629986, Hydractinia|LOC130636573, Hydractinia|LOC130662866, Hydractinia|LOC130657534, Hydractinia|LOC130622641, Hydractinia|LOC130656388, Hydractinia|LOC130649086, Hydractinia|LOC130648761
OG0000917	Nematostella|LOC5513269	Hydractinia|LOC130644562
OG0000918	Nematostella|LOC5520105, Nematostella|LOC125561156, Nematostella|LOC5508879, Nematostella|LOC5521141	Hydractinia|LOC130621100, Hydractinia|LOC130621101
OG0000919	Nematostella|LOC5514723, Nematostella|LOC5514722, Nematostella|LOC5503763	Hydractinia|LOC130647942
OG0000924	Nematostella|LOC5515324	Hydractinia|LOC130622308, Hydractinia|LOC130612435, Hydractinia|LOC130623845
OG0000925	Nematostella|LOC5502866, Nematostella|LOC5506608, Nematostella|LOC5506626, Nematostella|LOC5498333, Nematostella|LOC5515038, Nematostella|LOC5514606, Nematostella|LOC5506693, Nematostella|LOC5506694, Nematostella|LOC5506695	Hydractinia|LOC130644371
OG0000926	Nematostella|LOC5503394, Nematostella|LOC5501002	Hydractinia|LOC130656417
OG0000927	Nematostella|LOC125561252, Nematostella|LOC125560950, Nematostella|LOC125568289, Nematostella|LOC116601970, Nematostella|LOC116614552	Hydractinia|LOC130629743, Hydractinia|LOC130614797
OG0000928	Nematostella|LOC116602321	Hydractinia|LOC130636683
OG0000928	Nematostella|LOC116604066, Nematostella|LOC5511879, Nematostella|LOC5511878, Nematostella|LOC5520721	Hydractinia|LOC130613583
OG0000929	Nematostella|LOC116615278, Nematostella|LOC5507048	Hydractinia|LOC130613451
OG0000929	Nematostella|LOC116604293, Nematostella|LOC116603344	Hydractinia|LOC130614618, Hydractinia|LOC130614616
OG0000930	Nematostella|LOC5521923, Nematostella|LOC116617248, Nematostella|LOC5522041, Nematostella|LOC5512193, Nematostella|LOC5512168	Hydractinia|LOC130649211
OG0000932	Nematostella|LOC5514194, Nematostella|LOC116617692, Nematostella|LOC5517813	Hydractinia|LOC130621681
OG0000933	Nematostella|LOC5514422	Hydractinia|LOC130629623
OG0000933	Nematostella|LOC5514459	Hydractinia|LOC130629425, Hydractinia|LOC130628806, Hydractinia|LOC130629380
OG0000935	Nematostella|LOC5507107, Nematostella|LOC5513545, Nematostella|LOC5505396, Nematostella|LOC5520962	Hydractinia|LOC130655463, Hydractinia|LOC130655411
OG0000938	Nematostella|LOC5507536, Nematostella|LOC5513757	Hydractinia|LOC130624170, Hydractinia|LOC130656998, Hydractinia|LOC130621820, Hydractinia|LOC130621230, Hydractinia|LOC130621229
OG0000939	Nematostella|LOC5518982, Nematostella|LOC116620196, Nematostella|LOC116605316, Nematostella|LOC116601388, Nematostella|LOC116608923, Nematostella|LOC5515895, Nematostella|LOC116613119	Hydractinia|LOC130623907, Hydractinia|LOC130656424, Hydractinia|LOC130656687
OG0000942	Nematostella|LOC5516277	Hydractinia|LOC130640790, Hydractinia|LOC130641167, Hydractinia|LOC130613312, Hydractinia|LOC130662380, Hydractinia|LOC130612212, Hydractinia|LOC130662495
OG0000943	Nematostella|LOC116604772, Nematostella|LOC5513209	Hydractinia|LOC130662418, Hydractinia|LOC130612249, Hydractinia|LOC130662855, Hydractinia|LOC130662857
OG0000944	Nematostella|LOC5513085	Hydractinia|LOC130636897
OG0000944	Nematostella|LOC5502704	Hydractinia|LOC130647611
OG0000945	Nematostella|LOC5510994	Hydractinia|LOC130636967, Hydractinia|LOC130644839
OG0000945	Nematostella|LOC5517101, Nematostella|LOC5504870, Nematostella|LOC5514815	Hydractinia|LOC130623974
OG0000946	Nematostella|LOC116615378	Hydractinia|LOC130662699
OG0000947	Nematostella|LOC116605658, Nematostella|LOC125560849, Nematostella|LOC5514017, Nematostella|LOC116619163, Nematostella|LOC5515939, Nematostella|LOC116620091, Nematostella|LOC5515885	Hydractinia|LOC130621613
OG0000980	Nematostella|LOC116618442, Nematostella|LOC116604125, Nematostella|LOC116614673, Nematostella|LOC5522299	Hydractinia|LOC130655503
OG0001000	Nematostella|LOC5509078, Nematostella|LOC5508933, Nematostella|LOC5500758, Nematostella|LOC5506003, Nematostella|LOC5519984, Nematostella|LOC5507779, Nematostella|LOC5506063, Nematostella|LOC5506821	Hydractinia|LOC130622259, Hydractinia|LOC130622258
OG0001001	Nematostella|LOC5510968, Nematostella|LOC5510969, Nematostella|LOC5510977	Hydractinia|LOC130655056, Hydractinia|LOC130654541, Hydractinia|LOC130654542, Hydractinia|LOC130653979
OG0001005	Nematostella|LOC5515986	Hydractinia|LOC130645942
OG0001009	Nematostella|LOC116616176, Nematostella|LOC116616177, Nematostella|LOC5502688, Nematostella|LOC116605312	Hydractinia|LOC130622156, Hydractinia|LOC130613847
OG0001012	Nematostella|LOC125561888, Nematostella|LOC5502070, Nematostella|LOC5517599, Nematostella|LOC116611341	Hydractinia|LOC130654008
OG0001013	Nematostella|LOC5513258, Nematostella|LOC5503782	Hydractinia|LOC130614214, Hydractinia|LOC130614518, Hydractinia|LOC130653818, Hydractinia|LOC130653662, Hydractinia|LOC130655117, Hydractinia|LOC130655291
OG0001016	Nematostella|LOC5515822	Hydractinia|LOC130621496, Hydractinia|LOC130645108, Hydractinia|LOC130645110
OG0001018	Nematostella|LOC5510350	Hydractinia|LOC130636403
OG0001021	Nematostella|LOC5506610	Hydractinia|LOC130636695
OG0001021	Nematostella|LOC116614813	Hydractinia|LOC130629238, Hydractinia|LOC130629435
OG0001026	Nematostella|LOC5507142	Hydractinia|LOC130656825, Hydractinia|LOC130656434, Hydractinia|LOC130656810, Hydractinia|LOC130657768
OG0001027	Nematostella|LOC5511711	Hydractinia|LOC130655933
OG0001028	Nematostella|LOC5504586	Hydractinia|LOC130640206, Hydractinia|LOC130642823, Hydractinia|LOC130647169, Hydractinia|LOC130647159, Hydractinia|LOC130632934
OG0001029	Nematostella|LOC116611365, Nematostella|LOC116611361, Nematostella|LOC116611362	Hydractinia|LOC130656525
OG0001030	Nematostella|LOC5501180, Nematostella|LOC5510529, Nematostella|LOC5522128	Hydractinia|LOC130656623, Hydractinia|LOC130656629, Hydractinia|LOC130656630
OG0001032	Nematostella|LOC5519507	Hydractinia|LOC130625436
OG0001033	Nematostella|LOC5512455, Nematostella|LOC116604709	Hydractinia|LOC130629099, Hydractinia|LOC130629098, Hydractinia|LOC130629097
OG0001034	Nematostella|LOC5520474	Hydractinia|LOC130625592
OG0001034	Nematostella|LOC5514010	Hydractinia|LOC130621788
OG0001036	Nematostella|LOC116616131, Nematostella|LOC125563221	Hydractinia|LOC130640823, Hydractinia|LOC130643806
OG0001036	Nematostella|LOC5502740	Hydractinia|LOC130622013
OG0001037	Nematostella|LOC5512267, Nematostella|LOC5512247, Nematostella|LOC5505623, Nematostella|LOC5505620	Hydractinia|LOC130614729, Hydractinia|LOC130614727
OG0001038	Nematostella|LOC5520863	Hydractinia|LOC130657650
OG0001039	Nematostella|LOC5508199, Nematostella|LOC5502526, Nematostella|LOC5512115, Nematostella|LOC5512084	Hydractinia|LOC130626045, Hydractinia|LOC130625946
OG0001041	Nematostella|LOC5502328	Hydractinia|LOC130614439
OG0001042	Nematostella|LOC5521282, Nematostella|LOC5516752	Hydractinia|LOC130612524, Hydractinia|LOC130623333, Hydractinia|LOC130633693
OG0001043	Nematostella|LOC116616129, Nematostella|LOC125556806, Nematostella|LOC116618438, Nematostella|LOC5512678, Nematostella|LOC5512704, Nematostella|LOC5512679	Hydractinia|LOC130644629, Hydractinia|LOC130636711, Hydractinia|LOC130636713, Hydractinia|LOC130636712
OG0001044	Nematostella|LOC5512306	Hydractinia|LOC130642601, Hydractinia|LOC130639621
OG0001045	Nematostella|LOC5515184, Nematostella|LOC5516994, Nematostella|LOC5515189, Nematostella|LOC5515194, Nematostella|LOC5515199	Hydractinia|LOC130646213
OG0001047	Nematostella|LOC5505826, Nematostella|LOC5505831, Nematostella|LOC5515871	Hydractinia|LOC130647435, Hydractinia|LOC130612191
OG0001048	Nematostella|LOC5507547	Hydractinia|LOC130654074
OG0001049	Nematostella|LOC5502298, Nematostella|LOC5504943	Hydractinia|LOC130630548, Hydractinia|LOC130635710
OG0001055	Nematostella|LOC5500198, Nematostella|LOC5512137, Nematostella|LOC5516342, Nematostella|LOC116619269, Nematostella|LOC116602154	Hydractinia|LOC130625026
OG0001059	Nematostella|LOC5509332, Nematostella|LOC5511308	Hydractinia|LOC130654515
OG0001062	Nematostella|LOC5504167, Nematostella|LOC5498014, Nematostella|LOC5522287	Hydractinia|LOC130657387, Hydractinia|LOC130657977
OG0001063	Nematostella|LOC5516323, Nematostella|LOC5516353, Nematostella|LOC5518271	Hydractinia|LOC130630331
OG0001064	Nematostella|LOC5521811, Nematostella|LOC5504552, Nematostella|LOC5504649	Hydractinia|LOC130641750
OG0001065	Nematostella|LOC116603374, Nematostella|LOC116619982, Nematostella|LOC5512458, Nematostella|LOC116601884, Nematostella|LOC116611312, Nematostella|LOC125568317, Nematostella|LOC5520683, Nematostella|LOC116615425, Nematostella|LOC125572179, Nematostella|LOC116609178	Hydractinia|LOC130649582
OG0001067	Nematostella|LOC5520830, Nematostella|LOC5509134	Hydractinia|LOC130645097, Hydractinia|LOC130654360
OG0001068	Nematostella|LOC5515680, Nematostella|LOC116618329	Hydractinia|LOC130649449, Hydractinia|LOC130649182, Hydractinia|LOC130655404, Hydractinia|LOC130612977
OG0001074	Nematostella|LOC5511874, Nematostella|LOC5513534	Hydractinia|LOC130644441
OG0001075	Nematostella|LOC5506581	Hydractinia|LOC130621724
OG0001075	Nematostella|LOC5516587, Nematostella|LOC5516588	Hydractinia|LOC130653663
OG0001076	Nematostella|LOC5515862, Nematostella|LOC5519586	Hydractinia|LOC130642558, Hydractinia|LOC130639588, Hydractinia|LOC130655433, Hydractinia|LOC130655400
OG0001078	Nematostella|LOC5508331	Hydractinia|LOC130612763
OG0001079	Nematostella|LOC5508305	Hydractinia|LOC130648398
OG0001080	Nematostella|LOC5514205, Nematostella|LOC5509153	Hydractinia|LOC130646683
OG0001080	Nematostella|LOC5505376	Hydractinia|LOC130645756
OG0001081	Nematostella|LOC5510061, Nematostella|LOC116620367	Hydractinia|LOC130630495, Hydractinia|LOC130633339
OG0001081	Nematostella|LOC5520074, Nematostella|LOC5521946	Hydractinia|LOC130613164
