Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_ClytiaProteins
OG0001364	Nematostella|LOC5514964	Clytia|LOC015575
OG0001364	Nematostella|LOC5507181	Clytia|LOC003743
OG0001365	Nematostella|LOC5516203	Clytia|LOC003796
OG0001366	Nematostella|LOC5518243	Clytia|LOC003797, Clytia|LOC014092
OG0001369	Nematostella|LOC5522111	Clytia|LOC004433
OG0001369	Nematostella|LOC5503634	Clytia|LOC035588
OG0001373	Nematostella|LOC5517325	Clytia|LOC005266, Clytia|LOC036524, Clytia|LOC034941, Clytia|LOC034940
OG0001374	Nematostella|LOC5515544	Clytia|LOC045765, Clytia|LOC005313
OG0001376	Nematostella|LOC5520596, Nematostella|LOC5514466	Clytia|LOC042499, Clytia|LOC005628
OG0001378	Nematostella|LOC5508362	Clytia|LOC026233, Clytia|LOC006157
OG0001379	Nematostella|LOC5521915	Clytia|LOC042204, Clytia|LOC006318, Clytia|LOC038815
OG0001380	Nematostella|LOC5506339	Clytia|LOC006418
OG0001381	Nematostella|LOC5514147	Clytia|LOC006610, Clytia|LOC006609, Clytia|LOC038825
OG0001382	Nematostella|LOC116603665, Nematostella|LOC5506387	Clytia|LOC006730
OG0001389	Nematostella|LOC5521809	Clytia|LOC007130
OG0001389	Nematostella|LOC5519815	Clytia|LOC045724
OG0001390	Nematostella|LOC116617823	Clytia|LOC007134
OG0001391	Nematostella|LOC5521780, Nematostella|LOC5512732	Clytia|LOC007493, Clytia|LOC007471
OG0001392	Nematostella|LOC5512897	Clytia|LOC033067, Clytia|LOC007547, Clytia|LOC033069, Clytia|LOC033070, Clytia|LOC007548
OG0001393	Nematostella|LOC5504620	Clytia|LOC037891
OG0001393	Nematostella|LOC5502975	Clytia|LOC007579
OG0001394	Nematostella|LOC5521705	Clytia|LOC019163, Clytia|LOC019167
OG0001394	Nematostella|LOC116601924	Clytia|LOC007597
OG0001395	Nematostella|LOC5521644	Clytia|LOC007677
OG0001395	Nematostella|LOC5518852	Clytia|LOC031209
OG0001396	Nematostella|LOC116613199, Nematostella|LOC5505415, Nematostella|LOC116609797, Nematostella|LOC5505427	Clytia|LOC007871
OG0001397	Nematostella|LOC5513019	Clytia|LOC044050, Clytia|LOC008069, Clytia|LOC041151, Clytia|LOC044052, Clytia|LOC045611, Clytia|LOC016601, Clytia|LOC045419, Clytia|LOC044051, Clytia|LOC044102
OG0001399	Nematostella|LOC125561242, Nematostella|LOC5514604, Nematostella|LOC5512731	Clytia|LOC014385, Clytia|LOC008097
OG0001400	Nematostella|LOC5519858, Nematostella|LOC5525244	Clytia|LOC044299, Clytia|LOC008331
OG0001401	Nematostella|LOC5502595	Clytia|LOC027430, Clytia|LOC008471, Clytia|LOC015166, Clytia|LOC019871
OG0001403	Nematostella|LOC5512730	Clytia|LOC008754
OG0001403	Nematostella|LOC5512728	Clytia|LOC033362
OG0001404	Nematostella|LOC5502633	Clytia|LOC026637
OG0001404	Nematostella|LOC5517707	Clytia|LOC008839
OG0001405	Nematostella|LOC5507206	Clytia|LOC008960, Clytia|LOC045755
OG0001406	Nematostella|LOC5519326, Nematostella|LOC5519327	Clytia|LOC039067, Clytia|LOC008971, Clytia|LOC045736
OG0001409	Nematostella|LOC5503197, Nematostella|LOC5503195, Nematostella|LOC5512452	Clytia|LOC009285
OG0001410	Nematostella|LOC5513389, Nematostella|LOC5513390, Nematostella|LOC5513424	Clytia|LOC045230, Clytia|LOC009318
OG0001411	Nematostella|LOC5504356	Clytia|LOC040151
OG0001411	Nematostella|LOC5508849	Clytia|LOC009491
OG0001412	Nematostella|LOC5514701, Nematostella|LOC5514700, Nematostella|LOC5519741	Clytia|LOC036765, Clytia|LOC009508
OG0001413	Nematostella|LOC5519989	Clytia|LOC037994, Clytia|LOC010520, Clytia|LOC013645, Clytia|LOC021001
OG0001414	Nematostella|LOC5510251	Clytia|LOC023354
OG0001414	Nematostella|LOC5519180	Clytia|LOC010541
OG0001415	Nematostella|LOC5507312	Clytia|LOC027873, Clytia|LOC010652
OG0001416	Nematostella|LOC116613859	Clytia|LOC014597
OG0001416	Nematostella|LOC5517006	Clytia|LOC010956
OG0001417	Nematostella|LOC5502832	Clytia|LOC011098, Clytia|LOC011095
OG0001417	Nematostella|LOC5520946	Clytia|LOC011719
OG0001418	Nematostella|LOC5512817	Clytia|LOC011265
OG0001419	Nematostella|LOC5515353	Clytia|LOC041892, Clytia|LOC011575, Clytia|LOC031077
OG0001420	Nematostella|LOC125563185	Clytia|LOC032928, Clytia|LOC023036, Clytia|LOC026020, Clytia|LOC011895
OG0001421	Nematostella|LOC5511164, Nematostella|LOC5506719	Clytia|LOC014081, Clytia|LOC012247
OG0001422	Nematostella|LOC125573857, Nematostella|LOC5505442, Nematostella|LOC116613216, Nematostella|LOC125573772, Nematostella|LOC125573775, Nematostella|LOC125573704, Nematostella|LOC125573776, Nematostella|LOC125573854	Clytia|LOC012307
OG0001423	Nematostella|LOC5521708	Clytia|LOC012393
OG0001425	Nematostella|LOC5512735	Clytia|LOC012815, Clytia|LOC029384
OG0001427	Nematostella|LOC5510807, Nematostella|LOC5509875, Nematostella|LOC5502352	Clytia|LOC032268
OG0001427	Nematostella|LOC116619953	Clytia|LOC013106
OG0001428	Nematostella|LOC5519463, Nematostella|LOC116601640, Nematostella|LOC5507001	Clytia|LOC033359, Clytia|LOC013278
OG0001429	Nematostella|LOC5519448	Clytia|LOC013527
OG0001429	Nematostella|LOC5520807	Clytia|LOC034243
OG0001430	Nematostella|LOC5504312, Nematostella|LOC5509678	Clytia|LOC013795, Clytia|LOC043815, Clytia|LOC045285
OG0001431	Nematostella|LOC5516597	Clytia|LOC014722
OG0001431	Nematostella|LOC116604035	Clytia|LOC016397
OG0001432	Nematostella|LOC5517201	Clytia|LOC016016
OG0001432	Nematostella|LOC5504708, Nematostella|LOC5504691	Clytia|LOC014935
OG0001433	Nematostella|LOC5518523, Nematostella|LOC5513722, Nematostella|LOC116619011	Clytia|LOC030674, Clytia|LOC021637, Clytia|LOC030842, Clytia|LOC014998
OG0001437	Nematostella|LOC5521750, Nematostella|LOC5513168	Clytia|LOC016172, Clytia|LOC038888, Clytia|LOC038830
OG0001439	Nematostella|LOC5518594, Nematostella|LOC5521237, Nematostella|LOC5510865, Nematostella|LOC5518544, Nematostella|LOC5518543	Clytia|LOC017037
OG0001443	Nematostella|LOC5505864	Clytia|LOC029755, Clytia|LOC017757, Clytia|LOC045114, Clytia|LOC029754
OG0001444	Nematostella|LOC5502712	Clytia|LOC017962, Clytia|LOC034653, Clytia|LOC034654, Clytia|LOC017963
OG0001445	Nematostella|LOC5521808	Clytia|LOC018955
OG0001446	Nematostella|LOC5503802, Nematostella|LOC5514619	Clytia|LOC018962
OG0001447	Nematostella|LOC5516606	Clytia|LOC020944, Clytia|LOC020749, Clytia|LOC019004, Clytia|LOC026147
OG0001448	Nematostella|LOC5508560	Clytia|LOC019256
OG0001450	Nematostella|LOC5519265, Nematostella|LOC5521725, Nematostella|LOC5506249	Clytia|LOC019591
OG0001452	Nematostella|LOC5511567, Nematostella|LOC116604086	Clytia|LOC041414, Clytia|LOC022443, Clytia|LOC042680, Clytia|LOC038486
OG0001453	Nematostella|LOC116608950, Nematostella|LOC5521468	Clytia|LOC023653, Clytia|LOC025877
OG0001454	Nematostella|LOC116617195	Clytia|LOC037817, Clytia|LOC024582
OG0001458	Nematostella|LOC5521763	Clytia|LOC029936
OG0001459	Nematostella|LOC5518867	Clytia|LOC030405
OG0001461	Nematostella|LOC5512299	Clytia|LOC037186
OG0001461	Nematostella|LOC5508961	Clytia|LOC030801
OG0001463	Nematostella|LOC5503819	Clytia|LOC031783
OG0001464	Nematostella|LOC5518311, Nematostella|LOC5518312, Nematostella|LOC5502199, Nematostella|LOC5502742, Nematostella|LOC116603500	Clytia|LOC032104
OG0001465	Nematostella|LOC116620249, Nematostella|LOC5513895	Clytia|LOC032482, Clytia|LOC032481, Clytia|LOC032480, Clytia|LOC043832
OG0001466	Nematostella|LOC5504352	Clytia|LOC033431
OG0001466	Nematostella|LOC5512071	Clytia|LOC039848, Clytia|LOC032847
OG0001468	Nematostella|LOC5509412	Clytia|LOC034515
OG0001469	Nematostella|LOC5520968	Clytia|LOC034753
OG0001470	Nematostella|LOC116611873	Clytia|LOC035105
OG0001471	Nematostella|LOC116620264, Nematostella|LOC5498592, Nematostella|LOC125556743	Clytia|LOC035243, Clytia|LOC035242
OG0001473	Nematostella|LOC116619006, Nematostella|LOC5513129	Clytia|LOC036725, Clytia|LOC036724, Clytia|LOC036723, Clytia|LOC036701
OG0001474	Nematostella|LOC116611070, Nematostella|LOC5512102	Clytia|LOC036787
OG0001475	Nematostella|LOC5502167	Clytia|LOC036809, Clytia|LOC041659
OG0001476	Nematostella|LOC116619810	Clytia|LOC036959, Clytia|LOC036955
OG0001478	Nematostella|LOC5521423, Nematostella|LOC5521839	Clytia|LOC038055
OG0001479	Nematostella|LOC5507172, Nematostella|LOC5503167, Nematostella|LOC5510447, Nematostella|LOC5510462	Clytia|LOC038215
OG0001481	Nematostella|LOC5511948, Nematostella|LOC5507076, Nematostella|LOC5507081	Clytia|LOC038442
OG0001482	Nematostella|LOC116601518, Nematostella|LOC5514093, Nematostella|LOC5514048, Nematostella|LOC5514094, Nematostella|LOC5514051	Clytia|LOC038841
OG0001483	Nematostella|LOC5508608	Clytia|LOC040885
OG0001484	Nematostella|LOC5520885	Clytia|LOC041613, Clytia|LOC041639, Clytia|LOC041640
OG0001485	Nematostella|LOC5521575, Nematostella|LOC5510067, Nematostella|LOC5508358	Clytia|LOC041744, Clytia|LOC044663
OG0001486	Nematostella|LOC5521177	Clytia|LOC041863
OG0001487	Nematostella|LOC116603110	Clytia|LOC043055
OG0001488	Nematostella|LOC116618470, Nematostella|LOC5514862, Nematostella|LOC116619527, Nematostella|LOC116614849, Nematostella|LOC5517626, Nematostella|LOC5502040	Clytia|LOC044121
OG0001489	Nematostella|LOC5508589, Nematostella|LOC5508584	Clytia|LOC044290
OG0001490	Nematostella|LOC5518931	Clytia|LOC044618
OG0001564	Nematostella|LOC5513123	Clytia|LOC010019
OG0001564	Nematostella|LOC5504650	Clytia|LOC000024
OG0001565	Nematostella|LOC5521208, Nematostella|LOC5508939	Clytia|LOC000092
OG0001567	Nematostella|LOC5519475	Clytia|LOC001089, Clytia|LOC001088
OG0001567	Nematostella|LOC5505220	Clytia|LOC000462
OG0001568	Nematostella|LOC5519230	Clytia|LOC000463, Clytia|LOC010549
OG0001569	Nematostella|LOC116620290, Nematostella|LOC5511564, Nematostella|LOC5517881, Nematostella|LOC116617326	Clytia|LOC034923, Clytia|LOC000649
OG0001571	Nematostella|LOC5512847	Clytia|LOC000749
OG0001572	Nematostella|LOC5514656, Nematostella|LOC5507371	Clytia|LOC010784, Clytia|LOC023781, Clytia|LOC000753, Clytia|LOC033075, Clytia|LOC034271, Clytia|LOC035458
OG0001573	Nematostella|LOC5519795	Clytia|LOC000769
OG0001575	Nematostella|LOC116620246, Nematostella|LOC116620252, Nematostella|LOC116620253, Nematostella|LOC116620211	Clytia|LOC000859, Clytia|LOC034692
OG0001578	Nematostella|LOC5516378, Nematostella|LOC5515501	Clytia|LOC001422, Clytia|LOC001425
OG0001579	Nematostella|LOC125573780	Clytia|LOC001701, Clytia|LOC021578, Clytia|LOC021253, Clytia|LOC003529, Clytia|LOC045562, Clytia|LOC022465, Clytia|LOC035054
OG0001581	Nematostella|LOC5511977	Clytia|LOC036170, Clytia|LOC033755, Clytia|LOC022260, Clytia|LOC028132, Clytia|LOC028133, Clytia|LOC001896
OG0001582	Nematostella|LOC5507184, Nematostella|LOC5501165	Clytia|LOC001951, Clytia|LOC029563, Clytia|LOC003591
OG0001583	Nematostella|LOC5511766	Clytia|LOC002028, Clytia|LOC002027
OG0001584	Nematostella|LOC116611845	Clytia|LOC002132, Clytia|LOC042541, Clytia|LOC011936
OG0001585	Nematostella|LOC5521333, Nematostella|LOC5504466, Nematostella|LOC5514917	Clytia|LOC002185
OG0001585	Nematostella|LOC5519508	Clytia|LOC002243
OG0001587	Nematostella|LOC5516658, Nematostella|LOC5516673	Clytia|LOC008633, Clytia|LOC002602
OG0001589	Nematostella|LOC5508104	Clytia|LOC002792, Clytia|LOC002791, Clytia|LOC018172
OG0001595	Nematostella|LOC5511062	Clytia|LOC031247, Clytia|LOC003367
OG0001596	Nematostella|LOC125557473	Clytia|LOC017021, Clytia|LOC003992, Clytia|LOC010426, Clytia|LOC039531, Clytia|LOC043617, Clytia|LOC003393, Clytia|LOC043804, Clytia|LOC008256
OG0001599	Nematostella|LOC5512729	Clytia|LOC003860
OG0001600	Nematostella|LOC5505077, Nematostella|LOC5512998	Clytia|LOC015114, Clytia|LOC018258, Clytia|LOC018104, Clytia|LOC003885
OG0001601	Nematostella|LOC5504606, Nematostella|LOC5504607	Clytia|LOC003926, Clytia|LOC004374, Clytia|LOC003925, Clytia|LOC036978
OG0001604	Nematostella|LOC5504527, Nematostella|LOC116612230, Nematostella|LOC5506065	Clytia|LOC013963, Clytia|LOC004471
OG0001606	Nematostella|LOC5503582	Clytia|LOC030407, Clytia|LOC038265, Clytia|LOC004567
OG0001607	Nematostella|LOC5510453, Nematostella|LOC116602254, Nematostella|LOC5515409	Clytia|LOC037487, Clytia|LOC004586
OG0001608	Nematostella|LOC5502531	Clytia|LOC004726, Clytia|LOC012832
OG0001609	Nematostella|LOC5516503, Nematostella|LOC5516451	Clytia|LOC005118
OG0001610	Nematostella|LOC5508168	Clytia|LOC005163
OG0001611	Nematostella|LOC116603498, Nematostella|LOC116604407, Nematostella|LOC116614015, Nematostella|LOC5506209	Clytia|LOC021494, Clytia|LOC020204, Clytia|LOC005296
OG0001613	Nematostella|LOC116612376, Nematostella|LOC5504721	Clytia|LOC005598
OG0001614	Nematostella|LOC116614454	Clytia|LOC015856, Clytia|LOC005623, Clytia|LOC027695, Clytia|LOC005625
OG0001617	Nematostella|LOC5519234	Clytia|LOC019313
OG0001617	Nematostella|LOC5519178	Clytia|LOC005780, Clytia|LOC013101, Clytia|LOC013109
OG0001618	Nematostella|LOC5501121	Clytia|LOC009611
OG0001618	Nematostella|LOC5506165, Nematostella|LOC5512789	Clytia|LOC005864
OG0001619	Nematostella|LOC5517911, Nematostella|LOC5508288	Clytia|LOC005969, Clytia|LOC005970
OG0001623	Nematostella|LOC5509518	Clytia|LOC006604, Clytia|LOC032068
OG0001624	Nematostella|LOC5518386	Clytia|LOC006648, Clytia|LOC036412, Clytia|LOC011159
OG0001625	Nematostella|LOC5511856, Nematostella|LOC5511633	Clytia|LOC006712, Clytia|LOC006727, Clytia|LOC030176
OG0001626	Nematostella|LOC116611515	Clytia|LOC042364, Clytia|LOC007027, Clytia|LOC007044
OG0001627	Nematostella|LOC5503648	Clytia|LOC012525, Clytia|LOC012511, Clytia|LOC007195
OG0001629	Nematostella|LOC5515662	Clytia|LOC007335
OG0001632	Nematostella|LOC116620133	Clytia|LOC010337, Clytia|LOC007747, Clytia|LOC007746
OG0001635	Nematostella|LOC5510681, Nematostella|LOC5510682, Nematostella|LOC125556708	Clytia|LOC008013
OG0001638	Nematostella|LOC5508577	Clytia|LOC018582, Clytia|LOC008623
OG0001639	Nematostella|LOC116618593	Clytia|LOC008858, Clytia|LOC011023, Clytia|LOC011002
OG0001640	Nematostella|LOC116619112	Clytia|LOC011754, Clytia|LOC021089, Clytia|LOC011755, Clytia|LOC022302, Clytia|LOC009006
OG0001641	Nematostella|LOC5514441	Clytia|LOC009619, Clytia|LOC036400
OG0001642	Nematostella|LOC5501235	Clytia|LOC044369, Clytia|LOC009637
OG0001644	Nematostella|LOC5522290, Nematostella|LOC5522289	Clytia|LOC009676, Clytia|LOC009675
OG0001645	Nematostella|LOC5506043	Clytia|LOC009757
OG0001645	Nematostella|LOC5521914, Nematostella|LOC5505419	Clytia|LOC029500
OG0001646	Nematostella|LOC5521433, Nematostella|LOC116619635	Clytia|LOC010125
OG0001648	Nematostella|LOC5516594	Clytia|LOC017091, Clytia|LOC030861, Clytia|LOC010635
OG0001649	Nematostella|LOC5509254, Nematostella|LOC116616192	Clytia|LOC033659, Clytia|LOC023041, Clytia|LOC010707
OG0001650	Nematostella|LOC5507363, Nematostella|LOC5507369, Nematostella|LOC5505399	Clytia|LOC011020
OG0001651	Nematostella|LOC5508983	Clytia|LOC011200, Clytia|LOC012215, Clytia|LOC012214
OG0001652	Nematostella|LOC125560736, Nematostella|LOC5509403	Clytia|LOC028236
OG0001652	Nematostella|LOC125560656	Clytia|LOC011201, Clytia|LOC021999, Clytia|LOC044716
OG0001652	Nematostella|LOC5510867	Clytia|LOC017784
OG0001653	Nematostella|LOC5510424	Clytia|LOC022308
OG0001654	Nematostella|LOC5518170	Clytia|LOC011385
OG0001654	Nematostella|LOC5520170	Clytia|LOC042345
OG0001658	Nematostella|LOC5512734	Clytia|LOC012002, Clytia|LOC011972, Clytia|LOC011971, Clytia|LOC011970, Clytia|LOC011969
OG0001661	Nematostella|LOC125561017	Clytia|LOC045799, Clytia|LOC024849, Clytia|LOC030390, Clytia|LOC032077, Clytia|LOC021973, Clytia|LOC012325, Clytia|LOC032076, Clytia|LOC017789
OG0001662	Nematostella|LOC5501260, Nematostella|LOC5501259	Clytia|LOC012453, Clytia|LOC012451
OG0001663	Nematostella|LOC5520153, Nematostella|LOC5517103	Clytia|LOC012713
OG0001665	Nematostella|LOC5513855	Clytia|LOC030483, Clytia|LOC013002
OG0001667	Nematostella|LOC5521655	Clytia|LOC013369
OG0001668	Nematostella|LOC5508616	Clytia|LOC013464, Clytia|LOC017340
OG0001669	Nematostella|LOC5519515	Clytia|LOC013520, Clytia|LOC013526, Clytia|LOC039010
OG0001670	Nematostella|LOC5516683	Clytia|LOC013885
OG0001671	Nematostella|LOC5508830, Nematostella|LOC5509436, Nematostella|LOC116620686, Nematostella|LOC5521062	Clytia|LOC044055, Clytia|LOC013955
OG0001674	Nematostella|LOC5502739	Clytia|LOC014753
OG0001674	Nematostella|LOC5514098	Clytia|LOC043526
OG0001675	Nematostella|LOC116608514, Nematostella|LOC125559739, Nematostella|LOC5503643, Nematostella|LOC125559777, Nematostella|LOC116614035, Nematostella|LOC5501839, Nematostella|LOC5504423, Nematostella|LOC5504430	Clytia|LOC014758
OG0001676	Nematostella|LOC116602259, Nematostella|LOC116617216, Nematostella|LOC116619880	Clytia|LOC014791
OG0001681	Nematostella|LOC5521730	Clytia|LOC015222, Clytia|LOC041732, Clytia|LOC015223
OG0001684	Nematostella|LOC5517292	Clytia|LOC016038, Clytia|LOC027587, Clytia|LOC016039, Clytia|LOC022841
OG0001685	Nematostella|LOC5513685	Clytia|LOC029162, Clytia|LOC026669, Clytia|LOC016121, Clytia|LOC029161, Clytia|LOC027134
OG0001686	Nematostella|LOC116615708	Clytia|LOC023201, Clytia|LOC026152, Clytia|LOC028231, Clytia|LOC016566, Clytia|LOC023459, Clytia|LOC032328
OG0001688	Nematostella|LOC116608016	Clytia|LOC033285, Clytia|LOC033279, Clytia|LOC016678, Clytia|LOC033246
OG0001689	Nematostella|LOC116616963	Clytia|LOC016800, Clytia|LOC016803
OG0001689	Nematostella|LOC5518185	Clytia|LOC032135, Clytia|LOC032146
OG0001690	Nematostella|LOC5522246	Clytia|LOC017075, Clytia|LOC039970, Clytia|LOC019533, Clytia|LOC035099, Clytia|LOC020738, Clytia|LOC023164, Clytia|LOC021332
OG0001692	Nematostella|LOC5502788	Clytia|LOC038384, Clytia|LOC019032, Clytia|LOC017305
OG0001694	Nematostella|LOC5505397, Nematostella|LOC5518084, Nematostella|LOC125568028, Nematostella|LOC5499447	Clytia|LOC021579, Clytia|LOC017567, Clytia|LOC040612, Clytia|LOC025010
OG0001695	Nematostella|LOC5512820, Nematostella|LOC5502870	Clytia|LOC017649, Clytia|LOC018884
OG0001696	Nematostella|LOC5509245	Clytia|LOC018053
OG0001696	Nematostella|LOC116601925	Clytia|LOC018054
OG0001697	Nematostella|LOC5507055	Clytia|LOC018125
OG0001698	Nematostella|LOC5503181	Clytia|LOC018474
OG0001699	Nematostella|LOC116618847, Nematostella|LOC116618848	Clytia|LOC018632, Clytia|LOC025166, Clytia|LOC018627
OG0001700	Nematostella|LOC116612450	Clytia|LOC019443, Clytia|LOC021181, Clytia|LOC022539, Clytia|LOC019442, Clytia|LOC019022, Clytia|LOC021240
OG0001704	Nematostella|LOC125573692	Clytia|LOC022647, Clytia|LOC022646, Clytia|LOC022282, Clytia|LOC020199, Clytia|LOC022648, Clytia|LOC025712
OG0001707	Nematostella|LOC5509090, Nematostella|LOC125556660, Nematostella|LOC5515703, Nematostella|LOC5510999, Nematostella|LOC5518136	Clytia|LOC020369
OG0001708	Nematostella|LOC116612479	Clytia|LOC032354, Clytia|LOC021021
OG0001710	Nematostella|LOC5515495, Nematostella|LOC5501346	Clytia|LOC021214
OG0001711	Nematostella|LOC5510918	Clytia|LOC040687, Clytia|LOC040666, Clytia|LOC021484
OG0001713	Nematostella|LOC125570102, Nematostella|LOC125559130, Nematostella|LOC125573886, Nematostella|LOC125572166, Nematostella|LOC125568387, Nematostella|LOC125568354	Clytia|LOC022581, Clytia|LOC025918
OG0001717	Nematostella|LOC5512749	Clytia|LOC023700, Clytia|LOC043878, Clytia|LOC043877
OG0001718	Nematostella|LOC125561831, Nematostella|LOC125567850	Clytia|LOC024985
OG0001719	Nematostella|LOC5516347	Clytia|LOC025813, Clytia|LOC045647, Clytia|LOC025814
OG0001720	Nematostella|LOC5517685	Clytia|LOC025879
OG0001721	Nematostella|LOC116617081, Nematostella|LOC116617085	Clytia|LOC027119, Clytia|LOC042583
OG0001722	Nematostella|LOC5515196	Clytia|LOC028560, Clytia|LOC031702
OG0001723	Nematostella|LOC5515445, Nematostella|LOC5515449, Nematostella|LOC5515447	Clytia|LOC033978, Clytia|LOC028710
OG0001724	Nematostella|LOC5508751, Nematostella|LOC5502533, Nematostella|LOC5502648	Clytia|LOC030030
OG0001725	Nematostella|LOC5510311, Nematostella|LOC5510330	Clytia|LOC034950, Clytia|LOC030092, Clytia|LOC037278
OG0001726	Nematostella|LOC5520610, Nematostella|LOC5504656, Nematostella|LOC5501846	Clytia|LOC030658
OG0001727	Nematostella|LOC5516723	Clytia|LOC030659, Clytia|LOC030676
OG0001729	Nematostella|LOC5520849	Clytia|LOC031441
OG0001729	Nematostella|LOC5509809	Clytia|LOC031442
OG0001730	Nematostella|LOC5512864, Nematostella|LOC5510365	Clytia|LOC031907, Clytia|LOC031900
OG0001731	Nematostella|LOC5508590	Clytia|LOC038259, Clytia|LOC032188
OG0001732	Nematostella|LOC5502920, Nematostella|LOC5510585, Nematostella|LOC125573183, Nematostella|LOC5510574, Nematostella|LOC5508455	Clytia|LOC032572
OG0001734	Nematostella|LOC5510345, Nematostella|LOC116620035, Nematostella|LOC5504763	Clytia|LOC033684
OG0001735	Nematostella|LOC5516178, Nematostella|LOC5516186, Nematostella|LOC5516177	Clytia|LOC033852
OG0001736	Nematostella|LOC5514940, Nematostella|LOC5514899, Nematostella|LOC5514938, Nematostella|LOC5514898	Clytia|LOC034194
OG0001737	Nematostella|LOC5508227	Clytia|LOC034259
OG0001738	Nematostella|LOC5511262	Clytia|LOC034302, Clytia|LOC036640
OG0001739	Nematostella|LOC5521906, Nematostella|LOC5510217	Clytia|LOC034378, Clytia|LOC034379, Clytia|LOC034380, Clytia|LOC034412, Clytia|LOC034410
OG0001740	Nematostella|LOC5504594, Nematostella|LOC5511133	Clytia|LOC034518
OG0001741	Nematostella|LOC5505215, Nematostella|LOC5505228	Clytia|LOC043131, Clytia|LOC034631
OG0001742	Nematostella|LOC5518099	Clytia|LOC034759
OG0001742	Nematostella|LOC5518052	Clytia|LOC045283
OG0001743	Nematostella|LOC5517229	Clytia|LOC034791, Clytia|LOC034765, Clytia|LOC034825
OG0001746	Nematostella|LOC5513402	Clytia|LOC036695
OG0001746	Nematostella|LOC5514288	Clytia|LOC041326
OG0001747	Nematostella|LOC5522086, Nematostella|LOC5520860, Nematostella|LOC5508693	Clytia|LOC037307
OG0001748	Nematostella|LOC5510910, Nematostella|LOC5510897, Nematostella|LOC5513724	Clytia|LOC037610
OG0001750	Nematostella|LOC116619351, Nematostella|LOC5504945	Clytia|LOC038175
OG0001751	Nematostella|LOC5510344	Clytia|LOC038351, Clytia|LOC039540, Clytia|LOC039188
OG0001752	Nematostella|LOC5508145	Clytia|LOC039017
OG0001752	Nematostella|LOC5515713	Clytia|LOC038459
OG0001754	Nematostella|LOC116618277, Nematostella|LOC116611087, Nematostella|LOC125572130, Nematostella|LOC125572131, Nematostella|LOC125572132, Nematostella|LOC116608386	Clytia|LOC039368
OG0001755	Nematostella|LOC5511483, Nematostella|LOC5516894	Clytia|LOC040241, Clytia|LOC040264
OG0001756	Nematostella|LOC5514331	Clytia|LOC040346
OG0001757	Nematostella|LOC5515950, Nematostella|LOC5515945, Nematostella|LOC5515946, Nematostella|LOC5515217	Clytia|LOC040789
OG0001758	Nematostella|LOC5515842, Nematostella|LOC125556754, Nematostella|LOC5514528	Clytia|LOC041241, Clytia|LOC041237
OG0001759	Nematostella|LOC125568074, Nematostella|LOC5516170	Clytia|LOC043384, Clytia|LOC041611
OG0001760	Nematostella|LOC116601368, Nematostella|LOC5507098, Nematostella|LOC116619600, Nematostella|LOC5518940	Clytia|LOC042410
OG0001761	Nematostella|LOC5519231	Clytia|LOC043265
OG0001762	Nematostella|LOC5505615	Clytia|LOC043277
OG0001762	Nematostella|LOC5510771	Clytia|LOC043276
OG0001763	Nematostella|LOC5505604, Nematostella|LOC116620875	Clytia|LOC043885, Clytia|LOC044316
OG0001764	Nematostella|LOC5518917	Clytia|LOC045449
OG0001764	Nematostella|LOC5513359	Clytia|LOC045440, Clytia|LOC045441
OG0001765	Nematostella|LOC5517001, Nematostella|LOC116614564, Nematostella|LOC116614005	Clytia|LOC045650
OG0001855	Nematostella|LOC5514760	Clytia|LOC000094
OG0001856	Nematostella|LOC5502609, Nematostella|LOC5512462, Nematostella|LOC5513723	Clytia|LOC000123
OG0001859	Nematostella|LOC5518688	Clytia|LOC009976, Clytia|LOC000289
OG0001860	Nematostella|LOC5515699	Clytia|LOC000335, Clytia|LOC000334, Clytia|LOC000333
OG0001863	Nematostella|LOC5514959	Clytia|LOC000837, Clytia|LOC000881, Clytia|LOC027237, Clytia|LOC000882, Clytia|LOC044492
OG0001867	Nematostella|LOC5506937	Clytia|LOC000985
OG0001870	Nematostella|LOC116602127, Nematostella|LOC5518531	Clytia|LOC001114, Clytia|LOC001115
OG0001872	Nematostella|LOC116601495, Nematostella|LOC5517955, Nematostella|LOC5517903	Clytia|LOC044123, Clytia|LOC001470
OG0001873	Nematostella|LOC116619576, Nematostella|LOC5514768, Nematostella|LOC116619884, Nematostella|LOC5515604	Clytia|LOC001472
OG0001874	Nematostella|LOC5521889	Clytia|LOC001522, Clytia|LOC001524
OG0001876	Nematostella|LOC125572422, Nematostella|LOC5501401, Nematostella|LOC5514185	Clytia|LOC032017, Clytia|LOC014175, Clytia|LOC001610
OG0001877	Nematostella|LOC5514431	Clytia|LOC001618, Clytia|LOC012335
OG0001880	Nematostella|LOC5516839	Clytia|LOC001822, Clytia|LOC001823
OG0001882	Nematostella|LOC5515782, Nematostella|LOC5512558	Clytia|LOC001931
OG0001883	Nematostella|LOC5517863	Clytia|LOC001950
OG0001884	Nematostella|LOC5509115	Clytia|LOC002259, Clytia|LOC002288, Clytia|LOC013832
OG0001885	Nematostella|LOC5521964	Clytia|LOC002270
OG0001886	Nematostella|LOC5507554, Nematostella|LOC5500952	Clytia|LOC030914, Clytia|LOC002389
OG0001887	Nematostella|LOC5510133, Nematostella|LOC5501222	Clytia|LOC002402
