Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_XeniaProteins
OG0000863	Nematostella|LOC116602053	Xenia|LOC124459442
OG0000869	Nematostella|LOC116619350	Xenia|LOC124456020, Xenia|LOC124434440
OG0000870	Nematostella|LOC5513981, Nematostella|LOC125567394, Nematostella|LOC5502177	Xenia|LOC124453441, Xenia|LOC124453448
OG0000874	Nematostella|LOC116618151, Nematostella|LOC116604633	Xenia|LOC124436811
OG0000876	Nematostella|LOC5518256, Nematostella|LOC5518799, Nematostella|LOC5507061, Nematostella|LOC125556686, Nematostella|LOC5521676	Xenia|LOC124453293
OG0000887	Nematostella|LOC5515073	Xenia|LOC124459311, Xenia|LOC124459216, Xenia|LOC124443629
OG0000890	Nematostella|LOC5512590, Nematostella|LOC5512620	Xenia|LOC124439714
OG0000892	Nematostella|LOC5521330, Nematostella|LOC5501640, Nematostella|LOC5501642, Nematostella|LOC5501643	Xenia|LOC124445151, Xenia|LOC124452614
OG0000894	Nematostella|LOC5507545, Nematostella|LOC5511545, Nematostella|LOC5519696, Nematostella|LOC5511592, Nematostella|LOC5519606, Nematostella|LOC5507862	Xenia|LOC124442263
OG0000896	Nematostella|LOC116618037, Nematostella|LOC5501596	Xenia|LOC124446564
OG0000897	Nematostella|LOC5509002, Nematostella|LOC5513676, Nematostella|LOC5505777, Nematostella|LOC5509964, Nematostella|LOC5502964, Nematostella|LOC5503909, Nematostella|LOC116611687	Xenia|LOC124444452, Xenia|LOC124452518
OG0000900	Nematostella|LOC5512256	Xenia|LOC124449643, Xenia|LOC124436093, Xenia|LOC124448997, Xenia|LOC124449634, Xenia|LOC124457825, Xenia|LOC124437500, Xenia|LOC124437501, Xenia|LOC124436602, Xenia|LOC124437497
OG0000901	Nematostella|LOC5508228, Nematostella|LOC5500217	Xenia|LOC124442799
OG0000901	Nematostella|LOC116619661	Xenia|LOC124444207
OG0000901	Nematostella|LOC5515057, Nematostella|LOC116619694	Xenia|LOC124443729
OG0000906	Nematostella|LOC5506642	Xenia|LOC124446812
OG0000906	Nematostella|LOC5506800, Nematostella|LOC5503261	Xenia|LOC124446045, Xenia|LOC124446813
OG0000907	Nematostella|LOC5515439, Nematostella|LOC5521766, Nematostella|LOC5507644	Xenia|LOC124445209, Xenia|LOC124445061, Xenia|LOC124445079
OG0000910	Nematostella|LOC5499766	Xenia|LOC124443368, Xenia|LOC124442800, Xenia|LOC124443365, Xenia|LOC124442952, Xenia|LOC124441547, Xenia|LOC124443366, Xenia|LOC124442953, Xenia|LOC124442964, Xenia|LOC124441164
OG0000913	Nematostella|LOC116613012, Nematostella|LOC116615574	Xenia|LOC124435074
OG0000914	Nematostella|LOC5510674, Nematostella|LOC5510647, Nematostella|LOC5507682	Xenia|LOC124438644, Xenia|LOC124453538
OG0000915	Nematostella|LOC5520334	Xenia|LOC124452520, Xenia|LOC124453699
OG0000917	Nematostella|LOC5513269	Xenia|LOC124444862
OG0000918	Nematostella|LOC5520105, Nematostella|LOC125561156, Nematostella|LOC5508879	Xenia|LOC124453473
OG0000918	Nematostella|LOC5521141	Xenia|LOC124439749, Xenia|LOC124439750, Xenia|LOC124439748
OG0000919	Nematostella|LOC5514723, Nematostella|LOC5514722, Nematostella|LOC5503763	Xenia|LOC124452886, Xenia|LOC124452897, Xenia|LOC124445152, Xenia|LOC124446319
OG0000924	Nematostella|LOC5515324	Xenia|LOC124440256
OG0000925	Nematostella|LOC5502866, Nematostella|LOC5506608, Nematostella|LOC5506626, Nematostella|LOC5498333	Xenia|LOC124445856
OG0000925	Nematostella|LOC5515038, Nematostella|LOC5514606, Nematostella|LOC5506693, Nematostella|LOC5506694, Nematostella|LOC5506695	Xenia|LOC124444960
OG0000926	Nematostella|LOC5513045	Xenia|LOC124442463
OG0000926	Nematostella|LOC5503394, Nematostella|LOC5501002	Xenia|LOC124442424
OG0000927	Nematostella|LOC125561252, Nematostella|LOC125560950, Nematostella|LOC125568289, Nematostella|LOC116601970, Nematostella|LOC116614552	Xenia|LOC124435255, Xenia|LOC124433884, Xenia|LOC124439419, Xenia|LOC124437408
OG0000928	Nematostella|LOC116602321, Nematostella|LOC116604066, Nematostella|LOC5511879, Nematostella|LOC5511878, Nematostella|LOC5520721	Xenia|LOC124443085
OG0000929	Nematostella|LOC116615278, Nematostella|LOC5507048	Xenia|LOC124437076
OG0000930	Nematostella|LOC5521923, Nematostella|LOC116617248, Nematostella|LOC5522041, Nematostella|LOC5512193, Nematostella|LOC5512168	Xenia|LOC124450643
OG0000932	Nematostella|LOC5514194, Nematostella|LOC116617692, Nematostella|LOC5517813	Xenia|LOC124433523, Xenia|LOC124450812, Xenia|LOC124443860, Xenia|LOC124444382, Xenia|LOC124443531, Xenia|LOC124444381, Xenia|LOC124444372
OG0000933	Nematostella|LOC5514422, Nematostella|LOC5514459	Xenia|LOC124452003
OG0000935	Nematostella|LOC5507107, Nematostella|LOC5513545, Nematostella|LOC5505396, Nematostella|LOC5520962	Xenia|LOC124445559
OG0000938	Nematostella|LOC5507536, Nematostella|LOC5513757	Xenia|LOC124433497
OG0000939	Nematostella|LOC5518982, Nematostella|LOC116620196, Nematostella|LOC116605316, Nematostella|LOC116601388, Nematostella|LOC116608923, Nematostella|LOC5515895, Nematostella|LOC116613119	Xenia|LOC124445378
OG0000942	Nematostella|LOC5516277	Xenia|LOC124438252
OG0000944	Nematostella|LOC5513085	Xenia|LOC124451351
OG0000944	Nematostella|LOC5506645	Xenia|LOC124447093
OG0000944	Nematostella|LOC5502704	Xenia|LOC124433505
OG0000945	Nematostella|LOC5517101, Nematostella|LOC5504870, Nematostella|LOC5514815	Xenia|LOC124439327
OG0000946	Nematostella|LOC5515291	Xenia|LOC124438926
OG0000947	Nematostella|LOC116605658, Nematostella|LOC125560849, Nematostella|LOC5514017, Nematostella|LOC116619163, Nematostella|LOC5515939, Nematostella|LOC116620091, Nematostella|LOC5515885	Xenia|LOC124440111
OG0000969	Nematostella|LOC5509100, Nematostella|LOC116602157, Nematostella|LOC125561819, Nematostella|LOC125560756, Nematostella|LOC116612020, Nematostella|LOC125568415, Nematostella|LOC125561913, Nematostella|LOC125563102, Nematostella|LOC125572421, Nematostella|LOC116604046	Xenia|LOC124451356, Xenia|LOC124453984
OG0000971	Nematostella|LOC5501182, Nematostella|LOC5507254, Nematostella|LOC5508672, Nematostella|LOC5518285, Nematostella|LOC5516790, Nematostella|LOC116614494, Nematostella|LOC5507082, Nematostella|LOC116614495, Nematostella|LOC5508949, Nematostella|LOC5510888	Xenia|LOC124451354, Xenia|LOC124452111
OG0000980	Nematostella|LOC116618442, Nematostella|LOC116604125, Nematostella|LOC116614673, Nematostella|LOC5522299	Xenia|LOC124445133, Xenia|LOC124446153, Xenia|LOC124446751, Xenia|LOC124445140, Xenia|LOC124445138, Xenia|LOC124446925, Xenia|LOC124445141, Xenia|LOC124445135
OG0000983	Nematostella|LOC116617511, Nematostella|LOC5511022, Nematostella|LOC116615324, Nematostella|LOC5520380, Nematostella|LOC116601221, Nematostella|LOC5508666, Nematostella|LOC116602123, Nematostella|LOC5518629, Nematostella|LOC5519701, Nematostella|LOC5512873, Nematostella|LOC5519698, Nematostella|LOC5510699	Xenia|LOC124437402
OG0000986	Nematostella|LOC116619881, Nematostella|LOC5510274, Nematostella|LOC5519305, Nematostella|LOC5517968, Nematostella|LOC116614171, Nematostella|LOC5506490, Nematostella|LOC5510026, Nematostella|LOC5515771, Nematostella|LOC5509172, Nematostella|LOC5520773, Nematostella|LOC5518137, Nematostella|LOC5508918	Xenia|LOC124444348
OG0000989	Nematostella|LOC5513595	Xenia|LOC124451892, Xenia|LOC124451280, Xenia|LOC124451894, Xenia|LOC124451890, Xenia|LOC124450383, Xenia|LOC124453650, Xenia|LOC124437027, Xenia|LOC124436092, Xenia|LOC124436457, Xenia|LOC124454659
OG0000989	Nematostella|LOC116614809	Xenia|LOC124444127
OG0001000	Nematostella|LOC5509078, Nematostella|LOC5508933, Nematostella|LOC5500758, Nematostella|LOC5506003, Nematostella|LOC5519984, Nematostella|LOC5507779, Nematostella|LOC5506063, Nematostella|LOC5506821	Xenia|LOC124445325
OG0001005	Nematostella|LOC5515986	Xenia|LOC124456222
OG0001009	Nematostella|LOC116616176, Nematostella|LOC116616177, Nematostella|LOC5502688, Nematostella|LOC116605312	Xenia|LOC124451835, Xenia|LOC124441917
OG0001013	Nematostella|LOC5513258, Nematostella|LOC5503782	Xenia|LOC124454113, Xenia|LOC124454625
OG0001016	Nematostella|LOC5515822	Xenia|LOC124440809, Xenia|LOC124440805
OG0001021	Nematostella|LOC5506610	Xenia|LOC124446710
OG0001021	Nematostella|LOC116614813	Xenia|LOC124437082
OG0001026	Nematostella|LOC5507142	Xenia|LOC124441736
OG0001027	Nematostella|LOC5511711	Xenia|LOC124456787
OG0001027	Nematostella|LOC5519661	Xenia|LOC124456785, Xenia|LOC124444320, Xenia|LOC124457961, Xenia|LOC124443798
OG0001028	Nematostella|LOC5504586	Xenia|LOC124453777
OG0001029	Nematostella|LOC116611365, Nematostella|LOC116611361, Nematostella|LOC116611362	Xenia|LOC124452900, Xenia|LOC124453754, Xenia|LOC124448375, Xenia|LOC124448342, Xenia|LOC124448341
OG0001030	Nematostella|LOC5501180, Nematostella|LOC5510529, Nematostella|LOC5522128	Xenia|LOC124442981, Xenia|LOC124442982, Xenia|LOC124442983
OG0001032	Nematostella|LOC5519507	Xenia|LOC124434046, Xenia|LOC124434044, Xenia|LOC124434042, Xenia|LOC124434041, Xenia|LOC124434045, Xenia|LOC124434047
OG0001033	Nematostella|LOC5512455, Nematostella|LOC116604709	Xenia|LOC124438590, Xenia|LOC124452805
OG0001034	Nematostella|LOC5520474	Xenia|LOC124434064
OG0001034	Nematostella|LOC5507814	Xenia|LOC124445277
OG0001036	Nematostella|LOC116616131, Nematostella|LOC125563221	Xenia|LOC124440358
OG0001036	Nematostella|LOC5502740	Xenia|LOC124433785
OG0001037	Nematostella|LOC5512267, Nematostella|LOC5512247, Nematostella|LOC5505623, Nematostella|LOC5505620	Xenia|LOC124459486
OG0001038	Nematostella|LOC5520863	Xenia|LOC124442013, Xenia|LOC124441887, Xenia|LOC124441889, Xenia|LOC124455595, Xenia|LOC124437895
OG0001039	Nematostella|LOC5508199, Nematostella|LOC5502526, Nematostella|LOC5512115, Nematostella|LOC5512084	Xenia|LOC124446854, Xenia|LOC124446848, Xenia|LOC124447000
OG0001041	Nematostella|LOC5502328	Xenia|LOC124436091, Xenia|LOC124436352, Xenia|LOC124436351, Xenia|LOC124437492, Xenia|LOC124437490, Xenia|LOC124435852, Xenia|LOC124437488, Xenia|LOC124435853
OG0001042	Nematostella|LOC5521282, Nematostella|LOC5516752	Xenia|LOC124453606
OG0001044	Nematostella|LOC5512306	Xenia|LOC124434761, Xenia|LOC124455424
OG0001045	Nematostella|LOC5515184, Nematostella|LOC5516994	Xenia|LOC124452607
OG0001045	Nematostella|LOC5515189, Nematostella|LOC5515194, Nematostella|LOC5515199	Xenia|LOC124434155, Xenia|LOC124444192
OG0001047	Nematostella|LOC5505826, Nematostella|LOC5505831	Xenia|LOC124440072
OG0001047	Nematostella|LOC5515871	Xenia|LOC124435046
OG0001048	Nematostella|LOC5507547	Xenia|LOC124457020, Xenia|LOC124451680, Xenia|LOC124454007, Xenia|LOC124452303, Xenia|LOC124452302, Xenia|LOC124445555, Xenia|LOC124457021, Xenia|LOC124451699
OG0001049	Nematostella|LOC5502298	Xenia|LOC124446541
OG0001049	Nematostella|LOC5504943	Xenia|LOC124443752
OG0001050	Nematostella|LOC116616869, Nematostella|LOC5517281, Nematostella|LOC116617341, Nematostella|LOC5515383, Nematostella|LOC5520752, Nematostella|LOC5508708, Nematostella|LOC5519004, Nematostella|LOC5508711	Xenia|LOC124438869
OG0001050	Nematostella|LOC116619693	Xenia|LOC124457604
OG0001055	Nematostella|LOC5500198, Nematostella|LOC5512137, Nematostella|LOC5516342, Nematostella|LOC116619269, Nematostella|LOC116602154	Xenia|LOC124434860, Xenia|LOC124433847
OG0001059	Nematostella|LOC5509332, Nematostella|LOC5511308	Xenia|LOC124434471, Xenia|LOC124441268, Xenia|LOC124442925, Xenia|LOC124456630
OG0001062	Nematostella|LOC5504167, Nematostella|LOC5498014, Nematostella|LOC5522287	Xenia|LOC124441991
OG0001063	Nematostella|LOC5516323, Nematostella|LOC5516353, Nematostella|LOC5518271	Xenia|LOC124443380
OG0001064	Nematostella|LOC5521811, Nematostella|LOC5504552, Nematostella|LOC5504649	Xenia|LOC124452689, Xenia|LOC124452690
OG0001067	Nematostella|LOC5520830	Xenia|LOC124443002
OG0001067	Nematostella|LOC5509134	Xenia|LOC124445451
OG0001068	Nematostella|LOC5515680, Nematostella|LOC116618329	Xenia|LOC124445790, Xenia|LOC124445789
OG0001074	Nematostella|LOC5511874	Xenia|LOC124436528
OG0001074	Nematostella|LOC5513534	Xenia|LOC124438636
OG0001075	Nematostella|LOC5506581	Xenia|LOC124450241
OG0001075	Nematostella|LOC5516587, Nematostella|LOC5516588	Xenia|LOC124445625
OG0001076	Nematostella|LOC5515862, Nematostella|LOC5519586	Xenia|LOC124434726
OG0001078	Nematostella|LOC5508331	Xenia|LOC124456829, Xenia|LOC124458525, Xenia|LOC124457605, Xenia|LOC124457771, Xenia|LOC124455169, Xenia|LOC124457385, Xenia|LOC124456764, Xenia|LOC124457239
OG0001079	Nematostella|LOC5508305	Xenia|LOC124447987, Xenia|LOC124454259, Xenia|LOC124449042, Xenia|LOC124449039, Xenia|LOC124449043, Xenia|LOC124454219, Xenia|LOC124454229, Xenia|LOC124449041
OG0001080	Nematostella|LOC5514205, Nematostella|LOC5509153	Xenia|LOC124457539
OG0001080	Nematostella|LOC5505376	Xenia|LOC124443604
OG0001081	Nematostella|LOC5510061, Nematostella|LOC116620367	Xenia|LOC124452913
OG0001081	Nematostella|LOC5520074	Xenia|LOC124446340
OG0001081	Nematostella|LOC5521946	Xenia|LOC124454691, Xenia|LOC124446245
OG0001082	Nematostella|LOC5521273, Nematostella|LOC5519926	Xenia|LOC124455476, Xenia|LOC124455475, Xenia|LOC124455795, Xenia|LOC124455477, Xenia|LOC124455895, Xenia|LOC124455504
OG0001083	Nematostella|LOC5513911, Nematostella|LOC5507796, Nematostella|LOC5517304	Xenia|LOC124442874, Xenia|LOC124447110
OG0001084	Nematostella|LOC5517492	Xenia|LOC124459451
OG0001084	Nematostella|LOC5517508, Nematostella|LOC5500950	Xenia|LOC124447061
OG0001086	Nematostella|LOC5512095	Xenia|LOC124444861, Xenia|LOC124444860, Xenia|LOC124444448, Xenia|LOC124442357
OG0001087	Nematostella|LOC116614073, Nematostella|LOC5506277, Nematostella|LOC5506284, Nematostella|LOC116601137	Xenia|LOC124436699
OG0001088	Nematostella|LOC5501511, Nematostella|LOC116619695	Xenia|LOC124439923
OG0001091	Nematostella|LOC5507685, Nematostella|LOC116614859	Xenia|LOC124434112
OG0001098	Nematostella|LOC116601989, Nematostella|LOC116618890, Nematostella|LOC116603331, Nematostella|LOC116605165, Nematostella|LOC116601954, Nematostella|LOC116614414, Nematostella|LOC116611447, Nematostella|LOC116617035	Xenia|LOC124457097
OG0001112	Nematostella|LOC116619237	Xenia|LOC124456886, Xenia|LOC124456348, Xenia|LOC124435934, Xenia|LOC124458148, Xenia|LOC124456361, Xenia|LOC124435933, Xenia|LOC124456885
OG0001112	Nematostella|LOC116609958	Xenia|LOC124443487
OG0001118	Nematostella|LOC125573181, Nematostella|LOC125563001, Nematostella|LOC125559095, Nematostella|LOC125573529, Nematostella|LOC125560749, Nematostella|LOC125559889, Nematostella|LOC125559135, Nematostella|LOC125572238, Nematostella|LOC125572235, Nematostella|LOC125573769, Nematostella|LOC125560726	Xenia|LOC124449125
OG0001122	Nematostella|LOC125560935, Nematostella|LOC125560994, Nematostella|LOC125560995, Nematostella|LOC125560993, Nematostella|LOC125560938, Nematostella|LOC125560934, Nematostella|LOC125560939, Nematostella|LOC5500589, Nematostella|LOC116615562, Nematostella|LOC125560992, Nematostella|LOC125560991	Xenia|LOC124455731
OG0001125	Nematostella|LOC125568251, Nematostella|LOC116611738	Xenia|LOC124451717, Xenia|LOC124435496, Xenia|LOC124451998, Xenia|LOC124455429, Xenia|LOC124449551, Xenia|LOC124455655, Xenia|LOC124456620, Xenia|LOC124456217, Xenia|LOC124457017, Xenia|LOC124449040
OG0001126	Nematostella|LOC5510466, Nematostella|LOC5503901, Nematostella|LOC116614933	Xenia|LOC124435512, Xenia|LOC124433734, Xenia|LOC124434617, Xenia|LOC124435327, Xenia|LOC124434614, Xenia|LOC124434615, Xenia|LOC124433736, Xenia|LOC124434616, Xenia|LOC124447420
OG0001127	Nematostella|LOC5509513	Xenia|LOC124433368
OG0001127	Nematostella|LOC5510145	Xenia|LOC124439964, Xenia|LOC124455524, Xenia|LOC124438361, Xenia|LOC124436989, Xenia|LOC124450808, Xenia|LOC124438364, Xenia|LOC124455068, Xenia|LOC124433357, Xenia|LOC124450810
OG0001138	Nematostella|LOC5525258, Nematostella|LOC5525247, Nematostella|LOC5525246	Xenia|LOC124453023, Xenia|LOC124453033
OG0001143	Nematostella|LOC125563171	Xenia|LOC124451074, Xenia|LOC124451071, Xenia|LOC124450774, Xenia|LOC124450775, Xenia|LOC124451075
OG0001143	Nematostella|LOC5502313, Nematostella|LOC5519576	Xenia|LOC124451350
OG0001145	Nematostella|LOC5513751	Xenia|LOC124442190
OG0001150	Nematostella|LOC5504239	Xenia|LOC124453101
OG0001150	Nematostella|LOC5506262	Xenia|LOC124440054
OG0001152	Nematostella|LOC5520620	Xenia|LOC124447959, Xenia|LOC124447860, Xenia|LOC124448367, Xenia|LOC124447960, Xenia|LOC124447855, Xenia|LOC124447865, Xenia|LOC124447957
OG0001153	Nematostella|LOC116618717, Nematostella|LOC5513621	Xenia|LOC124453319
OG0001168	Nematostella|LOC5519935	Xenia|LOC124445759, Xenia|LOC124445547
OG0001169	Nematostella|LOC116601122, Nematostella|LOC5509205	Xenia|LOC124454427
OG0001170	Nematostella|LOC5518058	Xenia|LOC124436537
OG0001170	Nematostella|LOC5515609	Xenia|LOC124444093, Xenia|LOC124438042
OG0001171	Nematostella|LOC5518061, Nematostella|LOC116603758, Nematostella|LOC5518012, Nematostella|LOC5518013	Xenia|LOC124437548
OG0001186	Nematostella|LOC5508018	Xenia|LOC124441063
OG0001187	Nematostella|LOC5521967, Nematostella|LOC5511591, Nematostella|LOC5518332	Xenia|LOC124440825, Xenia|LOC124440533, Xenia|LOC124440826
OG0001190	Nematostella|LOC116619008	Xenia|LOC124439302
OG0001192	Nematostella|LOC116614791	Xenia|LOC124446643, Xenia|LOC124436770, Xenia|LOC124436794
OG0001194	Nematostella|LOC116619674	Xenia|LOC124444276
OG0001194	Nematostella|LOC5521469	Xenia|LOC124444728
OG0001195	Nematostella|LOC5518990	Xenia|LOC124440923, Xenia|LOC124442466
OG0001195	Nematostella|LOC5516614	Xenia|LOC124434944, Xenia|LOC124434422
OG0001196	Nematostella|LOC125560933	Xenia|LOC124458376, Xenia|LOC124449423
OG0001200	Nematostella|LOC5510230	Xenia|LOC124453016
OG0001201	Nematostella|LOC5504414, Nematostella|LOC5518619	Xenia|LOC124452920
OG0001202	Nematostella|LOC5512618	Xenia|LOC124444388, Xenia|LOC124444389
OG0001203	Nematostella|LOC5505440	Xenia|LOC124445476
OG0001203	Nematostella|LOC5512025	Xenia|LOC124455523, Xenia|LOC124455522
OG0001205	Nematostella|LOC5509451, Nematostella|LOC5511109	Xenia|LOC124437205, Xenia|LOC124437169, Xenia|LOC124437184
OG0001206	Nematostella|LOC5521048	Xenia|LOC124443968
OG0001208	Nematostella|LOC116604103	Xenia|LOC124454097, Xenia|LOC124454100, Xenia|LOC124454099, Xenia|LOC124454645, Xenia|LOC124455744
OG0001211	Nematostella|LOC5513835	Xenia|LOC124437545
OG0001211	Nematostella|LOC5509639	Xenia|LOC124448938
OG0001212	Nematostella|LOC5502512, Nematostella|LOC5516558, Nematostella|LOC5511053, Nematostella|LOC5515808	Xenia|LOC124435507
OG0001214	Nematostella|LOC5522065, Nematostella|LOC5510254, Nematostella|LOC5510233, Nematostella|LOC5510235	Xenia|LOC124446915
OG0001214	Nematostella|LOC5510252, Nematostella|LOC5504949	Xenia|LOC124447444
OG0001215	Nematostella|LOC116618100	Xenia|LOC124442943
OG0001215	Nematostella|LOC5521759	Xenia|LOC124439870
OG0001216	Nematostella|LOC5506714	Xenia|LOC124457172, Xenia|LOC124457163, Xenia|LOC124457164, Xenia|LOC124457792
OG0001217	Nematostella|LOC5513989	Xenia|LOC124433422
OG0001217	Nematostella|LOC5513889	Xenia|LOC124442231
OG0001219	Nematostella|LOC125567938, Nematostella|LOC5512023	Xenia|LOC124454573, Xenia|LOC124455614, Xenia|LOC124446653, Xenia|LOC124445978
OG0001220	Nematostella|LOC5512631, Nematostella|LOC5506931, Nematostella|LOC5510051, Nematostella|LOC5510054, Nematostella|LOC5500993	Xenia|LOC124451054
OG0001221	Nematostella|LOC116620902	Xenia|LOC124437569, Xenia|LOC124434148
OG0001222	Nematostella|LOC5522273	Xenia|LOC124447041, Xenia|LOC124447022, Xenia|LOC124447040, Xenia|LOC124447024, Xenia|LOC124447043
OG0001226	Nematostella|LOC5511410, Nematostella|LOC5514263, Nematostella|LOC5521521, Nematostella|LOC5514078, Nematostella|LOC125561283, Nematostella|LOC5513164, Nematostella|LOC5518793, Nematostella|LOC5508789	Xenia|LOC124456354
OG0001227	Nematostella|LOC125568053	Xenia|LOC124449095
OG0001234	Nematostella|LOC5498036	Xenia|LOC124449704, Xenia|LOC124449630, Xenia|LOC124444332, Xenia|LOC124444317
OG0001237	Nematostella|LOC5519075, Nematostella|LOC5519082	Xenia|LOC124442524
OG0001241	Nematostella|LOC125570216	Xenia|LOC124457542
OG0001243	Nematostella|LOC5506975	Xenia|LOC124438994
OG0001245	Nematostella|LOC5513609	Xenia|LOC124453694, Xenia|LOC124452399, Xenia|LOC124452521, Xenia|LOC124452522, Xenia|LOC124452400, Xenia|LOC124452401
OG0001246	Nematostella|LOC5511884	Xenia|LOC124443345, Xenia|LOC124443344, Xenia|LOC124443342, Xenia|LOC124441776, Xenia|LOC124443346, Xenia|LOC124443348
OG0001248	Nematostella|LOC5513902, Nematostella|LOC5504696, Nematostella|LOC116617550	Xenia|LOC124435536, Xenia|LOC124435534, Xenia|LOC124435535, Xenia|LOC124435537, Xenia|LOC124435538
OG0001249	Nematostella|LOC5512625	Xenia|LOC124444501
OG0001249	Nematostella|LOC5517945, Nematostella|LOC5520684	Xenia|LOC124441798
OG0001249	Nematostella|LOC5503930, Nematostella|LOC5520217	Xenia|LOC124433935, Xenia|LOC124435662
OG0001250	Nematostella|LOC5499416	Xenia|LOC124448374, Xenia|LOC124449533, Xenia|LOC124448083, Xenia|LOC124447939, Xenia|LOC124448082, Xenia|LOC124448079, Xenia|LOC124448080
OG0001251	Nematostella|LOC125556667	Xenia|LOC124443788
OG0001251	Nematostella|LOC5501989	Xenia|LOC124454270
OG0001253	Nematostella|LOC5521421, Nematostella|LOC5504442, Nematostella|LOC5510527, Nematostella|LOC5521424	Xenia|LOC124437280, Xenia|LOC124437639, Xenia|LOC124435906, Xenia|LOC124457516
OG0001254	Nematostella|LOC5520915	Xenia|LOC124434071, Xenia|LOC124453815, Xenia|LOC124458537, Xenia|LOC124433611, Xenia|LOC124453816
OG0001256	Nematostella|LOC5514388	Xenia|LOC124440484
OG0001256	Nematostella|LOC116601513, Nematostella|LOC116614549	Xenia|LOC124453210
OG0001260	Nematostella|LOC5520512	Xenia|LOC124436647, Xenia|LOC124436814, Xenia|LOC124436992, Xenia|LOC124449787
OG0001261	Nematostella|LOC5515269	Xenia|LOC124459316, Xenia|LOC124438980, Xenia|LOC124455249
OG0001263	Nematostella|LOC5505995	Xenia|LOC124454316
OG0001263	Nematostella|LOC5505994	Xenia|LOC124455620, Xenia|LOC124454315
OG0001265	Nematostella|LOC5508601	Xenia|LOC124443690, Xenia|LOC124444168, Xenia|LOC124444172, Xenia|LOC124444589
OG0001265	Nematostella|LOC116615603	Xenia|LOC124444588
OG0001266	Nematostella|LOC116618131, Nematostella|LOC5507756, Nematostella|LOC5516981	Xenia|LOC124452786, Xenia|LOC124453686
OG0001266	Nematostella|LOC116614571	Xenia|LOC124452978, Xenia|LOC124452724
OG0001268	Nematostella|LOC5505216, Nematostella|LOC5505229, Nematostella|LOC5511473	Xenia|LOC124438886, Xenia|LOC124437044
OG0001279	Nematostella|LOC5514598, Nematostella|LOC5515924, Nematostella|LOC5518661, Nematostella|LOC5518705, Nematostella|LOC5514238, Nematostella|LOC5506135, Nematostella|LOC5515016	Xenia|LOC124444881
OG0001284	Nematostella|LOC5512404	Xenia|LOC124446896
OG0001284	Nematostella|LOC5517840	Xenia|LOC124454972
OG0001289	Nematostella|LOC5506768	Xenia|LOC124457421, Xenia|LOC124436905, Xenia|LOC124451233, Xenia|LOC124451447, Xenia|LOC124435966, Xenia|LOC124447146, Xenia|LOC124457036, Xenia|LOC124445553, Xenia|LOC124445552
OG0001293	Nematostella|LOC5508364	Xenia|LOC124444993, Xenia|LOC124453983
OG0001306	Nematostella|LOC116608874	Xenia|LOC124440734, Xenia|LOC124452147, Xenia|LOC124441385, Xenia|LOC124456903, Xenia|LOC124456085, Xenia|LOC124438468, Xenia|LOC124445914, Xenia|LOC124449140, Xenia|LOC124456086, Xenia|LOC124452146
OG0001311	Nematostella|LOC125568363, Nematostella|LOC5503122, Nematostella|LOC5522126, Nematostella|LOC5507322, Nematostella|LOC5503245, Nematostella|LOC116612469	Xenia|LOC124454745, Xenia|LOC124457460, Xenia|LOC124457184, Xenia|LOC124456945, Xenia|LOC124434349
OG0001312	Nematostella|LOC116610276	Xenia|LOC124441528
OG0001312	Nematostella|LOC125570270	Xenia|LOC124435122, Xenia|LOC124449080, Xenia|LOC124447294, Xenia|LOC124433355, Xenia|LOC124453978, Xenia|LOC124438990, Xenia|LOC124435123, Xenia|LOC124456986
OG0001313	Nematostella|LOC5514500, Nematostella|LOC5514503	Xenia|LOC124448686, Xenia|LOC124448685, Xenia|LOC124448683, Xenia|LOC124448682, Xenia|LOC124448679, Xenia|LOC124448677, Xenia|LOC124448680, Xenia|LOC124448681, Xenia|LOC124448688
OG0001324	Nematostella|LOC5516526	Xenia|LOC124443018, Xenia|LOC124442387, Xenia|LOC124442419, Xenia|LOC124442439
OG0001328	Nematostella|LOC116604539	Xenia|LOC124453176, Xenia|LOC124453177
OG0001335	Nematostella|LOC5509225	Xenia|LOC124451674
OG0001336	Nematostella|LOC5512402, Nematostella|LOC5507906	Xenia|LOC124445428
OG0001337	Nematostella|LOC5515506	Xenia|LOC124439969
OG0001342	Nematostella|LOC5509848	Xenia|LOC124438666
OG0001342	Nematostella|LOC5502690	Xenia|LOC124445608
OG0001343	Nematostella|LOC5517907	Xenia|LOC124440288
OG0001345	Nematostella|LOC5519425, Nematostella|LOC5519480, Nematostella|LOC5519545	Xenia|LOC124437138
OG0001348	Nematostella|LOC116619730	Xenia|LOC124444543
OG0001349	Nematostella|LOC5521691, Nematostella|LOC5521688	Xenia|LOC124440120, Xenia|LOC124440116, Xenia|LOC124440118, Xenia|LOC124440117
OG0001351	Nematostella|LOC5516580, Nematostella|LOC5509213, Nematostella|LOC5510575, Nematostella|LOC5501314	Xenia|LOC124433931
OG0001353	Nematostella|LOC5510182	Xenia|LOC124433349
OG0001354	Nematostella|LOC5515287	Xenia|LOC124438700
OG0001354	Nematostella|LOC5505710	Xenia|LOC124438841
OG0001356	Nematostella|LOC5512139	Xenia|LOC124446127
OG0001357	Nematostella|LOC116614053	Xenia|LOC124434851
OG0001360	Nematostella|LOC5504063	Xenia|LOC124453254
