Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_HydraProteins
OG0002082	Nematostella|LOC5515428, Nematostella|LOC5515366	Hydra|LOC101240380
OG0002083	Nematostella|LOC116612047	Hydra|LOC124809435
OG0002086	Nematostella|LOC116620680	Hydra|LOC105846952
OG0002087	Nematostella|LOC5503990	Hydra|LOC100209066
OG0002088	Nematostella|LOC5513763, Nematostella|LOC5513735	Hydra|LOC100213982
OG0002089	Nematostella|LOC125570210	Hydra|LOC124816660, Hydra|LOC124808257, Hydra|LOC124815901
OG0002091	Nematostella|LOC5511354	Hydra|LOC100212086
OG0002094	Nematostella|LOC5513868	Hydra|LOC100201021
OG0002095	Nematostella|LOC5520225	Hydra|LOC100209635
OG0002096	Nematostella|LOC5507794	Hydra|LOC100202549
OG0002097	Nematostella|LOC5521751, Nematostella|LOC5514847	Hydra|LOC100213333
OG0002098	Nematostella|LOC5514106	Hydra|LOC100215135
OG0002099	Nematostella|LOC116604655, Nematostella|LOC5503916	Hydra|LOC124815312
OG0002101	Nematostella|LOC5516550	Hydra|LOC100207948
OG0002102	Nematostella|LOC5513273	Hydra|LOC100207213, Hydra|LOC101234388
OG0002104	Nematostella|LOC5521910, Nematostella|LOC5510819	Hydra|LOC100197311
OG0002105	Nematostella|LOC5521084	Hydra|LOC100200141
OG0002106	Nematostella|LOC116610887	Hydra|LOC100208445
OG0002107	Nematostella|LOC5510286, Nematostella|LOC125559731	Hydra|LOC100200150
OG0002108	Nematostella|LOC116618107	Hydra|LOC101236580
OG0002110	Nematostella|LOC5504243	Hydra|LOC100201272
OG0002111	Nematostella|LOC5512589	Hydra|LOC100212823, Hydra|LOC100198091, Hydra|LOC100214985
OG0002114	Nematostella|LOC5517290	Hydra|LOC100204450, Hydra|LOC100212068
OG0002116	Nematostella|LOC5513984	Hydra|LOC100208927
OG0002119	Nematostella|LOC5515719	Hydra|LOC100202255
OG0002120	Nematostella|LOC5515868	Hydra|LOC101237256, Hydra|LOC105847432, Hydra|LOC100208804
OG0002121	Nematostella|LOC116611454	Hydra|LOC100212328
OG0002124	Nematostella|LOC5516924, Nematostella|LOC5509611, Nematostella|LOC5516923	Hydra|LOC124815243
OG0002125	Nematostella|LOC5504588, Nematostella|LOC5504579	Hydra|LOC101237004
OG0002127	Nematostella|LOC5504235	Hydra|LOC100213759
OG0002128	Nematostella|LOC5512184	Hydra|LOC100213040, Hydra|LOC105850207
OG0002129	Nematostella|LOC5508860	Hydra|LOC100205517
OG0002130	Nematostella|LOC5513916	Hydra|LOC100200684
OG0002131	Nematostella|LOC5520108, Nematostella|LOC125572172, Nematostella|LOC5511628	Hydra|LOC100213835
OG0002133	Nematostella|LOC5514351, Nematostella|LOC5521167	Hydra|LOC100201649, Hydra|LOC101239243
OG0002135	Nematostella|LOC5501982, Nematostella|LOC5508166, Nematostella|LOC5519533	Hydra|LOC100209742
OG0002136	Nematostella|LOC5509903	Hydra|LOC101236159
OG0002137	Nematostella|LOC5517144	Hydra|LOC100209578
OG0002138	Nematostella|LOC5502534, Nematostella|LOC5516089	Hydra|LOC100202353
OG0002139	Nematostella|LOC5507997, Nematostella|LOC5510775, Nematostella|LOC5508007, Nematostella|LOC5511304	Hydra|LOC100207176
OG0002141	Nematostella|LOC5516281	Hydra|LOC101236611, Hydra|LOC100207837
OG0002142	Nematostella|LOC5520187	Hydra|LOC101235934
OG0002143	Nematostella|LOC5506067	Hydra|LOC101239974
OG0002144	Nematostella|LOC5505649	Hydra|LOC105844959, Hydra|LOC100208250
OG0002145	Nematostella|LOC5519514	Hydra|LOC100201983, Hydra|LOC100210142
OG0002146	Nematostella|LOC5507748	Hydra|LOC100205859, Hydra|LOC101238431, Hydra|LOC100198226
OG0002147	Nematostella|LOC125572442, Nematostella|LOC125572212, Nematostella|LOC5518118, Nematostella|LOC125572446	Hydra|LOC100208012
OG0002149	Nematostella|LOC116620880, Nematostella|LOC116619737, Nematostella|LOC116616607	Hydra|LOC100205170
OG0002150	Nematostella|LOC5505602, Nematostella|LOC5501825, Nematostella|LOC5505601	Hydra|LOC100199577
OG0002153	Nematostella|LOC5516722, Nematostella|LOC5516447, Nematostella|LOC5508773, Nematostella|LOC5521820	Hydra|LOC100211509
OG0002154	Nematostella|LOC5505725	Hydra|LOC100200247
OG0002155	Nematostella|LOC5515667, Nematostella|LOC5512275	Hydra|LOC100202128
OG0002156	Nematostella|LOC5501785, Nematostella|LOC5506404	Hydra|LOC100211911
OG0002157	Nematostella|LOC5508848	Hydra|LOC100207733
OG0002158	Nematostella|LOC5519875, Nematostella|LOC5507576	Hydra|LOC100201739
OG0002160	Nematostella|LOC5520469	Hydra|LOC101241405
OG0002162	Nematostella|LOC116607440, Nematostella|LOC5507697, Nematostella|LOC5517014	Hydra|LOC100204866
OG0002163	Nematostella|LOC5519163	Hydra|LOC100207690
OG0002164	Nematostella|LOC5510291	Hydra|LOC100212580
OG0002169	Nematostella|LOC5519031	Hydra|LOC101236662
OG0002170	Nematostella|LOC125572219, Nematostella|LOC125568413	Hydra|LOC100208134, Hydra|LOC124809432, Hydra|LOC105847386, Hydra|LOC101239978, Hydra|LOC100198558, Hydra|LOC105845900
OG0002175	Nematostella|LOC5500516	Hydra|LOC101238112
OG0002177	Nematostella|LOC116614300, Nematostella|LOC125560657	Hydra|LOC100204154, Hydra|LOC124815248, Hydra|LOC124805940, Hydra|LOC124816392, Hydra|LOC124811759
OG0002193	Nematostella|LOC5503478, Nematostella|LOC5517425	Hydra|LOC105843710, Hydra|LOC105845318, Hydra|LOC105843648, Hydra|LOC105844648, Hydra|LOC105849214, Hydra|LOC124810933
OG0002200	Nematostella|LOC125561900	Hydra|LOC100204771, Hydra|LOC124815992, Hydra|LOC124811299
OG0002204	Nematostella|LOC125567927, Nematostella|LOC125556737, Nematostella|LOC5500624, Nematostella|LOC5520940	Hydra|LOC100199101
OG0002205	Nematostella|LOC5521731	Hydra|LOC100207212, Hydra|LOC100203077
OG0002206	Nematostella|LOC5501787	Hydra|LOC105850584
OG0002209	Nematostella|LOC116621573, Nematostella|LOC5511175	Hydra|LOC100208249
OG0002210	Nematostella|LOC116604795, Nematostella|LOC116613219, Nematostella|LOC116613214, Nematostella|LOC5517871, Nematostella|LOC5505443, Nematostella|LOC116620817	Hydra|LOC101238350
OG0002214	Nematostella|LOC5508977, Nematostella|LOC5511223	Hydra|LOC124806708, Hydra|LOC124806368
OG0002215	Nematostella|LOC5508612	Hydra|LOC100209958, Hydra|LOC100203196, Hydra|LOC105846882, Hydra|LOC101236829
OG0002283	Nematostella|LOC116602025, Nematostella|LOC5506639, Nematostella|LOC5519876	Hydra|LOC100209737
OG0002284	Nematostella|LOC5517553	Hydra|LOC100198107
OG0002285	Nematostella|LOC5513561	Hydra|LOC100213935
OG0002288	Nematostella|LOC5515084	Hydra|LOC124805774
OG0002289	Nematostella|LOC5520121, Nematostella|LOC5516043	Hydra|LOC101239547
OG0002293	Nematostella|LOC5516485	Hydra|LOC100211547
OG0002296	Nematostella|LOC5510242	hywnt5a
OG0002297	Nematostella|LOC5522125	Hydra|LOC105843987
OG0002298	Nematostella|LOC5512442	Hydra|LOC101239391
OG0002299	Nematostella|LOC5509897	Hydra|LOC101241338
OG0002304	Nematostella|LOC5507669	Hydra|LOC100203063, Hydra|LOC101237907
OG0002305	Nematostella|LOC5520837	Hydra|LOC100215781, Hydra|LOC124810866
OG0002306	Nematostella|LOC5510166	Hydra|LOC100199679
OG0002309	Nematostella|LOC5522300, Nematostella|LOC125561247	Hydra|LOC100214065
OG0002310	Nematostella|LOC5503852	Hydra|LOC100203271, Hydra|LOC100199560
OG0002311	Nematostella|LOC5517390	Hydra|LOC100206782, Hydra|LOC100208673
OG0002312	Nematostella|LOC125556732, Nematostella|LOC5517220	Hydra|LOC105845238
OG0002314	Nematostella|LOC5505605	Hydra|LOC100210864
OG0002315	Nematostella|LOC5513829, Nematostella|LOC5509286, Nematostella|LOC5521804	Hydra|LOC100212713
OG0002316	Nematostella|LOC5514215	Hydra|LOC100205666
OG0002318	Nematostella|LOC5518578	Hydra|LOC124805808, Hydra|LOC124813707, Hydra|LOC105849538
OG0002320	Nematostella|LOC5516782	Hydra|LOC100205272, Hydra|LOC100207973
OG0002322	Nematostella|LOC5513995, Nematostella|LOC5511190	Hydra|LOC100205887
OG0002323	Nematostella|LOC5510928	Hydra|LOC101241070
OG0002324	Nematostella|LOC5519284, Nematostella|LOC5510588	Hydra|LOC100197784
OG0002325	Nematostella|LOC5504409	Hydra|LOC100202524
OG0002327	Nematostella|LOC5509571, Nematostella|LOC5508473	Hydra|LOC100212716
OG0002328	Nematostella|LOC5511204	Hydra|LOC100207959, Hydra|LOC100202650
OG0002331	Nematostella|LOC5518905	Hydra|LOC100215942, Hydra|LOC100212285
OG0002332	Nematostella|LOC5501904	Hydra|LOC100200144
OG0002333	Nematostella|LOC5504418	Hydra|LOC100206683
OG0002334	Nematostella|LOC5508792	Hydra|LOC100203227
OG0002335	Nematostella|LOC5520065, Nematostella|LOC5519983	Hydra|LOC101235215
OG0002337	Nematostella|LOC5521872	Hydra|LOC100209155
OG0002338	Nematostella|LOC116615039, Nematostella|LOC5507916	Hydra|LOC100199288, Hydra|LOC100200496
OG0002339	Nematostella|LOC5504897	Hydra|LOC100214033
OG0002340	Nematostella|LOC5517379	Hydra|LOC100208232
OG0002341	Nematostella|LOC5500547	Hydra|LOC100197675
OG0002343	Nematostella|LOC5504087	Hydra|LOC100205574, Hydra|LOC105843936, Hydra|LOC101239852
OG0002344	Nematostella|LOC5504072	nfkb1
OG0002345	Nematostella|LOC125561345	Hydra|LOC100214327, Hydra|LOC100213283
OG0002346	Nematostella|LOC5505902	Hydra|LOC100203771
OG0002347	Nematostella|LOC116601181	Hydra|LOC100203209, Hydra|LOC100197948
OG0002348	Nematostella|LOC5516217, Nematostella|LOC5498640	Hydra|LOC101236416
OG0002349	Nematostella|LOC5519153	Hydra|LOC105843221
OG0002350	Nematostella|LOC116608951, Nematostella|LOC116612374	Hydra|LOC105847934
OG0002352	Nematostella|LOC5519908	Hydra|LOC100211463
OG0002353	Nematostella|LOC5505709	Hydra|LOC100203085
OG0002354	Nematostella|LOC5507945	Hydra|LOC100198991
OG0002357	Nematostella|LOC5514428	Hydra|LOC100199141
OG0002360	Nematostella|LOC5511471	Hydra|LOC100200089, Hydra|LOC100192251, Hydra|LOC100192252
OG0002361	Nematostella|LOC5505853	Hydra|LOC100200510
OG0002362	Nematostella|LOC5518528	Hydra|LOC100204991
OG0002364	Nematostella|LOC5512100	Hydra|LOC100204586, Hydra|LOC100200077, Hydra|LOC100215369
OG0002365	Nematostella|LOC5497678	Hydra|LOC100213938
OG0002367	Nematostella|LOC5506826, Nematostella|LOC5506827	Hydra|LOC100213654
OG0002368	Nematostella|LOC5510266	Hydra|LOC100203910, Hydra|LOC100203950, Hydra|LOC101236772
OG0002370	Nematostella|LOC5518906	Hydra|LOC100198425
OG0002371	Nematostella|LOC5513572, Nematostella|LOC5508702	Hydra|LOC100213564
OG0002373	Nematostella|LOC5506254	Hydra|LOC100211523, Hydra|LOC100210863
OG0002375	Nematostella|LOC5503357	Hydra|LOC100198969
OG0002376	Nematostella|LOC5500507	Hydra|LOC101238717, Hydra|LOC101238541
OG0002377	Nematostella|LOC5504728	Hydra|LOC100198475
OG0002378	Nematostella|LOC5509063	Hydra|LOC100203772
OG0002381	Nematostella|LOC5511341	Hydra|LOC100199564
OG0002383	Nematostella|LOC5509151	Hydra|LOC100200006
OG0002385	Nematostella|LOC5508320	Hydra|LOC101235315
OG0002386	Nematostella|LOC5518033	Hydra|LOC100206381
OG0002387	Nematostella|LOC5505069	Hydra|LOC100200027
OG0002390	Nematostella|LOC125572135, Nematostella|LOC5499745, Nematostella|LOC5512702	Hydra|LOC100198741
OG0002391	Nematostella|LOC5520433	Hydra|LOC100199505
OG0002393	Nematostella|LOC5508111	Hydra|LOC100201375, Hydra|LOC124818555
OG0002394	Nematostella|LOC5519063	Hydra|LOC100209501, Hydra|LOC100199253
OG0002395	Nematostella|LOC5513228, Nematostella|LOC5513225	Hydra|LOC101240582
OG0002400	Nematostella|LOC5521599, Nematostella|LOC5509840	Hydra|LOC100215052
OG0002401	Nematostella|LOC5517924	Hydra|LOC101238775
OG0002404	Nematostella|LOC125573509, Nematostella|LOC5505933	Hydra|LOC101239050
OG0002405	Nematostella|LOC5501394, Nematostella|LOC116620032	Hydra|LOC101239559
OG0002407	Nematostella|LOC5505840	Hydra|LOC100207295
OG0002408	Nematostella|LOC5517465, Nematostella|LOC5519341	Hydra|LOC100211510
OG0002412	Nematostella|LOC116604036	Hydra|LOC100197649
OG0002413	Nematostella|LOC5506855	Hydra|LOC100211283
OG0002414	Nematostella|LOC5514777	Hydra|LOC124813648
OG0002415	Nematostella|LOC5514013	Hydra|LOC100199545
OG0002418	Nematostella|LOC5512058, Nematostella|LOC5515278, Nematostella|LOC116604742	Hydra|LOC100215509, Hydra|LOC100197515
OG0002419	Nematostella|LOC5518300	Hydra|LOC100199946
OG0002420	Nematostella|LOC5507617	Hydra|LOC105843703
OG0002421	Nematostella|LOC5517376	Hydra|LOC101240838, Hydra|LOC124806720, Hydra|LOC124806721
OG0002422	Nematostella|LOC5505344	Hydra|LOC124805825
OG0002423	Nematostella|LOC5511009	Hydra|LOC100213709
OG0002424	Nematostella|LOC5513905, Nematostella|LOC5508946, Nematostella|LOC5498815	Hydra|LOC100204126
OG0002425	Nematostella|LOC5513366	Hydra|LOC101235748
OG0002426	Nematostella|LOC116618830	Hydra|LOC100196999
OG0002429	Nematostella|LOC5521720	Hydra|LOC101234272
OG0002430	Nematostella|LOC5522335	Hydra|LOC100208613, Hydra|LOC100212122
OG0002431	Nematostella|LOC116603102	Hydra|LOC100212929, Hydra|LOC100213125, Hydra|LOC100211137
OG0002434	Nematostella|LOC5514741	Hydra|LOC101240048
OG0002436	Nematostella|LOC5519690	Hydra|LOC105846037
OG0002437	Nematostella|LOC5515142	Hydra|LOC100210621, Hydra|LOC100211929
OG0002438	Nematostella|LOC5508904	Hydra|LOC100206390
OG0002441	Nematostella|LOC116613146	Hydra|LOC100215940
OG0002442	Nematostella|LOC5505955	Hydra|LOC100203132
OG0002443	Nematostella|LOC5507587	Hydra|LOC100202032
OG0002444	Nematostella|LOC116620157, Nematostella|LOC5514924, Nematostella|LOC5507873, Nematostella|LOC116620183	Hydra|LOC100213520
OG0002445	Nematostella|LOC5513844, Nematostella|LOC5500477	Hydra|LOC100205916
OG0002446	Nematostella|LOC5509040	Hydra|LOC100204604, Hydra|LOC100198752
OG0002449	Nematostella|LOC5508326	Hydra|LOC124808428
OG0002450	Nematostella|LOC5514308	Hydra|LOC100208151, Hydra|LOC100211666
OG0002452	Nematostella|LOC5500611	Hydra|LOC100206865
OG0002453	Nematostella|LOC125570148, Nematostella|LOC5505059	Hydra|LOC100203203
OG0002455	Nematostella|LOC5514478	Hydra|LOC100209536, Hydra|LOC100197833
OG0002456	Nematostella|LOC5514629	Hydra|LOC105844928, Hydra|LOC100199542, Hydra|LOC100203138
OG0002459	Nematostella|LOC5509626	Hydra|LOC100197262
OG0002460	Nematostella|LOC5520350	Hydra|LOC100199346
OG0002462	Nematostella|LOC5518826	Hydra|LOC100204836
OG0002464	Nematostella|LOC116602230	Hydra|LOC100202905
OG0002466	Nematostella|LOC5509670	Hydra|LOC124813823, Hydra|LOC105844953
OG0002468	Nematostella|LOC5518750	Hydra|LOC100211985
OG0002471	Nematostella|LOC5516693	Hydra|LOC100203259
OG0002472	Nematostella|LOC125558946	Hydra|LOC101235764
OG0002474	Nematostella|LOC5506875	Hydra|LOC105845377, Hydra|LOC105848400
OG0002475	Nematostella|LOC5518733	Hydra|LOC100207142
OG0002478	Nematostella|LOC5516855	Hydra|LOC100200810
OG0002480	Nematostella|LOC5525260, Nematostella|LOC5518820, Nematostella|LOC5510926	Hydra|LOC100209808
OG0002481	Nematostella|LOC5512203	Hydra|LOC101236754
OG0002482	Nematostella|LOC5509982, Nematostella|LOC5509991	Hydra|LOC100201371
OG0002483	Nematostella|LOC116621119, Nematostella|LOC5501573	Hydra|LOC100202190
OG0002484	Nematostella|LOC5518993, Nematostella|LOC5518992	Hydra|LOC100205658
OG0002487	Nematostella|LOC5509064	Hydra|LOC100205910
OG0002490	Nematostella|LOC5506057	Hydra|LOC100210240, Hydra|LOC100201294
OG0002493	Nematostella|LOC5511886	Hydra|LOC101240980
OG0002494	Nematostella|LOC5522029	Hydra|LOC100204541
OG0002495	Nematostella|LOC5501029	Hydra|LOC100205372
OG0002496	Nematostella|LOC5521533	Hydra|LOC101238875
OG0002497	Nematostella|LOC125570232, Nematostella|LOC5506159	Hydra|LOC100205435
OG0002498	Nematostella|LOC5507781	Hydra|LOC101235049
OG0002499	Nematostella|LOC5518228	Hydra|LOC100204196
OG0002500	Nematostella|LOC116618565, Nematostella|LOC116619993	Hydra|LOC100215343
OG0002502	Nematostella|LOC5503118	Hydra|LOC100201949
OG0002503	Nematostella|LOC5514015	Hydra|LOC101240231
OG0002505	Nematostella|LOC5503333	Hydra|LOC101234859
OG0002506	Nematostella|LOC5508715	Hydra|LOC100215451
OG0002508	Nematostella|LOC5507688	Hydra|LOC100205080, Hydra|LOC100200289
OG0002510	Nematostella|LOC5503035, Nematostella|LOC5518972	Hydra|LOC100202907
OG0002511	Nematostella|LOC5505324	Hydra|LOC101237183
OG0002513	Nematostella|LOC5508775, Nematostella|LOC125560927	Hydra|LOC100207459
OG0002514	Nematostella|LOC5509093	Hydra|LOC100208984
OG0002515	Nematostella|LOC116616912	Hydra|LOC105844565, Hydra|LOC100197594
OG0002516	Nematostella|LOC5514064	Hydra|LOC101237752
OG0002517	Nematostella|LOC5517841	Hydra|LOC100200048
OG0002518	Nematostella|LOC5508777	Hydra|LOC100213459
OG0002519	Nematostella|LOC5504631	Hydra|LOC124815149
OG0002520	Nematostella|LOC5505871	Hydra|LOC100198971, Hydra|LOC100198236
OG0002521	Nematostella|LOC116614753	Hydra|LOC100212319
OG0002524	Nematostella|LOC5517141	Hydra|LOC100197551
OG0002526	Nematostella|LOC5514859	Hydra|LOC100207320
OG0002527	Nematostella|LOC5500097	Hydra|LOC101238771
OG0002530	Nematostella|LOC116620839	Hydra|LOC100207114, Hydra|LOC100208179
OG0002531	Nematostella|LOC5514177	Hydra|LOC100204325
OG0002532	Nematostella|LOC5503790	Hydra|LOC100208234, Hydra|LOC105849247, Hydra|LOC101240408
OG0002533	Nematostella|LOC116621178	Hydra|LOC100215761, Hydra|LOC100212361
OG0002534	Nematostella|LOC116610392	Hydra|LOC101241396
OG0002536	Nematostella|LOC5500087, Nematostella|LOC116618069, Nematostella|LOC5507141	Hydra|LOC100203408
OG0002537	Nematostella|LOC5508596, Nematostella|LOC5508592	Hydra|LOC100204210
OG0002538	Nematostella|LOC5508436	Hydra|LOC100212836
OG0002541	Nematostella|LOC5514437	Hydra|LOC101239972
OG0002542	Nematostella|LOC5504130	Hydra|LOC100203804
OG0002548	Nematostella|LOC5508714	Hydra|LOC100209215
OG0002549	Nematostella|LOC5516365	Hydra|LOC100212612
OG0002550	Nematostella|LOC5513820, Nematostella|LOC116617280, Nematostella|LOC116621408, Nematostella|LOC5517333, Nematostella|LOC116621506	Hydra|LOC100209108
OG0002551	Nematostella|LOC5514652	Hydra|LOC100206817
OG0002552	Nematostella|LOC5513712	Hydra|LOC100205244
OG0002555	Nematostella|LOC5507100, Nematostella|LOC5507101, Nematostella|LOC5507121	Hydra|LOC100213215
OG0002556	Nematostella|LOC5506452	Hydra|LOC100211872
OG0002557	Nematostella|LOC5503383	Hydra|LOC100203214
OG0002559	Nematostella|LOC5508048	Hydra|LOC101234468
OG0002561	Nematostella|LOC5505633	Hydra|LOC100215815
OG0002562	Nematostella|LOC125568436	Hydra|LOC100204246
OG0002563	Nematostella|LOC5510932, Nematostella|LOC5519730, Nematostella|LOC5511568	Hydra|LOC100208263
OG0002564	Nematostella|LOC5518488	Hydra|LOC100199469
OG0002565	Nematostella|LOC5506019	Hydra|LOC105850981
OG0002569	Nematostella|LOC116615756	Hydra|LOC101239216
OG0002571	Nematostella|LOC5507664	Hydra|LOC100208648
OG0002572	Nematostella|LOC5505629, Nematostella|LOC5508969	bcl-2
OG0002574	Nematostella|LOC5506893, Nematostella|LOC5506892	Hydra|LOC105843226
OG0002575	Nematostella|LOC5509357, Nematostella|LOC5509343	Hydra|LOC105844409, Hydra|LOC100202546
OG0002576	Nematostella|LOC5501881	Hydra|LOC100208072
OG0002578	Nematostella|LOC5518211	Hydra|LOC100197187
OG0002579	Nematostella|LOC5520961	Hydra|LOC100201004
OG0002580	Nematostella|LOC5502578	Hydra|LOC100214528
OG0002581	Nematostella|LOC5506996, Nematostella|LOC5506142	Hydra|LOC105847062, Hydra|LOC100211475
OG0002582	Nematostella|LOC5511012	Hydra|LOC105847798
OG0002586	Nematostella|LOC5522360, Nematostella|LOC5517363, Nematostella|LOC5517097	Hydra|LOC100214422
OG0002587	Nematostella|LOC5511210	Hydra|LOC100199232
OG0002588	Nematostella|LOC5521522	Hydra|LOC100208225
OG0002591	Nematostella|LOC5504936	Hydra|LOC100215877
OG0002593	Nematostella|LOC5508215	Hydra|LOC100211429
OG0002594	Nematostella|LOC5514394	Hydra|LOC100208776
OG0002598	Nematostella|LOC5508847	Hydra|LOC100205138, Hydra|LOC100205726
OG0002604	Nematostella|LOC5519053	Hydra|LOC100209114
OG0002605	Nematostella|LOC5520378	Hydra|LOC100204769
OG0002607	Nematostella|LOC5521094	Hydra|LOC105848816
OG0002608	Nematostella|LOC5519117	Hydra|LOC100201599
OG0002610	Nematostella|LOC5512326	Hydra|LOC100209541
OG0002611	Nematostella|LOC5505671	Hydra|LOC100210586, Hydra|LOC100207079
OG0002613	Nematostella|LOC116614186	Hydra|LOC100211813
OG0002614	Nematostella|LOC5517114	Hydra|LOC101234962
OG0002616	Nematostella|LOC5506314	Hydra|LOC100197516, Hydra|LOC101240621
OG0002617	Nematostella|LOC5509392	Hydra|LOC101235256
OG0002618	Nematostella|LOC5521394	Hydra|LOC100203505
OG0002619	Nematostella|LOC5518330	Hydra|LOC100210597
OG0002619	Nematostella|LOC5507260	Hydra|LOC124807443
OG0002620	Nematostella|LOC5516229	Hydra|LOC100197813
OG0002621	Nematostella|LOC5518059	Hydra|LOC105844356
OG0002622	Nematostella|LOC5511206	Hydra|LOC100203541
OG0002623	Nematostella|LOC5509131	Hydra|LOC100205185
OG0002624	Nematostella|LOC5499056	Hydra|LOC100207748
OG0002625	Nematostella|LOC5519599	Hydra|LOC101240566
OG0002626	Nematostella|LOC5511983	Hydra|LOC100207977
OG0002627	Nematostella|LOC5509158	Hydra|LOC100212284
OG0002628	Nematostella|LOC5511050	Hydra|LOC100215301, Hydra|LOC100205924, Hydra|LOC124817960
OG0002632	Nematostella|LOC5515391	Hydra|LOC100204275
OG0002634	Nematostella|LOC116619604	Hydra|LOC100213354
OG0002635	Nematostella|LOC116618576	Hydra|LOC124811796
OG0002636	Nematostella|LOC116610151	Hydra|LOC101239598
OG0002638	Nematostella|LOC116612037, Nematostella|LOC5513639	Hydra|LOC100202828
OG0002641	Nematostella|LOC5512208	Hydra|LOC100197749, Hydra|LOC105844045, Hydra|LOC124808504
OG0002642	Nematostella|LOC5502422, Nematostella|LOC125569625	Hydra|LOC100207616
OG0002644	Nematostella|LOC116619749, Nematostella|LOC125561360, Nematostella|LOC5518434	Hydra|LOC100201241
OG0002646	Nematostella|LOC5507850	Hydra|LOC100203380
OG0002647	Nematostella|LOC5517478	Hydra|LOC100202161
OG0002651	Nematostella|LOC116611820	Hydra|LOC101241459
OG0002653	Nematostella|LOC5506661	Hydra|LOC101236793
OG0002655	Nematostella|LOC5515738	Hydra|LOC100201099
OG0002659	Nematostella|LOC5515889	Hydra|LOC100203070
OG0002660	Nematostella|LOC5506189	Hydra|LOC100212025
OG0002662	Nematostella|LOC5519173	Hydra|LOC100209499, Hydra|LOC100204733
OG0002663	Nematostella|LOC5519041	Hydra|LOC100210872
OG0002664	Nematostella|LOC5513271	Hydra|LOC100208931
OG0002665	Nematostella|LOC5505611	Hydra|LOC100206070
OG0002666	Nematostella|LOC5516590	Hydra|LOC100201859
OG0002669	Nematostella|LOC5504213	Hydra|LOC100206126
OG0002670	Nematostella|LOC5513728	Hydra|LOC100197913
OG0002671	Nematostella|LOC5506522	Hydra|LOC100198295
OG0002672	Nematostella|LOC116621197	Hydra|LOC100201228
OG0002673	Nematostella|LOC5510764	Hydra|LOC100210799, Hydra|LOC100200503
OG0002674	Nematostella|LOC5498116	Hydra|LOC101234443
OG0002675	Nematostella|LOC5517341	Hydra|LOC100206197
OG0002676	Nematostella|LOC116616372	Hydra|LOC100207550
OG0002677	Nematostella|LOC5518609	Hydra|LOC100203268
OG0002678	Nematostella|LOC5510044	Hydra|LOC101240296
OG0002679	Nematostella|LOC125565607	Hydra|LOC101237534, Hydra|LOC100204711
OG0002680	Nematostella|LOC5500886, Nematostella|LOC5513377, Nematostella|LOC5519634	Hydra|LOC100212729
OG0002681	Nematostella|LOC5521826	Hydra|LOC100212532
OG0002682	Nematostella|LOC5508143, Nematostella|LOC5521249	Hydra|LOC100206296
OG0002683	Nematostella|LOC5505713	Hydra|LOC101235281
OG0002684	Nematostella|LOC5503574	Hydra|LOC100197868, Hydra|LOC100203602
OG0002685	Nematostella|LOC116614735	Hydra|LOC105847633, Hydra|LOC100213304
OG0002686	Nematostella|LOC5516763, Nematostella|LOC5516858	Hydra|LOC100198378
OG0002687	Nematostella|LOC5514670	Hydra|LOC100215763
OG0002688	Nematostella|LOC125561796, Nematostella|LOC116606594	Hydra|LOC100213726
OG0002690	Nematostella|LOC5503992	Hydra|LOC100199109
OG0002691	Nematostella|LOC5519058	Hydra|LOC100211894, Hydra|LOC124811112, Hydra|LOC100207436
OG0002692	Nematostella|LOC5510209, Nematostella|LOC5518662, Nematostella|LOC5507775	Hydra|LOC101240159
OG0002693	Nematostella|LOC5502043	Hydra|LOC100205913
OG0002694	Nematostella|LOC5521097	Hydra|LOC100199476
OG0002696	Nematostella|LOC5511951	Hydra|LOC100211489
OG0002697	Nematostella|LOC5507123	Hydra|LOC101240258
OG0002698	Nematostella|LOC5507741	Hydra|LOC101237974, Hydra|LOC100201520
OG0002700	Nematostella|LOC125559865, Nematostella|LOC5502874	Hydra|LOC100207843
OG0002701	Nematostella|LOC5513138	Hydra|LOC100215768, Hydra|LOC100212155
OG0002702	Nematostella|LOC5518225	Hydra|LOC100205970, Hydra|LOC100207025
OG0002703	Nematostella|LOC5518393	Hydra|LOC101236057
OG0002704	Nematostella|LOC5510898	Hydra|LOC100200890
OG0002705	Nematostella|LOC5513998	Hydra|LOC100208367
OG0002707	Nematostella|LOC5511865, Nematostella|LOC5513987	Hydra|LOC100200826
OG0002708	Nematostella|LOC5508035	Hydra|LOC100200529
OG0002709	Nematostella|LOC5505098	Hydra|LOC101238448
OG0002710	Nematostella|LOC5511769	Hydra|LOC100212297
OG0002711	Nematostella|LOC116620725, Nematostella|LOC116620905	Hydra|LOC100201316
OG0002712	Nematostella|LOC5508745	Hydra|LOC100204897
OG0002713	Nematostella|LOC116621546, Nematostella|LOC5517260, Nematostella|LOC116621553	Hydra|LOC100211659
OG0002714	Nematostella|LOC5507778	Hydra|LOC100197305
OG0002715	Nematostella|LOC5519972, Nematostella|LOC125561379, Nematostella|LOC125561381	Hydra|LOC100206252
OG0002718	Nematostella|LOC5517734	Hydra|LOC100213602, Hydra|LOC100215022
OG0002719	Nematostella|LOC116610375, Nematostella|LOC125561949, Nematostella|LOC116619932	Hydra|LOC105844884
OG0002720	Nematostella|LOC5504674	Hydra|LOC100205867
